股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+3.02%,+2.30%,+1.02%,-1.42%,-0.41%,-0.41%,-1.24%,-0.21%,+2.51%,+0.41%
8261.TW,+1.52%,+1.99%,+4.88%,+0.47%,+2.78%,+2.78%,-4.05%,-0.94%,+1.90%,+0.00%
6205.TW,+5.76%,+9.93%,+9.90%,-0.56%,-0.68%,-0.68%,-6.61%,+0.12%,+10.00%,-2.66%
1789.TW,+0.43%,+0.85%,+1.48%,+0.00%,-1.25%,-1.25%,+0.42%,-1.47%,+0.64%,+1.70%
911608.TW,+1.71%,-0.28%,-0.28%,+0.00%,-1.69%,-1.69%,+0.29%,+0.57%,-0.57%,-0.86%
3044.TW,+0.00%,-0.78%,+0.00%,+0.00%,+0.00%,+0.00%,-0.39%,+0.40%,+1.57%,+1.16%
3011.TW,+2.96%,+3.35%,+3.70%,+1.79%,-2.19%,-2.19%,+3.14%,-2.17%,-0.89%,+1.35%
00876.TW,+0.89%,-1.02%,+1.19%,+1.57%,-1.87%,-1.87%,-1.81%,-0.50%,+2.39%,+0.33%
00676R.TW,-1.52%,-0.93%,-0.62%,-0.94%,+0.00%,+0.00%,+1.59%,+0.31%,-1.87%,+0.00%
4961.TW,+0.24%,+3.37%,+4.65%,-2.00%,-0.23%,-0.23%,-3.64%,+0.71%,+2.58%,-0.68%
2012.TW,+4.55%,+2.18%,+0.82%,-0.98%,+0.16%,+0.16%,-1.48%,-0.67%,+0.34%,-0.17%
8114.TW,+3.20%,+1.33%,-1.75%,-2.22%,+1.36%,+1.36%,-6.73%,-0.48%,+0.97%,-1.44%
8028.TW,+2.14%,+0.80%,+5.35%,-0.75%,-1.52%,-1.52%,-3.27%,-0.20%,+6.18%,-2.06%
6443.TW,+2.26%,+3.59%,+1.20%,-1.05%,+0.27%,+0.27%,-4.38%,-0.28%,+1.53%,+0.27%
2748.TW,+2.12%,+1.04%,+0.13%,+0.26%,+0.38%,+0.38%,-0.25%,+1.15%,+2.27%,+2.10%
6525.TW,+3.29%,+1.48%,+2.69%,+2.40%,-0.53%,-0.53%,-1.82%,+1.42%,+1.51%,-0.95%
1802.TW,+3.04%,+1.05%,+0.21%,-0.83%,-0.84%,-0.84%,-3.17%,-1.75%,+2.00%,+0.22%
9938.TW,+2.25%,+0.00%,+0.00%,-0.37%,+0.00%,+0.00%,-1.35%,+0.25%,+0.25%,-0.37%
00635U.TW,-2.04%,+0.46%,+0.46%,+0.33%,-0.49%,-0.49%,+1.57%,+1.43%,-1.45%,+1.26%
2408.TW,+6.11%,+1.31%,+1.42%,+0.64%,+0.00%,+0.00%,-0.38%,+0.13%,+2.16%,+2.73%
2504.TW,+3.12%,+1.70%,+1.12%,+0.92%,+0.00%,+0.00%,-0.91%,+0.92%,+0.36%,-0.73%
