# ==============================================================================
# 台灣股市 - 電網/重電、AI核心、低軌道衛星關鍵技術與重要股票清單
# 更新日期: 2026-05-24
# ==============================================================================

# ------------------------------------------------------------------------------
# 一、 電網/強韌電力與重電關鍵技術 (AI資料中心與缺電轉型剛需)
# ------------------------------------------------------------------------------
# 關鍵技術：高壓/特高壓變壓器、GIS氣體絕緣開關、伺服器備用電池模組(BBU)、儲能與充電樁
1519.TW # 華城, 外銷特高壓變壓器龍頭/美系AI資料中心電網訂單
1503.TW # 士電, 重電三雄/變壓器與高壓配電盤/充電樁產線擴建
1513.TW # 中興電, 國內GIS(氣體絕緣開關)市占率達8成/台電強韌電網最大贏家
1514.TW # 亞力, 科技廠電力工程/台積電海外廠配電盤獨家供應商
2308.TW # 台達電, AI伺服器高階高壓電源供應器/機架全端電力解方/滿分價值股
2301.TW # 光寶科, 高階伺服器電源/機櫃級電源轉換系統
6781.TW # AES-KY, 伺服器備用電池模組(BBU)高階代表/受惠AI資料中心強勁需求
2327.TW # 新普, 筆電電池龍頭進軍伺服器BBU/穩定貢獻營收
3211.TW # 順達, BBU備用電池模組概念股/受惠資料中心電力備援轉型
2457.TW # 飛宏, 旗下馳諾瓦深耕高功率電動車充電樁/綠能布局
2303.TW # 康舒, 電源供應器大廠/積極拓展伺服器與新能源儲能市場
6282.TW # 康舒, 積極轉型並切入伺服器高階電源供應器（PSU）市場
1504.TW # 東元, 將（電力能源）事業群聚焦於 AI 資料中心、離岸風電與儲能
3357.TW # 台慶科, AI晶片TLVR電感/高速運算供電元件

# ------------------------------------------------------------------------------
# 二、 AI 核心硬體與邊緣運算 (先進封裝、高速傳輸、液冷、邊緣落地)
# ------------------------------------------------------------------------------
# [晶圓代工與先進封裝測試 - CoWoS / CoPoS 鐵三角]
2330.TW # 台積電, AI核心晶圓代工/CoWoS與2奈米獨霸全球/攜手群創與海力士打造CoPoS鐵三角
3711.TW # 日月光投控, 先進封裝後段龍頭/LEAP部門大口吃下CoWoS外溢訂單
2449.TW # 京元電子, AI晶片關鍵測試/AI相關營收占比拉高至近4成
6239.TW # 力成, 面板級封裝(FOPLP)技術領先/通過AMD Helios平台EFB驗證
