# ==============================================================================
# 台灣股市 - 2026年爆發型新題材 (BBU備援、FOPLP封裝、半導體特化) 清單
# ==============================================================================

# 1. AI 伺服器機櫃級 BBU 電池備份系統
3211.TWO, 順達, 傳統電池模組轉型AI伺服器BBU/出貨量高速成長
6781.TW, AES-KY, 新普子公司/專攻高階資料中心與伺服器大功率BBU系統
3032.TW, 偉訓, 電源與機殼廠/切入美系CSP大廠BBU機構件整合

# 2. FOPLP 面板級扇出型先進封裝
3481.TW, 群創, 面板廠轉型FOPLP產能開出/技術轉型黑馬
3037.TW, 欣興, 兼具CoWoS與FOPLP高階載板雙重升級題材
2467.TW, 志聖, G2C+設備聯盟/提供FOPLP關鍵真空壓膜與烘烤製程

# 3. 半導體高階製程特用化學耗材 (純度與良率守門人)
1773.TW, 勝一, 電子級製程溶劑龍頭/台積電先進製程清洗液獨家級供應
4755.TW, 三福化, 半導體顯影劑回收技術/CoWoS擴產實質受惠特化廠
5234.TW, 達興材料, 半導體黃光製程與先進封裝高階特化材料研發

