# ==============================================================================
# 台灣股市 - Pure CoWoS (2.5D 先進封裝) 晶圓代工、設備與外包核心供應鏈
# 更新日期: 2026-06-19
# ==============================================================================

# 一、 CoWoS 核心代工與外包主力 (直接吃產能爆單紅利)
# 說明：台積電為核心主導，日月光與京元電則實質承接台積電委外的後段封裝與巨量測試訂單
2330.TW  #  台積電, CoWoS技術原創與絕對龍頭/產能排到2026年底全滿/加速擴建嘉義廠
3711.TW  #  日月光投控, 全球封測龍頭/承接台積電oS(On Substrate)段外包/類CoWoS訂單能見度極高
2449.TW  #  京元電子, 先進封裝晶圓級(CP)與成品(FT)巨量測試獨佔者/AI晶片測試時間倍增的最大受益者

# 二、 CoWoS 前段：晶圓級濕製程清洗與化學蝕刻設備 (製程雙雄)
# 說明：在晶圓與矽中介層貼合前，必須經過極致清洗與金屬剝離(Lift-off)，機台利潤最高
3131.TWO  #  弘塑, 酸槽設備與化學品供應系統龍頭/獨家/主要供應CoWoS前段清洗與晶圓金屬剝離
3583.TW  #  耘耘 (更正為 辛耘), (修正：3583.TW 正式名稱為 辛耘)/單晶圓自動化清洗機與高階濕製程核心供應商

# 三、 CoWoS 中後段：晶片高精度貼合、點膠與真空壓膜設備 (軍火商)
# 說明：負責將多顆 HBM 與 GPU 晶片「拼」在中介層上，精準度要求至微米級
6187.TWO  #  萬潤, 點膠機與散熱片全自動貼合機龍頭/在台積電CoWoS後段製程市佔率極高
6640.TW  #  均華, 高精度晶粒挑揀機(Die Sorter)/專攻晶片與中介層的精密貼合/與萬潤聯手壟斷
2467.TW  #  志聖, G2C+聯盟龍頭/專攻CoWoS/HBM多層結構所需之「全自動真空壓膜機」與熱烘烤

# 四、 CoWoS 耗材、晶圓載具與高階測試介面
3680.TW  #  家登, 全球EUV Pod龍頭/先進封裝專用方形大尺寸晶圓傳送盒(FOUP)實質大量拉貨
6223.TWO  #  旺矽, 全球高階垂直探針卡(VPC)龍頭/通吃輝達與台廠AI晶片CoWoS前段未切片測試
6515.TW  #  穎崴, 專攻AI/GPU晶片CoWoS最終測試高頻高速測試座(Test Socket)
