# ==============================================================================
# 台灣股市 - 玻璃基板與 ACIE (E-Core) 技術聯盟供應鏈清單
# 建立日期: 2026-05-24
# ==============================================================================

# 一、 ACIE (E-Core) 聯盟核心設備與技術群
8027.TW # 鈦昇, ACIE-召集人/雷射TGV鑽孔/電漿清洗
8064.TW # 東捷, ACIE-雷射修補/玻璃切割/群創鏈
3583.TW # 辛耘, ACIE-濕製程/表面清洗/補償翹曲設備
3030.TW # 德律, ACIE-3D玻璃專用AOI/高精度光學檢測
6682.TWO # 華旭先進, ACIE-先進封裝材料/再生晶圓 (興櫃)

# 二、 其他關鍵設備與 TGV 製程
6207.TW # 雷科, 雷射修補/先進封裝鑽孔
2467.TW # 志聖, G2C+聯盟/真空壓膜/熱製程設備
5443.TW # 均豪, G2C+聯盟/自動化檢測與貼合
6640.TW # 均華, G2C+聯盟/先進封裝晶片挑揀
6664.TW # 群翊, 塗佈烘烤/自動化乾燥設備
3580.TW # 友威科, 水平式濺鍍/等離子蝕刻
3498.TW # 陽程, 面板級封裝自動化/塗佈設備
7730.TWO # 暉盛, 頂級電漿製程/表面改質 (興櫃)

# 三、 面板級先進封裝 (FOPLP) 整合製造大廠
3481.TW # 群創, FOPLP領頭羊/3.5代線轉型玻璃封裝
2409.TW # 友達, 玻璃面板級封裝/RDL-first佈局
6239.TW # 力成, FOPLP進度最快封測廠/大尺寸玻璃封裝

# 四、 IC 載板三雄與 PCB 大廠 (後段增層與量產)
3037.TW # 欣興, 全球IC載板龍頭/玻璃基板大廠認證中
8046.TW # 南電, 高階ABF載板/玻璃基板技術研發
3189.TW # 景碩, 高速交換器與AI晶片載板
3044.TW # 健鼎, 高階HDI與先進封裝PCB
4958.TW # 臻鼎-KY, 全球PCB龍頭/玻璃基板擴產不缺席

# 五、 上游核心材料、玻璃加工與翹曲控制
1815.TW # 富喬, 特殊電子級Low-Dk玻纖布/訊號低損耗
1802.TW # 台玻, 低介電玻纖布/特殊電子級玻璃本土替代
3149.TW # 正達, 精密玻璃加工/切割/薄化/3D強化
6405.TW # 悅城, 光電玻璃精密加工/薄化拋光技術
3595.TWO # 山太士, 玻璃基板翹曲解決方案/光學封裝材料
