# ------------------------------------------------------------------------------
# 黃仁勳欽點「最強台灣隊」54檔 AI 供應鏈完整名單
# ------------------------------------------------------------------------------
# 來源：NVIDIA Computex Keynote 合作夥伴地圖 (共54檔)

# === 一、 半導體 / 高速傳輸 / PCB (10檔) ===
2330.TW # 台積電, 全球先進製程與CoWoS封裝核心/NVIDIA晶片獨家代工
2454.TW # 聯發科, 手機晶片龍頭/與NVIDIA合作車用晶片與AI PC晶片
3443.TW # 創意, 台積電旗下ASIC設計服務廠/先進封裝佈局
3661.TW # 世芯-KY, 高階AI ASIC設計服務龍頭/北美雲端大廠委託設計
2449.TW # 京元電子, AI晶片關鍵測試大廠/通吃輝達核心晶片測試訂單
3711.TW # 日月光投控, 全球封測龍頭/先進封裝關鍵受惠者
4958.TW # 臻鼎-KY, 鴻海集團PCB龍頭/積極佈局AI伺服器硬板與載板
3037.TW # 欣興, ABF載板龍頭/NVIDIA核心晶片封裝主要載板供應商
2383.TW # 台光電, AI伺服器CCL(銅箔基板)龍頭/高頻高速材料市占高
4935.TW # 台郡, 專業軟板大廠/切入高階通訊與伺服器傳輸模組

# === 二、 散熱 / 電源 / 機構件 / 網通 (20檔) ===
3324.TW # 雙鴻, 水冷與氣冷散熱模組大廠/AI伺服器與PC解熱方案
3017.TW # 奇鋐, AI伺服器3D VC與水冷板核心供應商
3653.TW # 健策, 均熱片全球龍頭/CPU及GPU高階均熱片主要供應商
3325.TW # 泰碩, 散熱模組與風扇/通吃中系與美系伺服器鏈
2308.TW # 台達電, 全球電源供應器龍頭/高效能AI伺服器與資料中心供電
2301.TW # 光寶科, 核心電源管理系統/高階伺服器鈦金級電源供應
3665.TW # 貿聯-KY, 高階連接線束龍頭/NVIDIA伺服器水冷線束供應商
3533.TW # 嘉澤, 伺服器CPU Socket(插槽)與連接器龍頭
6290.TW # 良維, 高階伺服器大電流電源線材供應商
2059.TW # 川湖, 伺服器導軌全球市占龍頭/高階AI伺服器機櫃必備
2474.TW # 可成, 機殼與機構件大廠/切入高階主機與AI伺服器外殼
8210.TW # 勤誠, 伺服器機殼龍頭/NVIDIA H100/A100及新世代機殼主力
6805.TW # 富世達, 高階折疊軸承與伺服器水冷快拆頭(QD)關鍵機構件
6655.TW # 南俊國際, 伺服器導軌大廠/打入美系雲端CSP大廠鏈
3032.TW # 全漢, 專業電源供應器廠/積極布局邊緣AI與工業電腦電源
2392.TW # 正崴, 連接器與系統組合大廠/切入AI算力中心佈局
2345.TW # 智邦, 網通交換器龍頭/400G與800G高速AI資料中心交換器
2417.TW # 圓剛, 影音擷取晶片大廠/推出NVIDIA Jetson邊緣AI載板
2405.TW # 智慧(原名菁英/現為慧友), 邊緣AI車載影像監控/導入輝達Jetson平台
6548.TWO # 聰泰, 全球影音擷取模組龍頭/輝達邊緣AI開發夥伴

# === 三、 代工 / 品牌 / 工業電腦 / 機器人 (24檔) ===
2317.TW # 鴻海, 全球最大代工龍頭/通吃NVIDIA NVLink伺服器與基板
2382.TW # 廣達, 系統代工龍頭/旗下雲達(QCT)與輝達共同研發AI架構
6669.TW # 雲達(此指廣達旗下/母公司廣達交易), 註：母公司為2382.TW
3231.TW # 緯創, 伺服器基板代工大廠/AI高速運算重要核心
6669.TW # 緯穎, 緯創旗下/專攻美系微軟、Meta等雲端資料中心伺服器
2356.TW # 英業達, 老牌伺服器與筆電代工/自主研發嵌入式AI晶片
2324.TW # 仁寶, 筆電與伺服器代工廠/擴大AI伺服器研發團隊
2370.TW # 神達, 旗下神雲科技主攻伺服器與雲端設備
2376.TW # 技嘉, 伺服器與板卡大廠/旗下技鋼全系列布局輝達GPU伺服器
2465.TW # 麗臺, 輝達長期核心工作站顯示卡代理商/轉型AI軟硬體整合
8114.TW # 營邦, 伺服器機殼與系統集成商/主攻高階存儲與AI運算
2395.TW # 研華, 全球工業電腦龍頭/布局邊緣AI物聯網與智慧工廠
6235.TW # 凌華, 工業電腦大廠/與NVIDIA聯合開發機器人與邊緣控制器
6206.TW # 高技, 專業PCB硬板廠/受惠高階伺服器與網通板升級
5443.TW # 永彰, 轉型布局熱管理與汽車電子/切入伺服器水冷周邊
2353.TW # 宏碁, PC與系統品牌/主攻邊緣AI筆電與AI商用伺服器
2362.TW # 藍天, 筆電代工與通路大廠/受惠中高階電競及AI筆電升級
3013.TW # 晟銘電, 伺服器機殼與晶片冷卻系統/機櫃液冷機構件
2359.TW # 所羅門, 3D視覺與AI機器人軟體龍頭/Computex演講最大亮片
6125.TW # 廣運, 自動化倉儲與液冷散熱雙系統廠/協同輝達打造數位雙生
4583.TW # 鈞興-KY, 高階機器人精密齒輪與諧波減速機供應商
2357.TW # 華碩, PC品牌與伺服器大廠/推出全系列NVIDIA架構伺服器
2377.TW # 微星, 電競龍頭/推出AI工作站、電競PC與Autonomous機器人
3481.TW # 新漢, 工業電腦與智慧製造大廠/開源機器人操控系統(EtherCAT)
