# ------------------------------------------------------------------------------
# 台灣個人電腦 (PC/Notebook) 暨 AI PC 核心供應鏈
# ------------------------------------------------------------------------------
# 關鍵技術：系統組裝與品牌、高速傳輸/控制IC、核心板卡、散熱與電源供應器

# === 系統組裝與品牌 (代工五哥與雙雄，AI PC/伺服器核心主力) ===
2357.TW # 華通/華碩, 全球知名PC與電競筆電雙品牌龍頭/AI PC首波市占先鋒
2353.TW # 宏碁, 全球PC品牌大廠/積極拓展生成式AI軟硬體整合
2382.TW # 廣達, 全球筆電代工龍頭/通吃一線雲端大廠AI伺服器訂單
3231.TW # 緯創, 核心筆電代工大廠/旗下緯穎高階AI伺服器基板出貨亮眼
2324.TW # 仁寶, 傳統筆電與智慧硬體代工巨頭/加速布局高毛利車用與醫療
2356.TW # 英業達, 筆電與伺服器核心代工廠/自主研發AI晶片架構
4938.TW # 和碩, 橫跨PC與消費性電子代工大廠/電動車與網通布局全面
2377.TW # 微星, 全球電競筆電與主機板巨頭/受惠高階電競及AI工作站升級潮
3005.TW # 神基, 強固型筆電與國防軍工電腦龍頭/毛利率穩定且兼具高殖利率

# === 核心板卡與高速傳輸/控制 IC (傳輸規格升級、音效與觸控晶片) ===
2376.TW # 技嘉, 核心主機板與顯示卡大廠/AI伺服器與電競利基市場雙引擎
3515.TW # 華擎, 伺服器與工控主機板廠/超微(AMD)陣營主要合作夥伴
5269.TW # 祥碩, 高速傳輸介面晶片龍頭/AMD平台晶片組核心供應商/USB4主流
4966.TW # 譜瑞-KY, 高速傳輸與eDP晶片/通吃美系消費大廠與PC陣營/PCIe Gen5
2379.TW # 瑞昱, PC影音與網通晶片網羅者/超高市占螃蟹晶片/AI PC邊緣運算晶片
2458.TW # 義隆, 筆電觸控板與觸控螢幕控制IC全球龍頭/AI NB指紋辨識升級
3034.TW # 聯詠, PC與筆電顯示面板驅動IC龍頭/高階商用螢幕需求回溫

# === 關鍵零組件 (散熱、電源供應器、機殼與高速晶圓封裝載板) ===
3017.TW # 奇鋐, PC與伺服器散熱解決方案大廠/3D Vapor Chamber與液冷技術龍頭
3324.TW # 雙鴻, 筆電與顯示卡高階散熱模組/AI PC水冷散熱關鍵大廠
2421.TW # 建準, 散熱風扇大廠/高散熱效率節能風扇出貨暢旺
2308.TW # 台達電, 全球電源供應器龍頭/高效能AI PC與資料中心供電核心
6412.TW # 群電, 筆電電源供應器全球龍頭/AI PC帶動每台平均瓦數與單價提升
2354.TW # 鴻準, 鴻海集團機殼大廠/高階輕量化鎂鋁合金PC機殼主力
3037.TW # 欣興, 晶圓IC載板與高階PCB龍頭/CPU與GPU封裝不可或缺之ABF載板

