# ==============================================================================
# 台灣股市 - 次世代鈣鈦礦 (Perovskite) 核心技術供應鏈清單
# ==============================================================================

# 一、 電池模組與疊層整合製造
3576.TW, 聯合再生, 鈣鈦礦疊層電池研發進度領先/次世代量產指標
6244.TW, 茂迪, 傳統太陽能轉進高效率鈣鈦礦疊層電池
6443.TW, 元晶, 次世代太空級與耐環境高階鈣鈦礦封裝

# 二、 核心特用化學與材料配方
1711.TW, 永光, 特用化學龍頭/開發鈣鈦礦關鍵吸光層材料
3691.TW, 碩禾, 獨家量產配套鈣鈦礦之「低溫固化導電銀漿」
1717.TW, 長興, 高階電子封裝/研發高阻絕性水氧封裝膠材
5234.TW, 達興材料, 半導體級高純度前驅物與電子傳輸材料

# 三、 真空鍍膜、雷射與整線自動化設備
6196.TW, 帆宣, 半導體級建廠與客製化鈣鈦礦量產線系統整合
6208.TW, 日揚, 核心真空濺鍍製程設備與精密高真空零組件
5443.TW, 均豪, 精密自動化搬運/大面積面板級光學貼合設備
