# ==============================================================================
# 台灣股市 - AI 機器人與具身智能 (Embodied AI) 核心關鍵技術供應鏈
# 更新日期: 2026-06-20 (導入 2026 輝達 Isaac 機器人生態系與實質自動化標的)
# ==============================================================================

# 一、 精密傳動機構、減速機與關節架構 (機器人的骨骼與關節)
# 說明：行星減速機、諧波減速機、關節模組與工具機架構是決定機器人動作精密度的絕對核心
4583.TW, 台灣精銳, 全球頂級高精密行星減速機大廠/高毛利護城河/人形與工業機器人手臂旋轉定位核心
2049.TW, 上銀, 全球線性傳動螺桿滑軌龍頭/自研機器人核心「諧波減速機」與一體化關節模組
1597.TWO, 直得, 微型線性滑軌大廠/專攻高精密度的人形機器人手指與手腕微型關節
4562.TW, 穎漢, 全球自動化彎管機龍頭/切入AI智慧自動化機器人工作站/2026機器人強勢題材股

# 二、 精密馬達驅動、控制、通路與邊緣運算 IPC (機器人的肌肉、神經與協調)
# 說明：需要微秒級反應的伺服馬達，以及整合大腦運算、協作自動化技術的通路上游
2308.TW, 台達電, 微型伺服馬達與運動控制系統大廠/與輝達深度合作開發機器人數位孿生(Omniverse)
2395.TW, 研華, 全球工業電腦(IPC)龍頭/與輝達深度合作開發機器人專用 Jetson Edge AI 邊緣運算平台
8374.TW, 羅昇, 佳世達集團/自動化與機器人關鍵核心零部件通路商/緊密結盟達明機器人/2026指標妖股
6414.TW, 樺漢, 鴻海集團旗下IPC大廠/強攻AI移動式機器人(AMR)與智慧工廠整線控制系統

# 三、 3D 視覺辨識、觸覺感測與軟體演算法 (機器人的眼睛與感知)
# 說明：利用 AI 視覺進行環境 3D 建模、避障，直攻輝達機器人（Isaac）開發平台生態系
2359.TW, 所羅門, AI 3D視覺與物體辨識軟體先驅/輝達 Isaac 機器人生態系核心緊密合作夥伴
3059.TW, 華晶科, 專攻AI 3D感測深度相機與邊緣視覺晶片/提供人形機器人眼睛視覺模組
2374.TW, 佳能, 布局光學鏡頭與邊緣AI影像辨識模組/切入工業AMR視覺系統與智慧手背相機

# 四、 智慧倉儲、機械手臂整線與系統整合 (機器人的實戰落地)
2464.TW, 盟立, 半導體與高階物流全自動搬運系統整合/布局浸沒式散熱、大型AGV/AMR與機械手臂協同作業/2026創天價指標
1590.TW, 亞德客-KY, 全球氣動元件巨人/提供機器人夾爪與自動化產線氣動/電動控制系統

