🚀 智能量化選股報告 - 2026-02-23
==========================================================================================

【🚀超級強勢】(數量: 121)
------------------------------------------------------------------------------------------
6291.TWO | 沛亨         | B6: 12.60% | DMA: 41.870 | 💎流入 | 🚀DMA趨勢+放量攻擊
7717.TWO | 萊德光電-KY    | B6: 12.53% | DMA:180.400 | 💎流入 | 🚀DMA趨勢+放量攻擊
2337.TW  | 旺宏         | B6: 11.91% | DMA: 30.564 | 💎流入 | 🚀DMA趨勢+多頭強勢
8046.TW  | 南電         | B6: 10.97% | DMA: 99.140 | 💸流出 | 🚀DMA趨勢+多頭強勢
3037.TW  | 欣興         | B6: 10.12% | DMA: 98.010 | 💎流入 | 🚀DMA趨勢+多頭強勢
2313.TW  | 華通         | B6:  9.59% | DMA: 53.332 | 💎流入 | 🚀DMA趨勢+多頭強勢
6720.TWO | 久昌         | B6:  9.46% | DMA: 26.960 | 💎流入 | 🚀DMA趨勢+放量攻擊
6244.TWO | 茂迪         | B6:  9.41% | DMA:  3.621 | 💎流入 | 🚀DMA趨勢+多頭強勢
2485.TW  | 兆赫         | B6:  8.88% | DMA:  8.747 | 💎流入 | 🚀DMA趨勢+多頭強勢
4971.TWO | IET-KY     | B6:  8.16% | DMA: 74.940 | 💎流入 | 🚀DMA趨勢+多頭強勢
3028.TW  | 增你強        | B6:  7.48% | DMA:  6.484 | 💎流入 | 🚀DMA趨勢+多頭強勢
4979.TWO | 華星光        | B6:  7.34% | DMA: 37.230 | 💸流出 | 🚀DMA趨勢+多頭強勢
1326.TW  | 台化         | B6:  6.74% | DMA:  5.798 | 💎流入 | 🚀DMA趨勢+多頭強勢
6793.TWO | 天力離岸       | B6:  6.66% | DMA:  0.880 | 💸流出 | 🚀DMA趨勢+多頭強勢
00715L.TW | PARADIGM ASSET MGMT CO LTD GSCI | B6:  6.58% | DMA:  3.210 | 💎流入 | 🚀DMA趨勢+多頭強勢
2467.TW  | 志聖         | B6:  6.38% | DMA: 19.710 | 💎流入 | 🚀DMA趨勢+多頭強勢
4958.TW  | 臻鼎-KY      | B6:  6.26% | DMA: 27.800 | 💸流出 | 🚀DMA趨勢+多頭強勢
7795.TW  | 長廣         | B6:  6.21% | DMA: 95.290 | 💸流出 | 🚀DMA趨勢+多頭強勢
2072.TWO | 世紀風電       | B6:  6.07% | DMA: 40.740 | 💎流入 | 🚀DMA趨勢+放量攻擊
6271.TW  | 同欣電        | B6:  5.78% | DMA: 15.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
6415.TW  | 矽力*-KY     | B6:  4.93% | DMA: 48.170 | 💎流入 | 🚀DMA趨勢+多頭強勢
5274.TWO | 信驊         | B6:  4.84% | DMA:1485.300 | 💎流入 | 🚀DMA趨勢+多頭強勢
00981A.TW | UNI-PRESIDENT ASSETS MGMT CORP  | B6:  4.73% | DMA:  1.318 | 💎流入 | 🚀DMA趨勢+多頭強勢
4534.TWO | 慶騰         | B6:  4.72% | DMA:  4.582 | 💸流出 | 🚀DMA趨勢+多頭強勢
00955.TWO | 中信日本商社     | B6:  4.66% | DMA:  1.468 | 💎流入 | 🚀DMA趨勢+多頭強勢
2436.TW  | 偉詮電        | B6:  4.65% | DMA:  4.528 | 💎流入 | 🚀DMA趨勢+多頭強勢
2355.TW  | 敬鵬         | B6:  4.54% | DMA:  4.441 | 💸流出 | 🚀DMA趨勢+多頭強勢
00988A.TW | UNI-PRESIDENT ASSETS MGMT CORP  | B6:  4.21% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
6274.TWO | 台燿         | B6:  3.80% | DMA: 44.500 | 💎流入 | 🚀DMA趨勢+多頭強勢
6770.TW  | 力積電        | B6:  3.65% | DMA: 14.762 | 💎流入 | 🚀DMA趨勢+多頭強勢
2345.TW  | 智邦         | B6:  3.63% | DMA: 71.840 | 💎流入 | 🚀DMA趨勢+多頭強勢
4946.TWO | 辣椒         | B6:  3.54% | DMA:  9.104 | 💎流入 | 🚀DMA趨勢+放量攻擊
7799.TW  | 禾榮科        | B6:  3.49% | DMA:-16.760 | 💎流入 | 🚀放量攻擊
3036.TW  | 文曄         | B6:  3.28% | DMA: 10.570 | 💎流入 | 🚀DMA趨勢+多頭強勢
2887.TW  | 台新新光金      | B6:  3.22% | DMA:  2.013 | 💎流入 | 🚀DMA趨勢+放量攻擊
3138.TW  | 耀登         | B6:  3.19% | DMA: 40.190 | 💸流出 | 🚀DMA趨勢+多頭強勢
00990A.TW | YUANTA SECURITIES CO.LTD YUANTA | B6:  3.12% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
6290.TWO | 良維         | B6:  3.11% | DMA:  0.300 | 💎流入 | 🚀DMA趨勢+多頭強勢
2464.TW  | 盟立         | B6:  2.93% | DMA:  5.008 | 💎流入 | 🚀DMA趨勢+多頭強勢
2010.TW  | 春源         | B6:  2.87% | DMA:  1.023 | 💎流入 | 🚀DMA趨勢+多頭強勢
3289.TWO | 宜特         | B6:  2.83% | DMA: 12.385 | 💸流出 | 🚀DMA趨勢+多頭強勢
009805.TW | 新光美國電力基建   | B6:  2.78% | DMA:  0.867 | 💎流入 | 🚀DMA趨勢+多頭強勢
3105.TWO | 穩懋         | B6:  2.72% | DMA: 36.870 | 💎流入 | 🚀DMA趨勢+多頭強勢
3711.TW  | 日月光投控      | B6:  2.60% | DMA: 41.530 | 💎流入 | 🚀DMA趨勢+多頭強勢
6983.TWO | 華洋精機       | B6:  2.59% | DMA: 21.990 | 💎流入 | 🚀DMA趨勢+放量攻擊
