     Stock       Name  Score    Close                          BuyReason
   6831.TW         邁科    5.5   287.50   ADX轉強 | 【EPS連2成長 | 營收爆發(72.04%)】
   2436.TW        偉詮電    5.5    59.80   ADX轉強 | 【EPS連2成長 | 營收爆發(60.61%)】
   2204.TW         中華    5.5    59.70   ADX轉強 | 【EPS連2成長 | 營收爆發(47.49%)】
   2542.TW        興富發    5.5    37.55 ADX轉強 | 【EPS連2成長 | 營收爆發(2480.63%)】
  3205.TWO         佰研    5.5    51.50   ADX轉強 | 【EPS連2成長 | 營收爆發(33.97%)】
  4806.TWO       桂田文創    5.5    12.10  ADX轉強 | 【EPS連2成長 | 營收爆發(203.86%)】
   6005.TW        群益證    5.5    30.70  ADX轉強 | 【EPS連2成長 | 營收爆發(129.99%)】
  7751.TWO         竑騰    5.5  1285.00   ADX轉強 | 【EPS連2成長 | 營收爆發(80.57%)】
  6903.TWO         巨漢    5.5   296.00  ADX轉強 | 【EPS連2成長 | 營收爆發(586.45%)】
  6716.TWO         應廣    5.5    98.20  ADX轉強 | 【EPS連2成長 | 營收爆發(230.36%)】
   2353.TW        宏��    5.5    27.10   ADX轉強 | 【EPS連2成長 | 營收爆發(39.83%)】
   2597.TW         潤弘    5.5   173.50   ADX轉強 | 【EPS連2成長 | 營收爆發(62.65%)】
  3163.TWO        波若威    5.5   808.00   ADX轉強 | 【EPS連2成長 | 營收爆發(47.89%)】
   2855.TW        統一證    5.5    30.95  ADX轉強 | 【EPS連2成長 | 營收爆發(373.49%)】
   2455.TW         全新    5.5   239.00   ADX轉強 | 【EPS連2成長 | 營收爆發(30.26%)】
   1525.TW         江申    5.5    63.50   ADX轉強 | 【EPS連2成長 | 營收爆發(36.82%)】
   2467.TW         志聖    5.5   353.00   ADX轉強 | 【EPS連2成長 | 營收爆發(124.1%)】
   3036.TW         文曄    5.0   185.00     ADX轉強 | 【營收爆發(151.67%) | 董監加碼】
   6669.TW         緯穎    5.0  4150.00      ADX轉強 | 【營收爆發(121.9%) | 董監加碼】
  3689.TWO         湧德    5.0   115.00      ADX轉強 | 【營收爆發(30.99%) | 董監加碼】
  3526.TWO         凡甲    5.0   292.50      ADX轉強 | 【營收爆發(50.91%) | 董監加碼】
  3147.TWO         大綜    5.0   193.50     ADX轉強 | 【營收爆發(206.61%) | 董監加碼】
