🚀 智能量化選股報告 - 2026-03-05
==========================================================================================

【🚀超級強勢】(數量: 31)
------------------------------------------------------------------------------------------
6831.TW  | 邁科         | B6: 12.25% | DMA: 26.850 | 💎流入 | 🚀DMA趨勢+放量攻擊
3036.TW  | 文曄         | B6: 10.48% | DMA: 23.590 | 💎流入 | 🚀DMA趨勢+放量攻擊
3054.TW  | 立萬利        | B6:  8.31% | DMA:  4.082 | 💸流出 | 🚀DMA趨勢+多頭強勢
3563.TW  | 牧德         | B6:  7.04% | DMA: 35.630 | 💎流入 | 🚀DMA趨勢+放量攻擊
00642U.TW | YUANTA SECURITIES INV TRUST CO  | B6:  5.75% | DMA:  1.964 | 💎流入 | 🚀DMA趨勢+放量攻擊
6505.TW  | 台塑化        | B6:  5.38% | DMA:  4.096 | 💎流入 | 🚀DMA趨勢+放量攻擊
6412.TW  | 群電         | B6:  4.87% | DMA:  4.794 | 💎流入 | 🚀DMA趨勢+放量攻擊
3049.TW  | 精金         | B6:  4.71% | DMA:  1.851 | 💎流入 | 🚀DMA趨勢+放量攻擊
2006.TW  | 東和鋼鐵       | B6:  3.21% | DMA:  4.734 | 💎流入 | 🚀DMA趨勢+放量攻擊
1313.TW  | 聯成         | B6:  3.16% | DMA:  0.639 | 💎流入 | 🚀DMA趨勢+放量攻擊
6225.TW  | 天瀚         | B6:  3.01% | DMA:  0.898 | 💎流入 | 🚀DMA趨勢+多頭強勢
8067.TWO | 志旭         | B6:  2.84% | DMA:  0.220 | 💸流出 | 🚀DMA趨勢+多頭強勢
6689.TW  | 伊雲谷        | B6:  2.07% | DMA:  1.890 | 💎流入 | 🚀DMA趨勢+放量攻擊
2458.TW  | 義隆         | B6:  1.32% | DMA:  0.650 | 💎流入 | 🚀DMA趨勢+放量攻擊
00761B.TWO | CATHAY SECS INV TRUST CO LTD BB | B6:  0.62% | DMA:  0.228 | 💎流入 | 🚀DMA趨勢+多頭強勢
00772B.TWO | CTBC INVESTMENTS CO LTD CTBC BL | B6:  0.62% | DMA:  0.328 | 💎流入 | 🚀DMA趨勢+放量攻擊
00751B.TWO | YUANTA SECURITIES CO.LTD US 20+ | B6:  0.59% | DMA:  0.237 | 💸流出 | 🚀DMA趨勢+多頭強勢
