=== 短線 5-10-20 扣抵精選 (20260306) ===
代號         |     最佳策略     |      勝率 |     期望報酬 | 今日狀態
-------------------------------------------------------------------------------------
6831.TW    | fast_attack  |   61.5% |    7.16% | ⚡ 五日攻擊
00696B.TWO | fast_attack  |   35.0% |   -0.81% | 觀望
6153.TW    | ten_day_support |   48.7% |    0.18% | 觀望
8261.TW    | fast_attack  |   40.1% |    0.19% | ⏱️ 短線止盈
6205.TW    | ten_day_support |   42.7% |    0.69% | 觀望
1789.TW    | fast_attack  |   39.8% |   -0.39% | ⏱️ 短線止盈
4721.TWO   | fast_attack  |   44.0% |    0.64% | ⏱️ 短線止盈
6924.TW    | ten_day_support |   19.2% |   -1.09% | 觀望
3044.TW    | ten_day_support |   48.5% |    0.11% | 觀望
00676R.TW  | ten_day_support |   28.5% |   -0.87% | 觀望
4961.TW    | ten_day_support |   43.8% |   -0.05% | 觀望
2012.TW    | monthly_trend |   40.3% |   -0.12% | 🚪 趨勢結束
8114.TW    | ten_day_support |   39.5% |   -0.08% | 觀望
8028.TW    | ten_day_support |   46.8% |   -0.06% | 觀望
6443.TW    | fast_attack  |   42.6% |    0.57% | ⏱️ 短線止盈
6525.TW    | monthly_trend |   43.7% |    0.11% | 🚪 趨勢結束
6877.TWO   | fast_attack  |   51.3% |    2.11% | ⚡ 五日攻擊
1802.TW    | monthly_trend |   42.5% |    0.13% | 觀望
00635U.TW  | ten_day_support |   44.8% |   -0.18% | 觀望
2408.TW    | fast_attack  |   47.5% |    0.59% | ⏱️ 短線止盈
5546.TW    | ten_day_support |   33.6% |   -0.39% | 觀望
3086.TWO   | fast_attack  |   41.6% |    1.26% | ⏱️ 短線止盈
2395.TW    | ten_day_support |   47.1% |    0.04% | 觀望
00984B.TWO | fast_attack  |   39.3% |   -0.23% | ⏱️ 短線止盈
6176.TW    | ten_day_support |   42.5% |   -0.04% | 觀望
6811.TWO   | fast_attack  |   40.1% |    1.13% | ⏱️ 短線止盈
4510.TWO   | monthly_trend |   36.2% |    0.28% | 🚪 趨勢結束
6124.TWO   | ten_day_support |   38.7% |    0.07% | 觀望
00757.TW   | monthly_trend |   53.3% |    0.34% | 觀望
00945B.TW  | fast_attack  |   28.3% |   -0.50% | ⚡ 五日攻擊
4556.TWO   | fast_attack  |   35.0% |   -0.43% | ⏱️ 短線止盈
1612.TW    | monthly_trend |   46.9% |    0.24% | 🚪 趨勢結束
3081.TWO   | monthly_trend |   46.8% |    0.41% | 觀望
6446.TW    | fast_attack  |   44.9% |    0.82% | ⏱️ 短線止盈
009813.TW  | fast_attack  |    0.0% |   -1.00% | ⏱️ 短線止盈
6485.TWO   | fast_attack  |   45.7% |    0.64% | ⏱️ 短線止盈
5403.TWO   | ten_day_support |   45.9% |    0.31% | 觀望
00981D.TWO | fast_attack  |   27.3% |   -0.45% | 觀望
5455.TWO   | fast_attack  |   41.7% |    0.06% | 觀望
2374.TW    | monthly_trend |   39.5% |    0.29% | 🚪 趨勢結束
1443.TW    | fast_attack  |   39.7% |   -0.07% | ⏱️ 短線止盈
6141.TW    | monthly_trend |   44.6% |    0.39% | 🚀 月線轉強
5243.TW    | ten_day_support |   45.2% |   -0.14% | 觀望
2303.TW    | monthly_trend |   43.5% |    0.20% | 🚪 趨勢結束
3372.TWO   | fast_attack  |   42.4% |    0.63% | ⏱️ 短線止盈
4968.TW    | monthly_trend |   49.3% |    0.73% | 🚪 趨勢結束
2351.TW    | ten_day_support |   47.7% |    0.55% | 觀望
2420.TW    | ten_day_support |   46.0% |   -0.08% | 觀望
911622.TW  | fast_attack  |   30.9% |    0.95% | ⏱️ 短線止盈
3499.TWO   | monthly_trend |   40.3% |    0.47% | 觀望
6223.TWO   | monthly_trend |   51.5% |    1.02% | 🚪 趨勢結束
7583.TWO   | monthly_trend |   44.3% |    0.29% | 🚪 趨勢結束
2059.TW    | fast_attack  |   46.5% |    0.13% | ⏱️ 短線止盈
3030.TW    | ten_day_support |   45.2% |    0.08% | 觀望
00918.TW   | fast_attack  |   53.6% |    0.08% | ⏱️ 短線止盈
3022.TW    | ten_day_support |   44.5% |   -0.07% | 觀望
2412.TW    | fast_attack  |   32.9% |   -0.36% | ⏱️ 短線止盈
2428.TW    | ten_day_support |   45.8% |    0.05% | 觀望
4536.TW    | ten_day_support |   39.2% |   -0.18% | 觀望
6173.TWO   | ten_day_support |   46.4% |    0.60% | 觀望
3231.TW    | monthly_trend |   48.9% |    0.38% | 🚪 趨勢結束
2464.TW    | monthly_trend |   45.0% |    0.30% | 🚪 趨勢結束
2884.TW    | fast_attack  |   49.2% |    0.02% | ⏱️ 短線止盈
5355.TWO   | ten_day_support |   40.7% |    0.31% | 觀望
6116.TW    | fast_attack  |   41.7% |    0.78% | ⏱️ 短線止盈
2453.TW    | ten_day_support |   47.4% |    0.53% | 觀望
6735.TWO   | fast_attack  |   47.6% |    1.35% | ⏱️ 短線止盈
3609.TWO   | fast_attack  |   36.8% |    0.53% | ⏱️ 短線止盈
8923.TWO   | ten_day_support |   33.8% |   -0.57% | 觀望
9958.TW    | fast_attack  |   46.3% |    0.98% | ⏱️ 短線止盈
2885.TW    | fast_attack  |   41.3% |   -0.16% | ⏱️ 短線止盈
8472.TWO   | ten_day_support |   38.6% |   -0.08% | 觀望
3306.TWO   | ten_day_support |   46.0% |    0.79% | 觀望
7792.TWO   | ten_day_support |   45.5% |    2.54% | 觀望
00881.TW   | fast_attack  |   53.9% |    0.26% | ⏱️ 短線止盈
1717.TW    | fast_attack  |   42.6% |   -0.07% | ⏱️ 短線止盈
6127.TWO   | monthly_trend |   45.5% |    0.90% | 觀望
7556.TWO   | ten_day_support |   33.5% |    0.62% | 觀望
4763.TW    | monthly_trend |   46.1% |    0.66% | 🚪 趨勢結束
2535.TW    | monthly_trend |   45.9% |    0.12% | 🚪 趨勢結束
2013.TW    | fast_attack  |   34.8% |    0.65% | ⏱️ 短線止盈
1714.TW    | ten_day_support |   38.8% |   -0.35% | 🛡️ 十日撐買
3709.TWO   | monthly_trend |   40.8% |    0.40% | 🚀 月線轉強
2352.TW    | fast_attack  |   43.0% |   -0.19% | ⏱️ 短線止盈
1568.TW    | ten_day_support |   45.0% |    0.25% | 觀望
5475.TWO   | fast_attack  |   44.0% |    1.61% | ⏱️ 短線止盈
5289.TWO   | monthly_trend |   47.8% |    0.37% | 🚪 趨勢結束
3587.TWO   | fast_attack  |   46.4% |    0.27% | ⏱️ 短線止盈
6532.TWO   | ten_day_support |   50.6% |    0.73% | 觀望
00927.TW   | monthly_trend |   48.7% |    0.19% | 🚪 趨勢結束
00950B.TWO | fast_attack  |   44.2% |   -0.19% | 觀望
4529.TWO   | fast_attack  |   37.2% |    1.51% | ⏱️ 短線止盈
3523.TWO   | ten_day_support |   30.0% |   -0.76% | 觀望
4908.TWO   | monthly_trend |   44.9% |    0.26% | 觀望
3029.TW    | fast_attack  |   44.8% |    0.10% | ⏱️ 短線止盈
7769.TW    | monthly_trend |   73.3% |    1.83% | 🚪 趨勢結束
4958.TW    | ten_day_support |   47.7% |    0.13% | 觀望
6245.TWO   | ten_day_support |   44.9% |   -0.39% | 觀望
3583.TW    | monthly_trend |   45.7% |    0.56% | 🚀 月線轉強
