=== 明日扣抵生死線報告 (20260306) ===
        代號 最佳MA     今日收盤     明日扣抵  安全邊際%                  操作建議
   3576.TW MA60    24.05     6.20 287.90        🔥 強勢：扣抵極低，穩定助漲
  6588.TWO MA60    93.20    29.00 221.38        🔥 強勢：扣抵極低，穩定助漲
   2489.TW MA60    41.50    14.95 177.59        🔥 強勢：扣抵極低，穩定助漲
   6830.TW MA60   329.00   157.00 109.55        🔥 強勢：扣抵極低，穩定助漲
   6861.TW MA10   144.50    73.40  96.87        🔥 強勢：扣抵極低，穩定助漲
  3163.TWO MA20   721.00   386.00  86.79        🔥 強勢：扣抵極低，穩定助漲
   2467.TW MA60   365.00   197.50  84.81        🔥 強勢：扣抵極低，穩定助漲
   1802.TW MA60    57.40    33.10  73.41        🔥 強勢：扣抵極低，穩定助漲
   8046.TW MA60   450.00   260.50  72.74        🔥 強勢：扣抵極低，穩定助漲
  5475.TWO MA20   173.00   103.00  67.96        🔥 強勢：扣抵極低，穩定助漲
  3691.TWO MA60   119.00    71.10  67.37        🔥 強勢：扣抵極低，穩定助漲
   6133.TW MA60    27.35    16.40  66.77        🔥 強勢：扣抵極低，穩定助漲
  3234.TWO MA20    86.20    51.80  66.41        🔥 強勢：扣抵極低，穩定助漲
  4991.TWO MA20   333.50   203.00  64.29        🔥 強勢：扣抵極低，穩定助漲
   3092.TW MA10    37.30    22.85  63.24        🔥 強勢：扣抵極低，穩定助漲
  2740.TWO MA60    37.20    22.95  62.09        🔥 強勢：扣抵極低，穩定助漲
  6716.TWO MA20    89.90    55.80  61.11        🔥 強勢：扣抵極低，穩定助漲
  6187.TWO MA60   560.00   348.50  60.69        🔥 強勢：扣抵極低，穩定助漲
  6983.TWO MA20   268.00   167.00  60.48        🔥 強勢：扣抵極低，穩定助漲
  5386.TWO MA10   215.00   134.50  59.85        🔥 強勢：扣抵極低，穩定助漲
  6291.TWO MA60   266.00   170.00  56.47        🔥 強勢：扣抵極低，穩定助漲
  5011.TWO MA60    16.00    10.30  55.34        🔥 強勢：扣抵極低，穩定助漲
   2460.TW MA60    25.10    16.30  53.99        🔥 強勢：扣抵極低，穩定助漲
  4909.TWO MA60    65.30    42.65  53.11        🔥 強勢：扣抵極低，穩定助漲
  3555.TWO MA60   109.00    71.50  52.45        🔥 強勢：扣抵極低，穩定助漲
  5864.TWO MA60    22.95    15.20  50.99        🔥 強勢：扣抵極低，穩定助漲
  3363.TWO MA60   559.00   370.50  50.88        🔥 強勢：扣抵極低，穩定助漲
  6217.TWO MA10    92.00    62.20  47.91        🔥 強勢：扣抵極低，穩定助漲
  6124.TWO MA60    36.85    24.95  47.70        🔥 強勢：扣抵極低，穩定助漲
   6141.TW MA60    16.40    11.25  45.78        🔥 強勢：扣抵極低，穩定助漲
   1560.TW MA60   464.00   318.50  45.68        🔥 強勢：扣抵極低，穩定助漲
  6894.TWO MA60   293.50   203.00  44.58        🔥 強勢：扣抵極低，穩定助漲
  6788.TWO MA60   311.00   218.00  42.66        🔥 強勢：扣抵極低，穩定助漲
   3028.TW MA60    51.80    36.35  42.50        🔥 強勢：扣抵極低，穩定助漲
   6230.TW MA60   161.00   113.00  42.48        🔥 強勢：扣抵極低，穩定助漲
   3711.TW MA60   327.50   230.50  42.08        🔥 強勢：扣抵極低，穩定助漲
   4919.TW MA60    74.50    53.00  40.57        🔥 強勢：扣抵極低，穩定助漲
  6739.TWO MA60   895.00   638.00  40.28        🔥 強勢：扣抵極低，穩定助漲
  4946.TWO MA60   144.00   103.00  39.81        🔥 強勢：扣抵極低，穩定助漲
  4577.TWO MA20    81.00    58.00  39.66        🔥 強勢：扣抵極低，穩定助漲
  4908.TWO MA10    99.40    71.50  39.02        🔥 強勢：扣抵極低，穩定助漲
  8289.TWO MA10    36.45    26.25  38.86        🔥 強勢：扣抵極低，穩定助漲
  6877.TWO MA10   114.00    82.20  38.69        🔥 強勢：扣抵極低，穩定助漲
  6244.TWO MA20    31.75    23.00  38.04        🔥 強勢：扣抵極低，穩定助漲
