     Stock       Name  Score    Close                                   BuyReason
   2344.TW        華邦電    8.0   106.50 外資買5513張 | ADX轉強 | 【EPS連2成長 | 營收爆發(88.45%)】
   6120.TW         達運    7.0    13.30         外資買1415張 | ADX轉強 | 【EPS連2成長 | 董監加碼】
   6994.TW       富威電力    6.5    84.90    ADX轉強 | 【EPS連2成長 | 營收爆發(114.38%) | 董監加碼】
  5536.TWO        聖暉*    6.5   668.00     ADX轉強 | 【EPS連2成長 | 營收爆發(38.79%) | 董監加碼】
   6831.TW         邁科    5.5   296.50            ADX轉強 | 【EPS連2成長 | 營收爆發(43.88%)】
  4806.TWO       桂田文創    5.5    11.30           ADX轉強 | 【EPS連2成長 | 營收爆發(203.86%)】
   2597.TW         潤弘    5.5   168.50            ADX轉強 | 【EPS連2成長 | 營收爆發(62.65%)】
   2369.TW         菱生    5.5    27.15            ADX轉強 | 【EPS連2成長 | 營收爆發(61.87%)】
  7751.TWO         竑騰    5.5  1200.00            ADX轉強 | 【EPS連2成長 | 營收爆發(80.57%)】
   6944.TW       兆聯實業    5.5   752.00            ADX轉強 | 【EPS連2成長 | 營收爆發(51.58%)】
  3205.TWO         佰研    5.5    52.00            ADX轉強 | 【EPS連2成長 | 營收爆發(33.97%)】
   2059.TW         川湖    5.5  3205.00            ADX轉強 | 【EPS連2成長 | 營收爆發(31.16%)】
   6005.TW        群益證    5.5    30.00           ADX轉強 | 【EPS連2成長 | 營收爆發(129.99%)】
  6275.TWO         元山    5.5    50.50            ADX轉強 | 【EPS連2成長 | 營收爆發(40.35%)】
  5302.TWO         太欣    5.5    11.70            ADX轉強 | 【EPS連2成長 | 營收爆發(69.18%)】
  4123.TWO         晟德    5.5    48.95            ADX轉強 | 【EPS連2成長 | 營收爆發(56.42%)】
   2885.TW        元大金    5.5    45.90            ADX轉強 | 【EPS連2成長 | 營收爆發(36.23%)】
   1525.TW         江申    5.5    62.00            ADX轉強 | 【EPS連2成長 | 營收爆發(36.82%)】
   2467.TW         志聖    5.5   393.00            ADX轉強 | 【EPS連2成長 | 營收爆發(124.1%)】
  3147.TWO         大綜    5.0   187.50              ADX轉強 | 【營收爆發(206.61%) | 董監加碼】
   3036.TW         文曄    5.0   215.50              ADX轉強 | 【營收爆發(151.67%) | 董監加碼】
  3093.TWO        港建*    5.0    31.20                ADX轉強 | 【營收爆發(90.8%) | 董監加碼】
   2409.TW         友達    4.5    15.85                           外資買36617張 | ADX轉強
00773B.TWO          ?    4.5    36.77                            外資買1209張 | ADX轉強
   6902.TW   GOGOLOOK    4.5    79.20             【EPS連2成長 | 營收爆發(37.39%) | 董監加碼】
   3481.TW         群創    4.5    27.50                          外資買121850張 | ADX轉強
   0056.TW      元大高股息    4.5    38.63                            外資買3905張 | ADX轉強
  8299.TWO         群聯    4.5  1770.00            【EPS連2成長 | 營收爆發(169.43%) | 董監加碼】
  3088.TWO         艾訊    4.5    80.90             【EPS連2成長 | 營收爆發(50.04%) | 董監加碼】
  4991.TWO      環宇-KY    4.5   343.00            【EPS連2成長 | 營收爆發(155.98%) | 董監加碼】
   1529.TW       樂事綠能    4.0    27.05                     ADX轉強 | 【營收爆發(277.22%)】
  6894.TWO        衛司特    4.0   291.50                      ADX轉強 | 【營收爆發(55.42%)】
   1256.TW    鮮活果汁-KY    4.0   166.50                      ADX轉強 | 【營收爆發(87.61%)】
   2543.TW         皇昌    4.0    78.40                      ADX轉強 | 【營收爆發(34.97%)】
  6134.TWO         萬旭    4.0    31.95                      ADX轉強 | 【營收爆發(47.63%)】
   3028.TW        增你強    4.0    54.40                     ADX轉強 | 【營收爆發(108.55%)】
   8926.TW        台汽電    4.0    45.70                    ADX轉強 | 【營收爆發(1067.24%)】
   2515.TW         中工    4.0    16.70                      ADX轉強 | 【營收爆發(84.64%)】
   9945.TW        潤泰新    4.0    28.50                      ADX轉強 | 【營收爆發(58.08%)】
   7740.TW      熙特爾-創    4.0   196.00                     ADX轉強 | 【營收爆發(604.32%)】
   2406.TW         國碩    4.0    34.10                     ADX轉強 | 【營收爆發(188.65%)】
   3062.TW         建漢    4.0    25.25                      ADX轉強 | 【營收爆發(67.97%)】
  5291.TWO         邑昇    4.0    56.00                      ADX轉強 | 【營收爆發(34.27%)】
   2414.TW         精技    4.0    42.10                      ADX轉強 | 【營收爆發(54.11%)】
   8271.TW         宇瞻    4.0   121.00                     ADX轉強 | 【營收爆發(193.82%)】
  6560.TWO        欣普羅    4.0    43.30                      ADX轉強 | 【營收爆發(55.97%)】
  3691.TWO         碩禾    4.0   117.00                     ADX轉強 | 【營收爆發(195.71%)】
   2480.TW        敦陽科    4.0   144.50                      ADX轉強 | 【營收爆發(31.32%)】
   2308.TW        台達電    4.0  1320.00                      ADX轉強 | 【營收爆發(32.87%)】
  6788.TWO        華景電    4.0   332.00                      ADX轉強 | 【營收爆發(35.54%)】
  3491.TWO        昇達科    4.0  1310.00                      ADX轉強 | 【營收爆發(57.06%)】
   4540.TW       全球傳動    4.0    46.95                      ADX轉強 | 【營收爆發(85.11%)】
  4971.TWO     IET-KY    4.0   428.50                      ADX轉強 | 【營收爆發(43.13%)】
  8087.TWO       麗升能源    4.0    35.55                      ADX轉強 | 【營收爆發(883.4%)】
  3207.TWO         耀勝    4.0    81.70                      ADX轉強 | 【營收爆發(45.99%)】
   2645.TW       長榮航太    4.0   164.00                      ADX轉強 | 【營收爆發(34.77%)】
   4943.TW      康控-KY    4.0    12.35                       ADX轉強 | 【營收爆發(38.5%)】
   6669.TW         緯穎    4.0  4215.00                     ADX轉強 | 【營收爆發(103.44%)】
   2022.TW         聚亨    4.0     9.06                      ADX轉強 | 【營收爆發(76.64%)】
   2478.TW         大毅    4.0    69.70                      ADX轉強 | 【營收爆發(37.97%)】
  6727.TWO       亞泰金屬    4.0   203.00                      ADX轉強 | 【營收爆發(265.8%)】
  3570.TWO         大塚    4.0   177.00                       ADX轉強 | 【營收爆發(67.7%)】
  4702.TWO        中美實    4.0     9.97                       ADX轉強 | 【營收爆發(51.9%)】
  4768.TWO       晶呈科技    4.0   446.00                     ADX轉強 | 【營收爆發(228.67%)】
  8431.TWO        匯鑽科    4.0    67.20                       ADX轉強 | 【營收爆發(32.1%)】
  6016.TWO        康和證    4.0    16.70                     ADX轉強 | 【營收爆發(151.85%)】
   2332.TW         友訊    4.0    16.05                        外資買1765張 | 【EPS連2成長】
  8358.TWO         金居    4.0   258.00                      ADX轉強 | 【營收爆發(45.92%)】
   3033.TW         威健    4.0    30.20                      ADX轉強 | 【營收爆發(59.01%)】
   2855.TW        統一證    4.0    30.05                     ADX轉強 | 【營收爆發(373.49%)】
   3305.TW         昇貿    4.0   105.50                      ADX轉強 | 【營收爆發(62.39%)】
  2641.TWO         正德    4.0    19.40                      ADX轉強 | 【營收爆發(33.43%)】
   2887.TW      台新新光金    4.0    24.40                     ADX轉強 | 【營收爆發(117.67%)】
   2404.TW         漢唐    4.0  1100.00                      ADX轉強 | 【營收爆發(58.89%)】
  3709.TWO      鑫聯大投控    4.0    70.50                     ADX轉強 | 【營收爆發(132.66%)】
  6217.TWO        中探針    4.0   111.00                      ADX轉強 | 【營收爆發(42.94%)】
  5386.TWO         青雲    4.0   260.00                    ADX轉強 | 【營收爆發(1025.37%)】
   2377.TW         微星    4.0    96.70                      ADX轉強 | 【營收爆發(33.73%)】
   6477.TW         安集    4.0    37.85                      ADX轉強 | 【營收爆發(78.94%)】
   3702.TW        大聯大    4.0    72.00                      ADX轉強 | 【營收爆發(44.57%)】
  5328.TWO         華容    4.0    26.60                      ADX轉強 | 【營收爆發(35.41%)】
  1599.TWO        宏佳騰    4.0    27.00                      ADX轉強 | 【營收爆發(39.86%)】
  4903.TWO        聯光通    4.0    41.00                      ADX轉強 | 【營收爆發(102.6%)】
  4721.TWO        美琪瑪    4.0    64.90                       ADX轉強 | 【營收爆發(31.1%)】
   3706.TW         神達    4.0    80.80                      ADX轉強 | 【營收爆發(34.35%)】
