=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
--------------------------------------------------------------------------------
6831.TW    |    MA5     |    50.0% |     73.57% |        6
00696B.TWO |    MA60    |    24.2% |    -31.18% |       66
6153.TW    |    MA60    |    28.2% |    -96.55% |      103
8261.TW    |    MA60    |    22.4% |    134.59% |       85
6205.TW    |    MA60    |    25.4% |    145.81% |       67
1789.TW    |    MA60    |    21.5% |    -79.74% |       79
4721.TWO   |    MA10    |    31.8% |    254.25% |      195
3044.TW    |    MA60    |    30.9% |    153.13% |       81
3011.TW    |    MA10    |    37.7% |     88.52% |      191
00676R.TW  |    MA60    |    21.4% |    -43.36% |       42
4961.TW    |    MA60    |    28.4% |    742.41% |       67
2012.TW    |    MA60    |    28.2% |     43.56% |       78
8114.TW    |    MA60    |    26.2% |     78.45% |       80
8028.TW    |    MA10    |    39.1% |    125.18% |      197
6443.TW    |    MA10    |    31.9% |    228.64% |      207
6525.TW    |    MA20    |    31.0% |     53.13% |      113
6877.TWO   |    MA10    |    36.5% |     47.24% |       63
1802.TW    |    MA60    |    28.8% |    140.10% |       73
00635U.TW  |    MA60    |    38.5% |     19.58% |       52
2408.TW    |    MA20    |    30.3% |    348.50% |      142
5546.TW    |    MA20    |    22.9% |    -78.50% |       83
3086.TWO   |    MA60    |    30.5% |    394.72% |       82
2395.TW    |    MA60    |    28.2% |    -12.64% |       78
00984B.TWO |    MA60    |   100.0% |      9.97% |        2
6176.TW    |    MA60    |    27.0% |    106.28% |       63
6811.TWO   |    MA60    |    25.6% |     44.47% |       39
4510.TWO   |    MA20    |    29.5% |    147.77% |      156
6124.TWO   |    MA60    |    24.3% |    -99.66% |      115
00757.TW   |    MA20    |    51.6% |    174.83% |       62
00945B.TW  |    MA20    |    23.5% |      7.12% |       17
4556.TWO   |    MA10    |    27.7% |   -135.55% |      256
1612.TW    |    MA60    |    31.5% |    195.23% |       73
6624.TWO   |    MA20    |    32.4% |      7.12% |      145
3081.TWO   |    MA10    |    28.9% |    198.25% |      201
6446.TW    |    MA10    |    33.2% |    297.31% |      199
6485.TWO   |    MA20    |    35.5% |    412.45% |      141
5403.TWO   |    MA20    |    33.7% |    213.53% |      104
00981D.TWO |    MA20    |    50.0% |      0.59% |        4
5455.TWO   |    MA60    |    33.7% |     54.11% |       89
2374.TW    |    MA20    |    30.8% |    132.91% |      143
1443.TW    |    MA60    |    27.2% |     43.84% |      114
6141.TW    |    MA60    |    34.2% |     61.68% |       73
5243.TW    |    MA20    |    34.0% |     81.82% |      147
2303.TW    |    MA60    |    32.9% |    198.64% |       85
3372.TWO   |    MA20    |    25.4% |     40.04% |      142
4968.TW    |    MA20    |    35.2% |    391.86% |      142
2351.TW    |    MA60    |    30.0% |     84.84% |      100
2420.TW    |    MA20    |    37.5% |     67.00% |      144
911622.TW  |    MA60    |    20.4% |    -16.59% |       98
3499.TWO   |    MA20    |    25.2% |     38.60% |      147
6223.TWO   |    MA10    |    37.1% |    414.13% |      194
7583.TWO   |    MA10    |    31.7% |     17.50% |       41
2059.TW    |    MA60    |    26.1% |    134.30% |       88
3030.TW    |    MA60    |    30.3% |    144.35% |       89
00918.TW   |    MA20    |    41.2% |     43.00% |       34
3022.TW    |    MA10    |    30.2% |     34.07% |      215
4167.TWO   |    MA20    |    27.5% |    -25.30% |      149
00641R.TW  |    MA60    |    17.4% |   -125.82% |       86
2412.TW    |    MA60    |    20.9% |     -0.36% |      115
2428.TW    |    MA60    |    29.7% |     90.77% |       91
4536.TW    |    MA20    |    24.5% |    -16.85% |      159
6173.TWO   |    MA20    |    34.3% |    238.47% |      140
3231.TW    |    MA60    |    29.8% |    329.60% |       84
8930.TWO   |    MA60    |    29.9% |    185.52% |       77
2464.TW    |    MA10    |    35.5% |     49.74% |      186
2884.TW    |    MA60    |    35.8% |     61.90% |       81
5355.TWO   |    MA20    |    25.8% |     42.20% |      128
6116.TW    |    MA5     |    27.1% |     89.28% |      306
2453.TW    |    MA60    |    25.5% |     88.32% |       94
6735.TWO   |    MA10    |    36.4% |    113.20% |      107
3609.TWO   |    MA20    |    31.2% |    -68.47% |      186
8923.TWO   |    MA60    |    25.4% |   -162.93% |      181
9958.TW    |    MA60    |    25.6% |    405.26% |       82
8908.TWO   |    MA60    |    30.2% |     82.57% |      106
2885.TW    |    MA60    |    41.8% |     78.49% |       67
8472.TWO   |    MA60    |    23.1% |      9.41% |      104
3306.TWO   |    MA10    |    33.3% |     59.44% |      228
6645.TW    |    MA20    |    27.9% |    402.48% |      104
7792.TWO   |    MA20    |    25.0% |     74.42% |       16
00881.TW   |    MA10    |    31.6% |     77.38% |       79
1717.TW    |    MA10    |    26.2% |    -22.93% |      240
6127.TWO   |    MA10    |    29.0% |    108.53% |      221
7556.TWO   |    MA5     |    34.3% |     35.72% |      178
4763.TW    |    MA60    |    28.8% |    913.33% |       66
2535.TW    |    MA10    |    35.0% |    137.14% |      180
2013.TW    |    MA10    |    25.8% |      0.73% |      236
1714.TW    |    MA10    |    27.4% |    -60.52% |      223
3709.TWO   |    MA10    |    30.6% |     88.82% |      160
2352.TW    |    MA60    |    21.2% |    139.39% |       80
1568.TW    |    MA60    |    28.2% |     18.62% |       78
5475.TWO   |    MA20    |    30.9% |    759.14% |      123
5289.TWO   |    MA20    |    36.4% |    358.08% |      132
5514.TWO   |    MA60    |    26.4% |     -5.73% |      106
3587.TWO   |    MA20    |    26.9% |    124.12% |      130
6532.TWO   |    MA10    |    34.3% |     31.05% |      207
00927.TW   |    MA10    |    42.5% |     42.38% |       40
00950B.TWO |    MA20    |    33.3% |     -2.68% |       24
4529.TWO   |    MA10    |    30.6% |    154.29% |      216
3523.TWO   |    MA20    |    28.4% |   -134.61% |      162
4908.TWO   |    MA20    |    44.6% |    186.96% |      139
3029.TW    |    MA60    |    26.2% |    136.39% |       84
7769.TW    |    MA5     |    66.7% |     24.70% |        6
4958.TW    |    MA10    |    32.4% |     70.29% |      204
6245.TWO   |    MA20    |    35.3% |     61.74% |      139
3583.TW    |    MA60    |    35.8% |    241.70% |       67
00940.TW   |    MA5     |    26.2% |    -16.02% |       42
3706.TW    |    MA10    |    37.1% |    230.21% |      186
5009.TWO   |    MA20    |    33.6% |     50.17% |      143
3054.TW    |    MA10    |    27.9% |   -110.09% |      240
2031.TW    |    MA20    |    32.4% |     93.05% |      142
3317.TWO   |    MA20    |    35.0% |    143.86% |      123
4416.TWO   |    MA20    |    28.2% |    -61.54% |      195
6925.TWO   |    MA10    |    25.4% |    127.47% |       59
6285.TW    |    MA60    |    30.5% |     -3.48% |       95
4744.TWO   |    MA20    |    35.2% |    250.91% |      142
00642U.TW  |    MA60    |    37.7% |     -3.51% |       77
6994.TW    |    MA5     |    38.2% |    103.01% |       55
3576.TW    |    MA60    |    19.5% |    -62.35% |       87
8112.TW    |    MA60    |    32.5% |    232.79% |       80
00633L.TW  |    MA20    |    32.8% |     30.62% |      122
00773B.TWO |    MA20    |    33.8% |    -10.43% |       77
6642.TWO   |    MA20    |    29.1% |     86.35% |      117
00885.TW   |    MA5     |    34.9% |     -0.44% |      109
8034.TWO   |    MA10    |    32.4% |    110.66% |      210
1721.TW    |    MA20    |    21.8% |     77.65% |      156
2461.TW    |    MA60    |    25.9% |     -0.49% |       85
6461.TWO   |    MA10    |    26.9% |    -67.72% |      208
7805.TWO   |    MA10    |    34.6% |     -5.67% |       26
6961.TWO   |    MA20    |    31.2% |     -8.09% |       32
8131.TW    |    MA20    |    29.4% |    132.04% |      143
7752.TWO   |    MA20    |    17.6% |    -23.64% |       17
00637L.TW  |    MA20    |    31.9% |     19.44% |      116
4538.TWO   |    MA60    |    29.8% |    -50.75% |      121
6962.TW    |    MA5     |    22.2% |    -19.49% |       27
3323.TWO   |    MA10    |    32.9% |     48.31% |      216
00664R.TW  |    MA60    |    23.9% |    -49.28% |       46
8091.TWO   |    MA60    |    28.2% |    132.66% |       85
7810.TWO   |    MA20    |    44.4% |    127.34% |       18
2434.TW    |    MA20    |    27.7% |     50.21% |      177
7610.TW    |    MA10    |    33.3% |     83.37% |        6
4952.TW    |    MA10    |    33.7% |     41.14% |      193
6187.TWO   |    MA60    |    32.8% |    391.30% |       61
00980A.TW  |    MA20    |    80.0% |     38.54% |        5
00929.TW   |    MA20    |    41.4% |     22.17% |       29
2252.TWO   |    MA20    |    26.1% |    -37.95% |       46
2034.TW    |    MA10    |    25.3% |    -44.48% |      229
00947.TW   |    MA60    |    45.5% |     46.42% |       11
2483.TW    |    MA20    |    30.2% |    -34.65% |      126
3581.TWO   |    MA10    |    35.1% |    154.33% |      228
3380.TW    |    MA20    |    30.4% |    -21.92% |      138
5301.TWO   |    MA20    |    29.4% |     46.87% |      143
1795.TW    |    MA5     |    27.2% |     47.78% |      298
2406.TW    |    MA20    |    27.1% |    125.57% |      133
6147.TWO   |    MA10    |    29.5% |   -108.01% |      227
6667.TWO   |    MA10    |    35.9% |    211.70% |      145
6231.TWO   |    MA60    |    35.0% |    291.53% |       80
00674R.TW  |    MA60    |    15.6% |    -46.93% |       45
00751B.TWO |    MA20    |    35.5% |    -18.19% |       76
6657.TW    |    MA5     |    29.2% |      4.71% |       65
6799.TW    |    MA60    |    38.2% |     94.63% |       34
6689.TW    |    MA60    |    27.3% |    131.25% |       33
1536.TW    |    MA60    |    23.5% |      0.10% |       85
6716.TWO   |    MA60    |    35.8% |     92.35% |       53
3664.TWO   |    MA20    |    32.1% |     38.57% |      140
3665.TW    |    MA60    |    34.1% |    195.02% |       88
3714.TW    |    MA10    |    34.7% |    -85.97% |       95
3218.TWO   |    MA60    |    24.1% |    303.15% |       87
6698.TW    |    MA10    |    40.4% |    137.22% |      114
5228.TWO   |    MA60    |    19.8% |   -123.37% |       91
5880.TW    |    MA60    |    19.6% |      6.70% |       97
2349.TW    |    MA10    |    31.3% |    139.64% |      198
4161.TWO   |    MA60    |    21.3% |   -147.71% |      108
7734.TWO   |    MA10    |    20.0% |     -3.29% |       25
2401.TW    |    MA60    |    21.0% |     -1.53% |       81
6906.TW    |    MA60    |    30.0% |    -25.92% |       10
3563.TW    |    MA60    |    34.2% |    369.04% |       73
6279.TWO   |    MA10    |    31.2% |    -13.73% |      215
3324.TWO   |    MA60    |    34.2% |    598.86% |       76
3577.TWO   |    MA20    |    32.4% |     28.13% |      170
3357.TWO   |    MA20    |    34.6% |    194.66% |      153
4609.TWO   |    MA60    |    29.6% |   -198.32% |      142
2254.TW    |    MA20    |    14.3% |    -41.89% |       35
2369.TW    |    MA60    |    24.6% |     30.96% |       61
7751.TWO   |    MA10    |    33.3% |    126.96% |       27
8489.TWO   |    MA60    |    27.9% |    -16.13% |       68
1773.TW    |    MA60    |    37.1% |    231.87% |       70
6844.TWO   |    MA20    |    38.3% |     26.50% |       47
6931.TW    |    MA20    |    37.0% |     81.99% |       46
4956.TW    |    MA10    |    30.4% |    -14.55% |      227
5876.TW    |    MA60    |    20.0% |     -8.23% |       75
4977.TW    |    MA20    |    35.0% |    104.34% |      143
00632R.TW  |    MA20    |    23.1% |    447.54% |      117
8935.TWO   |    MA20    |    31.7% |     -4.50% |      161
5227.TWO   |    MA60    |    24.7% |   -142.16% |       81
3521.TWO   |    MA60    |    37.5% |     42.84% |       80
3564.TWO   |    MA10    |    36.4% |    111.67% |      198
6419.TWO   |    MA20    |    33.9% |     51.24% |      183
2845.TW    |    MA60    |    21.6% |      2.87% |       88
3266.TW    |    MA60    |    20.9% |    -80.70% |      115
2812.TW    |    MA60    |    28.6% |     86.03% |       70
00959B.TWO |    MA60    |    60.0% |     -2.23% |        5
2724.TWO   |    MA10    |    26.7% |    -99.81% |      236
2867.TW    |    MA10    |    26.4% |    -56.60% |      212
4906.TW    |    MA60    |    32.4% |    -37.92% |       71
1203.TW    |    MA60    |    21.6% |      5.51% |       97
2002.TW    |    MA60    |    18.7% |    -28.90% |       75
2478.TW    |    MA60    |    31.3% |    177.64% |       83
4560.TW    |    MA20    |    28.3% |     -4.39% |      106
8291.TWO   |    MA60    |    26.4% |   -447.47% |      148
6865.TWO   |    MA10    |    24.3% |    -61.55% |       74
6988.TW    |    MA10    |    39.1% |     28.54% |       23
5543.TWO   |    MA60    |    31.7% |    129.24% |      101
6668.TW    |    MA60    |    34.5% |    -33.71% |       58
020030.TW  |    MA5     |     0.0% |      0.00% |        0
3691.TWO   |    MA60    |    25.7% |     42.17% |       70
2897.TW    |    MA60    |    25.0% |      6.94% |       96
3592.TW    |    MA60    |    25.0% |     -6.23% |       16
4806.TWO   |    MA5     |    35.8% |    -58.16% |      282
1718.TW    |    MA20    |    30.1% |    -28.96% |      136
6491.TW    |    MA60    |    32.4% |    144.12% |       71
00955.TWO  |    MA5     |    43.8% |     30.24% |       32
3078.TWO   |    MA60    |    32.8% |    270.07% |       64
2484.TW    |    MA20    |    34.1% |     41.64% |      135
6996.TWO   |    MA60    |    14.3% |    -34.29% |       14
6166.TW    |    MA60    |    32.9% |    -53.67% |       76
1338.TW    |    MA5     |    28.9% |   -178.83% |      301
3023.TW    |    MA60    |    27.5% |     99.92% |       80
00738U.TW  |    MA10    |    31.2% |     26.05% |      125
6672.TW    |    MA20    |    29.4% |     61.71% |      102
3694.TW    |    MA20    |    40.7% |    167.66% |      135
6160.TWO   |    MA10    |    29.5% |   -102.20% |      217
5426.TWO   |    MA20    |    24.8% |      2.47% |      145
8048.TWO   |    MA60    |    22.9% |    111.46% |       83
2312.TW    |    MA10    |    29.4% |     51.28% |      214
2208.TW    |    MA10    |    23.1% |    -24.86% |      212
009803.TW  |    MA10    |    57.1% |     54.84% |        7
7584.TWO   |    MA10    |    27.6% |      8.24% |      105
8050.TWO   |    MA60    |    25.0% |     17.68% |       84
3455.TWO   |    MA60    |    35.8% |    141.69% |       67
2104.TW    |    MA10    |    29.7% |    -15.47% |      195
6122.TWO   |    MA60    |    27.1% |    187.99% |       85
02001L.TW  |    MA5     |     0.0% |      0.00% |        0
2880.TW    |    MA60    |    26.8% |     38.88% |       82
6435.TWO   |    MA60    |    28.8% |    -41.33% |      104
8476.TW    |    MA5     |    37.7% |   2326.31% |      318
6530.TWO   |    MA20    |    33.8% |     46.42% |      139
6806.TW    |    MA10    |    23.3% |     13.99% |       86
2755.TWO   |    MA20    |    42.7% |    173.53% |       75
1605.TW    |    MA60    |    37.3% |    127.82% |       83
8038.TWO   |    MA10    |    25.0% |    -56.01% |      216
3006.TW    |    MA20    |    42.2% |    174.75% |      135
1442.TW    |    MA60    |    32.5% |    102.84% |       77
1303.TW    |    MA60    |    34.9% |     41.68% |       63
