=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
--------------------------------------------------------------------------------
6831.TW    |    MA5     |    50.0% |     52.81% |        6
00696B.TWO |    MA20    |    26.2% |    -36.74% |      107
6153.TW    |    MA10    |    33.3% |     37.90% |      201
8261.TW    |    MA10    |    25.6% |    154.30% |      199
6205.TW    |    MA60    |    19.4% |    146.57% |       67
1789.TW    |    MA60    |    17.7% |    -64.48% |       79
4721.TWO   |    MA5     |    24.2% |    106.70% |      302
00676R.TW  |    MA60    |    19.0% |    -51.65% |       42
4961.TW    |    MA60    |    26.9% |    761.79% |       67
2012.TW    |    MA60    |    20.5% |     28.60% |       78
8114.TW    |    MA60    |    23.8% |     84.09% |       80
8028.TW    |    MA10    |    31.0% |    129.08% |      197
6443.TW    |    MA20    |    17.4% |    526.07% |      132
6525.TW    |    MA10    |    35.3% |     87.17% |      156
00635U.TW  |    MA60    |    32.7% |     20.26% |       52
2408.TW    |    MA20    |    31.7% |    398.71% |      142
3086.TWO   |    MA60    |    22.0% |    372.08% |       82
2395.TW    |    MA5     |    26.1% |   -266.31% |      348
00984B.TWO |    MA10    |    17.6% |     -1.66% |       17
6176.TW    |    MA20    |    31.1% |      6.11% |      180
6811.TWO   |    MA20    |    22.7% |     39.30% |       66
4510.TWO   |    MA20    |    21.8% |    104.87% |      156
6124.TWO   |    MA10    |    21.8% |   -238.65% |      257
00757.TW   |    MA20    |    43.5% |    168.28% |       62
00945B.TW  |    MA20    |    23.5% |      7.01% |       17
4556.TWO   |    MA60    |    13.4% |   -144.06% |      112
6624.TWO   |    MA20    |    19.3% |    -68.79% |      145
6446.TW    |    MA10    |    26.6% |    373.50% |      199
6485.TWO   |    MA20    |    34.8% |    431.23% |      141
5403.TWO   |    MA20    |    34.6% |    201.31% |      104
00981D.TWO |    MA60    |     0.0% |     -1.48% |        2
5455.TWO   |    MA60    |    23.6% |     27.42% |       89
1443.TW    |    MA20    |    12.6% |   -227.12% |      238
2303.TW    |    MA60    |    27.1% |    196.57% |       85
3372.TWO   |    MA10    |    24.5% |     74.85% |      212
4968.TW    |    MA60    |    29.1% |    405.93% |       55
2420.TW    |    MA10    |    29.1% |     23.45% |      203
911622.TW  |    MA60    |    12.2% |    -57.75% |       98
3499.TWO   |    MA10    |    26.2% |      8.28% |      225
6223.TWO   |    MA10    |    37.1% |    428.16% |      194
3030.TW    |    MA20    |    27.1% |    157.50% |      144
00918.TW   |    MA20    |    41.2% |     43.09% |       34
4167.TWO   |    MA10    |    27.4% |     43.91% |      219
00641R.TW  |    MA60    |    16.3% |   -126.86% |       86
2412.TW    |    MA20    |    15.8% |    -75.03% |      184
2428.TW    |    MA20    |    30.7% |    155.69% |      140
4536.TW    |    MA10    |    26.0% |    -90.60% |      246
6173.TWO   |    MA5     |    29.8% |     27.09% |      302
8930.TWO   |    MA60    |    22.1% |    165.22% |       77
2464.TW    |    MA20    |    29.9% |     21.44% |      134
2884.TW    |    MA10    |    30.7% |     24.31% |      205
6116.TW    |    MA60    |    24.2% |     50.52% |       91
2453.TW    |    MA60    |    21.3% |     75.04% |       94
3609.TWO   |    MA20    |    19.4% |    -80.68% |      186
9958.TW    |    MA10    |    27.3% |    414.24% |      220
8908.TWO   |    MA20    |    16.9% |    -68.67% |      189
2885.TW    |    MA20    |    35.4% |     32.95% |      144
3306.TWO   |    MA60    |    23.6% |    -43.12% |       89
6645.TW    |    MA20    |    21.2% |    400.40% |      104
7792.TWO   |    MA20    |    25.0% |     62.86% |       16
00881.TW   |    MA10    |    35.4% |     87.49% |       79
6127.TWO   |    MA20    |    32.1% |    186.87% |      137
7556.TWO   |    MA5     |    19.7% |   -138.13% |      178
4763.TW    |    MA20    |    32.5% |    183.24% |      117
2013.TW    |    MA5     |    22.3% |     17.65% |      310
1714.TW    |    MA60    |    28.0% |    -43.02% |       75
3709.TWO   |    MA10    |    25.0% |     86.50% |      160
2352.TW    |    MA10    |    30.3% |     79.06% |      208
1568.TW    |    MA10    |    24.9% |    -61.17% |      209
5289.TWO   |    MA20    |    33.3% |    334.30% |      132
5514.TWO   |    MA5     |    17.0% |   -321.41% |      389
3587.TWO   |    MA10    |    29.9% |     94.90% |      221
6532.TWO   |    MA20    |    28.8% |     58.63% |      125
4529.TWO   |    MA10    |    23.6% |    277.51% |      216
3523.TWO   |    MA60    |    21.3% |   -145.44% |       75
3029.TW    |    MA60    |    27.4% |    151.19% |       84
7769.TW    |    MA5     |    66.7% |     26.40% |        6
6245.TWO   |    MA60    |    26.5% |     -4.99% |       98
3583.TW    |    MA10    |    32.5% |    215.34% |      206
00940.TW   |    MA5     |    28.6% |     -8.54% |       42
3706.TW    |    MA5     |    30.6% |    114.91% |      294
5009.TWO   |    MA60    |    28.3% |     44.98% |       92
3054.TW    |    MA10    |    20.4% |   -112.00% |      240
2031.TW    |    MA5     |    30.1% |     80.13% |      292
3317.TWO   |    MA20    |    38.2% |    182.99% |      123
4416.TWO   |    MA60    |    13.6% |   -157.85% |      125
6925.TWO   |    MA10    |    28.8% |    154.23% |       59
6285.TW    |    MA20    |    32.2% |     -0.02% |      152
4744.TWO   |    MA5     |    26.9% |    -29.47% |      308
00642U.TW  |    MA20    |    29.8% |     -8.01% |      114
6994.TW    |    MA5     |    28.6% |     84.65% |       56
3576.TW    |    MA60    |    20.7% |    -68.49% |       87
8112.TW    |    MA60    |    32.1% |    227.13% |       81
00633L.TW  |    MA60    |    29.6% |     54.73% |       81
00773B.TWO |    MA10    |    29.0% |     -0.02% |      107
6642.TWO   |    MA20    |    23.1% |     63.30% |      117
00885.TW   |    MA10    |    24.7% |      4.03% |       81
8034.TWO   |    MA20    |    28.3% |     42.40% |      145
1721.TW    |    MA5     |    19.6% |      6.00% |      317
6461.TWO   |    MA10    |    24.4% |    -65.01% |      209
7805.TWO   |    MA20    |    45.5% |     -1.76% |       11
6961.TWO   |    MA10    |    22.5% |     -8.24% |       40
8131.TW    |    MA10    |    30.2% |    122.99% |      212
7752.TWO   |    MA5     |    20.6% |    -28.86% |       34
00637L.TW  |    MA20    |    30.2% |     11.72% |      116
4538.TWO   |    MA10    |    16.4% |   -256.11% |      256
6962.TW    |    MA5     |    22.2% |    -15.06% |       27
3323.TWO   |    MA20    |    28.6% |     53.37% |      161
00664R.TW  |    MA60    |    15.2% |    -65.34% |       46
8091.TWO   |    MA60    |    31.8% |    116.86% |       85
