正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
  5314.TWO          240      25.49        6813.29      51   📈 持有
   9103.TW          120      16.67        2551.43      54   📈 持有
   8476.TW            5      37.74        2326.31     318   ☁ 觀望
   1519.TW          240      36.11        1640.65      36   📈 持有
   2615.TW           60      26.23        1440.78      61   ☁ 觀望
   2609.TW          240      26.92        1407.38      26   ☁ 觀望
  6739.TWO          240      25.00        1333.00       4   📈 持有
   3017.TW          240      45.83        1282.01      24   📈 持有
   2603.TW          120      31.37        1117.44      51   📈 持有
   2492.TW          240      28.00        1098.14      25   📈 持有
   2543.TW          120      31.03        1097.63      58   📈 持有
  6469.TWO          240      40.00        1047.43      15   ☁ 觀望
   3563.TW          240      42.86        1029.23      28   📈 持有
   2327.TW           60      37.50        1009.07      72   📈 持有
  5475.TWO          120      28.21         992.47      39   📈 持有
  3363.TWO          240      17.95         975.23      39   📈 持有
   8045.TW          120      30.23         939.37      43   ☁ 觀望
  3218.TWO          240      33.33         938.39      33   ☁ 觀望
   3661.TW          120      42.11         922.62      38   ☁ 觀望
  6223.TWO          120      43.90         916.93      41   📈 持有
   4763.TW           60      28.79         913.33      66   ☁ 觀望
  3205.TWO           60      16.90         909.60      71   📈 持有
  5299.TWO          240      30.77         849.00      26   ☁ 觀望
  4931.TWO          240      55.56         841.71       9   📈 持有
  3293.TWO          240      34.38         819.98      32   ☁ 觀望
  6510.TWO          120      32.14         786.80      56   📈 持有
   6139.TW          240      29.27         781.40      41   📈 持有
   8046.TW          120      38.89         769.89      54   📈 持有
   2404.TW          240      25.00         768.28      12   📈 持有
  6640.TWO          120      26.83         759.58      41   📈 持有
  8436.TWO          240      25.71         750.28      35   ☁ 觀望
   4961.TW           60      28.36         742.41      67   📈 持有
   9958.TW          240      29.73         739.59      37   ☁ 觀望
   3138.TW           20      31.48         738.89     162   📈 持有
   2345.TW          240      25.00         733.11      36   📈 持有
   3013.TW          240      25.64         731.45      39   ☁ 觀望
   6442.TW          240      33.33         730.64      36   📈 持有
   6415.TW          120      35.00         716.20      40   ☁ 觀望
  2230.TWO          240      17.31         710.73      52   ☁ 觀望
  6548.TWO          120      35.29         693.73      34   📈 持有
  3680.TWO          240      36.36         692.82      33   📈 持有
   8478.TW          240      14.29         682.00      21   ☁ 觀望
  8358.TWO          120      28.33         680.10      60   📈 持有
   2359.TW          240      27.78         660.96      36   ☁ 觀望
  6720.TWO          120      34.62         643.28      26   📈 持有
