正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  最大回撤 (MDD%)  夏普比率 (Sharpe Ratio)  獲利因子 (Profit Factor)  交易次數 (Trades) 狀態 (Status)
   5314.TWO          240               25.49            6813.29           -93.61             0.97                22.48               51           📈 持有   
    9103.TW          120               16.67            2551.43           -68.91             0.93                12.92               54           📈 持有   
    8476.TW            5               37.74            2326.31           -95.23             3.68                 2.44              318           ☁ 觀望   
    1519.TW          240               36.11            1640.65           -22.45             1.05                21.04               36           📈 持有   
    2615.TW           60               26.23            1440.78           -50.87             1.04                 8.82               61           ☁ 觀望   
    2609.TW          240               26.92            1407.38           -23.57             1.00                14.60               26           ☁ 觀望   
   6739.TWO          240               25.00            1333.00           -15.64             1.13                64.44                4           📈 持有   
    3017.TW          240               45.83            1282.01           -14.29             1.03                26.42               24           📈 持有   
    2603.TW          120               31.37            1117.44           -26.03             1.05                12.35               51           📈 持有   
    2492.TW          240               28.00            1098.14           -46.25             0.95                 9.97               25           📈 持有   
    2543.TW          120               31.03            1097.63           -54.41             0.96                 9.74               58           📈 持有   
   6469.TWO          240               40.00            1047.43           -10.12             1.00                22.30               15           ☁ 觀望   
    3563.TW          240               42.86            1029.23           -35.20             1.14                16.58               28           📈 持有   
    2327.TW           60               37.50            1009.07           -45.44             1.11                 6.56               72           📈 持有   
   5475.TWO          120               28.21             992.47           -43.72             1.53                 9.33               39           📈 持有   
   3363.TWO          240               17.95             975.23           -61.24             0.94                 8.97               39           📈 持有   
    8045.TW          120               30.23             939.37           -45.10             0.96                 9.63               43           ☁ 觀望   
   3218.TWO          240               33.33             938.39           -21.91             0.99                13.08               33           ☁ 觀望   
    3661.TW          120               42.11             922.62           -30.48             1.51                 7.42               38           ☁ 觀望   
   6223.TWO          120               43.90             916.93           -34.91             1.29                10.23               41           📈 持有   
    4763.TW           60               28.79             913.33           -56.77             0.92                 5.83               66           ☁ 觀望   
   3205.TWO           60               16.90             909.60           -74.58             0.91                 4.79               71           📈 持有   
   5299.TWO          240               30.77             849.00           -36.52             0.99                11.15               26           ☁ 觀望   
   4931.TWO          240               55.56             841.71           -13.29             1.67                59.69                9           📈 持有   
   3293.TWO          240               34.38             819.98           -22.65             1.44                13.39               32           ☁ 觀望   
   6510.TWO          120               32.14             786.80           -52.60             1.34                 4.85               56           📈 持有   
    6139.TW          240               29.27             781.40           -54.49             1.02                 8.86               41           📈 持有   
    8046.TW          120               38.89             769.89           -46.72             1.11                 5.69               54           📈 持有   
    2404.TW          240               25.00             768.28           -24.68             1.61                18.06               12           📈 持有   
   6640.TWO          120               26.83             759.58           -39.92             1.10                 7.57               41           📈 持有   
   8436.TWO          240               25.71             750.28           -52.82             0.91                 6.88               35           ☁ 觀望   
    4961.TW           60               28.36             742.41           -47.45             0.92                 4.65               67           📈 持有   
    9958.TW          240               29.73             739.59           -24.64             1.11                10.53               37           ☁ 觀望   
    3138.TW           20               31.48             738.89           -66.15             1.52                 3.29              162           📈 持有   
    2345.TW          240               25.00             733.11           -55.77             1.34                 6.67               36           📈 持有   
    3013.TW          240               25.64             731.45           -56.35             0.92                 7.10               39           ☁ 觀望   
    6442.TW          240               33.33             730.64           -60.55             1.02                 7.94               36           📈 持有   
    6415.TW          120               35.00             716.20           -46.83             0.98                 5.21               40           ☁ 觀望   
   2230.TWO          240               17.31             710.73           -69.11             0.85                 5.54               52           ☁ 觀望   
   6548.TWO          120               35.29             693.73           -22.56             1.42                10.83               34           📈 持有   
   3680.TWO          240               36.36             692.82           -35.59             0.98                 6.69               33           📈 持有   
    8478.TW          240               14.29             682.00           -50.14             0.90                 8.22               21           ☁ 觀望   
   8358.TWO          120               28.33             680.10           -34.17             1.44                 6.40               60           📈 持有   
    2359.TW          240               27.78             660.96           -49.69             0.96                 6.77               36           ☁ 觀望   
   6720.TWO          120               34.62             643.28           -36.34             0.97                 7.28               26           📈 持有   
   8069.TWO          240               50.00             624.98           -28.06             1.28                 9.24               26           ☁ 觀望   
    2486.TW           60               26.58             622.23           -44.15             1.06                 3.98               79           📈 持有   
    3533.TW          240               36.00             600.11           -16.68             1.16                12.04               25           📈 持有   
   3324.TWO           60               34.21             598.86           -43.99             2.05                 3.94               76           📈 持有   
   5403.TWO          240               21.74             576.80           -29.24             1.14                13.33               23           ☁ 觀望   
   3141.TWO           60               27.42             568.77           -45.27             1.06                 4.04               62           📈 持有   
    6531.TW           20               40.00             557.25           -32.50             1.88                 4.23               80           ☁ 觀望   
   3207.TWO          240               27.78             555.10           -70.91             0.84                 4.15               36           ☁ 觀望   
    1514.TW          240               45.83             550.58           -24.76             1.31                 9.57               24           📈 持有   
   6488.TWO          120               36.00             549.48           -22.88             1.21                 6.70               50           📈 持有   
   3465.TWO          240               28.57             543.49           -32.66             1.19                10.22               14           ☁ 觀望   
    2408.TW          120               22.95             541.69           -61.79             0.98                 3.24               61           📈 持有   
    6472.TW          120               35.09             534.34           -38.72             1.48                 4.03               57           ☁ 觀望   
    2368.TW          120               33.33             533.80           -43.73             1.66                 3.23               72           📈 持有   
    5608.TW           60               14.46             530.90           -71.35             0.73                 3.31               83           ☁ 觀望   
    5258.TW          240               38.89             530.80           -21.22             1.19                14.23               18           ☁ 觀望   
   4979.TWO          120               30.77             528.26           -80.47             0.81                 3.03               65           📈 持有   
   6231.TWO          120               28.57             524.29           -37.50             1.05                 4.82               42           ☁ 觀望   
    8110.TW          120               41.82             522.58           -33.89             1.14                 4.86               55           📈 持有   
   5432.TWO          120               26.58             520.47           -53.16             0.94                 3.54               79           📈 持有   
    5225.TW          120               25.53             519.33           -49.25             0.93                 4.49               47           ☁ 觀望   
    3653.TW          240               48.00             514.81           -18.06             1.42                11.86               25           📈 持有   
   3086.TWO          120               33.33             511.45           -73.31             0.94                 2.86               60           📈 持有   
   6291.TWO          240               41.18             503.15           -80.83             1.05                 3.41               34           📈 持有   
   3693.TWO           60               33.82             500.07           -78.91             0.75                 2.76               68           📈 持有   
    2344.TW          120               31.82             497.85           -34.61             1.28                 4.78               44           📈 持有   
    2009.TW          120               31.58             497.36           -29.20             1.18                 5.67               38           📈 持有   
    4967.TW          120               37.14             493.85           -35.66             1.75                 5.79               35           📈 持有   
    3443.TW          120               35.42             483.74           -41.22             1.44                 3.68               48           📈 持有   
   3147.TWO          240               47.06             480.03            -8.03             1.53                25.00               17           📈 持有   
    8210.TW          120               29.63             479.00           -37.04             1.52                 4.05               54           📈 持有   
   6546.TWO          240               26.67             478.27           -18.28             1.17                15.69               15           ☁ 觀望   
    2383.TW          120               32.50             474.49           -43.39             1.97                 4.45               40           📈 持有   
    5269.TW           20               32.64             468.50           -55.40             1.56                 2.15              144           ☁ 觀望   
    3715.TW           60               37.50             462.73           -21.20             1.16                14.00               24           📈 持有   
    3406.TW          120               30.00             461.84           -63.08             0.85                 2.96               70           ☁ 觀望   
   6187.TWO          240               40.91             458.84           -27.95             1.40                 4.98               44           📈 持有   
   4909.TWO          120               22.73             458.77           -61.96             0.83                 3.94               66           📈 持有   
   5381.TWO          240               35.29             452.60           -30.17             1.38                 6.36               34           📈 持有   
    6446.TW          120               23.81             449.79           -82.51             0.95                 2.80               63           📈 持有   
  00632R.TW           20               23.08             447.54           -74.24             0.76                 3.28              117           ☁ 觀望   
   3260.TWO          120               35.29             443.98           -36.63             1.42                 4.94               34           📈 持有   
    6550.TW          240               25.00             440.30           -17.45             0.96                12.37               12           ☁ 觀望   
   6122.TWO          240               21.43             439.24           -16.29             1.04                 9.21               28           📈 持有   
    1235.TW          240               20.00             431.49           -27.06             1.08                11.05               20           ☁ 觀望   
   3211.TWO          240               42.11             431.41            -6.29             1.53                42.42               19           📈 持有   
   4171.TWO          240               23.81             427.77           -36.71             0.91                 8.12               21           ☁ 觀望   
   3230.TWO           60               28.95             425.28           -63.50             0.80                 2.91               76           📈 持有   
   3675.TWO          120               30.65             424.14           -53.97             1.11                 3.32               62           📈 持有   
   5321.TWO           60               32.88             423.38           -48.99             1.62                 3.27               73           ☁ 觀望   
   6684.TWO          240               40.00             421.27           -33.70             1.03                10.55               10           ☁ 觀望   
   6274.TWO          240               40.00             414.89           -35.24             1.57                 5.07               35           📈 持有   
    1435.TW          240               28.12             414.26           -33.67             0.96                 5.95               32           ☁ 觀望   
    8996.TW          120               26.19             413.74           -43.66             1.29                 4.21               42           📈 持有   
   6485.TWO           20               35.46             412.45           -43.96             1.63                 2.37              141           ☁ 觀望   
    6669.TW           20               50.50             409.62           -28.45             2.03                 2.76              101           📈 持有   
    3035.TW          120               32.56             408.46           -33.07             1.28                 3.91               43           📈 持有   
    3037.TW          120               32.43             408.31           -39.78             1.65                 3.95               37           📈 持有   
    2371.TW          240               29.03             404.19           -49.18             0.99                 4.95               31           ☁ 觀望   
    2467.TW          120               28.36             403.26           -44.32             1.20                 4.17               67           📈 持有   
   3217.TWO          240               43.75             402.56           -18.53             1.39                 6.64               32           📈 持有   
    6235.TW          120               39.13             402.51           -55.36             1.53                 4.51               46           ☁ 觀望   
    6645.TW           20               27.88             402.48           -70.36             0.77                 2.49              104           ☁ 觀望   
    6691.TW          120               55.00             399.93            -6.37             1.84                23.57               20           📈 持有   
   5274.TWO          240               52.00             399.04           -14.97             1.56                 8.55               25           📈 持有   
    4968.TW           20               35.21             391.86           -42.69             1.70                 2.13              142           ☁ 觀望   
   5439.TWO          120               31.48             389.30           -17.44             1.65                 4.93               54           ☁ 觀望   
   3131.TWO          240               35.14             386.07           -29.97             1.28                 4.65               37           📈 持有   
   5536.TWO          240               38.71             384.28           -44.67             1.34                 6.19               31           📈 持有   
    1442.TW          240               38.46             383.33           -13.80             1.05                11.71               13           ☁ 觀望   
   3162.TWO          120               35.90             382.03           -23.95             1.30                 4.79               39           ☁ 觀望   
    6919.TW           10               48.78             381.99           -22.77             2.70                 5.89               41           ☁ 觀望   
   5443.TWO           60               30.43             378.95           -59.62             1.03                 2.50               92           📈 持有   
   6173.TWO          240               24.24             378.92           -48.53             0.82                 3.93               33           📈 持有   
   3529.TWO          120               36.96             378.23           -50.02             0.98                 3.69               46           📈 持有   
    2597.TW          240               44.00             375.91           -27.87             1.60                 8.94               25           📈 持有   
   5309.TWO          120               31.25             374.56           -69.18             0.71                 2.28               80           📈 持有   
   4991.TWO          240               36.67             373.76           -51.30             0.99                 5.05               30           📈 持有   
   5508.TWO           60               32.84             370.45           -33.49             1.13                 4.55               67           ☁ 觀望   
    5234.TW          120               55.26             364.83           -27.49             1.51                 6.75               38           📈 持有   
   3357.TWO          240               30.77             363.62           -16.82             1.10                 8.23               26           📈 持有   
    2363.TW          240               29.27             362.94           -38.37             1.15                 3.92               41           ☁ 觀望   
    2351.TW          120               25.00             362.45           -54.22             1.09                 3.86               36           ☁ 觀望   
   6265.TWO          120               27.45             362.37           -40.79             1.05                 3.82               51           📈 持有   
   6237.TWO          240               23.33             358.09           -41.05             0.87                 4.26               30           ☁ 觀望   
   5289.TWO           20               36.36             358.08           -37.01             2.78                 2.60              132           📈 持有   
    1609.TW          240               33.33             354.75           -25.63             1.39                 5.82               21           ☁ 觀望   
   8183.TWO          240               28.57             354.02           -38.68             1.17                 4.47               28           ☁ 觀望   
   8086.TWO          120               40.91             351.78           -22.68             1.50                 3.76               44           📈 持有   
    3006.TW          240               38.46             349.85           -20.93             1.06                 7.84               26           📈 持有   
   5340.TWO          120               24.53             349.77           -62.00             1.25                 2.93               53           📈 持有   
    4943.TW          120               45.24             349.55           -59.27             1.20                 3.43               42           📈 持有   
   6276.TWO           60               50.00             349.09           -33.06             1.82                 3.18               52           ☁ 觀望   
    8021.TW          120               32.14             347.30           -51.95             1.33                 3.68               56           📈 持有   
    8112.TW          120               30.00             346.00           -23.57             1.73                 6.50               40           📈 持有   
   8908.TWO          240               23.08             345.67           -20.67             0.93                 8.76               26           📈 持有   
    3029.TW          240               42.42             343.99           -23.77             1.27                 5.14               33           ☁ 觀望   
    3167.TW          240               33.33             342.41           -29.17             1.53                 5.23               24           📈 持有   
    3530.TW          240               34.62             342.20           -42.98             0.97                 4.30               26           ☁ 觀望   
    2014.TW           60               17.65             340.27           -77.47             0.69                 2.50               68           📈 持有   
    2449.TW          120               33.33             339.41           -27.06             1.61                 3.84               54           📈 持有   
   3379.TWO          240               36.36             339.39           -70.44             0.71                 2.88               44           ☁ 觀望   
    3231.TW          240               38.89             337.78           -21.93             1.04                 5.43               36           📈 持有   
    3535.TW          120               32.20             336.12           -31.01             1.83                 3.40               59           📈 持有   
    9906.TW          240               40.00             335.64           -45.35             1.05                 5.26               20           ☁ 觀望   
   3707.TWO          120               32.61             334.18           -43.40             1.06                 3.07               46           📈 持有   
    3532.TW           10               33.82             332.41           -33.87             1.98                 1.81              204           ☁ 觀望   
   8089.TWO          120               31.58             327.57           -53.40             0.84                 5.76               19           ☁ 觀望   
   1815.TWO          240               34.48             326.42           -28.73             1.12                 7.29               29           📈 持有   
    6443.TW          120               21.21             325.72           -74.25             0.75                 2.36               66           📈 持有   
   4304.TWO           20               36.42             324.23           -54.48             1.08                 1.63              162           📈 持有   
    2303.TW          240               25.00             319.11           -19.54             0.97                 6.98               28           📈 持有   
   8111.TWO          240               34.29             317.02           -42.65             1.42                 3.85               35           📈 持有   
    2330.TW          240               50.00             312.57           -16.13             1.66                 6.86               24           📈 持有   
    1727.TW          120               31.25             310.65           -42.19             0.96                 4.04               48           📈 持有   
    2376.TW           60               28.24             308.43           -43.63             1.17                 2.73               85           ☁ 觀望   
    2421.TW          240               42.31             307.44           -38.54             1.42                 5.45               26           📈 持有   
   3483.TWO          120               28.57             306.52           -31.28             1.32                 3.28               42           ☁ 觀望   
   4721.TWO          240               16.13             305.71           -39.84             0.95                 3.36               31           📈 持有   
   4542.TWO          120               32.14             305.43           -41.81             1.42                 3.19               56           📈 持有   
    3305.TW          120               35.90             305.35           -33.13             1.47                 4.49               39           ☁ 觀望   
    3450.TW          240               31.71             304.77           -65.83             0.96                 3.05               41           📈 持有   
    2329.TW          120               38.10             303.73           -64.39             1.16                 3.29               42           📈 持有   
    2457.TW           60               20.83             302.33           -57.03             0.84                 2.28               72           📈 持有   
    6191.TW          240               48.57             301.85           -28.81             1.85                 5.27               35           📈 持有   
    6655.TW          120               30.56             299.73           -13.61             0.95                 7.57               36           📈 持有   
    6949.TW            5               27.91             299.69           -23.26             1.78                 4.25               43           ☁ 觀望   
    8033.TW           60               29.29             299.20           -62.72             1.05                 2.24               99           📈 持有   
   5864.TWO           60               27.27             299.20           -35.27             1.60                 3.66               88           📈 持有   
   3163.TWO          240               37.50             298.22           -41.26             0.87                 5.06               24           📈 持有   
   3264.TWO          120               30.43             297.27           -31.50             1.60                 3.50               46           📈 持有   
   8043.TWO          120               25.42             297.03           -57.54             1.15                 3.24               59           📈 持有   
    5284.TW          240               36.84             296.15           -23.96             1.27                 9.64               19           📈 持有   
