正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  最大回撤 (MDD%)  夏普比率 (Sharpe Ratio)  獲利因子 (Profit Factor)  交易次數 (Trades) 狀態 (Status)
     8476.TW                   5           32.70                854.92      -502.44                 1.10                  1.29            318        ☁ 觀望
    4931.TWO                  20           38.10                500.93       -68.06                 2.33                  2.88            105        ☁ 觀望
   00632R.TW                  20           23.08                498.15      -113.53                 1.20                  3.59            117        ☁ 觀望
    6546.TWO                  20           35.56                469.64       -45.46                 2.44                  3.65             90        📈 持有
    6739.TWO                  10           46.91                313.46       -22.15                 5.96                  3.54             81        📈 持有
     6442.TW                  20           45.33                309.43       -48.75                 3.47                  2.07            150        📈 持有
     3661.TW                  10           41.58                299.19       -78.79                 2.34                  1.55            202        📈 持有
    5289.TWO                  20           36.36                284.68       -34.05                 3.96                  2.27            132        📈 持有
     1514.TW                  10           35.50                283.34       -29.49                 2.87                  1.91            200        ☁ 觀望
    6276.TWO                  60           51.92                280.91       -27.18                 6.23                  3.22             52        ☁ 觀望
    3324.TWO                  10           38.65                280.51       -43.78                 2.41                  1.58            207        ☁ 觀望
     2383.TW                  60           45.07                279.54       -38.49                 5.20                  2.48             71        📈 持有
     2327.TW                  10           39.62                278.10       -38.34                 2.79                  1.85            212        📈 持有
    3689.TWO                  10           39.31                274.86       -34.24                 3.01                  1.90            173        ☁ 觀望
     1519.TW                  10           36.15                274.07       -77.71                 2.44                  1.68            213        ☁ 觀望
    6223.TWO                  10           37.11                272.36       -54.08                 2.58                  1.65            194        📈 持有
     3532.TW                  10           33.82                272.33       -28.98                 2.44                  1.66            204        ☁ 觀望
    3465.TWO                  20           34.97                270.54       -48.94                 2.98                  2.01            143        ☁ 觀望
    4908.TWO                  20           47.14                266.31       -52.29                 3.42                  2.10            140        📈 持有
     2368.TW                  10           37.68                266.04       -65.13                 2.38                  1.60            207        ☁ 觀望
    5340.TWO                  10           34.57                259.77       -63.52                 2.36                  1.66            188        📈 持有
    1815.TWO                  20           36.55                257.39       -57.54                 2.97                  1.88            145        📈 持有
     3167.TW                  20           36.13                251.86       -43.36                 3.38                  2.01            119        📈 持有
     6669.TW                  20           49.50                249.37       -32.50                 3.78                  2.02            101        📈 持有
     3563.TW                  10           36.98                246.61       -35.55                 2.54                  1.70            192        📈 持有
   00673R.TW                  60           30.43                243.41      -120.40                 1.46                  2.44             69        ☁ 觀望
     3653.TW                  20           36.17                243.13       -58.05                 2.80                  1.70            141        📈 持有
    3293.TWO                  10           35.41                242.47       -40.24                 2.41                  1.64            209        📈 持有
    3260.TWO                  20           34.68                235.34       -47.33                 3.46                  2.08            124        ☁ 觀望
    6568.TWO                  20           43.81                233.47       -25.58                 3.84                  2.19            105        📈 持有
    6469.TWO                  10           32.99                230.60       -49.08                 2.75                  1.92            194        ☁ 觀望
     2404.TW                  20           36.30                230.11       -49.72                 3.10                  2.01            135        📈 持有
    3363.TWO                  20           41.91                226.68       -55.19                 2.75                  1.70            136        📈 持有
    3131.TWO                  20           35.11                224.31       -51.96                 2.72                  1.67            131        📈 持有
   00631L.TW                  10           41.57                224.19       -38.46                 2.92                  1.82            178        📈 持有
     3406.TW                  10           39.70                223.77       -40.58                 2.19                  1.57            199        ☁ 觀望
     3588.TW                  10           38.97                223.69       -60.66                 1.90                  1.49            213        ☁ 觀望
   00663L.TW                  10           42.28                223.28       -37.23                 3.44                  2.06            149        📈 持有
    5483.TWO                  20           39.52                222.14       -25.55                 3.36                  1.97            124        ☁ 觀望
    3615.TWO                  60           42.86                221.81       -27.71                 4.20                  2.35             70        📈 持有
     5469.TW                  20           37.72                220.97       -41.57                 3.28                  1.91            114        ☁ 觀望
    6530.TWO                 120           41.67                220.64       -34.94                 5.01                  2.98             60        📈 持有
     6196.TW                  20           36.57                217.96       -45.40                 3.04                  1.84            134        ☁ 觀望
     3706.TW                  10           37.10                217.81       -32.91                 2.73                  1.90            186        📈 持有
    6664.TWO                  10           40.26                216.74       -24.67                 3.16                  2.08            154        ☁ 觀望
    3178.TWO                 120           34.72                216.10       -50.27                 4.22                  2.49             72        ☁ 觀望
     4968.TW                  20           35.92                214.37       -53.22                 2.44                  1.63            142        ☁ 觀望
    5386.TWO                  10           34.82                213.34       -82.60                 1.59                  1.39            224        📈 持有
     6531.TW                  20           40.00                212.45       -37.83                 4.02                  2.26             80        ☁ 觀望
    5439.TWO                  10           36.32                212.37       -31.19                 2.32                  1.58            190        ☁ 觀望
    5274.TWO                 120           45.28                211.00       -32.89                 5.35                  2.90             53        📈 持有
     6919.TW                  10           48.78                210.09       -21.33                 6.75                  3.55             41        ☁ 觀望
    3306.TWO                  10           33.33                209.98       -58.28                 1.91                  1.52            228        📈 持有
    3430.TWO                  10           35.68                209.93       -33.26                 2.36                  1.72            199        📈 持有
    6548.TWO                   5           38.80                208.75       -62.40                 2.13                  1.56            250        ☁ 觀望
     8110.TW                  60           36.49                205.38       -41.12                 4.23                  2.39             74        📈 持有
     3138.TW                  20           31.48                202.06       -77.49                 1.95                  1.62            162        📈 持有
    5475.TWO                  10           30.37                201.82       -67.79                 1.70                  1.40            191        📈 持有
    6720.TWO                  20           42.42                200.92       -56.93                 4.44                  2.43             66        📈 持有
     6209.TW                  10           37.00                200.42       -41.30                 2.01                  1.51            200        ☁ 觀望
    4768.TWO                  20           44.16                200.24       -36.11                 3.79                  2.34             77        📈 持有
     3583.TW                  10           33.01                199.66       -40.93                 1.88                  1.48            206        📈 持有
    6143.TWO                  20           36.22                199.46       -37.53                 2.73                  1.71            127        ☁ 觀望
     2345.TW                  20           39.18                198.03       -37.68                 2.34                  1.57            171        📈 持有
     2609.TW                   5           30.50                197.98       -86.35                 1.56                  1.43            282        📈 持有
     3443.TW                  10           33.49                196.75       -79.51                 1.63                  1.37            215        ☁ 觀望
    8299.TWO                  10           39.27                195.99       -34.32                 2.06                  1.52            219        ☁ 觀望
     8046.TW                  10           33.49                195.85       -88.42                 1.73                  1.40            212        📈 持有
    3526.TWO                  10           38.54                195.12       -48.50                 2.27                  1.58            192        ☁ 觀望
     6691.TW                  20           36.26                193.53       -28.52                 4.11                  2.49             91        📈 持有
     8210.TW                  20           37.60                191.54       -32.88                 2.73                  1.74            125        ☁ 觀望
     8996.TW                  10           35.61                190.93       -69.93                 1.81                  1.43            205        ☁ 觀望
    6667.TWO                  10           35.86                190.57       -27.23                 2.47                  1.69            145        📈 持有
     3413.TW                  20           37.50                189.77       -35.03                 2.53                  1.67            136        📈 持有
     2492.TW                  10           34.17                189.14      -109.07                 1.81                  1.44            199        📈 持有
     3533.TW                  20           35.92                188.05       -49.58                 2.40                  1.59            142        📈 持有
    6584.TWO                  10           37.16                187.24       -60.71                 2.41                  1.75            148        ☁ 觀望
     6698.TW                  20           32.47                187.09       -33.27                 3.78                  2.09             77        ☁ 觀望
     2467.TW                  20           32.37                187.09       -54.12                 2.39                  1.65            139        📈 持有
    4979.TWO                  20           38.24                183.77       -94.34                 2.05                  1.46            136        📈 持有
    3265.TWO                  10           37.57                182.84       -29.86                 2.11                  1.55            189        📈 持有
    8086.TWO                  10           33.83                182.65       -72.69                 1.67                  1.38            201        📈 持有
     8033.TW                  60           32.00                182.44       -69.19                 2.94                  1.84            100        📈 持有
     3025.TW                  20           29.73                181.30       -62.52                 2.06                  1.54            148        ☁ 觀望
     9110.TW                  20           36.72                180.96       -40.05                 2.20                  1.77            177        ☁ 觀望
    4973.TWO                  20           31.85                180.05       -38.85                 2.47                  1.70            135        ☁ 觀望
     3006.TW                  20           42.22                180.01       -73.63                 2.42                  1.62            135        ☁ 觀望
    5536.TWO                  10           33.49                180.01       -43.82                 2.19                  1.60            209        📈 持有
    2755.TWO                  20           44.00                179.16       -21.21                 4.44                  3.13             75        📈 持有
    6485.TWO                  20           36.17                178.59       -53.95                 2.32                  1.60            141        ☁ 觀望
    5508.TWO                  20           33.07                178.11       -57.07                 3.19                  2.14            127        ☁ 觀望
     3652.TW                 240           52.94                177.89       -21.22                 7.10                  3.99             34        ☁ 觀望
    4991.TWO                  20           40.15                177.62       -69.81                 2.36                  1.61            132        📈 持有
    6187.TWO                  60           35.48                177.35       -33.69                 4.04                  2.10             62        📈 持有
    5403.TWO                  20           33.65                177.22       -26.68                 3.83                  2.66            104        ☁ 觀望
    3581.TWO                  10           35.09                176.57       -48.69                 1.55                  1.38            228        📈 持有
     4722.TW                  60           36.00                176.36       -18.85                 4.28                  2.73             75        📈 持有
    3317.TWO                  20           34.96                175.74       -52.49                 2.49                  1.64            123        ☁ 觀望
     6451.TW                 120           45.45                175.18       -61.78                 5.00                  2.33             44        📈 持有
    3444.TWO                  60           32.97                175.05       -54.21                 2.98                  1.92             91        📈 持有
     8478.TW                  10           32.28                174.16       -83.74                 1.83                  1.51            189        ☁ 觀望
     6431.TW                  20           34.13                174.07       -72.28                 2.52                  1.77            126        ☁ 觀望
    6535.TWO                  10           32.46                174.06       -56.70                 1.58                  1.38            191        ☁ 觀望
     2472.TW                  20           38.41                173.99       -37.65                 2.38                  1.65            138        ☁ 觀望
     3694.TW                  20           40.74                173.82       -47.20                 2.26                  1.60            135        ☁ 觀望
     1773.TW                  60           37.14                173.53       -22.77                 4.65                  3.12             70        📈 持有
     2014.TW                  20           33.04                173.28       -52.20                 2.60                  1.71            115        📈 持有
