=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
---------------------------------------------------------------------------
00696B.TWO |    MA60    |    24.2% |    -31.18% |     66
6153.TW    |    MA10    |    34.8% |     54.00% |    201
8261.TW    |    MA60    |    21.7% |    132.77% |     83
6205.TW    |    MA60    |    26.5% |    148.05% |     68
1789.TW    |    MA60    |    21.5% |    -79.74% |     79
4721.TWO   |    MA10    |    31.6% |    248.33% |    193
6924.TW    |    MA20    |    42.9% |     31.83% |     14
3044.TW    |    MA60    |    30.9% |    153.13% |     81
3011.TW    |    MA10    |    37.7% |     88.52% |    191
00676R.TW  |    MA60    |    21.4% |    -43.36% |     42
4961.TW    |    MA60    |    28.4% |    742.41% |     67
2012.TW    |    MA60    |    28.2% |     43.56% |     78
8114.TW    |    MA60    |    26.2% |     78.45% |     80
8028.TW    |    MA10    |    39.1% |    123.93% |    197
6443.TW    |    MA20    |    23.1% |    518.88% |    134
6525.TW    |    MA10    |    38.7% |     70.54% |    155
6877.TWO   |    MA10    |    36.1% |     48.28% |     61
1802.TW    |    MA60    |    28.8% |    140.10% |     73
00635U.TW  |    MA60    |    38.5% |     19.58% |     52
2408.TW    |    MA20    |    30.3% |    348.50% |    142
5546.TW    |    MA20    |    23.2% |    -76.96% |     82
3086.TWO   |    MA60    |    30.5% |    394.72% |     82
2395.TW    |    MA60    |    28.2% |    -12.64% |     78
00984B.TWO |    MA60    |   100.0% |      9.97% |      2
6176.TW    |    MA60    |    28.6% |    107.79% |     63
6811.TWO   |    MA20    |    30.8% |     41.81% |     65
4510.TWO   |    MA20    |    28.8% |    144.05% |    156
6124.TWO   |    MA60    |    25.2% |   -101.04% |    115
00757.TW   |    MA20    |    51.6% |    174.83% |     62
00945B.TW  |    MA20    |    23.5% |      7.12% |     17
4556.TWO   |    MA20    |    24.0% |   -109.55% |    167
1612.TW    |    MA60    |    31.5% |    195.23% |     73
6624.TWO   |    MA20    |    31.9% |      9.78% |    144
3081.TWO   |    MA10    |    28.9% |    198.25% |    201
6446.TW    |    MA10    |    33.3% |    296.05% |    198
6485.TWO   |    MA20    |    35.0% |    411.00% |    140
5403.TWO   |    MA20    |    34.0% |    214.43% |    103
5455.TWO   |    MA60    |    34.1% |     53.33% |     88
2374.TW    |    MA20    |    30.8% |    132.91% |    143
1443.TW    |    MA60    |    27.2% |     43.84% |    114
6141.TW    |    MA60    |    34.2% |     71.58% |     73
5243.TW    |    MA20    |    33.8% |     88.46% |    145
2303.TW    |    MA60    |    32.9% |    198.64% |     85
3372.TWO   |    MA20    |    25.7% |     40.96% |    140
4968.TW    |    MA60    |    34.0% |    407.44% |     53
2351.TW    |    MA60    |    30.0% |     84.84% |    100
2420.TW    |    MA20    |    37.5% |     67.00% |    144
911622.TW  |    MA60    |    21.4% |    -13.87% |     98
3499.TWO   |    MA20    |    24.8% |     41.49% |    145
6223.TWO   |    MA10    |    36.8% |    422.17% |    193
7583.TWO   |    MA10    |    31.7% |     13.33% |     41
2059.TW    |    MA60    |    26.1% |    134.30% |     88
3030.TW    |    MA60    |    30.3% |    144.35% |     89
00918.TW   |    MA20    |    41.2% |     43.00% |     34
3022.TW    |    MA10    |    30.2% |     34.07% |    215
4167.TWO   |    MA20    |    27.5% |    -25.02% |    149
00641R.TW  |    MA60    |    17.4% |   -125.82% |     86
2412.TW    |    MA60    |    20.9% |     -0.36% |    115
2428.TW    |    MA60    |    29.7% |     90.77% |     91
4536.TW    |    MA20    |    24.1% |    -15.58% |    158
6173.TWO   |    MA20    |    34.3% |    240.37% |    137
3231.TW    |    MA60    |    28.4% |    329.21% |     81
8930.TWO   |    MA60    |    29.9% |    185.52% |     77
2464.TW    |    MA10    |    35.5% |     49.74% |    186
2884.TW    |    MA60    |    35.8% |     61.90% |     81
5355.TWO   |    MA20    |    25.2% |     45.74% |    127
6116.TW    |    MA5     |    27.1% |     89.28% |    306
2453.TW    |    MA60    |    25.5% |     88.32% |     94
6735.TWO   |    MA10    |    36.8% |    113.00% |    106
3609.TWO   |    MA20    |    31.2% |    -66.99% |    186
8923.TWO   |    MA60    |    25.8% |   -144.65% |    178
9958.TW    |    MA60    |    25.9% |    405.99% |     81
8908.TWO   |    MA60    |    28.3% |     87.90% |    106
2885.TW    |    MA60    |    41.8% |     78.49% |     67
8472.TWO   |    MA60    |    21.6% |     66.27% |    102
3306.TWO   |    MA10    |    33.2% |     65.92% |    226
6645.TW    |    MA20    |    27.9% |    402.48% |    104
7792.TWO   |    MA20    |    25.0% |     74.42% |     16
00881.TW   |    MA10    |    31.6% |     77.38% |     79
1717.TW    |    MA10    |    26.2% |    -22.93% |    240
6127.TWO   |    MA20    |    38.0% |    135.76% |    137
7556.TWO   |    MA5     |    33.9% |     31.18% |    177
