=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
---------------------------------------------------------------------------
00696B.TWO |    MA20    |    26.2% |    -36.74% |    107
6153.TW    |    MA10    |    33.3% |     38.73% |    201
8261.TW    |    MA10    |    25.8% |    154.70% |    198
6205.TW    |    MA10    |    23.7% |    198.26% |    207
1789.TW    |    MA60    |    17.7% |    -64.48% |     79
4721.TWO   |    MA10    |    28.5% |    283.26% |    193
6924.TW    |    MA20    |    21.4% |      7.39% |     14
3044.TW    |    MA60    |    24.1% |    164.17% |     79
3011.TW    |    MA10    |    36.0% |    131.28% |    189
00676R.TW  |    MA60    |    19.0% |    -51.65% |     42
4961.TW    |    MA60    |    26.9% |    761.79% |     67
2012.TW    |    MA60    |    20.5% |     28.60% |     78
8114.TW    |    MA60    |    23.8% |     84.09% |     80
8028.TW    |    MA10    |    31.0% |    126.82% |    197
6443.TW    |    MA20    |    17.2% |    522.60% |    134
6525.TW    |    MA10    |    34.8% |     88.58% |    155
6877.TWO   |    MA10    |    31.1% |     94.02% |     61
00635U.TW  |    MA60    |    32.7% |     20.26% |     52
2408.TW    |    MA20    |    31.7% |    398.71% |    142
5546.TW    |    MA20    |    15.9% |    -84.64% |     82
3086.TWO   |    MA60    |    21.0% |    380.88% |     81
2395.TW    |    MA5     |    26.1% |   -266.31% |    348
00984B.TWO |    MA10    |    17.6% |     -1.66% |     17
6176.TW    |    MA60    |    25.4% |    118.48% |     63
6811.TWO   |    MA20    |    21.5% |     37.89% |     65
4510.TWO   |    MA20    |    21.2% |    100.04% |    156
6124.TWO   |    MA60    |    21.7% |    -98.44% |    115
00757.TW   |    MA20    |    43.5% |    168.28% |     62
00945B.TW  |    MA20    |    23.5% |      7.01% |     17
4556.TWO   |    MA60    |    13.3% |   -146.45% |    113
6624.TWO   |    MA20    |    20.1% |    -61.31% |    144
3081.TWO   |    MA10    |    30.2% |    281.36% |    199
6446.TW    |    MA10    |    26.8% |    372.64% |    198
6485.TWO   |    MA20    |    34.3% |    431.65% |    140
5403.TWO   |    MA20    |    34.0% |    201.81% |    103
5455.TWO   |    MA60    |    23.9% |     27.98% |     88
1443.TW    |    MA20    |    12.6% |   -227.12% |    238
6141.TW    |    MA60    |    24.7% |     80.08% |     73
5243.TW    |    MA20    |    31.0% |    114.71% |    145
2303.TW    |    MA60    |    27.1% |    196.57% |     85
3372.TWO   |    MA10    |    24.2% |     72.33% |    211
4968.TW    |    MA60    |    30.2% |    416.89% |     53
2420.TW    |    MA10    |    29.1% |     23.45% |    203
911622.TW  |    MA60    |    13.3% |    -55.30% |     98
3499.TWO   |    MA20    |    22.8% |     94.96% |    145
6223.TWO   |    MA10    |    36.8% |    435.26% |    193
7583.TWO   |    MA60    |    14.3% |    -20.99% |     14
3030.TW    |    MA20    |    27.3% |    145.53% |    143
00918.TW   |    MA20    |    41.2% |     43.09% |     34
3022.TW    |    MA10    |    31.3% |     74.35% |    214
4167.TWO   |    MA10    |    27.4% |     45.22% |    219
00641R.TW  |    MA60    |    16.3% |   -126.86% |     86
2412.TW    |    MA20    |    15.8% |    -75.03% |    184
2428.TW    |    MA20    |    30.7% |    155.69% |    140
4536.TW    |    MA20    |    22.6% |    -22.12% |    159
6173.TWO   |    MA20    |    29.9% |    289.62% |    137
3231.TW    |    MA60    |    24.7% |    323.27% |     81
8930.TWO   |    MA60    |    22.1% |    165.22% |     77
2464.TW    |    MA20    |    29.9% |     21.44% |    134
2884.TW    |    MA10    |    30.7% |     24.31% |    205
5355.TWO   |    MA20    |    26.8% |     68.76% |    127
6116.TW    |    MA10    |    25.4% |    108.78% |    209
2453.TW    |    MA60    |    21.3% |     75.04% |     94
6735.TWO   |    MA20    |    23.8% |     54.72% |     80
3609.TWO   |    MA20    |    19.4% |    -81.71% |    186
8923.TWO   |    MA60    |    18.5% |   -342.32% |    178
9958.TW    |    MA10    |    27.3% |    414.74% |    220
8908.TWO   |    MA60    |    12.1% |    -17.32% |    107
2885.TW    |    MA20    |    35.4% |     32.95% |    144
8472.TWO   |    MA60    |    13.7% |     47.20% |    102
3306.TWO   |    MA10    |    27.4% |     54.10% |    226
6645.TW    |    MA20    |    21.2% |    400.40% |    104
7792.TWO   |    MA20    |    25.0% |     62.86% |     16
00881.TW   |    MA10    |    35.4% |     87.49% |     79
6127.TWO   |    MA20    |    32.1% |    180.76% |    137
7556.TWO   |    MA20    |    21.0% |    -23.03% |     81
4763.TW    |    MA60    |    22.7% |    910.83% |     66
2013.TW    |    MA5     |    22.3% |     17.65% |    310
1714.TW    |    MA60    |    28.0% |    -43.02% |     75
3709.TWO   |    MA10    |    25.3% |     95.43% |    158
2352.TW    |    MA10    |    30.3% |     79.06% |    208
1568.TW    |    MA10    |    24.9% |    -61.17% |    209
5475.TWO   |    MA20    |    28.1% |    843.75% |    121
5289.TWO   |    MA20    |    32.6% |    344.68% |    132
5514.TWO   |    MA60    |    16.8% |    -13.12% |    107
3587.TWO   |    MA20    |    27.1% |    137.09% |    129
6532.TWO   |    MA60    |    39.5% |     66.96% |     76
4529.TWO   |    MA10    |    23.6% |    276.99% |    216
3523.TWO   |    MA60    |    20.3% |   -148.28% |     74
4908.TWO   |    MA10    |    32.5% |    202.50% |    206
3029.TW    |    MA60    |    28.6% |    155.85% |     84
4958.TW    |    MA10    |    29.7% |     71.19% |    202
6245.TWO   |    MA20    |    35.8% |     81.92% |    137
3583.TW    |    MA60    |    30.8% |    232.22% |     65
00940.TW   |    MA5     |    28.6% |     -8.54% |     42
3706.TW    |    MA10    |    34.8% |    262.66% |    184
5009.TWO   |    MA60    |    30.1% |     45.73% |     93
3054.TW    |    MA10    |    20.5% |   -113.10% |    239
2031.TW    |    MA5     |    30.1% |     80.13% |    292
3317.TWO   |    MA20    |    37.7% |    182.52% |    122
4416.TWO   |    MA60    |    13.6% |   -157.85% |    125
6925.TWO   |    MA10    |    28.8% |    152.37% |     59
6285.TW    |    MA10    |    27.3% |     26.09% |    209
4744.TWO   |    MA20    |    23.6% |    296.37% |    140
00642U.TW  |    MA20    |    29.8% |     -8.01% |    114
