🚀 智能量化選股報告 - 2026-03-07
==========================================================================================

【🚀超級強勢】(數量: 202)
------------------------------------------------------------------------------------------
3675.TWO | 德微         | B6: 11.71% | DMA: 25.490 | 💸流出 | 🚀DMA趨勢+多頭強勢
3036.TW  | 文曄         | B6: 11.54% | DMA: 31.290 | 💎流入 | 🚀DMA趨勢+多頭強勢
5471.TW  | 松翰         | B6: 11.30% | DMA:  6.680 | 💎流入 | 🚀DMA趨勢+多頭強勢
6679.TWO | 鈺太         | B6: 11.28% | DMA: 29.630 | 💎流入 | 🚀DMA趨勢+放量攻擊
00981A.TW | UNI-PRESIDENT ASSETS MGMT CORP  | B6: 11.21% | DMA:  2.821 | 💸流出 | 🚀DMA趨勢+多頭強勢
3481.TW  | 群創         | B6: 11.21% | DMA:  4.258 | 💎流入 | 🚀DMA趨勢+多頭強勢
6739.TWO | 竹陞科技       | B6: 11.07% | DMA:166.960 | 💎流入 | 🚀DMA趨勢+多頭強勢
3028.TW  | 增你強        | B6: 10.78% | DMA:  8.784 | 💎流入 | 🚀DMA趨勢+多頭強勢
2345.TW  | 智邦         | B6: 10.61% | DMA:176.600 | 💎流入 | 🚀DMA趨勢+多頭強勢
3555.TWO | 博士旺        | B6: 10.59% | DMA: 23.560 | 💸流出 | 🚀DMA趨勢+多頭強勢
7769.TW  | 鴻勁         | B6: 10.23% | DMA:710.600 | 💸流出 | 🚀DMA趨勢+多頭強勢
7712.TWO | 博盛半導體      | B6: 10.21% | DMA:  9.644 | 💸流出 | 🚀DMA趨勢+多頭強勢
1326.TW  | 台化         | B6: 10.05% | DMA:  8.566 | 💎流入 | 🚀DMA趨勢+多頭強勢
3206.TWO | 志豐         | B6:  9.55% | DMA:  3.290 | 💎流入 | 🚀DMA趨勢+放量攻擊
4755.TW  | 三福化        | B6:  9.37% | DMA: 20.004 | 💎流入 | 🚀DMA趨勢+多頭強勢
4764.TW  | 雙鍵         | B6:  9.31% | DMA:  7.548 | 💎流入 | 🚀DMA趨勢+放量攻擊
6271.TW  | 同欣電        | B6:  8.78% | DMA: 24.510 | 💸流出 | 🚀DMA趨勢+多頭強勢
3709.TWO | 鑫聯大投控      | B6:  8.70% | DMA:  8.692 | 💸流出 | 🚀DMA趨勢+多頭強勢
8438.TW  | 昶昕         | B6:  8.65% | DMA: 12.329 | 💎流入 | 🚀DMA趨勢+多頭強勢
2406.TW  | 國碩         | B6:  8.59% | DMA:  3.491 | 💎流入 | 🚀DMA趨勢+多頭強勢
3017.TW  | 奇鋐         | B6:  8.45% | DMA:211.200 | 💎流入 | 🚀DMA趨勢+多頭強勢
2395.TW  | 研華         | B6:  8.38% | DMA: 35.120 | 💎流入 | 🚀DMA趨勢+放量攻擊
2404.TW  | 漢唐         | B6:  8.16% | DMA: 45.280 | 💎流入 | 🚀DMA趨勢+多頭強勢
3360.TWO | 尚立         | B6:  8.09% | DMA:  1.732 | 💸流出 | 🚀DMA趨勢+多頭強勢
3430.TWO | 奇鈦科        | B6:  7.96% | DMA:  4.484 | 💎流入 | 🚀DMA趨勢+多頭強勢
6805.TW  | 富世達        | B6:  7.91% | DMA:150.600 | 💎流入 | 🚀DMA趨勢+多頭強勢
6505.TW  | 台塑化        | B6:  7.89% | DMA:  5.617 | 💎流入 | 🚀DMA趨勢+多頭強勢
6515.TW  | 穎崴         | B6:  7.76% | DMA:1102.200 | 💎流入 | 🚀DMA趨勢+多頭強勢
