📅 統計區間: 20260101 | T+1 限制

💎 00950B.TWO 未知         | 股價:   14.42 | 買超:   158946張 | 勝率:  55.0%
💎 2105.TW    正新         | 股價:   29.35 | 買超:    29354張 | 勝率: 46.67%
💎 00720B.TWO 未知         | 股價:   33.82 | 買超:    20914張 | 勝率: 47.62%
💎 00725B.TWO 未知         | 股價:   35.85 | 買超:    15775張 | 勝率:  50.0%
💎 1802.TW    台玻         | 股價:    59.1 | 買超:    15129張 | 勝率:  55.0%
💎 2867.TW    三商壽        | 股價:    8.06 | 買超:     8743張 | 勝率:  70.0%
💎 00753L.TW  未知         | 股價:   10.81 | 買超:     8540張 | 勝率: 63.64%
💎 1605.TW    華新         | 股價:   32.75 | 買超:     6541張 | 勝率: 44.44%
💎 009815.TWO 大華美國MAG7+  | 股價:    9.66 | 買超:     5655張 | 勝率:   0.0%
💎 00700.TW   富邦�琤肭磪�    | 股價:   17.35 | 買超:     4944張 | 勝率: 54.55%
💎 00968B.TWO 未知         | 股價:    9.45 | 買超:     4804張 | 勝率: 57.89%
💎 00752.TW   中信中國50     | 股價:   24.28 | 買超:     3550張 | 勝率:  60.0%
💎 4904.TW    遠傳         | 股價:    93.0 | 買超:     3158張 | 勝率: 53.33%
💎 2014.TW    中鴻         | 股價:   18.05 | 買超:     2804張 | 勝率:  50.0%
💎 2486.TW    一詮         | 股價:   135.5 | 買超:     2285張 | 勝率: 73.68%
💎 1560.TW    中砂         | 股價:   486.5 | 買超:     1568張 | 勝率:  50.0%
💎 3708.TW    上緯投控       | 股價:   117.5 | 買超:     1293張 | 勝率: 53.85%
💎 2331.TW    精英         | 股價:    24.2 | 買超:     1193張 | 勝率: 46.15%
💎 3293.TWO   鈊象         | 股價:   716.0 | 買超:     1177張 | 勝率: 53.33%
💎 2355.TW    敬鵬         | 股價:   43.45 | 買超:     1098張 | 勝率: 63.64%
💎 2441.TW    超豐         | 股價:    87.8 | 買超:     1065張 | 勝率: 58.82%
💎 00665L.TW  未知         | 股價:     9.8 | 買超:     1041張 | 勝率: 58.33%
💎 1773.TW    勝一         | 股價:   149.0 | 買超:     1013張 | 勝率:  50.0%
💎 6120.TW    達運         | 股價:    13.3 | 買超:      866張 | 勝率: 41.18%
💎 7795.TW    長廣         | 股價:   410.0 | 買超:      840張 | 勝率:  50.0%
💎 7780.TW    大研生醫*      | 股價:   22.15 | 買超:      808張 | 勝率:  50.0%
💎 1528.TW    恩德         | 股價:    22.4 | 買超:      795張 | 勝率: 53.85%
💎 4939.TWO   亞電         | 股價:    33.1 | 買超:      705張 | 勝率: 61.54%
💎 1455.TW    集盛         | 股價:    8.85 | 買超:      497張 | 勝率: 61.54%
💎 7769.TW    鴻勁         | 股價:  4215.0 | 買超:      439張 | 勝率: 63.64%
💎 6209.TW    今國光        | 股價:    56.6 | 買超:      418張 | 勝率: 64.29%
💎 3135.TW    凌航         | 股價:   118.5 | 買超:      410張 | 勝率: 56.25%
💎 5284.TW    jpp-KY     | 股價:   278.5 | 買超:      397張 | 勝率:  50.0%
