Stock          Period       Win%        Return%   Trades    F_Sum5D Status              
------------------------------------------------------------------------------------------
5340.TWO            3      50.74      111221.39     1006        409 📈 持有 → 繼續持有         
5475.TWO            3      49.72       78573.67     1014        104 📈 持有 → 繼續持有         
1471.TW             4      50.85       71874.11      850         73 📉 建議賣出              
6541.TW             3      51.44       36801.38      859         57 📈 持有 → 繼續持有         
9906.TW             4      51.37        34635.3      823        181 📈 持有 → 繼續持有         
2014.TW             4       51.1       29545.73      817       2804 📈 持有 → 繼續持有         
2486.TW             3      52.48       25880.07      956       2285 📈 持有 → 繼續持有         
8111.TWO           11      50.91        22340.8      403       -170 📉 建議賣出              
2609.TW             7      51.42       21836.89      563       7353 📈 持有 → 繼續持有         
9103.TW             3      47.18       19959.82     1011        521 📈 持有 → 繼續持有         
8444.TWO            8      53.64       17431.05      463          9 📉 建議賣出              
6485.TWO            3      51.02       15477.56      954        485 📈 持有 → 繼續持有         
6535.TWO            3      50.42       14875.85      878        -17 📉 建議賣出              
3541.TWO            3      50.65       14647.62     1004          4 📈 持有 → 繼續持有         
4943.TW            15      51.79       14364.06      323          0 📈 持有 → 繼續持有         
3498.TWO            3      48.86       13627.65     1050       2271 📉 建議賣出              
2425.TW             5       52.2       13216.64      683       -113 📉 建議賣出              
3018.TW             3      50.43       12833.94      943          0 📉 建議賣出              
5484.TW             3      48.83       12379.98     1021         49 📈 持有 → 繼續持有         
5608.TW             4      51.52       12347.24      790        391 📉 建議賣出              
6548.TWO            6      51.25       11296.16      562       -193 📈 持有 → 繼續持有         
3083.TWO            3      49.42       11095.77     1024         -4 📈 持有 → 繼續持有         
1569.TWO            4      50.07       11024.65      830        170 📉 建議賣出              
2363.TW             4      50.98       10919.37      840        773 📈 持有 → 繼續持有         
5225.TW             4      51.08       10758.11      846       -629 📉 建議賣出              
3167.TW             5      50.02       10711.54      715       -216 📈 持有 → 繼續持有         
3693.TWO           20      51.04       10640.95      258         89 📈 持有 → 繼續持有         
2349.TW             3      49.48       10275.35     1020        573 📈 持有 → 繼續持有         
6209.TW             6      49.09       10231.34      682        418 📉 建議賣出              
3040.TW             3      51.28       10226.84      962         51 📈 持有 → 繼續持有         
6284.TWO            4      49.89       10129.78      837       -852 📉 建議賣出              
3563.TW             9      51.18         9946.2      476       1695 📈 持有 → 繼續持有         
6116.TW             5      51.08        9572.26      721      -9549 📈 持有 → 繼續持有         
3406.TW            18      49.27        8682.66      332       -567 📉 建議賣出              
6550.TW             3      51.04        8243.32      805       -783 📈 持有 → 繼續持有         
3205.TWO            4      48.54        7944.99      818         48 📈 持有 → 繼續持有         
6446.TW            10      51.72        7863.15      440      -1380 📉 建議賣出              
6683.TWO           15      51.24         7699.7      208         40 📈 持有 → 繼續持有         
8431.TWO            3      49.85        7654.95      985       -102 📈 持有 → 繼續持有         
4989.TW             4       50.8        7612.32      637       8265 📈 持有 → 繼續持有         
5301.TWO            4      53.76        7205.01      745         -1 📈 持有 → 繼續持有         
4961.TW             3      50.66        7073.44     1033       -601 📈 持有 → 繼續持有         
6442.TW             4       50.8        6896.27      802       -604 📉 建議賣出              
4956.TW             4      49.93        6881.41      837        917 📈 持有 → 繼續持有         
3508.TWO           18      50.31        6734.65      296        -68 📈 持有 → 繼續持有         
3689.TWO           15       49.8        6677.88      358      -1151 📉 建議賣出              
3535.TW             3      49.91        6627.11     1043        761 📈 持有 → 繼續持有         
4147.TWO            3      50.13        6591.61      997         16 📈 持有 → 繼續持有         
6499.TWO            8      50.42        6480.95      470        -27 📉 建議賣出              
6143.TWO            4       50.9        6006.38      830       -775 📉 建議賣出              
