     Stock        Name  Score    Close                                BuyReason
  4991.TWO       環宇-KY    6.5   309.00 ADX轉強 | 【EPS連2成長 | 營收爆發(155.98%) | 董監加碼】
  5536.TWO         聖暉*    6.5   658.00  ADX轉強 | 【EPS連2成長 | 營收爆發(38.79%) | 董監加碼】
   6994.TW        富威電力    6.5    78.60 ADX轉強 | 【EPS連2成長 | 營收爆發(114.38%) | 董監加碼】
   6944.TW        兆聯實業    5.5   690.00         ADX轉強 | 【EPS連2成長 | 營收爆發(51.58%)】
   2059.TW          川湖    5.5  3000.00         ADX轉強 | 【EPS連2成長 | 營收爆發(31.16%)】
  5302.TWO          太欣    5.5    11.00         ADX轉強 | 【EPS連2成長 | 營收爆發(69.18%)】
   2369.TW          菱生    5.5    25.35         ADX轉強 | 【EPS連2成長 | 營收爆發(61.87%)】
   6005.TW         群益證    5.5    28.10        ADX轉強 | 【EPS連2成長 | 營收爆發(129.99%)】
   2344.TW         華邦電    5.5   101.00         ADX轉強 | 【EPS連2成長 | 營收爆發(88.45%)】
   2467.TW          志聖    5.5   354.00         ADX轉強 | 【EPS連2成長 | 營收爆發(124.1%)】
  4123.TWO          晟德    5.5    44.55         ADX轉強 | 【EPS連2成長 | 營收爆發(56.42%)】
  3205.TWO          佰研    5.5    51.20         ADX轉強 | 【EPS連2成長 | 營收爆發(33.97%)】
  3093.TWO         港建*    5.0    34.00             ADX轉強 | 【營收爆發(90.8%) | 董監加碼】
  8932.TWO         智通*    5.0    89.80            ADX轉強 | 【營收爆發(30.79%) | 董監加碼】
  3147.TWO          大綜    5.0   177.00           ADX轉強 | 【營收爆發(206.61%) | 董監加碼】
   3036.TW          文曄    5.0   215.50           ADX轉強 | 【營收爆發(151.67%) | 董監加碼】
  8299.TWO          群聯    4.5  1605.00         【EPS連2成長 | 營收爆發(169.43%) | 董監加碼】
  3088.TWO          艾訊    4.5    77.20          【EPS連2成長 | 營收爆發(50.04%) | 董監加碼】
   6120.TW          達運    4.5    12.70                 ADX轉強 | 【EPS連2成長 | 董監加碼】
   6902.TW    GOGOLOOK    4.5    77.00          【EPS連2成長 | 營收爆發(37.39%) | 董監加碼】
  6217.TWO         中探針    4.0    99.90                   ADX轉強 | 【營收爆發(42.94%)】
  4908.TWO          前鼎    4.0    87.80                   ADX轉強 | 【營收爆發(66.88%)】
   4137.TW       麗豐-KY    4.0   115.50                  ADX轉強 | 【營收爆發(117.15%)】
   7740.TW       熙特爾-創    4.0   189.50                  ADX轉強 | 【營收爆發(604.32%)】
   2406.TW          國碩    4.0    32.05                  ADX轉強 | 【營收爆發(188.65%)】
   3062.TW          建漢    4.0    23.35                   ADX轉強 | 【營收爆發(67.97%)】
   2404.TW          漢唐    4.0  1070.00                   ADX轉強 | 【營收爆發(58.89%)】
   6531.TW         愛普*    4.0   403.00                  ADX轉強 | 【營收爆發(146.68%)】
   8926.TW         台汽電    4.0    45.00                 ADX轉強 | 【營收爆發(1067.24%)】
  8431.TWO         匯鑽科    4.0    60.60                    ADX轉強 | 【營收爆發(32.1%)】
  5328.TWO          華容    4.0    25.45                   ADX轉強 | 【營收爆發(35.41%)】
  2641.TWO          正德    4.0    18.60                   ADX轉強 | 【營收爆發(33.43%)】
   2022.TW          聚亨    4.0     8.84                   ADX轉強 | 【營收爆發(76.64%)】
   3702.TW         大聯大    4.0    69.90                   ADX轉強 | 【營收爆發(44.57%)】
   3028.TW         增你強    4.0    51.90                  ADX轉強 | 【營收爆發(108.55%)】
  6016.TWO         康和證    4.0    16.15                  ADX轉強 | 【營收爆發(151.85%)】
  1599.TWO         宏佳騰    4.0    26.15                   ADX轉強 | 【營收爆發(39.86%)】
  4903.TWO         聯光通    4.0    40.25                   ADX轉強 | 【營收爆發(102.6%)】
   2377.TW          微星    4.0    92.80                   ADX轉強 | 【營收爆發(33.73%)】
  4768.TWO        晶呈科技    4.0   401.50                  ADX轉強 | 【營收爆發(228.67%)】
  5291.TWO          邑昇    4.0    54.70                   ADX轉強 | 【營收爆發(34.27%)】
   2308.TW         台達電    4.0  1220.00                   ADX轉強 | 【營收爆發(32.87%)】
  6894.TWO         衛司特    4.0   293.50                   ADX轉強 | 【營收爆發(55.42%)】
   4943.TW       康控-KY    4.0    12.20                    ADX轉強 | 【營收爆發(38.5%)】
   2543.TW          皇昌    4.0    72.50                   ADX轉強 | 【營收爆發(34.97%)】
   1256.TW     鮮活果汁-KY    4.0   161.00                   ADX轉強 | 【營收爆發(87.61%)】
  4971.TWO      IET-KY    4.0   412.50                   ADX轉強 | 【營收爆發(43.13%)】
  8087.TWO        麗升能源    4.0    32.60                   ADX轉強 | 【營收爆發(883.4%)】
   1235.TW          興泰    4.0    38.70                  ADX轉強 | 【營收爆發(177.24%)】
  3066.TWO          李洲    4.0    15.75                   ADX轉強 | 【營收爆發(42.57%)】
   6477.TW          安集    4.0    37.20                   ADX轉強 | 【營收爆發(78.94%)】
  8358.TWO          金居    4.0   232.50                   ADX轉強 | 【營收爆發(45.92%)】
   2855.TW         統一證    4.0    29.30                  ADX轉強 | 【營收爆發(373.49%)】
  3691.TWO          碩禾    4.0   113.00                  ADX轉強 | 【營收爆發(195.71%)】
   2645.TW        長榮航太    4.0   152.00                   ADX轉強 | 【營收爆發(34.77%)】
   8021.TW          尖點    4.0   211.50                   ADX轉強 | 【營收爆發(42.47%)】
  7583.TWO        國際海洋    4.0    68.00                   ADX轉強 | 【營收爆發(64.81%)】
  6560.TWO         欣普羅    4.0    39.00                   ADX轉強 | 【營收爆發(55.97%)】
  6727.TWO        亞泰金屬    4.0   183.00                   ADX轉強 | 【營收爆發(265.8%)】
  3207.TWO          耀勝    4.0    77.90                   ADX轉強 | 【營收爆發(45.99%)】
   1529.TW        樂事綠能    4.0    26.15                  ADX轉強 | 【營收爆發(277.22%)】
  4702.TWO         中美實    4.0    10.05                    ADX轉強 | 【營收爆發(51.9%)】
  6788.TWO         華景電    4.0   314.00                   ADX轉強 | 【營收爆發(35.54%)】
   2478.TW          大毅    4.0    65.90                   ADX轉強 | 【營收爆發(37.97%)】
   6669.TW          緯穎    4.0  3930.00                  ADX轉強 | 【營收爆發(103.44%)】
   1514.TW          亞力    3.5   111.00                 【EPS連2成長 | 營收爆發(68.91%)】
   8046.TW          南電    3.5   423.00                        ADX轉強 | 【EPS連2成長】
   2423.TW          固緯    3.5    46.65                 【EPS連2成長 | 營收爆發(46.67%)】
   6415.TW      矽力*-KY    3.5   233.00                 【EPS連2成長 | 營收爆發(46.42%)】
  3663.TWO          鑫科    3.5    54.60                【EPS連2成長 | 營收爆發(157.91%)】
   9937.TW          全國    3.5    63.10                        ADX轉強 | 【EPS連2成長】
   3530.TW         晶相光    3.5    55.00                 【EPS連2成長 | 營收爆發(33.12%)】
   3092.TW          鴻碩    3.5    30.65                        ADX轉強 | 【EPS連2成長】
   2542.TW         興富發    3.5    35.65               【EPS連2成長 | 營收爆發(2480.63%)】
   9917.TW         中保科    3.5   104.00                        ADX轉強 | 【EPS連2成長】
  5223.TWO       安力-KY    3.5    29.85                        ADX轉強 | 【EPS連2成長】
   5484.TW          慧友    3.5    33.30                【EPS連2成長 | 營收爆發(137.98%)】
   2353.TW         宏��    3.5    26.20                 【EPS連2成長 | 營收爆發(39.83%)】
   6831.TW          邁科    3.5   267.00                 【EPS連2成長 | 營收爆發(43.88%)】
   3535.TW         晶彩科    3.5   147.00               【EPS連2成長 | 營收爆發(9477.22%)】
   1525.TW          江申    3.5    61.70                 【EPS連2成長 | 營收爆發(36.82%)】
   8462.TW          柏文    3.5   134.50                 【EPS連2成長 | 營收爆發(30.55%)】
   4967.TW          十銓    3.5   182.00                【EPS連2成長 | 營收爆發(112.73%)】
  5498.TWO          凱崴    3.5    55.10                 【EPS連2成長 | 營收爆發(54.92%)】
   7786.TW        東方風能    3.5   144.00                  【EPS連2成長 | 營收爆發(62.9%)】
  4979.TWO         華星光    3.5   341.50                        ADX轉強 | 【EPS連2成長】
  3374.TWO          精材    3.5   163.00                  【EPS連2成長 | 營收爆發(45.8%)】
   2597.TW          潤弘    3.5   164.00                 【EPS連2成長 | 營收爆發(62.65%)】
  6465.TWO          威潤    3.5    33.55                 【EPS連2成長 | 營收爆發(45.25%)】
   2605.TW          新興    3.5    34.10                        ADX轉強 | 【EPS連2成長】
   8162.TW      微矽電子-創    3.5    37.50                        ADX轉強 | 【EPS連2成長】
   1597.TW          直得    3.5    70.30                 【EPS連2成長 | 營收爆發(39.89%)】
   6830.TW          汎銓    3.5   386.50                        ADX轉強 | 【EPS連2成長】
   5521.TW          工信    3.5    18.80                        ADX轉強 | 【EPS連2成長】
   6451.TW       訊芯-KY    3.5   171.00                        ADX轉強 | 【EPS連2成長】
   2204.TW          中華    3.5    54.10                 【EPS連2成長 | 營收爆發(47.49%)】
   1528.TW          恩德    3.5    21.05                 【EPS連2成長 | 營收爆發(44.26%)】
  6275.TWO          元山    3.5    47.95                 【EPS連2成長 | 營收爆發(40.35%)】
   4770.TW          上品    3.5   219.50                 【EPS連2成長 | 營收爆發(51.15%)】
   2606.TW          裕民    3.5    60.40                        ADX轉強 | 【EPS連2成長】
  5340.TWO          建榮    3.5   105.00                        ADX轉強 | 【EPS連2成長】
  6435.TWO          大中    3.5   142.50                        ADX轉強 | 【EPS連2成長】
  3163.TWO         波若威    3.5   651.00                 【EPS連2成長 | 營收爆發(47.89%)】
   3037.TW          欣興    3.5   389.00                        ADX轉強 | 【EPS連2成長】
   4551.TW         智伸科    3.5   111.00                        ADX轉強 | 【EPS連2成長】
   3443.TW          創意    3.5  2190.00                 【EPS連2成長 | 營收爆發(60.15%)】
   8150.TW          南茂    3.5    58.40                 【EPS連2成長 | 營收爆發(31.23%)】
   3006.TW         晶豪科    3.5   132.00                 【EPS連2成長 | 營收爆發(128.4%)】
  4973.TWO          廣穎    3.5    46.05                 【EPS連2成長 | 營收爆發(42.53%)】
   7610.TW      聯友金屬-創    3.5   285.50                【EPS連2成長 | 營收爆發(422.68%)】
  4806.TWO        桂田文創    3.5    11.30                【EPS連2成長 | 營收爆發(203.86%)】
   2374.TW          佳能    3.5    68.20                 【EPS連2成長 | 營收爆發(109.5%)】
   8028.TW       昇陽半導體    3.5   159.50                        ADX轉強 | 【EPS連2成長】
