📅 掃描日期: 20260309 | 區間: 20260101 至今
股票代碼         名稱              收盤價    信心%        勝率%        報酬%         外資5日 形態建議                
-------------------------------------------------------------------------------------------------------------------
00985B.TW    群益ESG投等債0-5    10.35    100      45.95       1.23        11815 🟢 迎接暴漲 (上升楔形)       
00687B.TWO   國泰20年美債       29.03    100      56.76       3.27       135698 🟢 迎接暴漲 (上升楔形)       
00751B.TWO   元大AAA至A公司債    32.67    100      51.35       2.19       128473 🟢 迎接暴漲 (上升楔形)       
00968B.TWO   元大優息投等債        9.45    100      51.35        2.0         5886 🟢 迎接暴漲 (上升楔形)       
6174.TWO     安��            22.3    100      43.24       6.19            7 🟢 迎接暴漲 (上升楔形)       
8069.TWO     元太            165.0    100      40.54     -17.91       -10702 🔴 防範暴跌 (M頭)         
00634R.TW    富邦上証反1         3.31    100      43.24       3.76           82 🟢 迎接暴漲 (上升楔形)       
3205.TWO     佰研             52.0    100      48.65       1.76          113 🟢 迎接暴漲 (上升楔形)       
3045.TW      台灣大           108.0    100      35.14        0.0        10780 🟢 迎接暴漲 (上升楔形)       
00719B.TWO   元大美債1-3       31.26    100      43.24       1.22         3523 🟢 迎接暴漲 (上升楔形)       
1340.TW      勝悅-KY          7.27    100      45.95      -0.27          -13 🔴 防範暴跌 (M頭)         
00931B.TWO   統一美債20年        14.0    100      56.76       3.26        25230 🟢 迎接暴漲 (上升楔形)       
00772B.TWO   中信高評級公司債       34.5    100      51.35       2.33        14479 🟢 迎接暴漲 (上升楔形)       
00662.TW     富邦NASDAQ     102.05    100      54.05      -0.63        -2878 🟢 迎接暴漲 (上升楔形)       
3577.TWO     泓格             60.1    100      43.24      -3.99          -79 🔴 防範暴跌 (M頭)         
2412.TW      中華電           136.5    100      43.24       3.41        31184 🟢 迎接暴漲 (上升楔形)       
3073.TWO     天方能源           30.1    100      35.14      -1.47          -18 🔴 防範暴跌 (M頭)         
6730.TWO     常廣            37.45    100      40.54        0.4            4 🟢 迎接暴漲 (上升楔形)       
00864B.TWO   中信美國公債0-1     46.24    100      43.24        1.4         4797 🟢 迎接暴漲 (上升楔形)       
6844.TWO     諾貝兒            64.6    100      27.03     -14.78            1 🟢 迎接暴漲 (上升楔形)       
2035.TWO     唐榮            28.65    100      32.43      -6.07            1 🟢 迎接暴漲 (上升楔形)       
00982D.TW    主動富邦動態入息      10.19    100       50.0       0.61         4749 🟢 迎接暴漲 (上升楔形)       
00937B.TWO   群益ESG投等債20+    15.16    100      51.35        1.9       136172 🟢 迎接暴漲 (上升楔形)       
00720B.TWO   元大投資級公司債      33.82    100      54.05       2.23        24069 🟢 迎接暴漲 (上升楔形)       
00949.TW     復華日本龍頭        19.66    100      48.65       7.55           42 🔴 防範暴跌 (M頭)         
00725B.TWO   國泰投資級公司債      35.85    100      54.05       2.13        17545 🟢 迎接暴漲 (上升楔形)       
00773B.TWO   中信優先金融債       36.77    100      48.65       1.64         4569 🟢 迎接暴漲 (上升楔形)       
00857B.TWO   未知            24.19    100      56.76       3.38        13069 🟢 迎接暴漲 (上升楔形)       
7737.TWO     凱鈿             38.6    100      35.14       0.92            0 🔴 防範暴跌 (M頭)         
3454.TW      晶睿             99.3    100      29.73       0.51           85 🟢 迎接暴漲 (上升楔形)       
00640L.TW    未知             90.5    100      59.46      14.63           16 🔴 防範暴跌 (M頭)         
2434.TW      統懋             30.0    100      40.54      -7.12           -4 🟢 迎接暴漲 (上升楔形)       
00696B.TWO   富邦美債20年       30.13    100      56.76        3.3        16382 🟢 迎接暴漲 (上升楔形)       
5009.TWO     榮剛             35.5    100      56.76      11.29        -1824 🟢 迎接暴漲 (上升楔形)       
2010.TW      春源            22.85    100      54.05      10.92         1844 🟢 迎接暴漲 (上升楔形)       
3663.TWO     鑫科             56.7    100      40.54      -6.59          111 🔴 防範暴跌 (M頭)         
9917.TW      中保科           106.0    100      32.43      -1.85         -127 🟢 迎接暴漲 (上升楔形)       
8103.TW      瀚荃             91.5    100      56.76       4.45         -412 🔴 防範暴跌 (M頭)         
00795B.TWO   中信美國公債20年      27.9    100      56.76        3.3       137030 🟢 迎接暴漲 (上升楔形)       
00948B.TWO   中信優息投資級債       9.67    100      51.35       2.12        31042 🟢 迎接暴漲 (上升楔形)       
00761B.TWO   國泰A級公司債       35.23    100      45.95       2.01          489 🟢 迎接暴漲 (上升楔形)       
00950B.TWO   凱基A級公司債       14.42    100      54.05       1.79       161138 🟢 迎接暴漲 (上升楔形)       
00764B.TWO   未知            29.01    100      56.76       3.24        29550 🟢 迎接暴漲 (上升楔形)       
