=== 20260309 K棒型態掃描報表 ===
Stock           Close      Vol_R    Pattern
----------------------------------------------------------------------
911608.TW       3.03       3.26     ★量能爆發 / 吊人線(警戒)
2012.TW         15.50      2.03     ★量能爆發 / 十字星 / 向下跳空
8028.TW         159.50     0.94     向下跳空 / !!黃昏星(頂反轉)
00757.TW        108.55     1.81     ★量能爆發 / 向下跳空
6624.TWO        59.40      1.14     !!多頭吞噬(強漲)
00685L.TW       153.50     1.63     ★量能爆發 / 向下跳空
2420.TW         50.00      1.69     ★量能爆發 / 十字星 / 向下跳空
3022.TW         58.70      2.21     ★量能爆發
4167.TWO        20.30      2.91     ★量能爆發 / 十字星
2428.TW         157.50     1.54     ★量能爆發 / 向下跳空
8923.TWO        18.70      3.52     ★量能爆發 / 向下跳空
8932.TWO        89.80      6.00     ★量能爆發 / 十字星 / 向下跳空
8908.TWO        48.95      1.87     ★量能爆發
6645.TW         14.90      2.34     ★量能爆發 / 大陰線
7556.TWO        168.50     1.71     ★量能爆發
2535.TW         69.00      1.89     ★量能爆發 / 向下跳空
2013.TW         43.80      2.69     ★量能爆發
1714.TW         9.76       1.66     ★量能爆發 / 倒錘子(試攻)
3587.TWO        193.50     0.98     向下跳空 / !!黃昏星(頂反轉)
4416.TWO        15.05      3.80     ★量能爆發 / 十字星 / 向下跳空
00642U.TW       27.95      2.15     ★量能爆發 / 十字星 / 射擊之星(見頂) / 向上跳空
8112.TW         71.50      1.86     ★量能爆發 / 大陽線 / !!多頭吞噬(強漲)
6961.TWO        59.70      2.37     ★量能爆發
7752.TWO        49.55      1.87     ★量能爆發 / 大陰線
00664R.TW       2.40       1.53     ★量能爆發 / 向上跳空
1219.TW         13.90      2.58     ★量能爆發
2252.TWO        13.60      2.10     ★量能爆發 / 大陰線
1795.TW         253.50     1.19     向下跳空 / !!黃昏星(頂反轉)
6799.TW         72.50      1.00     錘子線(止跌) / 向下跳空 / !!黃昏星(頂反轉)
3664.TWO        14.70      1.90     ★量能爆發 / 十字星
5228.TWO        21.20      0.69     向下跳空 / !!黃昏星(頂反轉)
6906.TW         67.90      1.92     ★量能爆發 / 十字星
8489.TWO        22.60      1.63     ★量能爆發 / 大陰線
1773.TW         140.00     1.11     向下跳空 / !!黃昏星(頂反轉)
6844.TWO        62.90      2.07     ★量能爆發 / 十字星 / 錘子線(止跌) / 向下跳空 / !!黃昏星(頂反轉)
6931.TW         51.90      2.69     ★量能爆發
3521.TWO        14.30      2.20     ★量能爆發
3266.TW         13.10      2.30     ★量能爆發 / 大陰線 / 向下跳空
2812.TW         20.15      1.53     ★量能爆發
2724.TWO        19.45      2.16     ★量能爆發 / 十字星
