🚀 智能量化選股報告 - 2026-03-09
==========================================================================================

【🚀超級強勢】(數量: 67)
------------------------------------------------------------------------------------------
3481.TW  | 群創         | B6: 12.15% | DMA:  4.553 | 💎流入 | 🚀DMA趨勢+多頭強勢
00642U.TW | 期元大S&P石油   | B6: 11.57% | DMA:  3.375 | 💎流入 | 🚀DMA趨勢+放量攻擊
6505.TW  | 台塑化        | B6:  9.40% | DMA:  7.102 | 💎流入 | 🚀DMA趨勢+多頭強勢
3709.TWO | 鑫聯大投控      | B6:  8.76% | DMA:  9.712 | 💎流入 | 🚀DMA趨勢+多頭強勢
3093.TWO | 港建*        | B6:  7.37% | DMA:  2.564 | 💎流入 | 🚀DMA趨勢+放量攻擊
2387.TW  | 精元         | B6:  7.02% | DMA:  2.809 | 💎流入 | 🚀DMA趨勢+多頭強勢
1225.TW  | 福懋油        | B6:  7.02% | DMA:  2.095 | 💎流入 | 🚀DMA趨勢+放量攻擊
1593.TWO | 祺驊         | B6:  6.78% | DMA:  2.349 | 💎流入 | 🚀DMA趨勢+放量攻擊
6225.TW  | 天瀚         | B6:  6.62% | DMA:  1.432 | 💎流入 | 🚀DMA趨勢+多頭強勢
8937.TWO | 合騏         | B6:  6.34% | DMA:  3.340 | 💎流入 | 🚀DMA趨勢+多頭強勢
7730.TW  | 暉盛-創       | B6:  5.84% | DMA:  8.210 | 💎流入 | 🚀DMA趨勢+多頭強勢
2104.TW  | 國際中橡       | B6:  5.70% | DMA:  0.939 | 💸流出 | 🚀DMA趨勢+多頭強勢
2615.TW  | 萬海         | B6:  5.16% | DMA:  1.746 | 💸流出 | 🚀DMA趨勢+多頭強勢
1310.TW  | 台苯         | B6:  4.98% | DMA:  0.740 | 💎流入 | 🚀DMA趨勢+放量攻擊
6508.TWO | 惠光         | B6:  4.49% | DMA:  1.236 | 💎流入 | 🚀DMA趨勢+放量攻擊
4137.TW  | 麗豐-KY      | B6:  4.36% | DMA:  7.196 | 💎流入 | 🚀DMA趨勢+多頭強勢
