Quantum AI Pro 分析報告 (20260311)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                                    Reason
   6994.TW                            富威電力    6.5    87.70 🚀 極強勢攻擊   50.0% 趨勢強勁 / 【EPS連2成長 | 營收爆發(114.38%) | 董監持股增加】
   6944.TW                            兆聯實業    5.5   743.00 🚀 極強勢攻擊   44.4%           趨勢強勁 / 【EPS連2成長 | 營收爆發(51.58%)】
   2467.TW                              志聖    5.5   368.00 🚀 極強勢攻擊   75.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(124.1%)】
  4123.TWO                              晟德    5.5    44.40 🚀 極強勢攻擊   50.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(56.42%)】
  3093.TWO                             港建*    5.0    33.55 🚀 極強勢攻擊   47.4%             趨勢強勁 / 【營收爆發(90.8%) | 董監持股增加】
   3036.TW                              文曄    5.0   231.50 🚀 極強勢攻擊   77.8%           趨勢強勁 / 【營收爆發(151.67%) | 董監持股增加】
  5536.TWO                             聖暉*    4.5   697.00 🚀 極強勢攻擊   45.0%         【EPS連2成長 | 營收爆發(38.79%) | 董監持股增加】
   3702.TW                             大聯大    4.0    72.80 🚀 極強勢攻擊   50.0%                     趨勢強勁 / 【營收爆發(44.57%)】
   2404.TW                              漢唐    4.0  1085.00 🚀 極強勢攻擊   60.0%                     趨勢強勁 / 【營收爆發(58.89%)】
  5291.TWO                              邑昇    4.0    53.00 🚀 極強勢攻擊   63.2%                     趨勢強勁 / 【營收爆發(34.27%)】
   1256.TW                         鮮活果汁-KY    4.0   171.00 🚀 極強勢攻擊   54.5%                     趨勢強勁 / 【營收爆發(87.61%)】
   6477.TW                              安集    4.0    39.35 🚀 極強勢攻擊   60.0%                     趨勢強勁 / 【營收爆發(78.94%)】
   4943.TW                           康控-KY    4.0    12.20 🚀 極強勢攻擊    0.0%                      趨勢強勁 / 【營收爆發(38.5%)】
  8087.TWO                            麗升能源    4.0    34.05 🚀 極強勢攻擊   26.7%                     趨勢強勁 / 【營收爆發(883.4%)】
   4137.TW                           麗豐-KY    4.0   111.00 🚀 極強勢攻擊   52.6%                    趨勢強勁 / 【營收爆發(117.15%)】
   2406.TW                              國碩    4.0    34.15 🚀 極強勢攻擊   62.5%                    趨勢強勁 / 【營收爆發(188.65%)】
   2543.TW                              皇昌    4.0    74.00 🚀 極強勢攻擊   36.4%                     趨勢強勁 / 【營收爆發(34.97%)】
  6894.TWO                             衛司特    4.0   308.50 🚀 極強勢攻擊   60.0%                     趨勢強勁 / 【營收爆發(55.42%)】
   1529.TW                            樂事綠能    4.0    27.40 🚀 極強勢攻擊   57.1%                    趨勢強勁 / 【營收爆發(277.22%)】
   3706.TW                              神達    4.0    82.90 🚀 極強勢攻擊   40.0%                     趨勢強勁 / 【營收爆發(34.35%)】
   6531.TW                             愛普*    4.0   441.50 🚀 極強勢攻擊   33.3%                    趨勢強勁 / 【營收爆發(146.68%)】
   3029.TW                              零壹    4.0   115.00 🚀 極強勢攻擊   47.4%                      趨勢強勁 / 【營收爆發(31.5%)】
  3207.TWO                              耀勝    4.0    75.90 🚀 極強勢攻擊   16.7%                     趨勢強勁 / 【營收爆發(45.99%)】
  5205.TWO                              中茂    4.0    28.80 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(204.44%)】
   6669.TW                              緯穎    4.0  4190.00 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(103.44%)】
  4908.TWO                              前鼎    4.0    94.50 🚀 極強勢攻擊   52.9%                     趨勢強勁 / 【營收爆發(66.88%)】
  6788.TWO                             華景電    4.0   347.50 🚀 極強勢攻擊   66.7%                     趨勢強勁 / 【營收爆發(35.54%)】
  4768.TWO                            晶呈科技    4.0   440.50 🚀 極強勢攻擊   33.3%                    趨勢強勁 / 【營收爆發(228.67%)】
  3066.TWO                              李洲    4.0    16.25 🚀 極強勢攻擊   16.7%                     趨勢強勁 / 【營收爆發(42.57%)】
  3709.TWO                           鑫聯大投控    4.0    68.00 🚀 極強勢攻擊   57.1%                    趨勢強勁 / 【營收爆發(132.66%)】
  1294.TWO                            漢田生技    4.0    91.80 🚀 極強勢攻擊   35.7%                    趨勢強勁 / 【營收爆發(117.94%)】
   2377.TW                              微星    4.0    94.50 🚀 極強勢攻擊   46.7%                     趨勢強勁 / 【營收爆發(33.73%)】
   4770.TW                              上品    3.5   258.50  📈 多頭續攻   36.4%                  【EPS連2成長 | 營收爆發(51.15%)】
   9917.TW                             中保科    3.5   111.50  📈 多頭續攻   40.0%                          趨勢強勁 / 【EPS連2成長】
   6831.TW                              邁科    3.5   292.00  📈 多頭續攻   41.7%                  【EPS連2成長 | 營收爆發(43.88%)】
   3443.TW                              創意    3.5  2375.00  📈 多頭續攻   52.6%                  【EPS連2成長 | 營收爆發(60.15%)】
   2059.TW                              川湖    3.5  3355.00  📈 多頭續攻   44.4%                  【EPS連2成長 | 營收爆發(31.16%)】
  4744.TWO                              皇將    3.5    32.10  📈 多頭續攻   55.0%                 【EPS連2成長 | 營收爆發(112.88%)】
   3530.TW                             晶相光    3.5    59.20  📈 多頭續攻   40.0%                  【EPS連2成長 | 營收爆發(33.12%)】
  3374.TWO                              精材    3.5   176.50  📈 多頭續攻   55.0%                   【EPS連2成長 | 營收爆發(45.8%)】
   2597.TW                              潤弘    3.5   168.50  📈 多頭續攻   33.3%                  【EPS連2成長 | 營收爆發(62.65%)】
   9937.TW                              全國    3.5    57.70  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
  6465.TWO                              威潤    3.5    32.65  📈 多頭續攻   28.6%                  【EPS連2成長 | 營收爆發(45.25%)】
  5289.TWO                              宜鼎    3.5   995.00  📈 多頭續攻   55.6%                 【EPS連2成長 | 營收爆發(403.21%)】
   2535.TW                             達欣工    3.5    72.20  📈 多頭續攻   20.0%                  【EPS連2成長 | 營收爆發(188.6%)】
  5302.TWO                              太欣    3.5    11.30  📈 多頭續攻   43.8%                  【EPS連2成長 | 營收爆發(69.18%)】
  3163.TWO                             波若威    3.5   770.00  📈 多頭續攻   70.0%                  【EPS連2成長 | 營收爆發(47.89%)】
   7610.TW                          聯友金屬-創    3.5   341.00  📈 多頭續攻   64.7%                 【EPS連2成長 | 營收爆發(422.68%)】
   4967.TW                              十銓    3.5   191.00  📈 多頭續攻   35.3%                 【EPS連2成長 | 營收爆發(112.73%)】
  4806.TWO                            桂田文創    3.5    13.00  📈 多頭續攻   38.5%                 【EPS連2成長 | 營收爆發(203.86%)】
   2204.TW                              中華    3.5    56.80  📈 多頭續攻   27.3%                  【EPS連2成長 | 營收爆發(47.49%)】
  6435.TWO                              大中    3.5   160.00  📈 多頭續攻   25.0%                          趨勢強勁 / 【EPS連2成長】
  5223.TWO                           安力-KY    3.5    30.35  📈 多頭續攻   44.4%                          趨勢強勁 / 【EPS連2成長】
   7786.TW                            東方風能    3.5   150.00  📈 多頭續攻   40.0%                   【EPS連2成長 | 營收爆發(62.9%)】
   3006.TW                             晶豪科    3.5   159.50  📈 多頭續攻   15.4%                  【EPS連2成長 | 營收爆發(128.4%)】
   8162.TW                          微矽電子-創    3.5    38.55  📈 多頭續攻   14.3%                          趨勢強勁 / 【EPS連2成長】
   1514.TW                              亞力    3.5   115.50  📈 多頭續攻   72.7%                  【EPS連2成長 | 營收爆發(68.91%)】
  4556.TWO                              旭然    3.5    27.60  📈 多頭續攻   45.0%                  【EPS連2成長 | 營收爆發(31.02%)】
   6830.TW                              汎銓    3.5   393.00  📈 多頭續攻   69.2%                          趨勢強勁 / 【EPS連2成長】
   8150.TW                              南茂    3.5    63.40  📈 多頭續攻   50.0%                  【EPS連2成長 | 營收爆發(31.23%)】
   1597.TW                              直得    3.5    74.80  📈 多頭續攻   33.3%                  【EPS連2成長 | 營收爆發(39.89%)】
  7751.TWO                              竑騰    3.5  1300.00  📈 多頭續攻   57.1%                  【EPS連2成長 | 營收爆發(80.57%)】
   2455.TW                              全新    3.5   221.50  📈 多頭續攻   28.6%                          趨勢強勁 / 【EPS連2成長】
   2605.TW                              新興    3.5    34.45  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
   3092.TW                              鴻碩    3.5    32.00  📈 多頭續攻   42.9%                          趨勢強勁 / 【EPS連2成長】
   3535.TW                             晶彩科    3.5   129.00  📈 多頭續攻   63.6%                【EPS連2成長 | 營收爆發(9477.22%)】
   1225.TW                             福懋油    3.0    31.75  📈 多頭續攻   50.0%                           趨勢強勁 / 【董監持股增加】
   2481.TW                              強茂    3.0    91.80  📈 多頭續攻   25.0%                           趨勢強勁 / 【董監持股增加】
