Quantum AI Pro 分析報告 (20260315)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                                            Reason
   3036.TW                              文曄    8.5   235.50 🚀 極強勢攻擊   78.9% 外資買1442張 / 投信加碼 / 趨勢強勁 / 【營收爆發(151.67%) | 董監持股增加】
   6531.TW                             愛普*    6.0   531.00 🚀 極強勢攻擊   60.0%                 外資買2988張 / 趨勢強勁 / 【營收爆發(146.68%)】
   3706.TW                              神達    6.0    82.70 🚀 極強勢攻擊   37.5%                  外資買1733張 / 趨勢強勁 / 【營收爆發(34.35%)】
  3211.TWO                              順達    5.5   307.50 🚀 極強勢攻擊   14.3%                            外資買1002張 / 投信加碼 / 趨勢強勁
   6415.TW                          矽力*-KY    5.5   280.00 🚀 極強勢攻擊   33.3%               外資買1130張 / 【EPS連2成長 | 營收爆發(46.42%)】
   2337.TW                              旺宏    5.5   108.50 🚀 極強勢攻擊   70.0%                 外資買34433張 / 投信加碼 / 【營收爆發(59.98%)】
   9933.TW                              中鼎    5.5    33.85 🚀 極強勢攻擊    0.0%                       外資買2743張 / 趨勢強勁 / 【EPS連2成長】
  4973.TWO                              廣穎    5.5    67.20 🚀 極強勢攻擊   50.0%                   趨勢強勁 / 【EPS連2成長 | 營收爆發(42.53%)】
  3093.TWO                             港建*    5.0    40.55 🚀 極強勢攻擊   57.9%                     趨勢強勁 / 【營收爆發(90.8%) | 董監持股增加】
  5536.TWO                             聖暉*    4.5   679.00 🚀 極強勢攻擊   45.0%                 【EPS連2成長 | 營收爆發(38.79%) | 董監持股增加】
  8027.TWO                              鈦昇    4.0   109.00 🚀 極強勢攻擊   43.8%                          外資買817張 / 【營收爆發(62.78%)】
   1256.TW                         鮮活果汁-KY    4.0   161.00 🚀 極強勢攻擊   45.5%                             趨勢強勁 / 【營收爆發(87.61%)】
   2543.TW                              皇昌    4.0    73.50 🚀 極強勢攻擊   36.4%                             趨勢強勁 / 【營收爆發(34.97%)】
   2376.TW                              技嘉    4.0   233.00 🚀 極強勢攻擊   77.8%                          外資買1385張 / 【營收爆發(47.4%)】
   6024.TW                             群益期    4.0    56.00 🚀 極強勢攻擊   57.1%                            趨勢強勁 / 【營收爆發(152.89%)】
  3066.TWO                              李洲    4.0    17.80 🚀 極強勢攻擊   37.5%                             趨勢強勁 / 【營收爆發(42.57%)】
   3380.TW                              明泰    4.0    36.15 🚀 極強勢攻擊   42.9%                                    外資買901張 / 趨勢強勁
   4943.TW                           康控-KY    4.0    12.00 🚀 極強勢攻擊    0.0%                              趨勢強勁 / 【營收爆發(38.5%)】
   6197.TW                             佳必琪    4.0   175.50 🚀 極強勢攻擊   83.3%                         外資買1003張 / 趨勢強勁 / 【無財報資料】
 00642U.TW                        期元大S&P石油    4.0    25.50 🚀 極強勢攻擊   60.0%                                   外資買4488張 / 趨勢強勁
  6223.TWO                              旺矽    4.0  3550.00 🚀 極強勢攻擊   25.0%                             趨勢強勁 / 【營收爆發(33.06%)】
  8472.TWO                             夠麻吉    4.0    79.60 🚀 極強勢攻擊    0.0%                             趨勢強勁 / 【營收爆發(30.76%)】
   3231.TW                              緯創    4.0   134.00 🚀 極強勢攻擊   33.3%                        外資買3895張 / 【營收爆發(177.37%)】
   1529.TW                            樂事綠能    4.0    28.85 🚀 極強勢攻擊   62.5%                            趨勢強勁 / 【營收爆發(277.22%)】
  3260.TWO                              威剛    4.0   359.50 🚀 極強勢攻擊   70.0%                         外資買2294張 / 【營收爆發(114.3%)】
  1294.TWO                            漢田生技    4.0    87.60 🚀 極強勢攻擊   28.6%                            趨勢強勁 / 【營收爆發(117.94%)】
 00953B.TW                        群益優選非投等債    4.0     9.65 🚀 極強勢攻擊   68.8%                                   外資買1542張 / 趨勢強勁
   8271.TW                              宇瞻    4.0   173.50 🚀 極強勢攻擊   64.3%                            趨勢強勁 / 【營收爆發(193.82%)】
  5345.TWO                              馥鴻    4.0    23.10 🚀 極強勢攻擊    0.0%                            趨勢強勁 / 【營收爆發(214.64%)】
  1785.TWO                             光洋科    4.0    82.00 🚀 極強勢攻擊   66.7%                             趨勢強勁 / 【營收爆發(67.72%)】
  5205.TWO                              中茂    4.0    29.45 🚀 極強勢攻擊   50.0%                            趨勢強勁 / 【營收爆發(204.44%)】
  5302.TWO                              太欣    3.5    11.15  📈 多頭續攻   43.8%                          【EPS連2成長 | 營收爆發(69.18%)】
   2382.TW                              廣達    3.5   289.00  📈 多頭續攻   46.2%                             投信加碼 / 【營收爆發(61.92%)】
   6944.TW                            兆聯實業    3.5   786.00  📈 多頭續攻   44.4%                          【EPS連2成長 | 營收爆發(51.58%)】
   7610.TW                          聯友金屬-創    3.5   321.00  📈 多頭續攻   64.7%                         【EPS連2成長 | 營收爆發(422.68%)】
   3535.TW                             晶彩科    3.5   126.00  📈 多頭續攻   53.8%                        【EPS連2成長 | 營收爆發(9477.22%)】
  4744.TWO                              皇將    3.5    32.90  📈 多頭續攻   55.0%                         【EPS連2成長 | 營收爆發(112.88%)】
  5289.TWO                              宜鼎    3.5  1015.00  📈 多頭續攻   63.6%                         【EPS連2成長 | 營收爆發(403.21%)】
   2368.TW                             金像電    3.5   935.00  📈 多頭續攻   50.0%                             投信加碼 / 【營收爆發(53.91%)】
  4123.TWO                              晟德    3.5    43.75  📈 多頭續攻   50.0%                          【EPS連2成長 | 營收爆發(56.42%)】
   3530.TW                             晶相光    3.5    59.10  📈 多頭續攻   41.2%                          【EPS連2成長 | 營收爆發(33.12%)】
   2486.TW                              一詮    3.5   152.00  📈 多頭續攻   63.6%                                   外資買1680張 / 投信加碼
   2535.TW                             達欣工    3.5    73.30  📈 多頭續攻   33.3%                          【EPS連2成長 | 營收爆發(188.6%)】
  6465.TWO                              威潤    3.5    32.40  📈 多頭續攻   22.2%                          【EPS連2成長 | 營收爆發(45.25%)】
   1514.TW                              亞力    3.5   115.50  📈 多頭續攻   54.5%                          【EPS連2成長 | 營收爆發(68.91%)】
   6451.TW                           訊芯-KY    3.5   215.50  📈 多頭續攻   55.6%                               外資買846張 / 【EPS連2成長】
   3645.TW                              達邁    3.5    80.90  📈 多頭續攻   75.0%                              外資買2302張 / 【EPS連2成長】
   8150.TW                              南茂    3.5    60.50  📈 多頭續攻   54.5%                          【EPS連2成長 | 營收爆發(31.23%)】
   9917.TW                             中保科    3.5   113.00  📈 多頭續攻   57.1%                                  趨勢強勁 / 【EPS連2成長】
   3702.TW                             大聯大    3.5    74.50  📈 多頭續攻   60.0%                      投信加碼 / 趨勢強勁 / 【營收爆發(44.57%)】
  3163.TWO                             波若威    3.5   888.00  📈 多頭續攻   70.0%                          【EPS連2成長 | 營收爆發(47.89%)】
   2313.TW                              華通    3.5   211.50  📈 多頭續攻   55.6%                              外資買3839張 / 【EPS連2成長】
   4770.TW                              上品    3.5   258.50  📈 多頭續攻   45.5%                          【EPS連2成長 | 營收爆發(51.15%)】
  3374.TWO                              精材    3.5   171.50  📈 多頭續攻   55.0%                           【EPS連2成長 | 營收爆發(45.8%)】
   3443.TW                              創意    3.5  2285.00  📈 多頭續攻   52.6%                          【EPS連2成長 | 營收爆發(60.15%)】
   3189.TW                              景碩    3.5   317.50  📈 多頭續攻   60.0%                                   外資買5495張 / 投信加碼
  6435.TWO                              大中    3.5   168.00  📈 多頭續攻   50.0%                                  趨勢強勁 / 【EPS連2成長】
   1528.TW                              恩德    3.5    22.40  📈 多頭續攻   55.6%               外資買1261張 / 【EPS連2成長 | 營收爆發(44.26%)】
   2204.TW                              中華    3.5    56.80  📈 多頭續攻   30.8%                          【EPS連2成長 | 營收爆發(47.49%)】
  4806.TWO                            桂田文創    3.5    12.45  📈 多頭續攻   40.0%                         【EPS連2成長 | 營收爆發(203.86%)】
   1525.TW                              江申    3.5    62.00  📈 多頭續攻   10.0%                          【EPS連2成長 | 營收爆發(36.82%)】
   6830.TW                              汎銓    3.5   349.50  📈 多頭續攻   66.7%                                  趨勢強勁 / 【EPS連2成長】
  7751.TWO                              竑騰    3.5  1325.00  📈 多頭續攻   57.1%                          【EPS連2成長 | 營收爆發(80.57%)】
   1597.TW                              直得    3.5    75.60  📈 多頭續攻   42.9%                          【EPS連2成長 | 營收爆發(39.89%)】
   2597.TW                              潤弘    3.5   170.50  📈 多頭續攻   22.2%                          【EPS連2成長 | 營收爆發(62.65%)】
   6831.TW                              邁科    3.5   318.50  📈 多頭續攻   50.0%                          【EPS連2成長 | 營收爆發(43.88%)】
