股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         75.6          6         70.0           9.94        2      -190373 📉 觀望/賣出             
0052.TW      富邦科技          45.17          6        68.18          10.85        2         -672 📉 觀望/賣出             
0056.TW      元大高股息         38.81          3        77.78           6.96        3        -7304 📉 觀望/賣出             
00631L.TW    元大台灣50正2      463.6          3        76.92           6.89        2         -310 📉 觀望/賣出             
00632R.TW    元大台灣50反1      14.23          5        33.33          -4.91        3          499 📈 持有                
00633L.TW    富邦上証正2        47.42         19        33.33          -2.24        2         1302 📈 持有                
00634R.TW    富邦上証反1         3.27          5         50.0          -2.64        4            0 📉 觀望/賣出             
00635U.TW    期元大S&P黃金       53.0          5        77.78          14.59        3           39 📉 觀望/賣出             
00637L.TW    元大滬深300正2     19.61         11         50.0           1.03        2        14356 📈 持有                
00638R.TW    元大滬深300反1      7.06          7        47.37           -2.4        4           48 📉 觀望/賣出             
00640L.TW    富邦日本正2        84.65          6        66.67          14.05        2           12 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.31         11        46.67           1.53        2            0 📈 持有                
00642U.TW    期元大S&P石油      26.57         11        63.64           71.2        0         -601 📈 持有                
00646.TW     元大S&P500      67.25         16          0.0          -2.73        3           36 📉 觀望/賣出             
00648R.TW    元大S&P500反1      4.5         15        46.67          -0.98        3           72 📈 持有                
00650L.TW    復華香港正2        17.68          3         50.0            1.0        4          336 📈 持有                
00651R.TW    復華香港反1          5.3         16        41.18           2.31        1            0 📈 持有                
00654R.TW    富邦印度反1         7.16         11         65.0           9.36        2            0 📈 持有                
00655L.TW    未知            32.95         11        44.44           2.88        1         1207 📈 持有                
00656R.TW    國泰中國A50反1      6.27          6         50.0           -3.5        5          -50 📉 觀望/賣出             
00662.TW     富邦NASDAQ     101.05         16        33.33          -6.31        4         2971 📈 持有                
00663L.TW    國泰臺灣加權正2       60.6          3        66.67           7.28        2          259 📉 觀望/賣出             
00664R.TW    國泰臺灣加權反1        2.3          5         37.5          -4.17        3            0 📈 持有                
00665L.TW    富邦恒生國企正2      10.21          3         50.0          -1.97        3         3441 📈 持有                
00666R.TW    富邦恒生國企反1       9.01          8        47.37           1.27        3           -7 📉 觀望/賣出             
00669R.TW    國泰美國道瓊反1       5.93         16         62.5           0.19        3            0 📈 持有                
00671R.TW    富邦NASDAQ反1     2.95         19        43.75          -1.07        2            0 📈 持有                
00673R.TW    期元大S&P原油反1    18.79         10          0.0            0.0        0            6 📉 觀望/賣出             
00674R.TW    期元大S&P黃金反1     4.97         17        100.0           2.69        0            0 📈 持有                
00675L.TW    富邦臺灣加權正2      184.0          3        76.92           6.79        2          162 📉 觀望/賣出             
00676R.TW    富邦臺灣加權反1       7.83          5        33.33          -4.18        3          -30 📈 持有                
00679B.TWO   元大美債20年       27.43         14        56.25           2.35        1       -30677 📉 觀望/賣出             
00680L.TW    元大美債20正2       7.17          7         60.0           2.57        3       -25646 📉 觀望/賣出             
00685L.TW    群益臺灣加權正2      165.6          3        76.92           6.77        2           15 📉 觀望/賣出             
00686R.TW    群益臺灣加權反1        1.4          5         37.5          -2.81        2           25 📉 觀望/賣出             
00687B.TWO   國泰20年美債       28.78         12        57.14           2.19        1       -33437 📉 觀望/賣出             
00688L.TW    國泰20年美債正2      7.15          7        57.14           2.72        3         2208 📉 觀望/賣出             
00693U.TW    期街口S&P黃豆      22.68          9        79.17           8.11        1          179 📈 持有                
00696B.TWO   富邦美債20年       29.85         14        56.25           2.32        1         4495 📉 觀望/賣出             
00700.TW     富邦�琤肭磪�       17.98          4        45.45           1.01        3          778 📈 持有                
00703.TW     台新MSCI中國      21.07         15        66.67           0.03        1            0 📈 持有                
00708L.TW    期元大S&P黃金正2    114.6          5        77.78          29.44        3         -272 📉 觀望/賣出             
00712.TW     復華富時不動產         9.0         17          0.0            0.0        0       -18801 📉 觀望/賣出             
00713.TW     元大台灣高息低波      52.45          3        81.25           4.49        3          812 📉 觀望/賣出             
00715L.TW    期街口布蘭特正2       55.0         11        72.73         159.68        0        12539 📈 持有                
00719B.TWO   元大美債1-3       31.57         11        46.67            0.7        1        -3501 📈 持有                
00720B.TWO   元大投資級公司債      33.11         17        38.46          -0.45        1        -9472 📉 觀望/賣出             
00722B.TWO   群益投資級電信債      36.35         13        30.77          -0.96        2        -1118 📉 觀望/賣出             
00724B.TWO   群益投資級金融債      34.01          4        58.33           0.69        3          -40 📉 觀望/賣出             
00725B.TWO   國泰投資級公司債      35.22         17         50.0           -0.0        1        -3699 📉 觀望/賣出             
00735.TW     國泰臺韓科技        67.25          3         75.0           2.96        3           27 📉 觀望/賣出             
00738U.TW    期元大道瓊白銀        65.3          5        58.33          12.99        3         -560 📉 觀望/賣出             
00740B.TWO   富邦全球投等債       38.81          3        58.33           0.26        4         5227 📉 觀望/賣出             
00746B.TWO   未知            35.85         12         50.0           0.36        1          760 📉 觀望/賣出             
00749B.TWO   凱基新興債10+      32.23         19        38.89           0.56        2        70028 📉 觀望/賣出             
00751B.TWO   元大AAA至A公司債     32.0         17        38.46          -1.07        2       -13191 📉 觀望/賣出             
00752.TW     中信中國50        25.27          3         50.0           -1.1        4         1413 📈 持有                
00753L.TW    中信中國50正2      11.35          4         60.0          -1.59        3         -797 📈 持有                
00757.TW     統一FANG+      111.25         10        53.85          -1.22        2         -225 📈 持有                
00761B.TWO   國泰A級公司債       34.67          3        41.67          -0.11        5          306 📉 觀望/賣出             
00764B.TWO   群益25年美債        28.8         12        57.14           2.01        1         4771 📉 觀望/賣出             
00768B.TWO   復華20年美債       51.75         14         60.0           1.43        1          703 📉 觀望/賣出             
00770.TW     國泰北美科技        51.55         18        42.86          -3.49        2          486 📉 觀望/賣出             
00772B.TWO   中信高評級公司債      33.88         18        41.67          -0.07        1         2094 📉 觀望/賣出             
00773B.TWO   中信優先金融債       36.05          3        53.85            0.3        5          217 📉 觀望/賣出             
00780B.TWO   國泰A級金融債       37.83         16        36.84           0.05        2         -158 📉 觀望/賣出             
00795B.TWO   中信美國公債20年     27.68         13        56.25           2.37        1         5595 📉 觀望/賣出             
00830.TW     國泰費城半導體        54.8         14        58.33           -1.5        2         4896 📉 觀望/賣出             
00852L.TW    未知            28.64         12         40.0          -5.94        2            1 📉 觀望/賣出             
00857B.TWO   永豐20年美公債      23.96         14        56.25           2.42        1         2579 📉 觀望/賣出             
00864B.TWO   中信美國公債0-1     46.79         16        43.75           0.89        1          258 📈 持有                
00865B.TW    國泰US短期公債       48.4         16         50.0           1.13        1        -1580 📈 持有                
00875.TW     國泰網路資安        38.87         13         50.0           5.61        1          -91 📈 持有                
00877.TWO    復華中國5G        28.69          5         35.0          -5.66        7         1316 📈 持有                
00878.TW     國泰永續高股息       22.43          5        83.33           6.09        3        23636 📉 觀望/賣出             
00881.TW     國泰台灣科技龍頭      36.48          6        72.73          12.08        2         3193 📉 觀望/賣出             
00882.TW     中信中國高股息       16.18          3        64.71           5.86        4         1278 📉 觀望/賣出             
00885.TW     富邦越南          17.49          7        45.45          -0.43        4        -3629 📉 觀望/賣出             
00887.TWO    永豐中國科技50大     12.95         10        57.14           0.32        3         2884 📈 持有                
00891.TW     中信關鍵半導體       23.89          4        68.42          13.54        3        15364 📉 觀望/賣出             
00893.TW     國泰智能電動車       33.47          6        44.44          -2.34        3         2585 📈 持有                
00900.TW     富邦特選高股息30     14.34          3        63.64           1.31        3          168 📈 持有                
00902.TW     中信電池及儲能       14.24          4        52.94           7.71        3         2403 📉 觀望/賣出             
00904.TW     新光臺灣半導體30      28.7          5        71.43           14.9        2         1687 📉 觀望/賣出             
00909.TW     國泰數位支付服務      39.92          5        46.67          -5.89        3         2953 📈 持有                
00910.TW     第一金太空衛星       56.15          4        46.67           1.95        4          142 📈 持有                
00915.TW     凱基優選高股息30     23.66          6        63.16            5.1        2           55 📉 觀望/賣出             
00918.TW     大華優利高填息30     23.32          3        66.67            2.8        3          638 📈 持有                
00919.TW     群益台灣精選高息      23.91          3         75.0           6.55        3       -25032 📈 持有                
00922.TW     國泰台灣領袖50      30.81          3        73.68           9.95        3       -35101 📉 觀望/賣出             
00923.TW     群益台ESG低碳50    28.74          4        68.42          10.41        3         -687 📉 觀望/賣出             
00924.TW     復華S&P500成長    28.23         16        33.33          -2.47        3         1557 📉 觀望/賣出             
00927.TW     群益半導體收益       24.54          5         75.0          11.78        3         3452 📈 持有                
00929.TW     復華台灣科技優息      19.63          4        70.59           4.68        3        12669 📈 持有                
00931B.TWO   統一美債20年       13.85         13        53.33           1.53        1         5516 📉 觀望/賣出             
00933B.TWO   國泰10Y+金融債     16.14          3        58.33           0.67        5       -20421 📉 觀望/賣出             
00936.TW     台新永續高息中小       17.8          5        57.89           8.18        2          162 📈 持有                
00937B.TWO   群益ESG投等債20+    14.87          3         50.0           -0.2        4       -78405 📉 觀望/賣出             
00939.TW     統一台灣高息動能      15.77          3        76.47            8.3        3         3800 📉 觀望/賣出             
00940.TW     元大台灣價值高息       9.72          4        72.22           4.59        3        12564 📈 持有                
00941.TW     中信上游半導體       21.62          6        54.55          12.22        2          337 📉 觀望/賣出             
00942B.TWO   台新美A公司債20+    14.31          3        42.86          -1.19        6         3118 📉 觀望/賣出             
00945B.TW    凱基美國非投等債      14.55          5         50.0           -0.0        3         3983 📈 持有                
00946.TW     群益科技高息成長      10.09          4        72.22           6.85        2         1471 📈 持有                
00947.TW     台新臺灣IC設計      24.07          8        73.68           7.99        2         2548 📈 持有                
00948B.TWO   中信優息投資級債       9.47         17        41.67          -0.42        1       382763 📉 觀望/賣出             
00949.TW     復華日本龍頭        19.41          3         50.0           7.27        3         1239 📉 觀望/賣出             
00950B.TWO   凱基A級公司債       14.12          3         50.0            0.0        6        51464 📉 觀望/賣出             
00951.TW     台新日本半導體       13.59          6         50.0            9.5        3         1966 📉 觀望/賣出             
00952.TW     凱基台灣AI50      12.94          3        73.33           5.93        4        -1085 📈 持有                
00953B.TW    群益優選非投等債       9.68         17        33.33          -0.29        2       -14284 📈 持有                
00955.TWO    中信日本商社        15.27          3        76.92          16.12        2         2163 📉 觀望/賣出             
00959B.TWO   大華投等美債15Y+     9.41          5        57.14          -0.31        4        -2698 📉 觀望/賣出             
00963.TW     中信全球高股息       12.32          9        69.57           5.13        1         -801 📉 觀望/賣出             
00965.TW     元大航太防衛科技      25.79          3        64.29          -1.94        4         2935 📉 觀望/賣出             
00968B.TWO   元大優息投等債        9.28         17         50.0           0.03        1        -7385 📉 觀望/賣出             
00969B.TWO   未知             8.53          4        55.56           1.03        3         1435 📉 觀望/賣出             
00970B.TWO   新光BBB投等債20+     9.34         18        61.54          -0.13        1         -587 📉 觀望/賣出             
009801.TW    中信美國創新科技      10.52         20         20.0          -4.49        3          675 📉 觀望/賣出             
009803.TW    保德信市值動能50     15.53          7        66.67          11.48        2           44 📉 觀望/賣出             
009805.TW    新光美國電力基建      15.01          3        61.54           10.1        3          943 📉 觀望/賣出             
00980A.TW    主動野村臺灣優選      17.15          3        61.11           6.22        5         2882 📈 持有                
009811.TW    統一美國50        11.32         19          0.0           -1.6        2          600 📉 觀望/賣出             
009813.TW    貝萊德標普卓越50     10.12         19          0.0          -1.13        1        11526 📉 觀望/賣出             
009814.TWO   富邦標普500        9.96         13          0.0          -2.81        2          266 📉 觀望/賣出             
009815.TWO   大華美國MAG7+      9.54         20          0.0            0.0        0         4339 📉 觀望/賣出             
009816.TW    凱基台灣TOP50     10.72          3        83.33           6.59        1       -15330 📉 觀望/賣出             
00981A.TW    主動統一台股增長      20.27          9        100.0           0.55        0        19314 📈 持有                
00981B.TWO   第一金優選非投債       9.34         16        66.67           -0.0        1         9891 📈 持有                
00981D.TWO   主動中信非投等債      10.46         17        33.33          -0.19        1        -6717 📈 持有                
00982A.TW    主動群益台灣強棒      16.17         16        100.0           0.75        0        10074 📈 持有                
