🚀 智能量化選股報告 - 2026-03-16
==========================================================================================

【🚀超級強勢】(數量: 191)
------------------------------------------------------------------------------------------
3563.TW  | 牧德         | B6: 12.35% | DMA:105.910 | 💎流入 | 🚀DMA趨勢+多頭強勢
6877.TWO | 鏵友益        | B6: 12.24% | DMA: 17.856 | 💸流出 | 🚀DMA趨勢+多頭強勢
4908.TWO | 前鼎         | B6: 11.12% | DMA: 17.132 | 💎流入 | 🚀DMA趨勢+放量攻擊
4927.TW  | 泰鼎-KY      | B6: 10.99% | DMA:  6.874 | 💎流入 | 🚀DMA趨勢+多頭強勢
1309.TW  | 台達化        | B6: 10.82% | DMA:  1.928 | 💎流入 | 🚀DMA趨勢+多頭強勢
7712.TWO | 博盛半導體      | B6: 10.55% | DMA: 17.246 | 💎流入 | 🚀DMA趨勢+多頭強勢
2367.TW  | 燿華         | B6: 10.52% | DMA: 21.456 | 💸流出 | 🚀DMA趨勢+多頭強勢
3363.TWO | 上詮         | B6: 10.40% | DMA:119.192 | 💎流入 | 🚀DMA趨勢+放量攻擊
3131.TWO | 弘塑         | B6:  9.85% | DMA:155.600 | 💎流入 | 🚀DMA趨勢+多頭強勢
6290.TWO | 良維         | B6:  9.49% | DMA: 34.050 | 💎流入 | 🚀DMA趨勢+多頭強勢
6508.TWO | 惠光         | B6:  9.44% | DMA:  2.871 | 💎流入 | 🚀DMA趨勢+多頭強勢
6124.TWO | 業強         | B6:  9.37% | DMA:  5.156 | 💸流出 | 🚀DMA趨勢+多頭強勢
7744.TWO | 崴寶         | B6:  8.95% | DMA: 92.230 | 💎流入 | 🚀DMA趨勢+多頭強勢
3529.TWO | 力旺         | B6:  8.80% | DMA:457.900 | 💎流入 | 🚀DMA趨勢+放量攻擊
8289.TWO | 泰藝         | B6:  8.70% | DMA:  8.354 | 💎流入 | 🚀DMA趨勢+放量攻擊
4977.TW  | 眾達-KY      | B6:  8.68% | DMA: 26.440 | 💎流入 | 🚀DMA趨勢+放量攻擊
4534.TWO | 慶騰         | B6:  8.20% | DMA:  6.858 | 💎流入 | 🚀DMA趨勢+多頭強勢
4991.TWO | 環宇-KY      | B6:  7.89% | DMA: 76.070 | 💎流入 | 🚀DMA趨勢+多頭強勢
4542.TWO | 科嶠         | B6:  7.80% | DMA: 38.454 | 💎流入 | 🚀DMA趨勢+多頭強勢
2254.TW  | 巨鎧精密-創     | B6:  7.76% | DMA:  7.246 | 💎流入 | 🚀DMA趨勢+多頭強勢
2605.TW  | 新興         | B6:  7.75% | DMA:  5.281 | 💎流入 | 🚀DMA趨勢+放量攻擊
6532.TWO | 瑞耘         | B6:  7.38% | DMA:  4.318 | 💎流入 | 🚀DMA趨勢+多頭強勢
4198.TWO | 欣大健康       | B6:  7.30% | DMA:  4.706 | 💎流入 | 🚀DMA趨勢+放量攻擊
6435.TWO | 大中         | B6:  6.99% | DMA: 19.300 | 💎流入 | 🚀DMA趨勢+多頭強勢
1529.TW  | 樂事綠能       | B6:  6.88% | DMA:  3.338 | 💎流入 | 🚀DMA趨勢+多頭強勢
8087.TWO | 麗升能源       | B6:  6.68% | DMA:  3.104 | 💸流出 | 🚀DMA趨勢+多頭強勢
6859.TWO | 伯特光        | B6:  6.56% | DMA:  7.520 | 💸流出 | 🚀DMA趨勢+多頭強勢
8472.TWO | 夠麻吉        | B6:  6.53% | DMA:  0.568 | 💎流入 | 🚀DMA趨勢+多頭強勢
7734.TWO | 印能科技       | B6:  6.40% | DMA:412.440 | 💎流入 | 🚀DMA趨勢+多頭強勢
7750.TW  | 新代         | B6:  6.16% | DMA:252.240 | 💎流入 | 🚀DMA趨勢+多頭強勢
2603.TW  | 長榮         | B6:  6.04% | DMA: 16.140 | 💎流入 | 🚀DMA趨勢+放量攻擊
6291.TWO | 沛亨         | B6:  6.03% | DMA: 60.300 | 💎流入 | 🚀DMA趨勢+多頭強勢
4123.TWO | 晟德         | B6:  5.91% | DMA:  3.844 | 💸流出 | 🚀DMA趨勢+多頭強勢
6739.TWO | 竹陞科技       | B6:  5.84% | DMA:173.620 | 💎流入 | 🚀DMA趨勢+多頭強勢
6568.TWO | 宏觀         | B6:  5.80% | DMA: 29.780 | 💎流入 | 🚀DMA趨勢+多頭強勢
6246.TWO | 臺龍         | B6:  5.80% | DMA:  0.699 | 💎流入 | 🚀DMA趨勢+多頭強勢
2406.TW  | 國碩         | B6:  5.65% | DMA:  3.784 | 💎流入 | 🚀DMA趨勢+多頭強勢
6509.TWO | 聚和         | B6:  5.61% | DMA:  4.390 | 💎流入 | 🚀DMA趨勢+放量攻擊
4909.TWO | 新復興        | B6:  5.58% | DMA:  3.864 | 💸流出 | 🚀DMA趨勢+多頭強勢
6658.TW  | 聯策         | B6:  5.20% | DMA:  3.711 | 💎流入 | 🚀DMA趨勢+放量攻擊
3206.TWO | 志豐         | B6:  5.11% | DMA:  3.143 | 💎流入 | 🚀DMA趨勢+放量攻擊
8261.TW  | 富鼎         | B6:  5.08% | DMA:  7.046 | 💎流入 | 🚀DMA趨勢+放量攻擊
1337.TW  | 再生-KY      | B6:  4.97% | DMA:  0.407 | 💎流入 | 🚀DMA趨勢+多頭強勢
6831.TW  | 邁科         | B6:  4.93% | DMA: 29.670 | 💎流入 | 🚀DMA趨勢+多頭強勢
3508.TWO | 位速         | B6:  4.75% | DMA:  8.321 | 💎流入 | 🚀DMA趨勢+多頭強勢
5443.TWO | 均豪         | B6:  4.72% | DMA:  2.690 | 💎流入 | 🚀DMA趨勢+放量攻擊
6782.TW  | 視陽         | B6:  4.72% | DMA: 11.950 | 💎流入 | 🚀DMA趨勢+放量攻擊
4934.TW  | 太極         | B6:  4.70% | DMA:  2.595 | 💸流出 | 🚀DMA趨勢+多頭強勢
6761.TWO | 穩得         | B6:  4.61% | DMA: 14.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
3230.TWO | 錦明         | B6:  4.61% | DMA:  4.173 | 💸流出 | 🚀DMA趨勢+多頭強勢
3714.TW  | 富采         | B6:  4.43% | DMA:  3.382 | 💎流入 | 🚀DMA趨勢+多頭強勢
8908.TWO | 欣雄         | B6:  4.39% | DMA:  0.964 | 💸流出 | 🚀DMA趨勢+多頭強勢
00654R.TW | 富邦印度反1     | B6:  4.31% | DMA:  0.384 | 💎流入 | 🚀DMA趨勢+多頭強勢
6531.TW  | 愛普*        | B6:  4.25% | DMA:  5.730 | 💎流入 | 🚀DMA趨勢+多頭強勢
8048.TWO | 德勝         | B6:  4.07% | DMA:  5.516 | 💎流入 | 🚀DMA趨勢+多頭強勢
3709.TWO | 鑫聯大投控      | B6:  4.06% | DMA:  6.776 | 💸流出 | 🚀DMA趨勢+多頭強勢
2478.TW  | 大毅         | B6:  3.98% | DMA:  3.228 | 💎流入 | 🚀DMA趨勢+多頭強勢
00981A.TW | 主動統一台股增長   | B6:  3.98% | DMA:  2.397 | 💎流入 | 🚀DMA趨勢+多頭強勢
3583.TW  | 辛耘         | B6:  3.97% | DMA: 22.060 | 💎流入 | 🚀DMA趨勢+放量攻擊
00988A.TW | 主動統一全球創新   | B6:  3.91% | DMA:  1.671 | 💸流出 | 🚀DMA趨勢+多頭強勢
3455.TWO | 由田         | B6:  3.89% | DMA:  4.852 | 💎流入 | 🚀DMA趨勢+多頭強勢
1802.TW  | 台玻         | B6:  3.66% | DMA: 10.445 | 💎流入 | 🚀DMA趨勢+多頭強勢
6233.TWO | 旺玖         | B6:  3.63% | DMA:  1.866 | 💎流入 | 🚀DMA趨勢+多頭強勢
2355.TW  | 敬鵬         | B6:  3.49% | DMA:  5.060 | 💎流入 | 🚀DMA趨勢+多頭強勢
6944.TW  | 兆聯實業       | B6:  3.49% | DMA: 18.220 | 💎流入 | 🚀DMA趨勢+多頭強勢
8183.TWO | 精星         | B6:  3.45% | DMA:  2.078 | 💎流入 | 🚀DMA趨勢+多頭強勢
3171.TWO | 炎洲流通       | B6:  3.43% | DMA:  3.648 | 💎流入 | 🚀DMA趨勢+放量攻擊
2613.TW  | 中櫃         | B6:  3.42% | DMA:  1.494 | 💎流入 | 🚀DMA趨勢+多頭強勢
2548.TW  | 華固         | B6:  3.32% | DMA:  2.770 | 💎流入 | 🚀DMA趨勢+多頭強勢
4971.TWO | IET-KY     | B6:  3.26% | DMA: 78.190 | 💎流入 | 🚀DMA趨勢+多頭強勢
6788.TWO | 華景電        | B6:  3.25% | DMA: -1.440 | 💸流出 | 🚀多頭強勢
4130.TWO | 健亞         | B6:  2.94% | DMA:  1.871 | 💸流出 | 🚀DMA趨勢+多頭強勢
1708.TW  | 東鹼         | B6:  2.93% | DMA:  3.144 | 💎流入 | 🚀DMA趨勢+多頭強勢
6423.TWO | 億而得        | B6:  2.89% | DMA:  2.630 | 💎流入 | 🚀DMA趨勢+多頭強勢
8150.TW  | 南茂         | B6:  2.76% | DMA:  2.443 | 💎流入 | 🚀DMA趨勢+多頭強勢
3028.TW  | 增你強        | B6:  2.70% | DMA:  6.627 | 💎流入 | 🚀DMA趨勢+多頭強勢
3701.TW  | 大眾控        | B6:  2.63% | DMA:  5.484 | 💎流入 | 🚀DMA趨勢+放量攻擊
00669R.TW | 國泰美國道瓊反1   | B6:  2.62% | DMA:  0.149 | 💎流入 | 🚀DMA趨勢+多頭強勢
6432.TWO | 今展科        | B6:  2.46% | DMA:  0.741 | 💎流入 | 🚀DMA趨勢+放量攻擊
1414.TW  | 東和         | B6:  2.42% | DMA:  0.822 | 💎流入 | 🚀DMA趨勢+放量攻擊
4979.TWO | 華星光        | B6:  2.34% | DMA: 62.570 | 💎流入 | 🚀DMA趨勢+多頭強勢
1815.TWO | 富喬         | B6:  2.28% | DMA:  7.996 | 💎流入 | 🚀DMA趨勢+多頭強勢
6716.TWO | 應廣         | B6:  2.27% | DMA: 19.159 | 💸流出 | 🚀DMA趨勢+多頭強勢
3717.TW  | 聯嘉投控       | B6:  2.26% | DMA:  0.244 | 💎流入 | 🚀DMA趨勢+多頭強勢
6213.TW  | 聯茂         | B6:  2.16% | DMA:  9.520 | 💎流入 | 🚀DMA趨勢+放量攻擊
2399.TW  | 映泰         | B6:  2.16% | DMA: -0.563 | 💎流入 | 🚀多頭強勢
6419.TWO | 京晨科        | B6:  2.14% | DMA: -1.620 | 💸流出 | 🚀多頭強勢
3693.TWO | 營邦         | B6:  2.11% | DMA: 58.270 | 💎流入 | 🚀DMA趨勢+放量攻擊
1714.TW  | 和桐         | B6:  2.07% | DMA:  0.547 | 💸流出 | 🚀DMA趨勢+多頭強勢
7556.TWO | 意德士        | B6:  2.02% | DMA:  7.130 | 💎流入 | 🚀DMA趨勢+放量攻擊
3189.TW  | 景碩         | B6:  1.93% | DMA: 65.299 | 💎流入 | 🚀DMA趨勢+放量攻擊
3234.TWO | 光環         | B6:  1.92% | DMA: 20.239 | 💎流入 | 🚀DMA趨勢+多頭強勢
2897.TW  | 王道銀行       | B6:  1.90% | DMA:  0.442 | 💎流入 | 🚀DMA趨勢+多頭強勢
4538.TWO | 大詠城        | B6:  1.90% | DMA:  1.013 | 💎流入 | 🚀DMA趨勢+多頭強勢
009805.TW | 新光美國電力基建   | B6:  1.87% | DMA:  1.122 | 💎流入 | 🚀DMA趨勢+多頭強勢
