股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50        76.65          6        65.22           9.02        3      -201139 📈 持有 → 繼續持有         
0052.TW      富邦科技          45.68          6        62.96          11.64        2        -4470 📈 持有 → 繼續持有         
0056.TW      元大高股息         39.13          5        66.67           7.01        4         1347 📈 持有 → 繼續持有         
00631L.TW    元大台灣50正2      479.7          7        69.23          15.56        4         -371 📈 持有 → 繼續持有         
00632R.TW    元大台灣50反1      13.99          6        36.36          -3.06        3           44 📉 建議賣出              
00633L.TW    富邦上証正2        48.29         19         50.0          -0.45        2         1273 📈 持有 → 繼續持有         
00634R.TW    富邦上証反1         3.23          5        52.38          -0.53        5            0 📉 建議賣出              
00635U.TW    期元大S&P黃金      53.45          5         75.0          16.84        4        -4278 📉 建議賣出              
00637L.TW    元大滬深300正2     19.96         11        55.56           2.83        2         8050 📈 持有 → 繼續持有         
00638R.TW    元大滬深300反1      6.95          5         50.0          -2.27        6            0 📉 建議賣出              
00640L.TW    富邦日本正2         86.7          6         61.9            8.1        4           67 📉 建議賣出              
00641R.TW    富邦日本反1         4.26          5        42.86           1.07        4            0 📈 持有 → 繼續持有         
00642U.TW    期元大S&P石油      25.65         11        61.76          65.27        0         -290 📈 持有 → 繼續持有         
00646.TW     元大S&P500       67.1         19          0.0          -3.01        3          -19 📉 建議賣出              
00648R.TW    元大S&P500反1     4.49         15        43.75           -1.2        3           88 📈 持有 → 繼續持有         
00650L.TW    復華香港正2        17.89          4        56.25           2.78        5          220 📈 持有 → 繼續持有         
00651R.TW    復華香港反1         5.23          3         40.0           3.26        8            0 📉 建議賣出              
00654R.TW    富邦印度反1          7.0         12        56.52           7.01        3            0 📈 持有 → 繼續持有         
00655L.TW    未知            33.58         11         50.0           4.85        1          910 📈 持有 → 繼續持有         
00656R.TW    國泰中國A50反1      6.15          6        54.17          -1.48        5          -50 📉 建議賣出              
00662.TW     富邦NASDAQ      100.9         18        33.33          -6.31        4         3242 📉 建議賣出              
00663L.TW    國泰臺灣加權正2      62.65          7         64.0          16.22        4          177 📈 持有 → 繼續持有         
00664R.TW    國泰臺灣加權反1       2.27          6         40.0          -2.45        3            0 📉 建議賣出              
00665L.TW    富邦恒生國企正2      10.38          4        61.11           9.16        5         -516 📈 持有 → 繼續持有         
00666R.TW    富邦恒生國企反1       8.93          4        56.52           7.24        6           -2 📉 建議賣出              
00669R.TW    國泰美國道瓊反1       5.88         16        61.11          -0.12        3            0 📈 持有 → 繼續持有         
00671R.TW    富邦NASDAQ反1     2.94         19        44.44          -0.73        2            0 📈 持有 → 繼續持有         
00673R.TW    期元大S&P原油反1    18.96         10          0.0            0.0        0            0 📉 建議賣出              
00674R.TW    期元大S&P黃金反1     4.94         17         50.0          -1.54        1           -5 📈 持有 → 繼續持有         
00675L.TW    富邦臺灣加權正2      190.1          7        69.23          15.33        4          138 📈 持有 → 繼續持有         
00676R.TW    富邦臺灣加權反1       7.68          7        36.36          -2.42        3           20 📉 建議賣出              
00679B.TWO   元大美債20年       27.32         15         50.0           0.08        4       -16883 📉 建議賣出              
00680L.TW    元大美債20正2       7.18          3        57.14            1.9        6       -26697 📈 持有 → 繼續持有         
00685L.TW    群益臺灣加權正2     171.05          7        69.23          15.74        4           57 📈 持有 → 繼續持有         
00686R.TW    群益臺灣加權反1       1.39          6         40.0          -0.68        2           60 📉 建議賣出              
00687B.TWO   國泰20年美債        28.4         14         50.0           0.01        4       -34441 📉 建議賣出              
00688L.TW    國泰20年美債正2      7.17          3        52.38           1.77        6        -1723 📈 持有 → 繼續持有         
00693U.TW    期街口S&P黃豆      21.91          4        75.86           9.66        5           44 📉 建議賣出              
00696B.TWO   富邦美債20年       29.74         14        52.63           1.14        3         4173 📉 建議賣出              
00700.TW     富邦�琤肭磪�       18.11          4        55.56           6.56        4          256 📈 持有 → 繼續持有         
00703.TW     台新MSCI中國       21.2         15         75.0           0.65        1            0 📈 持有 → 繼續持有         
00708L.TW    期元大S&P黃金正2   115.85          5         75.0          34.66        4          -14 📉 建議賣出              
00712.TW     復華富時不動產        8.99         10         50.0          -1.03        3       -26811 📉 建議賣出              
00713.TW     元大台灣高息低波      52.75          5         76.0           6.83        3          847 📈 持有 → 繼續持有         
00715L.TW    期街口布蘭特正2       52.5         11        70.59         147.88        0          678 📈 持有 → 繼續持有         
00719B.TWO   元大美債1-3       31.41          4        55.56           1.33        5         -515 📉 建議賣出              
00720B.TWO   元大投資級公司債      32.98          4        43.48          -1.82        7       -22375 📉 建議賣出              
00722B.TWO   群益投資級電信債      36.23          3        43.48          -0.89        7        -3292 📉 建議賣出              
00724B.TWO   群益投資級金融債      33.87          3         50.0           0.89        8        -1092 📉 建議賣出              
00725B.TWO   國泰投資級公司債      35.09          3         44.0          -0.83        8       -13954 📉 建議賣出              
00735.TW     國泰臺韓科技         69.3          4        65.38          16.49        6         -132 📈 持有 → 繼續持有         
00738U.TW    期元大道瓊白銀       67.15          5        70.83           39.0        3        -2723 📉 建議賣出              
00740B.TWO   富邦全球投等債       38.51          3        54.55           -0.4        7         1638 📉 建議賣出              
00746B.TWO   未知            35.71          3        47.62          -0.66        8          303 📉 建議賣出              
00749B.TWO   凱基新興債10+      32.01         19        38.89           0.56        2            3 📉 建議賣出              
00751B.TWO   元大AAA至A公司債    31.92         19        30.77          -1.95        4       -18815 📉 建議賣出              
00752.TW     中信中國50        25.35          4         60.0           2.88        5         1734 📈 持有 → 繼續持有         
00753L.TW    中信中國50正2      11.47          5        64.71           3.64        3        -3413 📈 持有 → 繼續持有         
00757.TW     統一FANG+       110.4          3        52.63          -0.45        7         -219 📉 建議賣出              
00761B.TWO   國泰A級公司債       34.52          3         45.0          -0.71        7         -141 📉 建議賣出              
00764B.TWO   群益25年美債       28.37         13         50.0           -0.2        4         2024 📉 建議賣出              
00768B.TWO   復華20年美債        51.6         14        57.14           0.55        3           72 📉 建議賣出              
00770.TW     國泰北美科技         51.7         18         37.5          -6.14        3          354 📉 建議賣出              
00772B.TWO   中信高評級公司債      33.65          3         50.0          -0.82        7        -1931 📉 建議賣出              
00773B.TWO   中信優先金融債       35.76          3        52.17           0.69        7         -992 📉 建議賣出              
00780B.TWO   國泰A級金融債       37.67         16        36.84           0.05        2         -181 📉 建議賣出              
00795B.TWO   中信美國公債20年     27.57         14        52.63           1.22        3        -6482 📉 建議賣出              
00830.TW     國泰費城半導體        55.0         14        53.33          -3.64        3         1110 📉 建議賣出              
00852L.TW    未知            28.73         19        33.33          -6.53        2           -1 📉 建議賣出              
00857B.TWO   永豐20年美公債       23.9         14         50.0          -0.03        4          517 📉 建議賣出              
00864B.TWO   中信美國公債0-1     46.56          4        52.17           1.61        5          751 📉 建議賣出              
00865B.TW    國泰US短期公債      48.15          4        56.52           2.08        4         -290 📉 建議賣出              
00875.TW     國泰網路資安         38.1         13        45.45           3.52        1           39 📈 持有 → 繼續持有         
00877.TWO    復華中國5G        28.29          5         37.5          -5.08        8         -333 📉 建議賣出              
00878.TW     國泰永續高股息       22.62          5        74.07           7.47        4        18860 📈 持有 → 繼續持有         
00881.TW     國泰台灣科技龍頭      37.03          6        65.52          12.45        3         2325 📈 持有 → 繼續持有         
00882.TW     中信中國高股息       16.19          3        57.69           4.46        8          503 📉 建議賣出              
00885.TW     富邦越南          17.81          7        35.71          -2.31        6        -2445 📈 持有 → 繼續持有         
00887.TWO    永豐中國科技50大      12.9          6        52.38          -0.12        5          161 📉 建議賣出              
00891.TW     中信關鍵半導體       24.38          6        60.71          14.51        3         2454 📈 持有 → 繼續持有         
00893.TW     國泰智能電動車       33.61          6        52.17            2.5        3         2388 📉 建議賣出              
00900.TW     富邦特選高股息30     14.39          6        65.22           3.67        4         -222 📈 持有 → 繼續持有         
00902.TW     中信電池及儲能        14.3          5         56.0           9.53        5         1409 📉 建議賣出              
00904.TW     新光臺灣半導體30     29.45          5        71.43           19.8        2         2044 📈 持有 → 繼續持有         
00909.TW     國泰數位支付服務       40.7         18         50.0          -4.83        2         2636 📈 持有 → 繼續持有         
00910.TW     第一金太空衛星        56.1          3        46.43          -1.14        8          502 📉 建議賣出              
00915.TW     凱基優選高股息30     23.54          5        60.71           6.58        3          251 📈 持有 → 繼續持有         
00918.TW     大華優利高填息30     23.57          6         72.0           5.94        3         1595 📈 持有 → 繼續持有         
00919.TW     群益台灣精選高息      23.27          5        65.38           4.93        3       -36770 📉 建議賣出              
