Quantum AI Pro 分析報告 (20260318)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                                   Reason
  3088.TWO                              艾訊    6.5    84.10 🚀 極強勢攻擊   50.0% 趨勢強勁 / 【EPS連2成長 | 營收爆發(50.04%) | 董監持股增加】
  3663.TWO                              鑫科    5.5    74.30 🚀 極強勢攻擊   38.5%         趨勢強勁 / 【EPS連2成長 | 營收爆發(157.91%)】
   2353.TW                             宏��    5.5    28.90 🚀 極強勢攻擊   33.3%          趨勢強勁 / 【EPS連2成長 | 營收爆發(39.83%)】
   4770.TW                              上品    5.5   241.50 🚀 極強勢攻擊   33.3%          趨勢強勁 / 【EPS連2成長 | 營收爆發(51.15%)】
  4556.TWO                              旭然    5.5    29.20 🚀 極強勢攻擊   61.1%          趨勢強勁 / 【EPS連2成長 | 營收爆發(31.02%)】
  5498.TWO                              凱崴    5.5    67.20 🚀 極強勢攻擊   53.8%          趨勢強勁 / 【EPS連2成長 | 營收爆發(54.92%)】
  4973.TWO                              廣穎    5.5    89.30 🚀 極強勢攻擊   70.0%          趨勢強勁 / 【EPS連2成長 | 營收爆發(42.53%)】
   8462.TW                              柏文    5.5   147.50 🚀 極強勢攻擊   50.0%          趨勢強勁 / 【EPS連2成長 | 營收爆發(30.55%)】
  4542.TWO                              科嶠    5.0   188.50 🚀 極強勢攻擊   60.0%           趨勢強勁 / 【營收爆發(96.66%) | 董監持股增加】
   3036.TW                              文曄    5.0   256.00 🚀 極強勢攻擊   89.5%          趨勢強勁 / 【營收爆發(151.67%) | 董監持股增加】
  3093.TWO                             港建*    5.0    50.00 🚀 極強勢攻擊   63.2%            趨勢強勁 / 【營收爆發(90.8%) | 董監持股增加】
  5536.TWO                             聖暉*    4.5   683.00 🚀 極強勢攻擊   45.0%        【EPS連2成長 | 營收爆發(38.79%) | 董監持股增加】
  8299.TWO                              群聯    4.5  1975.00 🚀 極強勢攻擊   36.8%       【EPS連2成長 | 營收爆發(169.43%) | 董監持股增加】
   6120.TW                              達運    4.5    13.55 🚀 極強勢攻擊   53.8%                趨勢強勁 / 【EPS連2成長 | 董監持股增加】
   5706.TW                              鳳凰    4.5    52.00 🚀 極強勢攻擊   33.3%                趨勢強勁 / 【EPS連2成長 | 董監持股增加】
  5345.TWO                              馥鴻    4.0    22.50 🚀 極強勢攻擊    0.0%                   趨勢強勁 / 【營收爆發(214.64%)】
  5514.TWO                              三豐    4.0    16.10 🚀 極強勢攻擊   40.0%                  趨勢強勁 / 【營收爆發(6851.87%)】
  7781.TWO                            昕力資*    4.0    29.95 🚀 極強勢攻擊   25.0%                    趨勢強勁 / 【營收爆發(42.08%)】
   8112.TW                              至上    4.0    94.60 🚀 極強勢攻擊   50.0%                   趨勢強勁 / 【營收爆發(136.81%)】
  8472.TWO                             夠麻吉    4.0    80.20 🚀 極強勢攻擊   75.0%                    趨勢強勁 / 【營收爆發(30.76%)】
  6016.TWO                             康和證    4.0    18.15 🚀 極強勢攻擊   44.4%                   趨勢強勁 / 【營收爆發(151.85%)】
   6477.TW                              安集    4.0    38.10 🚀 極強勢攻擊   66.7%                    趨勢強勁 / 【營收爆發(78.94%)】
   2425.TW                              承啟    4.0    30.95 🚀 極強勢攻擊    0.0%                    趨勢強勁 / 【營收爆發(43.93%)】
   8105.TW                              凌巨    4.0    13.70 🚀 極強勢攻擊   28.6%                外資買1338張 / 趨勢強勁 / 【無財報資料】
   6531.TW                             愛普*    4.0   572.00 🚀 極強勢攻擊   85.7%                   趨勢強勁 / 【營收爆發(146.68%)】
   3706.TW                              神達    4.0    84.50 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(34.35%)】
   2010.TW                              春源    4.0    24.95 🚀 極強勢攻擊   46.7%                    趨勢強勁 / 【營收爆發(30.29%)】
  3066.TWO                              李洲    4.0    21.85 🚀 極強勢攻擊   54.5%                    趨勢強勁 / 【營收爆發(42.57%)】
   2451.TW                              創見    4.0   313.50 🚀 極強勢攻擊   45.5%                   趨勢強勁 / 【營收爆發(246.28%)】
  5386.TWO                              青雲    4.0   417.00 🚀 極強勢攻擊   80.0%                  趨勢強勁 / 【營收爆發(1025.37%)】
  6788.TWO                             華景電    4.0   385.00 🚀 極強勢攻擊   62.5%                    趨勢強勁 / 【營收爆發(35.54%)】
   3702.TW                             大聯大    4.0    93.10 🚀 極強勢攻擊   70.6%                    趨勢強勁 / 【營收爆發(44.57%)】
  3555.TWO                             博士旺    4.0   204.50 🚀 極強勢攻擊   66.7%                  趨勢強勁 / 【營收爆發(3727.37%)】
  6637.TWO                              醫影    4.0    74.70 🚀 極強勢攻擊   60.0%                   趨勢強勁 / 【營收爆發(196.31%)】
  5351.TWO                              鈺創    4.0    84.80 🚀 極強勢攻擊   53.3%                   趨勢強勁 / 【營收爆發(310.99%)】
  1294.TWO                            漢田生技    4.0    86.20 🚀 極強勢攻擊   21.4%                   趨勢強勁 / 【營收爆發(117.94%)】
  6265.TWO                             方土昶    4.0    46.90 🚀 極強勢攻擊   77.8%                   趨勢強勁 / 【營收爆發(435.72%)】
   2414.TW                              精技    4.0    44.30 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(54.11%)】
  7583.TWO                            國際海洋    4.0    72.00 🚀 極強勢攻擊   60.0%                    趨勢強勁 / 【營收爆發(64.81%)】
  3664.TWO                           安瑞-KY    4.0    13.50 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(43.94%)】
  4721.TWO                             美琪瑪    4.0    71.50 🚀 極強勢攻擊    0.0%                     趨勢強勁 / 【營收爆發(31.1%)】
  6727.TWO                            亞泰金屬    4.0   290.00 🚀 極強勢攻擊   58.3%                    趨勢強勁 / 【營收爆發(265.8%)】
   8271.TW                              宇瞻    4.0   204.50 🚀 極強勢攻擊   70.6%                   趨勢強勁 / 【營收爆發(193.82%)】
  5205.TWO                              中茂    4.0    27.25 🚀 極強勢攻擊   40.0%                   趨勢強勁 / 【營收爆發(204.44%)】
   6024.TW                             群益期    4.0    55.10 🚀 極強勢攻擊   50.0%                   趨勢強勁 / 【營收爆發(152.89%)】
   2308.TW                             台達電    4.0  1465.00 🚀 極強勢攻擊   54.5%                    趨勢強勁 / 【營收爆發(32.87%)】
  5302.TWO                              太欣    3.5    12.25  📈 多頭續攻   50.0%                 【EPS連2成長 | 營收爆發(69.18%)】
   3535.TW                             晶彩科    3.5   123.00  📈 多頭續攻   46.7%               【EPS連2成長 | 營收爆發(9477.22%)】
   6415.TW                          矽力*-KY    3.5   289.50  📈 多頭續攻   33.3%                 【EPS連2成長 | 營收爆發(46.42%)】
  6465.TWO                              威潤    3.5    40.85  📈 多頭續攻   41.7%                 【EPS連2成長 | 營收爆發(45.25%)】
   9917.TW                             中保科    3.5   114.50  📈 多頭續攻   60.0%                         趨勢強勁 / 【EPS連2成長】
   2535.TW                             達欣工    3.5    73.20  📈 多頭續攻   46.7%                 【EPS連2成長 | 營收爆發(188.6%)】
   6831.TW                              邁科    3.5   317.00  📈 多頭續攻   47.1%                 【EPS連2成長 | 營收爆發(43.88%)】
  5289.TWO                              宜鼎    3.5  1280.00  📈 多頭續攻   69.2%                【EPS連2成長 | 營收爆發(403.21%)】
  6532.TWO                              瑞耘    3.5    70.50  📈 多頭續攻    0.0%                         趨勢強勁 / 【EPS連2成長】
   2369.TW                              菱生    3.5    31.55  📈 多頭續攻   63.6%                 【EPS連2成長 | 營收爆發(61.87%)】
  7751.TWO                              竑騰    3.5  1565.00  📈 多頭續攻   66.7%                 【EPS連2成長 | 營收爆發(80.57%)】
   1525.TW                              江申    3.5    61.50  📈 多頭續攻    0.0%                 【EPS連2成長 | 營收爆發(36.82%)】
   3530.TW                             晶相光    3.5    61.80  📈 多頭續攻   50.0%                 【EPS連2成長 | 營收爆發(33.12%)】
   3443.TW                              創意    3.5  2515.00  📈 多頭續攻   55.0%                 【EPS連2成長 | 營收爆發(60.15%)】
  4806.TWO                            桂田文創    3.5    11.80  📈 多頭續攻   33.3%                【EPS連2成長 | 營收爆發(203.86%)】
   7610.TW                          聯友金屬-創    3.5   321.00  📈 多頭續攻   52.9%                【EPS連2成長 | 營收爆發(422.68%)】
   2204.TW                              中華    3.5    56.50  📈 多頭續攻   25.0%                 【EPS連2成長 | 營收爆發(47.49%)】
   8150.TW                              南茂    3.5    64.60  📈 多頭續攻   63.6%                 【EPS連2成長 | 營收爆發(31.23%)】
   6944.TW                            兆聯實業    3.5   831.00  📈 多頭續攻   60.0%                 【EPS連2成長 | 營收爆發(51.58%)】
  4123.TWO                              晟德    3.5    44.35  📈 多頭續攻   46.7%                 【EPS連2成長 | 營收爆發(56.42%)】
  6435.TWO                              大中    3.5   171.50  📈 多頭續攻   55.6%                         趨勢強勁 / 【EPS連2成長】
   2344.TW                             華邦電    3.5   128.00  📈 多頭續攻   57.1%                 【EPS連2成長 | 營收爆發(88.45%)】
  3374.TWO                              精材    3.5   175.00  📈 多頭續攻   55.0%                  【EPS連2成長 | 營收爆發(45.8%)】
  4744.TWO                              皇將    3.5    37.10  📈 多頭續攻   55.0%                【EPS連2成長 | 營收爆發(112.88%)】
   3006.TW                             晶豪科    3.5   213.50  📈 多頭續攻   42.9%                 【EPS連2成長 | 營收爆發(128.4%)】
   1514.TW                              亞力    3.5   119.50  📈 多頭續攻   75.0%                 【EPS連2成長 | 營收爆發(68.91%)】
   2597.TW                              潤弘    3.5   156.00  📈 多頭續攻   22.2%                 【EPS連2成長 | 營收爆發(62.65%)】
   1597.TW                              直得    3.5    80.80  📈 多頭續攻   52.9%                 【EPS連2成長 | 營收爆發(39.89%)】
   3037.TW                              欣興    3.5   580.00  📈 多頭續攻   55.6%                         趨勢強勁 / 【EPS連2成長】
  5340.TWO                              建榮    3.5   114.00  📈 多頭續攻   36.4%                         趨勢強勁 / 【EPS連2成長】
  6643.TWO                             M31    3.5   483.50  📈 多頭續攻   50.0%                         趨勢強勁 / 【EPS連2成長】
   4148.TW                         全宇生技-KY    3.5    41.10  📈 多頭續攻    0.0%                         趨勢強勁 / 【EPS連2成長】
   7786.TW                            東方風能    3.5   144.00  📈 多頭續攻   50.0%                  【EPS連2成長 | 營收爆發(62.9%)】
   2467.TW                              志聖    3.5   401.00  📈 多頭續攻   76.5%                 【EPS連2成長 | 營收爆發(124.1%)】
   8028.TW                           昇陽半導體    3.5   197.00  📈 多頭續攻   20.0%                         趨勢強勁 / 【EPS連2成長】
   5484.TW                              慧友    3.5    42.15  📈 多頭續攻    0.0%                【EPS連2成長 | 營收爆發(137.98%)】
  3163.TWO                             波若威    3.5   888.00  📈 多頭續攻   65.0%                 【EPS連2成長 | 營收爆發(47.89%)】
   2059.TW                              川湖    3.5  3410.00  📈 多頭續攻   61.1%                 【EPS連2成長 | 營收爆發(31.16%)】
  6170.TWO                              統振    3.0    51.30  📈 多頭續攻    0.0%                          趨勢強勁 / 【董監持股增加】
   2481.TW                              強茂    3.0   102.50  📈 多頭續攻   44.4%                          趨勢強勁 / 【董監持股增加】
  2230.TWO                              泰茂    3.0    36.30  📈 多頭續攻   38.5%                  【營收爆發(88.54%) | 董監持股增加】
  8349.TWO                             �矬�    3.0    43.15  📈 多頭續攻   50.0%                          趨勢強勁 / 【董監持股增加】
  4538.TWO                             大詠城    3.0    18.80  📈 多頭續攻   65.0%                 【營收爆發(122.75%) | 董監持股增加】
  4966.TWO                           譜瑞-KY    3.0   515.00  📈 多頭續攻   50.0%                          趨勢強勁 / 【董監持股增加】
   2836.TW                             高雄銀    3.0    12.20  📈 多頭續攻   38.5%                  【營收爆發(30.58%) | 董監持股增加】
  6219.TWO                              富旺    3.0    14.30  📈 多頭續攻   47.1%               【營收爆發(10807.69%) | 董監持股增加】
  6703.TWO                              軒郁    3.0   122.00  📈 多頭續攻   63.6%                          趨勢強勁 / 【董監持股增加】
   1582.TW                              信錦    3.0    94.00  📈 多頭續攻   60.0%                          趨勢強勁 / 【董監持股增加】
  3147.TWO                              大綜    3.0   174.50  📈 多頭續攻   33.3%                 【營收爆發(206.61%) | 董監持股增加】
  8390.TWO                             金益鼎    3.0    98.50  📈 多頭續攻   40.0%                  【營收爆發(60.35%) | 董監持股增加】
  1593.TWO                              祺驊    3.0    33.10  📈 多頭續攻   33.3%                          趨勢強勁 / 【董監持股增加】
   2323.TW                              中環    2.5    11.00  📈 多頭續攻   50.0%                       【EPS連2成長 | 董監持股增加】
