=== 20260318 K棒型態掃描報表 ===
Stock_ID     Stock_Name      Close    Vol_R    Pattern
-------------------------------------------------------------------------------------
6831.TW      邁科              317.00   0.78     一般
00696B.TWO   富邦美債20年         29.94    0.52     一般
6153.TW      嘉聯益             17.45    0.94     !!十字星(變盤)
8261.TW      富鼎              114.00   0.60     一般
6205.TW      詮欣              56.80    1.10     一般
1789.TW      神隆              22.40    0.93     一般
3171.TWO     炎洲流通            61.50    0.97     一般
4721.TWO     美琪瑪             71.50    0.96     一般
911608.TW    明輝-DR           3.00     1.63     ★量能爆發
6924.TW      榮惠-KY創          79.50    0.84     一般
3044.TW      健鼎              373.50   0.50     一般
3011.TW      今皓              12.75    0.97     一般
00676R.TW    富邦臺灣加權反1        7.57     0.74     !!避雷針(高檔賣壓)
4961.TW      天鈺              143.00   1.00     一般
2012.TW      春雨              16.70    2.74     ★量能爆發 / !!十字星(變盤)
8114.TW      振樺電             185.50   1.85     ★量能爆發
8028.TW      昇陽半導體           197.00   2.32     ★量能爆發 / !!避雷針(高檔賣壓)
6443.TW      元晶              51.00    0.56     一般
6525.TW      捷敏-KY           83.90    0.75     一般
6877.TWO     鏵友益             116.00   0.96     一般
1802.TW      台玻              64.10    4.43     ★量能爆發
9938.TW      百和              48.95    0.75     !!十字星(變盤) / !!避雷針(高檔賣壓)
4442.TWO     竣邦-KY           62.10    0.81     一般
00635U.TW    期元大S&P黃金        52.80    1.06     一般
2408.TW      南亞科             276.00   0.92     一般
2504.TW      國產              38.20    1.36     一般
5546.TW      永固-KY           17.30    0.91     !!避雷針(高檔賣壓)
3086.TWO     華義              273.00   1.76     ★量能爆發 / !!避雷針(高檔賣壓)
2395.TW      研華              349.00   0.90     一般
00984B.TWO   大華優利美A債15       16.48    0.74     一般
6176.TW      瑞儀              95.00    0.99     一般
6811.TWO     宏�硌穈T           197.00   0.89     一般
9949.TWO     琉園              27.25    0.76     一般
4510.TWO     高鋒              43.90    1.05     !!空頭吞噬(起跌)
6124.TWO     業強              34.15    0.62     一般
00757.TW     統一FANG+         111.35   0.97     一般
00945B.TW    凱基美國非投等債        14.44    0.60     一般
4556.TWO     旭然              29.20    0.62     一般
1612.TW      宏泰              35.90    0.79     一般
6624.TWO     萬年清             59.80    0.62     !!多頭吞噬(強漲)
3081.TWO     聯亞              1440.00  0.50     一般
00685L.TW    群益臺灣加權正2        176.75   0.85     一般
6446.TW      藥華藥             673.00   1.28     一般
009813.TW    貝萊德標普卓越50       10.17    0.62     一般
6485.TWO     點序              93.90    1.34     !!避雷針(高檔賣壓)
5403.TWO     中菲              111.00   0.58     !!十字星(變盤) / !!避雷針(高檔賣壓)
00981D.TWO   主動中信非投等債        10.35    1.06     一般
5455.TWO     昇益              23.80    0.04     !!多頭吞噬(強漲)
2374.TW      佳能              73.00    1.19     一般
1443.TW      立益物流            24.55    0.57     一般
6141.TW      柏承              26.00    2.42     ★量能爆發
5243.TW      乙盛-KY           75.80    1.52     ★量能爆發
2303.TW      聯電              61.10    1.11     一般
3372.TWO     典範              23.20    2.58     ★量能爆發
4968.TW      立積              107.50   0.94     !!十字星(變盤)
8433.TWO     弘帆              60.30    1.43     !!十字星(變盤) / !!避雷針(高檔賣壓)
00991A.TW    主動復華未來50        13.36    1.30     一般
2351.TW      順德              97.50    1.83     ★量能爆發
2420.TW      新巨              52.70    0.81     一般
911622.TW    泰聚亨-DR          3.97     2.40     ★量能爆發
3499.TWO     環天科             19.40    4.09     ★量能爆發
6223.TWO     旺矽              3735.00  0.98     一般
6261.TWO     久元              68.20    0.75     一般
7583.TWO     國際海洋            72.00    1.90     ★量能爆發
6658.TW      聯策              68.20    0.42     !!多頭吞噬(強漲)
2059.TW      川湖              3410.00  1.11     !!十字星(變盤) / !!避雷針(高檔賣壓)
6913.TWO     鴻呈              120.50   2.01     ★量能爆發
00749B.TWO   凱基新興債10+        32.15    1.00     一般
3030.TW      德律              260.50   0.54     一般
9802.TW      鈺齊-KY           85.30    0.69     一般
3219.TWO     倚強科             67.80    1.65     ★量能爆發
00918.TW     大華優利高填息30       23.68    2.26     ★量能爆發
3022.TW      威強電             62.30    0.90     一般
4167.TWO     松瑞藥             21.55    0.85     !!避雷針(高檔賣壓)
00641R.TW    富邦日本反1          4.17     0.72     一般
2743.TWO     山富              72.10    1.00     !!避雷針(高檔賣壓)
6617.TWO     共信-KY           73.70    0.76     一般
2412.TW      中華電             137.50   1.02     !!十字星(變盤)
2428.TW      興勤              165.00   0.87     一般
4536.TW      拓凱              155.50   1.22     一般
4554.TWO     橙的              28.90    1.31     一般
6173.TWO     信昌電             66.80    1.87     ★量能爆發
3231.TW      緯創              130.50   1.24     一般
8930.TWO     青鋼              32.55    0.94     一般
2464.TW      盟立              79.60    1.94     ★量能爆發
2248.TW      華勝-KY           52.00    0.87     !!避雷針(高檔賣壓)
2884.TW      玉山金             32.25    0.85     一般
5355.TWO     佳總              7.24     0.58     一般
1725.TW      元禎              32.25    1.26     一般
6116.TW      彩晶              8.85     0.47     一般
2453.TW      凌群              55.70    0.68     一般
6735.TWO     美達科技            55.90    1.77     ★量能爆發 / !!十字星(變盤) / !!避雷針(高檔賣壓)
3609.TWO     三一東林            28.80    1.99     ★量能爆發
8923.TWO     時報              20.00    0.00     !!十字星(變盤)
9958.TW      世紀鋼             128.50   0.67     一般
8932.TWO     智通*             84.70    1.21     一般
1709.TW      和益              18.30    0.46     !!十字星(變盤)
8908.TWO     欣雄              42.00    0.34     !!避雷針(高檔賣壓)
5276.TWO     達輝-KY           15.55    0.57     一般
1584.TWO     精剛              23.15    0.98     一般
2885.TW      元大金             44.65    0.78     !!避雷針(高檔賣壓)
8472.TWO     夠麻吉             80.20    0.44     一般
3306.TWO     鼎天              47.25    1.21     !!避雷針(高檔賣壓)
2929.TW      淘帝-KY           6.63     0.49     一般
6645.TW      金萬林-創           14.20    0.78     一般
7792.TWO     安葆              314.50   0.77     一般
00881.TW     國泰台灣科技龍頭        37.74    0.97     一般
1717.TW      長興              62.90    0.75     一般
6127.TWO     九豪              40.40    3.24     ★量能爆發
7556.TWO     意德士             179.50   0.78     一般
4763.TW      材料*-KY          47.15    0.99     一般
2535.TW      達欣工             73.20    0.81     一般
2013.TW      中鋼構             44.35    0.99     !!避雷針(高檔賣壓)
1714.TW      和桐              9.63     0.75     一般
1808.TW      潤隆              31.35    0.65     一般
3709.TWO     鑫聯大投控           71.50    1.37     !!避雷針(高檔賣壓)
2352.TW      佳世達             24.60    0.81     一般
1568.TW      倉佑              22.60    1.09     !!十字星(變盤) / !!避雷針(高檔賣壓)
6129.TWO     普誠              17.60    2.61     ★量能爆發 / !!十字星(變盤)
5475.TWO     德宏              212.00   1.31     一般
5289.TWO     宜鼎              1280.00  0.11     !!十字星(變盤)
5514.TWO     三豐              16.10    0.30     !!十字星(變盤)
3587.TWO     閎康              190.00   1.11     一般
6532.TWO     瑞耘              70.50    0.51     一般
00927.TW     群益半導體收益         25.63    1.79     ★量能爆發
00950B.TWO   凱基A級公司債         14.21    1.19     一般
4529.TWO     淳紳              3.34     0.82     一般
3523.TWO     迎輝              16.30    0.87     !!空頭吞噬(起跌)
4908.TWO     前鼎              103.00   0.73     !!避雷針(高檔賣壓)
3029.TW      零壹              112.50   2.23     ★量能爆發 / !!十字星(變盤)
7769.TW      鴻勁              4380.00  0.91     一般
4958.TW      臻鼎-KY           207.00   1.29     一般
6245.TWO     立端              66.30    0.97     一般
3447.TW      展達              42.60    0.85     一般
3583.TW      辛耘              417.50   1.03     !!避雷針(高檔賣壓)
00940.TW     元大台灣價值高息        9.89     1.51     ★量能爆發
3706.TW      神達              84.50    1.27     !!避雷針(高檔賣壓)
5009.TWO     榮剛              35.30    2.51     ★量能爆發
