     Stock       Name  Score    Close                               BuyReason
  5536.TWO        聖暉*    6.5   680.00 ADX轉強 | 【EPS連2成長 | 營收爆發(38.79%) | 董監加碼】
  3088.TWO         艾訊    6.5    83.10 ADX轉強 | 【EPS連2成長 | 營收爆發(50.04%) | 董監加碼】
   6902.TW   GOGOLOOK    6.5    76.90 ADX轉強 | 【EPS連2成長 | 營收爆發(37.39%) | 董監加碼】
  4806.TWO       桂田文創    5.5    11.75       ADX轉強 | 【EPS連2成長 | 營收爆發(203.86%)】
   8462.TW         柏文    5.5   143.00        ADX轉強 | 【EPS連2成長 | 營收爆發(30.55%)】
  3663.TWO         鑫科    5.5    74.50       ADX轉強 | 【EPS連2成長 | 營收爆發(157.91%)】
   4967.TW         十銓    5.5   271.00       ADX轉強 | 【EPS連2成長 | 營收爆發(112.73%)】
  5498.TWO         凱崴    5.5    62.80        ADX轉強 | 【EPS連2成長 | 營收爆發(54.92%)】
   4770.TW         上品    5.5   232.00        ADX轉強 | 【EPS連2成長 | 營收爆發(51.15%)】
   2423.TW         固緯    5.5    48.35        ADX轉強 | 【EPS連2成長 | 營收爆發(46.67%)】
  4973.TWO         廣穎    5.5    98.20        ADX轉強 | 【EPS連2成長 | 營收爆發(42.53%)】
  4556.TWO         旭然    5.5    28.50        ADX轉強 | 【EPS連2成長 | 營收爆發(31.02%)】
  3093.TWO        港建*    5.0    53.90            ADX轉強 | 【營收爆發(90.8%) | 董監加碼】
  4542.TWO         科嶠    5.0   196.00           ADX轉強 | 【營收爆發(96.66%) | 董監加碼】
   3036.TW         文曄    5.0   250.00          ADX轉強 | 【營收爆發(151.67%) | 董監加碼】
  4991.TWO      環宇-KY    4.5   388.50        【EPS連2成長 | 營收爆發(155.98%) | 董監加碼】
   6994.TW       富威電力    4.5    77.40        【EPS連2成長 | 營收爆發(114.38%) | 董監加碼】
   6120.TW         達運    4.5    13.35                ADX轉強 | 【EPS連2成長 | 董監加碼】
   5706.TW         鳳凰    4.5    51.50                ADX轉強 | 【EPS連2成長 | 董監加碼】
  8299.TWO         群聯    4.5  1960.00        【EPS連2成長 | 營收爆發(169.43%) | 董監加碼】
   3706.TW         神達    4.0    82.10                  ADX轉強 | 【營收爆發(34.35%)】
  6016.TWO        康和證    4.0    17.60                 ADX轉強 | 【營收爆發(151.85%)】
  5514.TWO         三豐    4.0    16.10                ADX轉強 | 【營收爆發(6851.87%)】
  6637.TWO         醫影    4.0    74.20                 ADX轉強 | 【營收爆發(196.31%)】
  5205.TWO         中茂    4.0    27.35                 ADX轉強 | 【營收爆發(204.44%)】
  5345.TWO         馥鴻    4.0    22.50                 ADX轉強 | 【營收爆發(214.64%)】
  5351.TWO         鈺創    4.0    84.30                 ADX轉強 | 【營收爆發(310.99%)】
  3555.TWO        博士旺    4.0   224.50                ADX轉強 | 【營收爆發(3727.37%)】
  1294.TWO       漢田生技    4.0    83.60                 ADX轉強 | 【營收爆發(117.94%)】
   2406.TW         國碩    4.0    36.45                 ADX轉強 | 【營收爆發(188.65%)】
   8112.TW         至上    4.0    91.70                 ADX轉強 | 【營收爆發(136.81%)】
   6024.TW        群益期    4.0    55.00                 ADX轉強 | 【營收爆發(152.89%)】
  7781.TWO       昕力資*    4.0    33.55                  ADX轉強 | 【營收爆發(42.08%)】
   2414.TW         精技    4.0    44.10                  ADX轉強 | 【營收爆發(54.11%)】
   8996.TW         高力    4.0   951.00                 ADX轉強 | 【營收爆發(205.73%)】
  6727.TWO       亞泰金屬    4.0   299.50                  ADX轉強 | 【營收爆發(265.8%)】
   6139.TW         亞翔    4.0   587.00                  ADX轉強 | 【營收爆發(87.64%)】
  7583.TWO       國際海洋    4.0    73.00                  ADX轉強 | 【營收爆發(64.81%)】
  3066.TWO         李洲    4.0    24.00                  ADX轉強 | 【營收爆發(42.57%)】
   6477.TW         安集    4.0    37.60                  ADX轉強 | 【營收爆發(78.94%)】
  4721.TWO        美琪瑪    4.0    72.00                   ADX轉強 | 【營收爆發(31.1%)】
  6903.TWO         巨漢    4.0   312.00                 ADX轉強 | 【營收爆發(586.45%)】
   2010.TW         春源    4.0    24.75                  ADX轉強 | 【營收爆發(30.29%)】
   2451.TW         創見    4.0   309.00                 ADX轉強 | 【營收爆發(246.28%)】
   2308.TW        台達電    4.0  1455.00                  ADX轉強 | 【營收爆發(32.87%)】
   3702.TW        大聯大    4.0    93.00                  ADX轉強 | 【營收爆發(44.57%)】
  6223.TWO         旺矽    4.0  3665.00                  ADX轉強 | 【營收爆發(33.06%)】
  6788.TWO        華景電    4.0   371.00                  ADX轉強 | 【營收爆發(35.54%)】
   3033.TW         威健    4.0    35.20                  ADX轉強 | 【營收爆發(59.01%)】
  8472.TWO        夠麻吉    4.0    80.00                  ADX轉強 | 【營收爆發(30.76%)】
   2425.TW         承啟    4.0    31.00                  ADX轉強 | 【營收爆發(43.93%)】
