🚀 智能量化選股報告 - 2026-03-19
==========================================================================================

【🚀超級強勢】(數量: 135)
------------------------------------------------------------------------------------------
2360.TW  | 致茂         | B6: 12.79% | DMA:339.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
2616.TW  | 山隆         | B6: 12.51% | DMA:  4.044 | 💸流出 | 🚀DMA趨勢+多頭強勢
6291.TWO | 沛亨         | B6: 12.27% | DMA: 70.880 | 💎流入 | 🚀DMA趨勢+多頭強勢
8240.TWO | 華宏         | B6: 12.07% | DMA:  5.573 | 💎流入 | 🚀DMA趨勢+放量攻擊
4542.TWO | 科嶠         | B6: 11.73% | DMA: 45.306 | 💎流入 | 🚀DMA趨勢+多頭強勢
4989.TW  | 榮科         | B6: 11.70% | DMA: 10.068 | 💎流入 | 🚀DMA趨勢+放量攻擊
6230.TW  | 尼得科超眾      | B6: 11.60% | DMA: 37.380 | 💎流入 | 🚀DMA趨勢+放量攻擊
3081.TWO | 聯亞         | B6: 11.06% | DMA:447.180 | 💎流入 | 🚀DMA趨勢+多頭強勢
4977.TW  | 眾達-KY      | B6: 10.95% | DMA: 30.480 | 💎流入 | 🚀DMA趨勢+多頭強勢
6568.TWO | 宏觀         | B6: 10.84% | DMA: 35.870 | 💎流入 | 🚀DMA趨勢+多頭強勢
6877.TWO | 鏵友益        | B6: 10.75% | DMA: 16.880 | 💎流入 | 🚀DMA趨勢+放量攻擊
5291.TWO | 邑昇         | B6: 10.75% | DMA: 12.751 | 💸流出 | 🚀DMA趨勢+多頭強勢
2489.TW  | 瑞軒         | B6: 10.59% | DMA: 13.263 | 💎流入 | 🚀DMA趨勢+放量攻擊
5475.TWO | 德宏         | B6: 10.11% | DMA: 62.678 | 💸流出 | 🚀DMA趨勢+多頭強勢
2383.TW  | 台光電        | B6: 10.07% | DMA:554.900 | 💎流入 | 🚀DMA趨勢+多頭強勢
4908.TWO | 前鼎         | B6:  9.61% | DMA: 16.674 | 💎流入 | 🚀DMA趨勢+多頭強勢
9918.TW  | 欣天然        | B6:  9.20% | DMA:  8.094 | 💎流入 | 🚀DMA趨勢+多頭強勢
2103.TW  | 台橡         | B6:  9.20% | DMA:  3.873 | 💎流入 | 🚀DMA趨勢+放量攻擊
3665.TW  | 貿聯-KY      | B6:  9.05% | DMA:192.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
2380.TW  | 虹光         | B6:  9.04% | DMA:  0.725 | 💎流入 | 🚀DMA趨勢+放量攻擊
2368.TW  | 金像電        | B6:  8.81% | DMA:140.700 | 💎流入 | 🚀DMA趨勢+多頭強勢
2605.TW  | 新興         | B6:  8.73% | DMA:  6.090 | 💎流入 | 🚀DMA趨勢+多頭強勢
3363.TWO | 上詮         | B6:  8.64% | DMA:118.032 | 💎流入 | 🚀DMA趨勢+放量攻擊
6220.TWO | 岳豐         | B6:  8.38% | DMA:  8.274 | 💸流出 | 🚀DMA趨勢+多頭強勢
9931.TW  | 欣高         | B6:  8.31% | DMA:  6.344 | 💎流入 | 🚀DMA趨勢+放量攻擊
1305.TW  | 華夏         | B6:  7.89% | DMA:  1.564 | 💎流入 | 🚀DMA趨勢+放量攻擊
3653.TW  | 健策         | B6:  7.85% | DMA:588.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
6689.TW  | 伊雲谷        | B6:  7.59% | DMA:  8.450 | 💎流入 | 🚀DMA趨勢+放量攻擊
1708.TW  | 東鹼         | B6:  7.23% | DMA:  4.759 | 💎流入 | 🚀DMA趨勢+多頭強勢
6805.TW  | 富世達        | B6:  7.03% | DMA:258.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
1313.TW  | 聯成         | B6:  6.95% | DMA:  1.644 | 💎流入 | 🚀DMA趨勢+放量攻擊
6530.TWO | 創威         | B6:  6.85% | DMA: 11.234 | 💎流入 | 🚀DMA趨勢+多頭強勢
6944.TW  | 兆聯實業       | B6:  6.75% | DMA: 44.400 | 💎流入 | 🚀DMA趨勢+多頭強勢
1337.TW  | 再生-KY      | B6:  6.68% | DMA:  0.586 | 💎流入 | 🚀DMA趨勢+放量攻擊
8086.TWO | 宏捷科        | B6:  6.64% | DMA: 12.980 | 💎流入 | 🚀DMA趨勢+放量攻擊
3380.TW  | 明泰         | B6:  6.58% | DMA:  2.128 | 💎流入 | 🚀DMA趨勢+多頭強勢
3017.TW  | 奇鋐         | B6:  6.48% | DMA:269.100 | 💎流入 | 🚀DMA趨勢+放量攻擊
6152.TW  | 百一         | B6:  6.40% | DMA:  4.127 | 💎流入 | 🚀DMA趨勢+多頭強勢
2393.TW  | 億光         | B6:  6.36% | DMA:  5.470 | 💎流入 | 🚀DMA趨勢+多頭強勢
2455.TW  | 全新         | B6:  6.35% | DMA: 35.030 | 💸流出 | 🚀DMA趨勢+多頭強勢
6546.TWO | 正基         | B6:  6.19% | DMA:  9.632 | 💸流出 | 🚀DMA趨勢+多頭強勢
6231.TWO | 系微         | B6:  6.17% | DMA:  5.450 | 💎流入 | 🚀DMA趨勢+放量攻擊
3189.TW  | 景碩         | B6:  5.94% | DMA: 72.229 | 💎流入 | 🚀DMA趨勢+多頭強勢
8937.TWO | 合騏         | B6:  5.91% | DMA:  9.280 | 💎流入 | 🚀DMA趨勢+多頭強勢
6509.TWO | 聚和         | B6:  5.64% | DMA:  5.420 | 💎流入 | 🚀DMA趨勢+多頭強勢
7750.TW  | 新代         | B6:  5.59% | DMA:261.060 | 💎流入 | 🚀DMA趨勢+多頭強勢
6505.TW  | 台塑化        | B6:  5.37% | DMA:  7.424 | 💎流入 | 🚀DMA趨勢+多頭強勢
7547.TWO | 碩網         | B6:  5.17% | DMA:  0.968 | 💎流入 | 🚀DMA趨勢+多頭強勢
2465.TW  | 麗臺         | B6:  5.09% | DMA:  0.353 | 💎流入 | 🚀DMA趨勢+放量攻擊
4739.TW  | 康普         | B6:  5.09% | DMA:  3.978 | 💎流入 | 🚀DMA趨勢+放量攻擊
1308.TW  | 亞聚         | B6:  5.06% | DMA:  1.151 | 💎流入 | 🚀DMA趨勢+放量攻擊
6168.TW  | 宏齊         | B6:  5.06% | DMA:  0.518 | 💎流入 | 🚀DMA趨勢+多頭強勢
4414.TW  | 如興         | B6:  4.83% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
3535.TW  | 晶彩科        | B6:  4.81% | DMA: 21.564 | 💸流出 | 🚀DMA趨勢+多頭強勢
5452.TWO | 佶優         | B6:  4.76% | DMA:  2.115 | 💎流入 | 🚀DMA趨勢+放量攻擊
6290.TWO | 良維         | B6:  4.75% | DMA: 32.680 | 💎流入 | 🚀DMA趨勢+多頭強勢
2387.TW  | 精元         | B6:  4.61% | DMA:  3.704 | 💎流入 | 🚀DMA趨勢+多頭強勢
1304.TW  | 台聚         | B6:  4.60% | DMA:  1.167 | 💎流入 | 🚀DMA趨勢+放量攻擊
3338.TW  | 泰碩         | B6:  4.52% | DMA:  5.629 | 💎流入 | 🚀DMA趨勢+放量攻擊
2355.TW  | 敬鵬         | B6:  4.49% | DMA:  5.573 | 💎流入 | 🚀DMA趨勢+多頭強勢
2345.TW  | 智邦         | B6:  4.34% | DMA:184.300 | 💸流出 | 🚀DMA趨勢+多頭強勢
00981A.TW | 主動統一台股增長   | B6:  4.20% | DMA:  2.357 | 💎流入 | 🚀DMA趨勢+多頭強勢
3025.TW  | 星通         | B6:  4.15% | DMA: -4.440 | 💎流入 | 🚀放量攻擊
1314.TW  | 中石化        | B6:  4.15% | DMA:  0.594 | 💸流出 | 🚀DMA趨勢+多頭強勢
3031.TW  | 佰鴻         | B6:  4.06% | DMA:  0.828 | 💎流入 | 🚀DMA趨勢+多頭強勢
1710.TW  | 東聯         | B6:  4.04% | DMA:  0.763 | 💎流入 | 🚀DMA趨勢+放量攻擊
6831.TW  | 邁科         | B6:  4.03% | DMA: 28.090 | 💎流入 | 🚀DMA趨勢+多頭強勢
4768.TWO | 晶呈科技       | B6:  3.60% | DMA: 34.900 | 💎流入 | 🚀DMA趨勢+放量攻擊
6292.TWO | 迅德         | B6:  3.59% | DMA:  2.050 | 💎流入 | 🚀DMA趨勢+放量攻擊
1718.TW  | 中纖         | B6:  3.54% | DMA:  0.351 | 💎流入 | 🚀DMA趨勢+放量攻擊
6112.TW  | 邁達特        | B6:  3.51% | DMA:  0.702 | 💎流入 | 🚀DMA趨勢+多頭強勢
2017.TW  | 官田鋼        | B6:  3.48% | DMA:  0.672 | 💸流出 | 🚀DMA趨勢+多頭強勢
00995A.TW | 主動中信台灣卓越   | B6:  3.42% | DMA:  0.000 | 💎流入 | 🚀放量攻擊
6643.TWO | M31        | B6:  3.41% | DMA: 24.170 | 💎流入 | 🚀DMA趨勢+放量攻擊
4934.TW  | 太極         | B6:  3.39% | DMA:  2.415 | 💎流入 | 🚀DMA趨勢+放量攻擊
1312.TW  | 國喬         | B6:  3.28% | DMA:  0.827 | 💎流入 | 🚀DMA趨勢+放量攻擊
2059.TW  | 川湖         | B6:  3.07% | DMA: -9.700 | 💎流入 | 🚀放量攻擊
1709.TW  | 和益         | B6:  3.04% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
8021.TW  | 尖點         | B6:  2.92% | DMA: 18.575 | 💸流出 | 🚀DMA趨勢+多頭強勢
00669R.TW | 國泰美國道瓊反1   | B6:  2.90% | DMA:  0.193 | 💎流入 | 🚀DMA趨勢+多頭強勢
00994A.TW | FIRST SECURITIES INV TRUST CO L | B6:  2.88% | DMA:  0.956 | 💎流入 | 🚀DMA趨勢+放量攻擊
7718.TWO | 友鋮         | B6:  2.82% | DMA:  1.804 | 💎流入 | 🚀DMA趨勢+放量攻擊
8105.TW  | 凌巨         | B6:  2.69% | DMA:  0.004 | 💎流入 | 🚀DMA趨勢+多頭強勢
2478.TW  | 大毅         | B6:  2.66% | DMA:  2.826 | 💎流入 | 🚀DMA趨勢+多頭強勢
4971.TWO | IET-KY     | B6:  2.64% | DMA: 65.370 | 💎流入 | 🚀DMA趨勢+多頭強勢
4741.TWO | 泓瀚         | B6:  2.62% | DMA:  1.126 | 💎流入 | 🚀DMA趨勢+放量攻擊
3543.TW  | 州巧         | B6:  2.48% | DMA:  2.740 | 💸流出 | 🚀DMA趨勢+多頭強勢
5490.TWO | 同亨         | B6:  2.35% | DMA:  0.202 | 💎流入 | 🚀DMA趨勢+放量攻擊
6525.TW  | 捷敏-KY      | B6:  2.31% | DMA:  3.168 | 💎流入 | 🚀DMA趨勢+多頭強勢
8455.TWO | 大拓-KY      | B6:  2.28% | DMA:  0.584 | 💎流入 | 🚀DMA趨勢+放量攻擊
00877.TWO | 復華中國5G     | B6:  2.26% | DMA:  0.949 | 💎流入 | 🚀DMA趨勢+多頭強勢
00641R.TW | 富邦日本反1     | B6:  2.10% | DMA: -0.037 | 💎流入 | 🚀多頭強勢
2413.TW  | 環科         | B6:  2.08% | DMA:  3.460 | 💎流入 | 🚀DMA趨勢+多頭強勢
8176.TWO | 智捷         | B6:  2.04% | DMA:  0.380 | 💎流入 | 🚀DMA趨勢+放量攻擊
5272.TWO | 笙科         | B6:  2.03% | DMA:  0.992 | 💎流入 | 🚀DMA趨勢+放量攻擊
6170.TWO | 統振         | B6:  1.96% | DMA:  0.567 | 💎流入 | 🚀DMA趨勢+放量攻擊
3252.TWO | 海灣         | B6:  1.76% | DMA:  0.983 | 💸流出 | 🚀DMA趨勢+多頭強勢
00648R.TW | 元大S&P500反1 | B6:  1.73% | DMA:  0.106 | 💎流入 | 🚀DMA趨勢+多頭強勢
2104.TW  | 國際中橡       | B6:  1.65% | DMA:  0.576 | 💸流出 | 🚀DMA趨勢+多頭強勢
00651R.TW | 復華香港反1     | B6:  1.63% | DMA:  0.134 | 💸流出 | 🚀DMA趨勢+多頭強勢
00666R.TW | 富邦恒生國企反1   | B6:  1.54% | DMA:  0.317 | 💎流入 | 🚀DMA趨勢+多頭強勢
2323.TW  | 中環         | B6:  1.39% | DMA:  0.135 | 💎流入 | 🚀DMA趨勢+放量攻擊
3709.TWO | 鑫聯大投控      | B6:  1.34% | DMA:  6.340 | 💎流入 | 🚀DMA趨勢+多頭強勢
8087.TWO | 麗升能源       | B6:  1.32% | DMA:  1.993 | 💎流入 | 🚀DMA趨勢+多頭強勢
9926.TW  | 新海         | B6:  1.00% | DMA:  1.520 | 💸流出 | 🚀DMA趨勢+多頭強勢
3217.TWO | 優群         | B6:  0.99% | DMA: -1.900 | 💎流入 | 🚀多頭強勢
4702.TWO | 中美實        | B6:  0.90% | DMA:  0.149 | 💎流入 | 🚀DMA趨勢+放量攻擊
