🚀 智能量化選股報告 - 2026-03-20
==========================================================================================

【🚀超級強勢】(數量: 127)
------------------------------------------------------------------------------------------
6568.TWO | 宏觀         | B6: 12.12% | DMA: 37.750 | 💎流入 | 🚀DMA趨勢+多頭強勢
4977.TW  | 眾達-KY      | B6: 11.99% | DMA: 32.590 | 💎流入 | 🚀DMA趨勢+多頭強勢
5291.TWO | 邑昇         | B6: 10.18% | DMA: 12.677 | 💎流入 | 🚀DMA趨勢+放量攻擊
4908.TWO | 前鼎         | B6: 10.15% | DMA: 17.676 | 💎流入 | 🚀DMA趨勢+放量攻擊
3081.TWO | 聯亞         | B6:  9.69% | DMA:440.380 | 💎流入 | 🚀DMA趨勢+放量攻擊
2640.TWO | 大車隊        | B6:  9.15% | DMA: 10.940 | 💎流入 | 🚀DMA趨勢+放量攻擊
3583.TW  | 辛耘         | B6:  9.12% | DMA: 40.210 | 💎流入 | 🚀DMA趨勢+多頭強勢
3363.TWO | 上詮         | B6:  8.88% | DMA:125.712 | 💎流入 | 🚀DMA趨勢+放量攻擊
6231.TWO | 系微         | B6:  8.61% | DMA: 11.710 | 💎流入 | 🚀DMA趨勢+放量攻擊
3665.TW  | 貿聯-KY      | B6:  8.54% | DMA:191.200 | 💎流入 | 🚀DMA趨勢+放量攻擊
6693.TWO | 廣閎科        | B6:  8.35% | DMA:  8.452 | 💎流入 | 🚀DMA趨勢+多頭強勢
6689.TW  | 伊雲谷        | B6:  8.22% | DMA:  9.326 | 💎流入 | 🚀DMA趨勢+放量攻擊
2380.TW  | 虹光         | B6:  8.09% | DMA:  0.778 | 💎流入 | 🚀DMA趨勢+放量攻擊
2616.TW  | 山隆         | B6:  7.49% | DMA:  3.582 | 💸流出 | 🚀DMA趨勢+多頭強勢
3017.TW  | 奇鋐         | B6:  6.94% | DMA:279.500 | 💎流入 | 🚀DMA趨勢+多頭強勢
6805.TW  | 富世達        | B6:  6.76% | DMA:265.900 | 💎流入 | 🚀DMA趨勢+多頭強勢
5515.TW  | 建國         | B6:  6.70% | DMA:  1.119 | 💎流入 | 🚀DMA趨勢+多頭強勢
6530.TWO | 創威         | B6:  6.58% | DMA: 11.786 | 💎流入 | 🚀DMA趨勢+放量攻擊
3533.TW  | 嘉澤         | B6:  6.19% | DMA:235.600 | 💎流入 | 🚀DMA趨勢+多頭強勢
2455.TW  | 全新         | B6:  6.17% | DMA: 34.840 | 💸流出 | 🚀DMA趨勢+多頭強勢
4906.TW  | 正文         | B6:  6.16% | DMA:  1.544 | 💎流入 | 🚀DMA趨勢+放量攻擊
8155.TWO | 博智         | B6:  5.58% | DMA: 21.890 | 💎流入 | 🚀DMA趨勢+放量攻擊
6205.TW  | 詮欣         | B6:  5.52% | DMA: -0.413 | 💎流入 | 🚀多頭強勢
9918.TW  | 欣天然        | B6:  5.37% | DMA:  7.043 | 💸流出 | 🚀DMA趨勢+多頭強勢
3717.TW  | 聯嘉投控       | B6:  5.31% | DMA:  0.801 | 💎流入 | 🚀DMA趨勢+放量攻擊
4534.TWO | 慶騰         | B6:  5.16% | DMA:  5.346 | 💸流出 | 🚀DMA趨勢+多頭強勢
3071.TWO | 協禧         | B6:  5.00% | DMA:  1.292 | 💎流入 | 🚀DMA趨勢+放量攻擊
1308.TW  | 亞聚         | B6:  4.85% | DMA:  1.238 | 💎流入 | 🚀DMA趨勢+放量攻擊
1809.TW  | 中釉         | B6:  4.83% | DMA:  2.932 | 💸流出 | 🚀DMA趨勢+多頭強勢
9931.TW  | 欣高         | B6:  4.72% | DMA:  5.495 | 💸流出 | 🚀DMA趨勢+多頭強勢
3105.TWO | 穩懋         | B6:  4.60% | DMA: 53.460 | 💸流出 | 🚀DMA趨勢+多頭強勢
1304.TW  | 台聚         | B6:  4.50% | DMA:  1.283 | 💎流入 | 🚀DMA趨勢+放量攻擊
2308.TW  | 台達電        | B6:  4.41% | DMA:164.020 | 💎流入 | 🚀DMA趨勢+放量攻擊
2010.TW  | 春源         | B6:  4.41% | DMA:  1.806 | 💎流入 | 🚀DMA趨勢+放量攻擊
2387.TW  | 精元         | B6:  4.27% | DMA:  3.796 | 💎流入 | 🚀DMA趨勢+多頭強勢
2495.TW  | 普安         | B6:  4.22% | DMA:  0.670 | 💎流入 | 🚀DMA趨勢+放量攻擊
2345.TW  | 智邦         | B6:  4.17% | DMA:190.900 | 💎流入 | 🚀DMA趨勢+多頭強勢
1710.TW  | 東聯         | B6:  4.06% | DMA:  0.864 | 💎流入 | 🚀DMA趨勢+放量攻擊
2254.TW  | 巨鎧精密-創     | B6:  4.02% | DMA:  6.078 | 💎流入 | 🚀DMA趨勢+多頭強勢
6220.TWO | 岳豐         | B6:  3.65% | DMA:  7.277 | 💸流出 | 🚀DMA趨勢+多頭強勢
2324.TW  | 仁寶         | B6:  3.60% | DMA:  0.858 | 💎流入 | 🚀DMA趨勢+多頭強勢
5011.TWO | 久陽         | B6:  3.56% | DMA:  1.662 | 💎流入 | 🚀DMA趨勢+放量攻擊
6854.TW  | 錼創科技-KY創   | B6:  3.54% | DMA:  8.510 | 💎流入 | 🚀DMA趨勢+放量攻擊
2548.TW  | 華固         | B6:  3.46% | DMA:  4.510 | 💎流入 | 🚀DMA趨勢+放量攻擊
8021.TW  | 尖點         | B6:  3.39% | DMA: 19.985 | 💎流入 | 🚀DMA趨勢+放量攻擊
8438.TW  | 昶昕         | B6:  3.37% | DMA:  5.878 | 💸流出 | 🚀DMA趨勢+多頭強勢
1718.TW  | 中纖         | B6:  3.17% | DMA:  0.351 | 💎流入 | 🚀DMA趨勢+放量攻擊
2329.TW  | 華泰         | B6:  3.11% | DMA: -1.705 | 💎流入 | 🚀放量攻擊
1312.TW  | 國喬         | B6:  3.05% | DMA:  0.791 | 💸流出 | 🚀DMA趨勢+多頭強勢
2017.TW  | 官田鋼        | B6:  3.05% | DMA:  0.712 | 💎流入 | 🚀DMA趨勢+放量攻擊
5490.TWO | 同亨         | B6:  2.98% | DMA:  0.427 | 💎流入 | 🚀DMA趨勢+放量攻擊
00669R.TW | 國泰美國道瓊反1   | B6:  2.89% | DMA:  0.213 | 💎流入 | 🚀DMA趨勢+放量攻擊
1225.TW  | 福懋油        | B6:  2.83% | DMA:  2.408 | 💸流出 | 🚀DMA趨勢+多頭強勢
1471.TW  | 首利         | B6:  2.79% | DMA:  1.115 | 💎流入 | 🚀DMA趨勢+放量攻擊
6423.TWO | 億而得        | B6:  2.68% | DMA:  1.784 | 💎流入 | 🚀DMA趨勢+多頭強勢
3033.TW  | 威健         | B6:  2.56% | DMA:  0.870 | 💎流入 | 🚀DMA趨勢+放量攻擊
1717.TW  | 長興         | B6:  2.56% | DMA:  2.907 | 💎流入 | 🚀DMA趨勢+放量攻擊
6245.TWO | 立端         | B6:  2.45% | DMA: -1.424 | 💎流入 | 🚀放量攻擊
3022.TW  | 威強電        | B6:  2.45% | DMA: -0.984 | 💎流入 | 🚀放量攻擊
2013.TW  | 中鋼構        | B6:  2.43% | DMA:  1.422 | 💎流入 | 🚀DMA趨勢+放量攻擊
8477.TWO | 創業家        | B6:  2.40% | DMA:  0.575 | 💎流入 | 🚀DMA趨勢+多頭強勢
1449.TW  | 佳和         | B6:  2.40% | DMA: -0.043 | 💎流入 | 🚀放量攻擊
2520.TW  | 冠德         | B6:  2.38% | DMA:  0.235 | 💎流入 | 🚀DMA趨勢+放量攻擊
3535.TW  | 晶彩科        | B6:  2.28% | DMA: 18.466 | 💸流出 | 🚀DMA趨勢+多頭強勢
4971.TWO | IET-KY     | B6:  2.27% | DMA: 66.550 | 💎流入 | 🚀DMA趨勢+多頭強勢
00877.TWO | 復華中國5G     | B6:  2.27% | DMA:  1.014 | 💎流入 | 🚀DMA趨勢+多頭強勢
00693U.TW | 期街口S&P黃豆   | B6:  2.22% | DMA:  1.392 | 💸流出 | 🚀DMA趨勢+多頭強勢
4903.TWO | 聯光通        | B6:  2.21% | DMA:  1.828 | 💎流入 | 🚀DMA趨勢+放量攻擊
1456.TW  | 怡華         | B6:  2.19% | DMA:  0.315 | 💎流入 | 🚀DMA趨勢+放量攻擊
00641R.TW | 富邦日本反1     | B6:  2.15% | DMA: -0.021 | 💎流入 | 🚀放量攻擊
5284.TW  | jpp-KY     | B6:  2.05% | DMA:  1.780 | 💎流入 | 🚀DMA趨勢+放量攻擊
8936.TWO | 國統         | B6:  2.03% | DMA:  0.200 | 💎流入 | 🚀DMA趨勢+放量攻擊
3211.TWO | 順達         | B6:  1.93% | DMA:  1.300 | 💎流入 | 🚀DMA趨勢+放量攻擊
7583.TWO | 國際海洋       | B6:  1.93% | DMA:  0.732 | 💎流入 | 🚀DMA趨勢+多頭強勢
3499.TWO | 環天科        | B6:  1.91% | DMA:  0.051 | 💎流入 | 🚀DMA趨勢+多頭強勢
4979.TWO | 華星光        | B6:  1.85% | DMA: 45.990 | 💎流入 | 🚀DMA趨勢+多頭強勢
5536.TWO | 聖暉*        | B6:  1.78% | DMA:-16.170 | 💎流入 | 🚀放量攻擊
00648R.TW | 元大S&P500反1 | B6:  1.76% | DMA:  0.117 | 💎流入 | 🚀DMA趨勢+多頭強勢
7795.TW  | 長廣         | B6:  1.76% | DMA: 42.410 | 💎流入 | 🚀DMA趨勢+放量攻擊
5205.TWO | 中茂         | B6:  1.42% | DMA: -1.114 | 💸流出 | 🚀多頭強勢
00651R.TW | 復華香港反1     | B6:  1.36% | DMA:  0.137 | 💎流入 | 🚀DMA趨勢+多頭強勢
00674R.TW | 期元大S&P黃金反1 | B6:  1.35% | DMA: -0.209 | 💎流入 | 🚀放量攻擊
9941.TW  | 裕融         | B6:  1.34% | DMA: -1.698 | 💎流入 | 🚀放量攻擊
6116.TW  | 彩晶         | B6:  1.31% | DMA: -0.219 | 💎流入 | 🚀多頭強勢
6279.TWO | 胡連         | B6:  1.26% | DMA: -4.590 | 💎流入 | 🚀多頭強勢
00910.TW | 第一金太空衛星    | B6:  1.25% | DMA:  1.920 | 💎流入 | 🚀DMA趨勢+多頭強勢
