短線策略回測報告  (20260322)
================================================================================

=== 6831.TW (DMA:5) ===
買 2025-12-22 @261.50 | 賣 2026-01-05 @306.00 | 44.50 (17.02%)
買 2026-02-09 @261.50 | 賣 2026-03-04 @323.50 | 62.00 (23.71%)
買 2026-03-06 @296.50 | 賣 2026-03-09 @267.00 | -29.50 (-9.95%)
小計: 77.0  交易次數: 3

=== 00696B.TWO (DMA:120) ===
買 2017-11-22 @31.92 | 賣 2017-11-30 @31.62 | -0.30 (-0.94%)
買 2017-12-19 @32.12 | 賣 2017-12-22 @31.49 | -0.63 (-1.97%)
買 2018-07-17 @32.15 | 賣 2018-07-24 @31.74 | -0.41 (-1.27%)
買 2018-08-30 @32.35 | 賣 2018-09-05 @32.15 | -0.19 (-0.60%)
買 2018-10-30 @31.04 | 賣 2018-11-05 @30.18 | -0.86 (-2.78%)
買 2018-11-21 @31.04 | 賣 2018-11-23 @31.08 | 0.04 (0.13%)
買 2018-12-28 @32.53 | 賣 2019-01-15 @32.60 | 0.06 (0.20%)
買 2019-02-11 @33.22 | 賣 2019-03-04 @32.35 | -0.87 (-2.63%)
買 2019-03-13 @33.19 | 賣 2019-03-25 @33.89 | 0.70 (2.11%)
買 2019-04-03 @33.81 | 賣 2019-04-16 @33.55 | -0.26 (-0.77%)
買 2019-05-02 @33.93 | 賣 2019-05-21 @35.00 | 1.08 (3.17%)
買 2019-06-19 @36.83 | 賣 2019-06-27 @36.41 | -0.43 (-1.16%)
買 2019-07-04 @37.06 | 賣 2019-07-12 @35.90 | -1.16 (-3.12%)
買 2019-08-23 @39.99 | 賣 2019-09-10 @39.83 | -0.16 (-0.39%)
買 2019-10-03 @39.99 | 賣 2019-10-07 @40.20 | 0.21 (0.54%)
買 2019-10-14 @38.61 | 賣 2019-10-16 @38.43 | -0.17 (-0.45%)
買 2019-11-20 @38.04 | 賣 2019-11-28 @38.38 | 0.34 (0.90%)
買 2019-12-03 @37.79 | 賣 2019-12-12 @37.19 | -0.60 (-1.59%)
買 2020-01-09 @36.89 | 賣 2020-01-13 @37.09 | 0.20 (0.54%)
買 2020-02-10 @38.95 | 賣 2020-02-26 @40.79 | 1.85 (4.74%)
買 2020-03-12 @44.09 | 賣 2020-03-19 @39.66 | -4.43 (-10.05%)
買 2020-04-08 @44.97 | 賣 2020-05-05 @44.63 | -0.33 (-0.73%)
買 2020-06-29 @43.96 | 賣 2020-08-13 @44.15 | 0.19 (0.44%)
買 2021-08-20 @38.60 | 賣 2021-09-01 @37.68 | -0.92 (-2.38%)
買 2021-09-16 @38.27 | 賣 2021-09-28 @37.24 | -1.03 (-2.70%)
買 2021-11-01 @37.72 | 賣 2021-11-18 @37.38 | -0.34 (-0.90%)
買 2021-11-30 @38.31 | 賣 2021-12-23 @38.20 | -0.11 (-0.30%)
買 2022-12-14 @31.17 | 賣 2022-12-20 @30.23 | -0.94 (-3.02%)
買 2023-04-06 @31.49 | 賣 2023-04-18 @30.31 | -1.18 (-3.75%)
買 2023-04-26 @31.28 | 賣 2023-05-10 @30.41 | -0.87 (-2.79%)
買 2023-06-07 @30.30 | 賣 2023-06-09 @30.04 | -0.25 (-0.84%)
買 2023-06-30 @30.45 | 賣 2023-07-10 @29.81 | -0.64 (-2.09%)
買 2023-08-31 @29.62 | 賣 2023-09-08 @29.31 | -0.31 (-1.05%)
買 2023-12-28 @30.11 | 賣 2024-01-05 @29.54 | -0.57 (-1.90%)
買 2024-02-05 @29.53 | 賣 2024-02-19 @28.72 | -0.81 (-2.74%)
買 2024-03-14 @29.33 | 賣 2024-03-20 @29.09 | -0.24 (-0.82%)
買 2024-03-28 @29.79 | 賣 2024-04-09 @29.07 | -0.72 (-2.40%)
買 2024-05-08 @29.14 | 賣 2024-05-30 @28.70 | -0.44 (-1.51%)
買 2024-06-05 @29.79 | 賣 2024-07-02 @29.52 | -0.27 (-0.91%)
買 2024-07-15 @30.27 | 賣 2024-07-22 @30.65 | 0.37 (1.23%)
買 2024-07-31 @30.80 | 賣 2024-08-05 @32.36 | 1.57 (5.09%)
買 2024-08-19 @31.33 | 賣 2024-08-28 @31.43 | 0.10 (0.33%)
買 2024-09-06 @32.05 | 賣 2024-09-25 @31.61 | -0.44 (-1.39%)
買 2024-11-15 @29.68 | 賣 2024-11-19 @29.68 | 0.00 (0.00%)
買 2024-11-26 @30.30 | 賣 2024-12-03 @31.03 | 0.73 (2.42%)
買 2024-12-12 @30.33 | 賣 2024-12-16 @29.90 | -0.43 (-1.41%)
買 2025-10-13 @29.14 | 賣 2025-11-06 @29.13 | -0.01 (-0.03%)
買 2025-11-24 @29.74 | 賣 2025-12-08 @29.11 | -0.63 (-2.13%)
買 2026-01-12 @29.50 | 賣 2026-01-23 @29.50 | 0.00 (0.02%)
買 2026-02-11 @29.72 | 賣 2026-03-16 @29.85 | 0.13 (0.44%)
小計: -14.38  交易次數: 50

=== 6153.TW (DMA:120) ===
買 2014-08-18 @35.14 | 賣 2014-09-03 @33.78 | -1.37 (-3.89%)
買 2014-09-04 @33.57 | 賣 2014-09-05 @34.22 | 0.64 (1.91%)
買 2014-10-03 @33.82 | 賣 2014-10-08 @32.45 | -1.37 (-4.04%)
買 2014-10-09 @32.49 | 賣 2014-10-13 @31.29 | -1.20 (-3.71%)
買 2015-11-04 @22.86 | 賣 2015-11-09 @22.12 | -0.74 (-3.24%)
買 2015-12-02 @21.71 | 賣 2015-12-09 @20.80 | -0.91 (-4.17%)
買 2016-10-11 @17.37 | 賣 2016-10-14 @16.94 | -0.43 (-2.50%)
