=== 20260323 K棒型態掃描報表 (產出日: 20260323) ===
Stock_ID     Stock_Name      Close    Vol_R    Pattern
-------------------------------------------------------------------------------------
6831.TW      邁科              332.00   1.18     !!避雷針(高檔賣壓)
00696B.TWO   富邦美債20年         29.45    0.68     一般
6153.TW      嘉聯益             16.80    1.05     !!十字星(變盤) / !!避雷針(高檔賣壓)
8261.TW      富鼎              104.00   0.42     !!十字星(變盤) / !!避雷針(高檔賣壓)
6205.TW      詮欣              58.00    0.75     一般
1789.TW      神隆              20.80    0.50     一般
3171.TWO     炎洲流通            60.90    0.63     !!十字星(變盤) / !!避雷針(高檔賣壓) / !!錘子線(低檔支撐)
4721.TWO     美琪瑪             73.30    1.01     一般
911608.TW    明輝-DR           2.98     1.56     ★量能爆發
6924.TW      榮惠-KY創          74.30    0.84     !!三隻烏鴉(強轉空)
3044.TW      健鼎              355.00   0.69     一般
3011.TW      今皓              12.70    1.00     !!避雷針(高檔賣壓)
00676R.TW    富邦臺灣加權反1        7.98     1.83     ★量能爆發 / !!錘子線(低檔支撐)
4961.TW      天鈺              141.00   0.86     !!錘子線(低檔支撐)
2012.TW      春雨              16.15    0.46     !!空頭吞噬(起跌)
8114.TW      振樺電             177.50   0.78     !!十字星(變盤) / !!避雷針(高檔賣壓)
8028.TW      昇陽半導體           182.00   0.96     一般
6443.TW      元晶              44.75    0.43     !!十字星(變盤) / !!避雷針(高檔賣壓) / !!三隻烏鴉(強轉空)
6525.TW      捷敏-KY           81.10    0.70     一般
6877.TWO     鏵友益             105.00   2.06     ★量能爆發
1802.TW      台玻              51.90    1.12     !!避雷針(高檔賣壓) / !!三隻烏鴉(強轉空)
9938.TW      百和              46.90    1.43     !!三隻烏鴉(強轉空)
4442.TWO     竣邦-KY           60.00    0.36     一般
00635U.TW    期元大S&P黃金        46.18    2.04     ★量能爆發
2408.TW      南亞科             223.00   0.74     一般
2504.TW      國產              38.10    1.08     一般
5546.TW      永固-KY           16.45    1.04     一般
3086.TWO     華義              291.50   0.67     !!十字星(變盤) / !!避雷針(高檔賣壓)
2395.TW      研華              330.00   0.98     一般
3050.TW      鈺德              13.95    3.67     ★量能爆發 / !!空頭吞噬(起跌)
00984B.TWO   大華優利美A債15       16.27    0.70     一般
6176.TW      瑞儀              93.00    0.80     !!避雷針(高檔賣壓)
6811.TWO     宏�硌穈T           187.50   0.92     一般
9949.TWO     琉園              27.10    1.25     !!避雷針(高檔賣壓)
4510.TWO     高鋒              42.40    1.04     !!避雷針(高檔賣壓) / !!多頭吞噬(強漲)
6124.TWO     業強              32.00    0.41     一般
00757.TW     統一FANG+         106.65   1.91     ★量能爆發 / !!避雷針(高檔賣壓)
2101.TW      南港              34.60    0.64     一般
00945B.TW    凱基美國非投等債        14.42    1.29     !!十字星(變盤) / !!錘子線(低檔支撐)
4556.TWO     旭然              28.60    0.60     一般
1612.TW      宏泰              35.00    0.83     一般
6624.TWO     萬年清             58.00    1.32     一般
3081.TWO     聯亞              1480.00  1.03     一般
00685L.TW    群益臺灣加權正2        157.75   2.31     ★量能爆發
6446.TW      藥華藥             614.00   1.07     !!三隻烏鴉(強轉空)
009813.TW    貝萊德標普卓越50       9.88     1.58     ★量能爆發
6485.TWO     點序              89.10    0.26     !!避雷針(高檔賣壓) / !!錘子線(低檔支撐)
5403.TWO     中菲              108.50   1.03     一般
00981D.TWO   主動中信非投等債        10.29    1.31     一般
2374.TW      佳能              69.80    1.49     一般
1443.TW      立益物流            24.15    0.35     !!十字星(變盤) / !!避雷針(高檔賣壓)
2025.TW      千興              12.75    3.60     ★量能爆發 / !!十字星(變盤)
6141.TW      柏承              23.40    0.36     !!十字星(變盤)
5243.TW      乙盛-KY           69.50    0.59     !!十字星(變盤) / !!避雷針(高檔賣壓)
2303.TW      聯電              56.70    0.95     一般
3372.TWO     典範              21.05    0.95     一般
4968.TW      立積              105.50   0.96     一般
8433.TWO     弘帆              60.20    0.39     一般
00991A.TW    主動復華未來50        12.60    1.07     !!十字星(變盤) / !!避雷針(高檔賣壓)
2402.TW      毅嘉              49.60    0.74     一般
2351.TW      順德              95.30    1.03     !!多頭吞噬(強漲)
2420.TW      新巨              52.00    0.85     !!十字星(變盤) / !!避雷針(高檔賣壓)
