🚀 智能量化選股報告 - 2026-03-23
==========================================================================================

【🚀超級強勢】(數量: 61)
------------------------------------------------------------------------------------------
3663.TWO | 鑫科         | B6: 12.24% | DMA:  8.318 | 💎流入 | 🚀DMA趨勢+放量攻擊
6225.TW  | 天瀚         | B6: 11.75% | DMA:  4.070 | 💎流入 | 🚀DMA趨勢+多頭強勢
6231.TWO | 系微         | B6: 11.31% | DMA: 18.830 | 💎流入 | 🚀DMA趨勢+放量攻擊
5291.TWO | 邑昇         | B6: 10.25% | DMA: 13.226 | 💎流入 | 🚀DMA趨勢+多頭強勢
2640.TWO | 大車隊        | B6:  9.49% | DMA: 12.850 | 💎流入 | 🚀DMA趨勢+多頭強勢
6689.TW  | 伊雲谷        | B6:  9.30% | DMA: 10.614 | 💎流入 | 🚀DMA趨勢+多頭強勢
8027.TWO | 鈦昇         | B6:  8.48% | DMA:  1.576 | 💎流入 | 🚀DMA趨勢+放量攻擊
4148.TW  | 全宇生技-KY    | B6:  7.96% | DMA:  2.144 | 💎流入 | 🚀DMA趨勢+多頭強勢
4739.TW  | 康普         | B6:  7.12% | DMA:  6.556 | 💎流入 | 🚀DMA趨勢+多頭強勢
7610.TW  | 聯友金屬-創     | B6:  6.68% | DMA: 82.050 | 💎流入 | 🚀DMA趨勢+多頭強勢
4737.TW  | 華廣         | B6:  6.39% | DMA:  5.481 | 💎流入 | 🚀DMA趨勢+多頭強勢
3071.TWO | 協禧         | B6:  6.23% | DMA:  1.882 | 💎流入 | 🚀DMA趨勢+放量攻擊
4755.TW  | 三福化        | B6:  6.11% | DMA: 20.050 | 💸流出 | 🚀DMA趨勢+多頭強勢
3717.TW  | 聯嘉投控       | B6:  5.91% | DMA:  1.093 | 💎流入 | 🚀DMA趨勢+放量攻擊
1308.TW  | 亞聚         | B6:  5.18% | DMA:  1.388 | 💎流入 | 🚀DMA趨勢+放量攻擊
1313.TW  | 聯成         | B6:  5.17% | DMA:  1.450 | 💎流入 | 🚀DMA趨勢+放量攻擊
00654R.TW | 富邦印度反1     | B6:  4.82% | DMA:  0.468 | 💸流出 | 🚀DMA趨勢+多頭強勢
1710.TW  | 東聯         | B6:  4.38% | DMA:  1.021 | 💎流入 | 🚀DMA趨勢+放量攻擊
3580.TWO | 友威科        | B6:  4.34% | DMA:  2.306 | 💎流入 | 🚀DMA趨勢+放量攻擊
4534.TWO | 慶騰         | B6:  3.92% | DMA:  5.298 | 💸流出 | 🚀DMA趨勢+多頭強勢
1471.TW  | 首利         | B6:  3.88% | DMA:  1.190 | 💸流出 | 🚀DMA趨勢+多頭強勢
2616.TW  | 山隆         | B6:  3.64% | DMA:  3.021 | 💎流入 | 🚀DMA趨勢+放量攻擊
2254.TW  | 巨鎧精密-創     | B6:  3.63% | DMA:  5.970 | 💎流入 | 🚀DMA趨勢+多頭強勢
6163.TWO | 華電網        | B6:  3.34% | DMA: -3.022 | 💎流入 | 🚀放量攻擊
6854.TW  | 錼創科技-KY創   | B6:  3.33% | DMA:  9.820 | 💎流入 | 🚀DMA趨勢+多頭強勢
6245.TWO | 立端         | B6:  3.33% | DMA: -0.722 | 💎流入 | 🚀放量攻擊
1593.TWO | 祺驊         | B6:  3.12% | DMA:  2.694 | 💎流入 | 🚀DMA趨勢+多頭強勢
4530.TWO | 宏易         | B6:  3.09% | DMA:  0.774 | 💸流出 | 🚀DMA趨勢+多頭強勢
00669R.TW | 國泰美國道瓊反1   | B6:  2.83% | DMA:  0.219 | 💎流入 | 🚀DMA趨勢+放量攻擊
1456.TW  | 怡華         | B6:  2.55% | DMA:  0.475 | 💎流入 | 🚀DMA趨勢+放量攻擊
00674R.TW | 期元大S&P黃金反1 | B6:  2.43% | DMA: -0.125 | 💎流入 | 🚀放量攻擊
9918.TW  | 欣天然        | B6:  2.42% | DMA:  5.811 | 💸流出 | 🚀DMA趨勢+多頭強勢
1516.TW  | 川飛         | B6:  2.22% | DMA:  1.089 | 💸流出 | 🚀DMA趨勢+多頭強勢
00641R.TW | 富邦日本反1     | B6:  2.12% | DMA: -0.011 | 💎流入 | 🚀放量攻擊
6438.TW  | 迅得         | B6:  2.12% | DMA:  6.350 | 💸流出 | 🚀DMA趨勢+多頭強勢
9931.TW  | 欣高         | B6:  2.01% | DMA:  4.491 | 💎流入 | 🚀DMA趨勢+多頭強勢
4576.TW  | 大銀微系統      | B6:  1.89% | DMA:  3.310 | 💎流入 | 🚀DMA趨勢+多頭強勢
00648R.TW | 元大S&P500反1 | B6:  1.80% | DMA:  0.122 | 💎流入 | 🚀DMA趨勢+放量攻擊
1225.TW  | 福懋油        | B6:  1.64% | DMA:  2.083 | 💸流出 | 🚀DMA趨勢+多頭強勢
5536.TWO | 聖暉*        | B6:  1.50% | DMA: -8.657 | 💎流入 | 🚀放量攻擊
8438.TW  | 昶昕         | B6:  1.43% | DMA:  5.042 | 💸流出 | 🚀DMA趨勢+多頭強勢
6613.TWO | 朋億*        | B6:  1.28% | DMA:  0.845 | 💎流入 | 🚀DMA趨勢+放量攻擊
00693U.TW | 期街口S&P黃豆   | B6:  1.25% | DMA:  1.253 | 💸流出 | 🚀DMA趨勢+多頭強勢
00651R.TW | 復華香港反1     | B6:  1.22% | DMA:  0.149 | 💎流入 | 🚀DMA趨勢+放量攻擊
1460.TW  | 宏遠         | B6:  1.00% | DMA:  0.238 | 💎流入 | 🚀DMA趨勢+多頭強勢
2535.TW  | 達欣工        | B6:  0.94% | DMA:  3.160 | 💸流出 | 🚀DMA趨勢+多頭強勢
6534.TW  | 正瀚-創       | B6:  0.91% | DMA: -1.706 | 💎流入 | 🚀多頭強勢
00865B.TW | 國泰US短期公債   | B6:  0.86% | DMA:  0.578 | 💎流入 | 🚀DMA趨勢+放量攻擊
5205.TWO | 中茂         | B6:  0.81% | DMA: -1.005 | 💸流出 | 🚀多頭強勢
8476.TW  | 台境*        | B6:  0.80% | DMA: -0.136 | 💎流入 | 🚀多頭強勢
00864B.TWO | 中信美國公債0-1  | B6:  0.80% | DMA:  0.541 | 💎流入 | 🚀DMA趨勢+放量攻擊
2006.TW  | 東和鋼鐵       | B6:  0.79% | DMA:  4.306 | 💸流出 | 🚀DMA趨勢+多頭強勢
00666R.TW | 富邦恒生國企反1   | B6:  0.77% | DMA:  0.310 | 💎流入 | 🚀DMA趨勢+放量攻擊
00671R.TW | 富邦NASDAQ反1 | B6:  0.67% | DMA:  0.065 | 💎流入 | 🚀DMA趨勢+放量攻擊
4305.TWO | 世坤         | B6:  0.57% | DMA:  0.810 | 💎流入 | 🚀DMA趨勢+多頭強勢
4538.TWO | 大詠城        | B6:  0.52% | DMA:  0.761 | 💸流出 | 🚀DMA趨勢+多頭強勢
1307.TW  | 三芳         | B6:  0.46% | DMA:  1.256 | 💎流入 | 🚀DMA趨勢+多頭強勢
3168.TW  | 眾福科        | B6:  0.44% | DMA:  0.248 | 💎流入 | 🚀DMA趨勢+多頭強勢
1742.TWO | 台蠟         | B6:  0.21% | DMA:  0.584 | 💸流出 | 🚀DMA趨勢+多頭強勢
4529.TWO | 淳紳         | B6:  0.15% | DMA: -0.007 | 💸流出 | 🚀多頭強勢
8450.TWO | 霹靂         | B6:  0.14% | DMA:  0.097 | 💸流出 | 🚀DMA趨勢+多頭強勢

【❄️跌深反彈】(數量: 63)
------------------------------------------------------------------------------------------
6982.TWO | 大井泵浦       | B6: -5.01% | DMA: -6.686 | 💎流入 | ❄️跌深轉強
5516.TWO | 雙喜         | B6: -5.16% | DMA: -0.948 | 💸流出 | ❄️跌深轉強
1443.TW  | 立益物流       | B6: -5.20% | DMA: -1.825 | 💸流出 | ❄️跌深轉強
6261.TWO | 久元         | B6: -5.28% | DMA: -3.782 | 💎流入 | ❄️底部反彈
4402.TWO | 郡都開發       | B6: -5.33% | DMA: -1.509 | 💸流出 | ❄️跌深轉強
