Quantum AI Pro 分析報告 (20260324)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                                    Reason
  5351.TWO                              鈺創    6.5    70.00 🚀 極強勢攻擊   55.6% 趨勢強勁 / 【EPS連2成長 | 營收爆發(310.99%) | 董監持股增加】
  1815.TWO                              富喬    5.5    98.80 🚀 極強勢攻擊   52.6%           趨勢強勁 / 【EPS連2成長 | 營收爆發(60.76%)】
  3546.TWO                              宇峻    5.5    70.20 🚀 極強勢攻擊   36.8%          趨勢強勁 / 【EPS連2成長 | 營收爆發(127.43%)】
  6026.TWO                             福邦證    5.5    14.60 🚀 極強勢攻擊   14.3%          趨勢強勁 / 【EPS連2成長 | 營收爆發(191.85%)】
   3209.TW                              全科    5.5    42.90 🚀 極強勢攻擊   45.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(35.04%)】
  8059.TWO                              凱碩    5.5    18.80 🚀 極強勢攻擊  100.0%          趨勢強勁 / 【EPS連2成長 | 營收爆發(604.49%)】
  4923.TWO                              力士    5.5    36.35 🚀 極強勢攻擊   22.2%           趨勢強勁 / 【EPS連2成長 | 營收爆發(39.63%)】
   8996.TW                              高力    5.5   772.00 🚀 極強勢攻擊   41.2%          趨勢強勁 / 【EPS連2成長 | 營收爆發(205.73%)】
  6683.TWO                            雍智科技    5.5  1100.00 🚀 極強勢攻擊   65.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(46.93%)】
  6584.TWO                            南俊國際    5.5   540.00 🚀 極強勢攻擊   12.5%           趨勢強勁 / 【EPS連2成長 | 營收爆發(47.92%)】
  6574.TWO                              霈方    5.5   122.50 🚀 極強勢攻擊   40.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(56.66%)】
  8923.TWO                              時報    5.5    20.20 🚀 極強勢攻擊   35.0%            趨勢強勁 / 【EPS連2成長 | 營收爆發(32.9%)】
  6265.TWO                             方土昶    5.5    40.70 🚀 極強勢攻擊   50.0%          趨勢強勁 / 【EPS連2成長 | 營收爆發(309.86%)】
  3663.TWO                              鑫科    5.5    71.00 🚀 極強勢攻擊   30.8%          趨勢強勁 / 【EPS連2成長 | 營收爆發(133.68%)】
  6223.TWO                              旺矽    5.5  3670.00 🚀 極強勢攻擊   62.5%           趨勢強勁 / 【EPS連2成長 | 營收爆發(45.54%)】
  6727.TWO                            亞泰金屬    5.5   253.50 🚀 極強勢攻擊   56.2%          趨勢強勁 / 【EPS連2成長 | 營收爆發(482.36%)】
   2425.TW                              承啟    5.5    29.45 🚀 極強勢攻擊    0.0%          趨勢強勁 / 【EPS連2成長 | 營收爆發(113.51%)】
  6693.TWO                             廣閎科    5.5   102.50 🚀 極強勢攻擊   50.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(42.95%)】
  6163.TWO                             華電網    5.5    59.50 🚀 極強勢攻擊   40.0%          趨勢強勁 / 【EPS連2成長 | 營收爆發(136.48%)】
  6419.TWO                             京晨科    5.5    80.90 🚀 極強勢攻擊   33.3%           趨勢強勁 / 【EPS連2成長 | 營收爆發(37.58%)】
  5498.TWO                              凱崴    5.5    54.50 🚀 極強勢攻擊   42.9%           趨勢強勁 / 【EPS連2成長 | 營收爆發(43.83%)】
  4973.TWO                              廣穎    5.5    71.70 🚀 極強勢攻擊   50.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(42.53%)】
   2305.TW                              全友    5.5    14.45 🚀 極強勢攻擊   50.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(34.16%)】
   8021.TW                              尖點    5.0   231.00 🚀 極強勢攻擊   46.2%            趨勢強勁 / 【營收爆發(42.47%) | 董監持股增加】
  7718.TWO                              友鋮    5.0    47.10 🚀 極強勢攻擊   57.1%            趨勢強勁 / 【營收爆發(40.26%) | 董監持股增加】
  8299.TWO                              群聯    4.5  1685.00 🚀 極強勢攻擊   31.6%        【EPS連2成長 | 營收爆發(169.43%) | 董監持股增加】
   2481.TW                              強茂    4.5    97.10 🚀 極強勢攻擊   53.3%                 趨勢強勁 / 【EPS連2成長 | 董監持股增加】
   4956.TW                              光鋐    4.5    35.45 🚀 極強勢攻擊   50.0%                 趨勢強勁 / 【EPS連2成長 | 董監持股增加】
   6120.TW                              達運    4.5    12.95 🚀 極強勢攻擊   53.3%                 趨勢強勁 / 【EPS連2成長 | 董監持股增加】
  6874.TWO                              倍力    4.0    90.60 🚀 極強勢攻擊   80.0%                      趨勢強勁 / 【營收爆發(89.2%)】
  6199.TWO                              天品    4.0   100.50 🚀 極強勢攻擊   33.3%                    趨勢強勁 / 【營收爆發(587.51%)】
   2449.TW                            京元電子    4.0   278.50 🚀 極強勢攻擊   50.0%                     趨勢強勁 / 【營收爆發(41.05%)】
  5514.TWO                              三豐    4.0    16.05 🚀 極強勢攻擊   44.4%                  趨勢強勁 / 【營收爆發(21437.63%)】
   2451.TW                              創見    4.0   253.00 🚀 極強勢攻擊   25.0%                    趨勢強勁 / 【營收爆發(246.28%)】
   2308.TW                             台達電    4.0  1415.00 🚀 極強勢攻擊   38.5%                      趨勢強勁 / 【營收爆發(31.0%)】
  1799.TWO                              易威    4.0    36.80 🚀 極強勢攻擊   12.5%                     趨勢強勁 / 【營收爆發(38.58%)】
  7751.TWO                              竑騰    4.0  1515.00 🚀 極強勢攻擊   63.2%                     趨勢強勁 / 【營收爆發(73.86%)】
   2406.TW                              國碩    4.0    34.00 🚀 極強勢攻擊   47.4%                    趨勢強勁 / 【營收爆發(159.77%)】
  7738.TWO                            東聯互動    4.0   187.50 🚀 極強勢攻擊   61.5%                     趨勢強勁 / 【營收爆發(30.63%)】
   8926.TW                             台汽電    4.0    45.35 🚀 極強勢攻擊   23.1%                    趨勢強勁 / 【營收爆發(300.39%)】
   1512.TW                              瑞利    4.0     7.71 🚀 極強勢攻擊   33.3%                     趨勢強勁 / 【營收爆發(77.18%)】
   6531.TW                             愛普*    4.0   501.00 🚀 極強勢攻擊   54.5%                    趨勢強勁 / 【營收爆發(146.68%)】
  3490.TWO                              單井    4.0    25.35 🚀 極強勢攻擊   37.5%                     趨勢強勁 / 【營收爆發(58.94%)】
   3416.TW                             融程電    4.0   150.00 🚀 極強勢攻擊   57.1%                     趨勢強勁 / 【營收爆發(37.85%)】
   5706.TW                              鳳凰    4.0    51.40 🚀 極強勢攻擊   33.3%                     趨勢強勁 / 【營收爆發(74.55%)】
  8472.TWO                             夠麻吉    4.0    78.30 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(202.29%)】
  6640.TWO                              均華    4.0  1075.00 🚀 極強勢攻擊   75.0%                      趨勢強勁 / 【營收爆發(52.0%)】
  3555.TWO                             博士旺    4.0   166.00 🚀 極強勢攻擊   33.3%                   趨勢強勁 / 【營收爆發(4102.23%)】
   4949.TW                            有成精密    4.0    61.00 🚀 極強勢攻擊   58.8%                     趨勢強勁 / 【營收爆發(38.12%)】
  7781.TWO                            昕力資*    4.0    31.95 🚀 極強勢攻擊   50.0%                     趨勢強勁 / 【營收爆發(42.08%)】
  6870.TWO                              騰雲    4.0   185.50 🚀 極強勢攻擊   40.0%                     趨勢強勁 / 【營收爆發(48.54%)】
   2442.TW                             新美齊    4.0    20.45 🚀 極強勢攻擊   42.9%                   趨勢強勁 / 【營收爆發(9886.17%)】
   8112.TW                              至上    4.0    79.30 🚀 極強勢攻擊   40.0%                    趨勢強勁 / 【營收爆發(136.81%)】
  3339.TWO                              泰谷    4.0    37.25 🚀 極強勢攻擊   63.2%                     趨勢強勁 / 【營收爆發(31.83%)】
  3489.TWO                              森寶    4.0    22.65 🚀 極強勢攻擊   20.0%                   趨勢強勁 / 【營收爆發(7783.71%)】
  3466.TWO                              德晉    4.0    35.60 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(140.62%)】
   2348.TW                              海悅    4.0    78.70 🚀 極強勢攻擊   33.3%                    趨勢強勁 / 【營收爆發(239.77%)】
   2243.TW                           宏旭-KY    4.0    19.35 🚀 極強勢攻擊   52.6%                    趨勢強勁 / 【營收爆發(739.37%)】
   8476.TW                             台境*    4.0    19.35 🚀 極強勢攻擊   44.4%                     趨勢強勁 / 【營收爆發(43.43%)】
   2855.TW                             統一證    4.0    31.00 🚀 極強勢攻擊   35.3%                    趨勢強勁 / 【營收爆發(221.36%)】
  4442.TWO                           竣邦-KY    4.0    61.80 🚀 極強勢攻擊   50.0%                      趨勢強勁 / 【營收爆發(77.4%)】
  7547.TWO                              碩網    4.0    69.40 🚀 極強勢攻擊   50.0%                     趨勢強勁 / 【營收爆發(49.76%)】
   6689.TW                             伊雲谷    3.5    83.50  📈 多頭續攻   40.0%                          趨勢強勁 / 【EPS連2成長】
  6219.TWO                              富旺    3.5    14.60  📈 多頭續攻   41.2%                【EPS連2成長 | 營收爆發(22485.5%)】
   3028.TW                             增你強    3.5    53.20  📈 多頭續攻   30.8%                  【EPS連2成長 | 營收爆發(44.51%)】
  3083.TWO                              網龍    3.5    27.60  📈 多頭續攻    0.0%                   【EPS連2成長 | 營收爆發(64.5%)】
   3037.TW                              欣興    3.5   460.00  📈 多頭續攻   25.0%                          趨勢強勁 / 【EPS連2成長】
   2485.TW                              兆赫    3.5    75.20  📈 多頭續攻   66.7%                  【EPS連2成長 | 營收爆發(84.86%)】
  3675.TWO                              德微    3.5   201.00  📈 多頭續攻   23.1%                          趨勢強勁 / 【EPS連2成長】
   1709.TW                              和益    3.5    18.10  📈 多頭續攻   37.5%                          趨勢強勁 / 【EPS連2成長】
   8105.TW                              凌巨    3.5    12.80  📈 多頭續攻   11.1%                          趨勢強勁 / 【EPS連2成長】
  6855.TWO                             數泓科    3.5   111.50  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   6579.TW                              研揚    3.5   114.00  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   6902.TW                        GOGOLOOK    3.5    75.10  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   2344.TW                             華邦電    3.5    99.50  📈 多頭續攻   40.0%                  【EPS連2成長 | 營收爆發(88.45%)】
   1460.TW                              宏遠    3.5     7.23  📈 多頭續攻   66.7%                          趨勢強勁 / 【EPS連2成長】
   4916.TW                             事欣科    3.5    59.80  📈 多頭續攻   47.1%                  【EPS連2成長 | 營收爆發(40.99%)】
   4938.TW                              和碩    3.5    76.40  📈 多頭續攻   27.3%                          趨勢強勁 / 【EPS連2成長】
   2337.TW                              旺宏    3.5   136.50  📈 多頭續攻   60.0%                  【EPS連2成長 | 營收爆發(59.98%)】
   2468.TW                              華經    3.5    37.50  📈 多頭續攻   20.0%                          趨勢強勁 / 【EPS連2成長】
   3535.TW                             晶彩科    3.5   117.00  📈 多頭續攻   47.1%                【EPS連2成長 | 營收爆發(4841.75%)】
  6245.TWO                              立端    3.5    67.90  📈 多頭續攻   66.7%                          趨勢強勁 / 【EPS連2成長】
   4958.TW                           臻鼎-KY    3.5   197.00  📈 多頭續攻   41.7%                          趨勢強勁 / 【EPS連2成長】
  8234.TWO                              新漢    3.5    64.00  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
   3530.TW                             晶相光    3.5    57.30  📈 多頭續攻   45.0%                  【EPS連2成長 | 營收爆發(33.12%)】
   3443.TW                              創意    3.5  2505.00  📈 多頭續攻   50.0%                  【EPS連2成長 | 營收爆發(60.15%)】
  4908.TWO                              前鼎    3.5   109.00  📈 多頭續攻   61.5%                          趨勢強勁 / 【EPS連2成長】
  3088.TWO                              艾訊    3.5    84.00  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
   6854.TW                        錼創科技-KY創    3.5   138.50  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
   1711.TW                              永光    3.5    38.60  📈 多頭續攻   41.7%                          趨勢強勁 / 【EPS連2成長】
  6532.TWO                              瑞耘    3.5    75.40  📈 多頭續攻   60.0%                          趨勢強勁 / 【EPS連2成長】
   2851.TW                             中再保    3.5    30.55  📈 多頭續攻   35.7%                          趨勢強勁 / 【EPS連2成長】
  8155.TWO                              博智    3.5   250.00  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   2423.TW                              固緯    3.5    48.50  📈 多頭續攻   33.3%                          趨勢強勁 / 【EPS連2成長】
  5289.TWO                              宜鼎    3.5   978.00  📈 多頭續攻   66.7%                 【EPS連2成長 | 營收爆發(403.21%)】
  4413.TWO                            飛寶企業    3.5    18.20  📈 多頭續攻   66.7%                          趨勢強勁 / 【EPS連2成長】
  6844.TWO                             諾貝兒    3.5    64.20  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
   2472.TW                             立隆電    3.5   122.50  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   1218.TW                              泰山    3.5    19.20  📈 多頭續攻   33.3%                          趨勢強勁 / 【EPS連2成長】
   1471.TW                              首利    3.5    13.05  📈 多頭續攻   44.4%                          趨勢強勁 / 【EPS連2成長】
   2444.TW                              兆勁    3.5    13.00  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
  3264.TWO                              欣銓    3.5   145.50  📈 多頭續攻   36.4%                          趨勢強勁 / 【EPS連2成長】
   1708.TW                              東鹼    3.5    43.05  📈 多頭續攻   14.3%                          趨勢強勁 / 【EPS連2成長】
   6770.TW                             力積電    3.5    62.70  📈 多頭續攻   55.6%                          趨勢強勁 / 【EPS連2成長】
  5483.TWO                             中美晶    3.5   115.00  📈 多頭續攻   25.0%                          趨勢強勁 / 【EPS連2成長】
   8028.TW                           昇陽半導體    3.5   181.50  📈 多頭續攻   14.3%                          趨勢強勁 / 【EPS連2成長】
   1309.TW                             台達化    3.5    20.00  📈 多頭續攻   66.7%                          趨勢強勁 / 【EPS連2成長】
  6568.TWO                              宏觀    3.5   203.00  📈 多頭續攻   25.0%                          趨勢強勁 / 【EPS連2成長】
   2059.TW                              川湖    3.5  3520.00  📈 多頭續攻   55.6%                  【EPS連2成長 | 營收爆發(31.16%)】
   2345.TW                              智邦    3.5  1535.00  📈 多頭續攻   42.1%                   【EPS連2成長 | 營收爆發(82.7%)】
   6442.TW                              光聖    3.5  1935.00  📈 多頭續攻   45.0%                  【EPS連2成長 | 營收爆發(44.09%)】
   1323.TW                              永裕    3.5    19.00  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   2208.TW                              台船    3.5    20.60  📈 多頭續攻   25.0%                  【EPS連2成長 | 營收爆發(38.94%)】
   2351.TW                              順德    3.5   102.50  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
  3086.TWO                              華義    3.5   301.50  📈 多頭續攻   50.0%                          趨勢強勁 / 【EPS連2成長】
   6515.TW                              穎崴    3.5  8190.00  📈 多頭續攻   85.7%                          趨勢強勁 / 【EPS連2成長】
   3022.TW                             威強電    3.5    62.70  📈 多頭續攻   25.0%                          趨勢強勁 / 【EPS連2成長】
  8027.TWO                              鈦昇    3.5   114.00  📈 多頭續攻   55.6%                  【EPS連2成長 | 營收爆發(62.78%)】
   3135.TW                              凌航    3.5   132.00  📈 多頭續攻   55.0%                 【EPS連2成長 | 營收爆發(104.12%)】
  7712.TWO                           博盛半導體    3.5   118.50  📈 多頭續攻   40.0%                          趨勢強勁 / 【EPS連2成長】
   6215.TW                              和椿    3.5   100.50  📈 多頭續攻    0.0%                  【EPS連2成長 | 營收爆發(51.23%)】
   6282.TW                              康舒    3.5    45.10  📈 多頭續攻   71.4%                          趨勢強勁 / 【EPS連2成長】
   3006.TW                             晶豪科    3.5   162.00  📈 多頭續攻   50.0%                  【EPS連2成長 | 營收爆發(128.4%)】
  3067.TWO                              全域    3.5    17.30  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   6239.TW                              力成    3.5   192.00  📈 多頭續攻   40.0%                  【EPS連2成長 | 營收爆發(34.63%)】
   3048.TW                              益登    3.5    37.85  📈 多頭續攻   20.0%                          趨勢強勁 / 【EPS連2成長】
   5871.TW                           中租-KY    3.5   104.50  📈 多頭續攻   25.0%                          趨勢強勁 / 【EPS連2成長】
  3689.TWO                              湧德    3.5   111.50  📈 多頭續攻   20.0%                          趨勢強勁 / 【EPS連2成長】
   2476.TW                              鉅祥    3.5    83.60  📈 多頭續攻    0.0%                          趨勢強勁 / 【EPS連2成長】
   2399.TW                              映泰    3.5    30.90  📈 多頭續攻   80.0%                          趨勢強勁 / 【EPS連2成長】
   6691.TW                            洋基工程    3.5   605.00  📈 多頭續攻   29.4%                  【EPS連2成長 | 營收爆發(37.09%)】
  4979.TWO                             華星光    3.5   387.00  📈 多頭續攻   46.2%                          趨勢強勁 / 【EPS連2成長】
   6139.TW                              亞翔    3.5   632.00  📈 多頭續攻   71.4%                   【EPS連2成長 | 營收爆發(81.4%)】
  6499.TWO                              益安    3.5    95.20  📈 多頭續攻   42.9%                   【EPS連2成長 | 營收爆發(32.3%)】
   3591.TW                             艾笛森    3.0    21.00  📈 多頭續攻    0.0%                           趨勢強勁 / 【董監持股增加】
