Quantum AI Pro 分析報告 (20260325)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                             Reason
   2305.TW                              全友    5.5    14.70 🚀 極強勢攻擊   53.3%    趨勢強勁 / 【EPS連2成長 | 營收爆發(34.16%)】
  4923.TWO                              力士    5.5    36.45 🚀 極強勢攻擊   22.2%    趨勢強勁 / 【EPS連2成長 | 營收爆發(39.63%)】
  6223.TWO                              旺矽    5.5  3750.00 🚀 極強勢攻擊   66.7%    趨勢強勁 / 【EPS連2成長 | 營收爆發(45.54%)】
  8923.TWO                              時報    5.5    20.25 🚀 極強勢攻擊   40.0%     趨勢強勁 / 【EPS連2成長 | 營收爆發(32.9%)】
  6584.TWO                            南俊國際    5.5   568.00 🚀 極強勢攻擊   25.0%    趨勢強勁 / 【EPS連2成長 | 營收爆發(47.92%)】
  6265.TWO                             方土昶    5.5    41.45 🚀 極強勢攻擊   42.9%   趨勢強勁 / 【EPS連2成長 | 營收爆發(309.86%)】
  3546.TWO                              宇峻    5.5    70.60 🚀 極強勢攻擊   40.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(127.43%)】
   3209.TW                              全科    5.5    43.45 🚀 極強勢攻擊   50.0%    趨勢強勁 / 【EPS連2成長 | 營收爆發(35.04%)】
  6026.TWO                             福邦證    5.5    14.90 🚀 極強勢攻擊   25.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(191.85%)】
  6163.TWO                             華電網    5.5    65.40 🚀 極強勢攻擊   50.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(136.48%)】
  4973.TWO                              廣穎    5.5    70.90 🚀 極強勢攻擊   50.0%    趨勢強勁 / 【EPS連2成長 | 營收爆發(42.53%)】
  6574.TWO                              霈方    5.5   126.50 🚀 極強勢攻擊   40.0%    趨勢強勁 / 【EPS連2成長 | 營收爆發(56.66%)】
  8059.TWO                              凱碩    5.5    18.65 🚀 極強勢攻擊    0.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(604.49%)】
   8996.TW                              高力    5.5   820.00 🚀 極強勢攻擊   35.3%   趨勢強勁 / 【EPS連2成長 | 營收爆發(205.73%)】
  6727.TWO                            亞泰金屬    5.5   278.50 🚀 極強勢攻擊   56.2%   趨勢強勁 / 【EPS連2成長 | 營收爆發(482.36%)】
   3530.TW                             晶相光    5.5    58.20 🚀 極強勢攻擊   45.0%    趨勢強勁 / 【EPS連2成長 | 營收爆發(33.12%)】
  3663.TWO                              鑫科    5.5    74.00 🚀 極強勢攻擊   30.8%   趨勢強勁 / 【EPS連2成長 | 營收爆發(133.68%)】
  5498.TWO                              凱崴    5.5    57.50 🚀 極強勢攻擊   35.7%    趨勢強勁 / 【EPS連2成長 | 營收爆發(43.83%)】
  6693.TWO                             廣閎科    5.5   105.50 🚀 極強勢攻擊   53.3%    趨勢強勁 / 【EPS連2成長 | 營收爆發(42.95%)】
   2425.TW                              承啟    5.5    29.15 🚀 極強勢攻擊    0.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(113.51%)】
  6419.TWO                             京晨科    5.5    84.40 🚀 極強勢攻擊   38.5%    趨勢強勁 / 【EPS連2成長 | 營收爆發(37.58%)】
  7718.TWO                              友鋮    5.0    48.20 🚀 極強勢攻擊   50.0%     趨勢強勁 / 【營收爆發(40.26%) | 董監持股增加】
   8021.TW                              尖點    5.0   247.50 🚀 極強勢攻擊   46.2%     趨勢強勁 / 【營收爆發(42.47%) | 董監持股增加】
   6120.TW                              達運    4.5    13.25 🚀 極強勢攻擊   46.7%          趨勢強勁 / 【EPS連2成長 | 董監持股增加】
  5351.TWO                              鈺創    4.5    74.10 🚀 極強勢攻擊   50.0% 【EPS連2成長 | 營收爆發(310.99%) | 董監持股增加】
   2481.TW                              強茂    4.5   100.00 🚀 極強勢攻擊   53.3%          趨勢強勁 / 【EPS連2成長 | 董監持股增加】
  8299.TWO                              群聯    4.5  1725.00 🚀 極強勢攻擊   31.6% 【EPS連2成長 | 營收爆發(169.43%) | 董監持股增加】
   4956.TW                              光鋐    4.5    37.20 🚀 極強勢攻擊   56.2%          趨勢強勁 / 【EPS連2成長 | 董監持股增加】
  8472.TWO                             夠麻吉    4.0    77.70 🚀 極強勢攻擊   44.4%             趨勢強勁 / 【營收爆發(202.29%)】
  7738.TWO                            東聯互動    4.0   186.50 🚀 極強勢攻擊   57.1%              趨勢強勁 / 【營收爆發(30.63%)】
   1512.TW                              瑞利    4.0     7.71 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(77.18%)】
  7781.TWO                            昕力資*    4.0    31.65 🚀 極強勢攻擊   55.6%              趨勢強勁 / 【營收爆發(42.08%)】
   3416.TW                             融程電    4.0   152.00 🚀 極強勢攻擊   60.0%              趨勢強勁 / 【營收爆發(37.85%)】
   2308.TW                             台達電    4.0  1550.00 🚀 極強勢攻擊   38.5%               趨勢強勁 / 【營收爆發(31.0%)】
  1799.TWO                              易威    4.0    37.60 🚀 極強勢攻擊   12.5%              趨勢強勁 / 【營收爆發(38.58%)】
  3555.TWO                             博士旺    4.0   174.00 🚀 極強勢攻擊   16.7%            趨勢強勁 / 【營收爆發(4102.23%)】
   5706.TW                              鳳凰    4.0    51.90 🚀 極強勢攻擊   33.3%              趨勢強勁 / 【營收爆發(74.55%)】
   2449.TW                            京元電子    4.0   288.50 🚀 極強勢攻擊   45.5%              趨勢強勁 / 【營收爆發(41.05%)】
  7734.TWO                            印能科技    4.0  1825.00 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(55.59%)】
  5514.TWO                              三豐    4.0    16.15 🚀 極強勢攻擊   50.0%           趨勢強勁 / 【營收爆發(21437.63%)】
  5302.TWO                              太欣    4.0    11.50 🚀 極強勢攻擊   37.5%              趨勢強勁 / 【營收爆發(69.18%)】
   2243.TW                           宏旭-KY    4.0    20.75 🚀 極強勢攻擊   57.9%             趨勢強勁 / 【營收爆發(739.37%)】
  3489.TWO                              森寶    4.0    23.00 🚀 極強勢攻擊   33.3%            趨勢強勁 / 【營收爆發(7783.71%)】
   2348.TW                              海悅    4.0    79.80 🚀 極強勢攻擊   40.0%             趨勢強勁 / 【營收爆發(239.77%)】
   8112.TW                              至上    4.0    82.90 🚀 極強勢攻擊   45.0%             趨勢強勁 / 【營收爆發(136.81%)】
  3490.TWO                              單井    4.0    26.30 🚀 極強勢攻擊   44.4%              趨勢強勁 / 【營收爆發(58.94%)】
  3339.TWO                              泰谷    4.0    40.95 🚀 極強勢攻擊   63.2%              趨勢強勁 / 【營收爆發(31.83%)】
  6874.TWO                              倍力    4.0    91.20 🚀 極強勢攻擊   80.0%               趨勢強勁 / 【營收爆發(89.2%)】
   4949.TW                            有成精密    4.0    65.50 🚀 極強勢攻擊   58.8%              趨勢強勁 / 【營收爆發(38.12%)】
  6199.TWO                              天品    4.0   108.50 🚀 極強勢攻擊   42.9%             趨勢強勁 / 【營收爆發(587.51%)】
  6640.TWO                              均華    4.0  1180.00 🚀 極強勢攻擊   75.0%               趨勢強勁 / 【營收爆發(52.0%)】
   2406.TW                              國碩    4.0    36.60 🚀 極強勢攻擊   47.4%             趨勢強勁 / 【營收爆發(159.77%)】
   6531.TW                             愛普*    4.0   511.00 🚀 極強勢攻擊   50.0%             趨勢強勁 / 【營收爆發(146.68%)】
  7751.TWO                              竑騰    4.0  1570.00 🚀 極強勢攻擊   65.0%              趨勢強勁 / 【營收爆發(73.86%)】
  7547.TWO                              碩網    4.0    76.30 🚀 極強勢攻擊   60.0%              趨勢強勁 / 【營收爆發(49.76%)】
  3466.TWO                              德晉    4.0    35.40 🚀 極強勢攻擊   50.0%             趨勢強勁 / 【營收爆發(140.62%)】
   8476.TW                             台境*    4.0    20.25 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(43.43%)】
   2855.TW                             統一證    4.0    32.20 🚀 極強勢攻擊   35.3%             趨勢強勁 / 【營收爆發(221.36%)】
   2442.TW                             新美齊    4.0    20.65 🚀 極強勢攻擊   46.7%            趨勢強勁 / 【營收爆發(9886.17%)】
   2851.TW                             中再保    3.5    31.60  📈 多頭續攻   42.9%                   趨勢強勁 / 【EPS連2成長】
  5289.TWO                              宜鼎    3.5  1015.00  📈 多頭續攻   62.5%          【EPS連2成長 | 營收爆發(403.21%)】
  3264.TWO                              欣銓    3.5   154.50  📈 多頭續攻   36.4%                   趨勢強勁 / 【EPS連2成長】
  8234.TWO                              新漢    3.5    65.60  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   2472.TW                             立隆電    3.5   127.00  📈 多頭續攻   16.7%                   趨勢強勁 / 【EPS連2成長】
  4413.TWO                            飛寶企業    3.5    17.80  📈 多頭續攻   57.1%                   趨勢強勁 / 【EPS連2成長】
   4916.TW                             事欣科    3.5    60.10  📈 多頭續攻   47.1%           【EPS連2成長 | 營收爆發(40.99%)】
   3443.TW                              創意    3.5  2475.00  📈 多頭續攻   45.0%           【EPS連2成長 | 營收爆發(60.15%)】
   6902.TW                        GOGOLOOK    3.5    76.40  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   8105.TW                              凌巨    3.5    13.05  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   3037.TW                              欣興    3.5   506.00  📈 多頭續攻   25.0%                   趨勢強勁 / 【EPS連2成長】
   3060.TW                              銘異    3.5    32.40  📈 多頭續攻   20.0%                   趨勢強勁 / 【EPS連2成長】
   1471.TW                              首利    3.5    13.35  📈 多頭續攻   40.0%                   趨勢強勁 / 【EPS連2成長】
   2337.TW                              旺宏    3.5   142.00  📈 多頭續攻   60.0%           【EPS連2成長 | 營收爆發(59.98%)】
   6285.TW                             啟��    3.5   180.00  📈 多頭續攻  100.0%                   趨勢強勁 / 【EPS連2成長】
  6219.TWO                              富旺    3.5    14.80  📈 多頭續攻   41.2%         【EPS連2成長 | 營收爆發(22485.5%)】
  8155.TWO                              博智    3.5   268.00  📈 多頭續攻   25.0%                   趨勢強勁 / 【EPS連2成長】
  8289.TWO                              泰藝    3.5    38.80  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   4938.TW                              和碩    3.5    77.40  📈 多頭續攻   27.3%                   趨勢強勁 / 【EPS連2成長】
  6245.TWO                              立端    3.5    67.90  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   4958.TW                           臻鼎-KY    3.5   207.50  📈 多頭續攻   41.7%                   趨勢強勁 / 【EPS連2成長】
  4908.TWO                              前鼎    3.5   114.00  📈 多頭續攻   64.3%                   趨勢強勁 / 【EPS連2成長】
  6532.TWO                              瑞耘    3.5    77.40  📈 多頭續攻   66.7%                   趨勢強勁 / 【EPS連2成長】
   2468.TW                              華經    3.5    38.15  📈 多頭續攻   33.3%                   趨勢強勁 / 【EPS連2成長】
  3689.TWO                              湧德    3.5   116.00  📈 多頭續攻   16.7%                   趨勢強勁 / 【EPS連2成長】
   3535.TW                             晶彩科    3.5   121.00  📈 多頭續攻   47.1%         【EPS連2成長 | 營收爆發(4841.75%)】
  3083.TWO                              網龍    3.5    27.70  📈 多頭續攻   14.3%            【EPS連2成長 | 營收爆發(64.5%)】
   1218.TW                              泰山    3.5    19.20  📈 多頭續攻   42.9%                   趨勢強勁 / 【EPS連2成長】
   6689.TW                             伊雲谷    3.5    85.10  📈 多頭續攻   36.4%                   趨勢強勁 / 【EPS連2成長】
   2208.TW                              台船    3.5    22.10  📈 多頭續攻   25.0%           【EPS連2成長 | 營收爆發(38.94%)】
   3006.TW                             晶豪科    3.5   177.50  📈 多頭續攻   42.9%           【EPS連2成長 | 營收爆發(128.4%)】
   1323.TW                              永裕    3.5    19.10  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   6515.TW                              穎崴    3.5  8450.00  📈 多頭續攻   87.5%                   趨勢強勁 / 【EPS連2成長】
  8027.TWO                              鈦昇    3.5   121.50  📈 多頭續攻   61.1%           【EPS連2成長 | 營收爆發(62.78%)】
   1309.TW                             台達化    3.5    18.35  📈 多頭續攻   60.0%                   趨勢強勁 / 【EPS連2成長】
   2345.TW                              智邦    3.5  1685.00  📈 多頭續攻   42.1%            【EPS連2成長 | 營收爆發(82.7%)】
   6215.TW                              和椿    3.5   104.50  📈 多頭續攻   20.0%           【EPS連2成長 | 營收爆發(51.23%)】
  6499.TWO                              益安    3.5    97.00  📈 多頭續攻   37.5%            【EPS連2成長 | 營收爆發(32.3%)】
   3048.TW                              益登    3.5    38.30  📈 多頭續攻   16.7%                   趨勢強勁 / 【EPS連2成長】
   6139.TW                              亞翔    3.5   654.00  📈 多頭續攻   75.0%            【EPS連2成長 | 營收爆發(81.4%)】
   6282.TW                              康舒    3.5    47.90  📈 多頭續攻   75.0%                   趨勢強勁 / 【EPS連2成長】
   3135.TW                              凌航    3.5   126.00  📈 多頭續攻   50.0%          【EPS連2成長 | 營收爆發(104.12%)】
  6844.TWO                             諾貝兒    3.5    64.00  📈 多頭續攻   66.7%                   趨勢強勁 / 【EPS連2成長】
   6770.TW                             力積電    3.5    65.00  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   3028.TW                             增你強    3.5    54.40  📈 多頭續攻   35.7%           【EPS連2成長 | 營收爆發(44.51%)】
   1711.TW                              永光    3.5    40.60  📈 多頭續攻   41.7%                   趨勢強勁 / 【EPS連2成長】
  3088.TWO                              艾訊    3.5    84.20  📈 多頭續攻   60.0%                   趨勢強勁 / 【EPS連2成長】
  6279.TWO                              胡連    3.5   113.50  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
  5483.TWO                             中美晶    3.5   118.00  📈 多頭續攻   20.0%                   趨勢強勁 / 【EPS連2成長】
   3312.TW                             弘憶股    3.5    35.80  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   8028.TW                           昇陽半導體    3.5   199.50  📈 多頭續攻   14.3%                   趨勢強勁 / 【EPS連2成長】
   2485.TW                              兆赫    3.5    80.00  📈 多頭續攻   70.0%           【EPS連2成長 | 營收爆發(84.86%)】
  6855.TWO                             數泓科    3.5   111.50  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
  6568.TWO                              宏觀    3.5   217.50  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   6579.TW                              研揚    3.5   115.50  📈 多頭續攻   33.3%                   趨勢強勁 / 【EPS連2成長】
  3086.TWO                              華義    3.5   300.50  📈 多頭續攻   55.6%                   趨勢強勁 / 【EPS連2成長】
   1709.TW                              和益    3.5    17.90  📈 多頭續攻   33.3%                   趨勢強勁 / 【EPS連2成長】
   6442.TW                              光聖    3.5  2125.00  📈 多頭續攻   45.0%           【EPS連2成長 | 營收爆發(44.09%)】
   2444.TW                              兆勁    3.5    13.35  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   2344.TW                             華邦電    3.5    98.20  📈 多頭續攻   33.3%           【EPS連2成長 | 營收爆發(88.45%)】
   1460.TW                              宏遠    3.5     7.25  📈 多頭續攻   75.0%                   趨勢強勁 / 【EPS連2成長】
   6691.TW                            洋基工程    3.5   615.00  📈 多頭續攻   33.3%           【EPS連2成長 | 營收爆發(37.09%)】
   6239.TW                              力成    3.5   203.50  📈 多頭續攻   40.0%           【EPS連2成長 | 營收爆發(34.63%)】
   5871.TW                           中租-KY    3.5   107.00  📈 多頭續攻   37.5%                   趨勢強勁 / 【EPS連2成長】
   2351.TW                              順德    3.5   100.50  📈 多頭續攻   60.0%                   趨勢強勁 / 【EPS連2成長】
   1528.TW                              恩德    3.5    23.00  📈 多頭續攻  100.0%                   趨勢強勁 / 【EPS連2成長】
   3022.TW                             威強電    3.5    63.50  📈 多頭續攻   20.0%                   趨勢強勁 / 【EPS連2成長】
   1708.TW                              東鹼    3.5    41.30  📈 多頭續攻   14.3%                   趨勢強勁 / 【EPS連2成長】
   2059.TW                              川湖    3.5  3615.00  📈 多頭續攻   55.6%           【EPS連2成長 | 營收爆發(31.16%)】
