回測報表 (起點: 2026-01-01)
               股票       買入日期    買入價  買入收盤價       賣出日期    賣出價  賣出收盤價  持股天數    收益%
         鴻海(2317) 2026-01-02 232.00 232.00 2026-01-08 229.50 229.50     6  -1.08
         鴻海(2317) 2026-01-14 234.50 234.50 2026-01-19 229.50 229.50     5  -2.13
         鴻海(2317) 2026-02-25 246.50 246.50 2026-03-03 229.00 229.00     6  -7.10
        大聯大(3702) 2026-01-09  64.20  64.20 2026-01-20  63.70  63.70    11  -0.78
        大聯大(3702) 2026-01-28  65.00  65.00 2026-02-03  64.00  64.00     6  -1.54
        大聯大(3702) 2026-02-10  64.50  64.50 尚未賣出(現價計算)  95.80  95.80    43  48.53
         兆赫(2485) 2026-01-13  30.25  30.25 2026-02-09  39.10  39.10    27  29.26
         兆赫(2485) 2026-02-24  42.90  42.90 尚未賣出(現價計算)  80.00  80.00    29  86.48
         燿華(2367) 2026-01-02  28.15  28.15 2026-01-05  27.30  27.30     3  -3.02
         燿華(2367) 2026-01-06  28.80  28.80 2026-02-10  51.60  51.60    35  79.17
         燿華(2367) 2026-02-23  55.70  55.70 2026-03-09  62.10  62.10    14  11.49
         燿華(2367) 2026-03-11  69.20  69.20 2026-03-23  71.30  71.30    12   3.03
         燿華(2367) 2026-03-25  75.10  75.10 尚未賣出(現價計算)  75.10  75.10     0   0.00
        國光生(4142) 2026-01-07  19.35  19.35 2026-01-20  20.15  20.15    13   4.13
        國光生(4142) 2026-01-27  20.05  20.05 2026-01-29  19.50  19.50     2  -2.74
        國光生(4142) 2026-03-23  18.35  18.35 尚未賣出(現價計算)  18.60  18.60     2   1.36
     元大台灣50(0050) 2026-01-02  66.02  66.02 2026-02-02  71.50  71.50    31   8.30
     元大台灣50(0050) 2026-02-03  72.95  72.95 2026-02-05  72.00  72.00     2  -1.30
     元大台灣50(0050) 2026-02-09  73.95  73.95 2026-03-04  75.60  75.60    23   2.23
     元大台灣50(0050) 2026-03-11  78.20  78.20 2026-03-12  76.60  76.60     1  -2.05
      元大高股息(0056) 2026-01-02  36.17  36.17 2026-01-30  37.58  37.58    28   3.89
      元大高股息(0056) 2026-02-09  38.03  38.03 2026-03-04  37.74  37.74    23  -0.76
 期元大S&P黃金(00635U) 2026-01-06  47.83  47.83 2026-01-08  47.35  47.35     2  -1.00
 期元大S&P黃金(00635U) 2026-01-09  47.76  47.76 2026-02-02  49.61  49.61    24   3.87
 期元大S&P黃金(00635U) 2026-02-04  54.05  54.05 2026-02-05  51.75  51.75     1  -4.26
 期元大S&P黃金(00635U) 2026-02-11  53.65  53.65 2026-03-04  54.70  54.70    21   1.96
  期元大道瓊白銀(00738U) 2026-01-02  60.40  60.40 2026-02-02  63.00  63.00    31   4.30
  復華台灣科技優息(00929) 2026-01-02  18.00  18.00 2026-01-30  19.35  19.35    28   7.54
  復華台灣科技優息(00929) 2026-03-11  19.63  19.63 2026-03-23  19.22  19.22    12  -2.09
主動元大AI新經濟(00990A) 2026-01-21  10.73  10.73 2026-02-02  10.92  10.92    12   1.77
主動元大AI新經濟(00990A) 2026-02-03  11.55  11.55 2026-02-05  11.14  11.14     2  -3.55
主動元大AI新經濟(00990A) 2026-02-09  11.54  11.54 2026-03-04  11.60  11.60    23   0.52
主動元大AI新經濟(00990A) 2026-03-11  12.15  12.15 2026-03-12  11.99  11.99     1  -1.32
主動元大AI新經濟(00990A) 2026-03-20  12.60  12.60 2026-03-23  11.98  11.98     3  -4.92
主動元大AI新經濟(00990A) 2026-03-25  12.53  12.53 尚未賣出(現價計算)  12.53  12.53     0   0.00
        第一銅(2009) 2026-01-02  48.60  48.60 2026-01-08  48.15  48.15     6  -0.93
        第一銅(2009) 2026-01-12  49.90  49.90 2026-01-16  49.30  49.30     4  -1.20
        第一銅(2009) 2026-01-20  50.20  50.20 2026-01-21  49.65  49.65     1  -1.10
        第一銅(2009) 2026-01-26  51.50  51.50 2026-01-30  50.10  50.10     4  -2.72
         旺宏(2337) 2026-01-02  43.35  43.35 2026-02-06  80.80  80.80    35  86.39
         旺宏(2337) 2026-02-09  88.80  88.80 2026-03-04  98.00  98.00    23  10.36
         旺宏(2337) 2026-03-05 107.50 107.50 2026-03-06 102.50 102.50     1  -4.65
         旺宏(2337) 2026-03-13 108.50 108.50 尚未賣出(現價計算) 142.00 142.00    12  30.88
        佳世達(2352) 2026-01-19  25.50  25.50 2026-01-28  25.50  25.50     9   0.00
        佳世達(2352) 2026-02-25  26.25  26.25 2026-03-02  25.35  25.35     5  -3.43
         友達(2409) 2026-01-02  12.60  12.60 2026-01-22  15.35  15.35    20  21.83
         友達(2409) 2026-02-11  16.15  16.15 2026-03-03  15.75  15.75    20  -2.48
         友達(2409) 2026-03-11  16.65  16.65 2026-03-16  15.70  15.70     5  -5.71
         友達(2409) 2026-03-18  16.20  16.20 2026-03-19  15.75  15.75     1  -2.78
         群創(3481) 2026-01-02  18.10  18.10 2026-01-23  24.00  24.00    21  32.60
         群創(3481) 2026-03-02  28.55  28.55 2026-03-16  27.30  27.30    14  -4.38
        富爾特(6136) 2026-01-15  24.50  24.50 2026-01-23  24.00  24.00     8  -2.04
        富爾特(6136) 2026-03-11  24.00  24.00 2026-03-12  23.80  23.80     1  -0.83
        富爾特(6136) 2026-03-17  24.20  24.20 2026-03-23  23.95  23.95     6  -1.03
        富爾特(6136) 2026-03-25  24.25  24.25 尚未賣出(現價計算)  24.25  24.25     0   0.00
       森崴能源(6806) 2026-01-12  40.05  40.05 2026-01-29  49.60  49.60    17  23.85
         穩懋(3105) 2026-01-07 186.00 186.00 2026-02-02 221.50 221.50    26  19.09
         穩懋(3105) 2026-02-03 236.50 236.50 2026-02-06 219.50 219.50     3  -7.19
         穩懋(3105) 2026-02-10 255.50 255.50 2026-03-06 298.50 298.50    24  16.83
         穩懋(3105) 2026-03-12 306.50 306.50 2026-03-17 293.50 293.50     5  -4.24
         穩懋(3105) 2026-03-18 322.50 322.50 2026-03-24 313.50 313.50     6  -2.79
         穩懋(3105) 2026-03-25 344.50 344.50 尚未賣出(現價計算) 344.50 344.50     0   0.00
      譜瑞-KY(4966) 2026-01-09 633.00 633.00 2026-01-13 598.00 598.00     4  -5.53
      譜瑞-KY(4966) 2026-03-11 533.00 533.00 2026-03-16 520.00 520.00     5  -2.44
         廣明(6188) 2026-01-02 109.50 109.50 2026-01-13 111.00 111.00    11   1.37
         廣明(6188) 2026-03-18 101.00 101.00 2026-03-19  96.90  96.90     1  -4.06
         安葆(7792) 2026-01-02 226.50 226.50 2026-01-30 368.00 368.00    28  62.47
        國巨*(2327) 2026-01-02 241.00 241.00 2026-01-28 285.50 285.50    26  18.46
        國巨*(2327) 2026-02-24 301.00 301.00 2026-03-04 259.00 259.00     8 -13.95

--- 📊 總結統計 (bor) ---
總交易次數: 69 次
勝率: 40.6% (28/69)
累計總收益: +508.84%
平均單筆收益: +7.37%
------------------------------------------
