🚀 智能量化選股報告 - 2026-03-25
==========================================================================================

【🚀超級強勢】(數量: 270)
------------------------------------------------------------------------------------------
6739.TWO | 竹陞科技       | B6: 12.70% | DMA:261.960 | 💸流出 | 🚀DMA趨勢+多頭強勢
3583.TW  | 辛耘         | B6: 12.04% | DMA: 66.840 | 💎流入 | 🚀DMA趨勢+多頭強勢
4977.TW  | 眾達-KY      | B6: 11.90% | DMA: 39.630 | 💎流入 | 🚀DMA趨勢+多頭強勢
5291.TWO | 邑昇         | B6: 11.76% | DMA: 15.106 | 💎流入 | 🚀DMA趨勢+多頭強勢
3533.TW  | 嘉澤         | B6: 11.41% | DMA:322.900 | 💎流入 | 🚀DMA趨勢+多頭強勢
6168.TW  | 宏齊         | B6: 11.31% | DMA:  2.432 | 💎流入 | 🚀DMA趨勢+放量攻擊
2383.TW  | 台光電        | B6: 11.30% | DMA:640.800 | 💸流出 | 🚀DMA趨勢+多頭強勢
3167.TW  | 大量         | B6: 11.08% | DMA: 81.570 | 💸流出 | 🚀DMA趨勢+多頭強勢
4908.TWO | 前鼎         | B6: 10.68% | DMA: 21.740 | 💎流入 | 🚀DMA趨勢+多頭強勢
3675.TWO | 德微         | B6: 10.66% | DMA: 40.660 | 💸流出 | 🚀DMA趨勢+多頭強勢
2640.TWO | 大車隊        | B6: 10.50% | DMA: 18.050 | 💎流入 | 🚀DMA趨勢+多頭強勢
6456.TW  | GIS-KY     | B6: 10.39% | DMA: 13.127 | 💎流入 | 🚀DMA趨勢+多頭強勢
3715.TW  | 定穎投控       | B6: 10.32% | DMA: 22.670 | 💸流出 | 🚀DMA趨勢+多頭強勢
6658.TW  | 聯策         | B6: 10.24% | DMA:  8.946 | 💎流入 | 🚀DMA趨勢+多頭強勢
8039.TW  | 台虹         | B6: 10.18% | DMA: 21.892 | 💸流出 | 🚀DMA趨勢+多頭強勢
2360.TW  | 致茂         | B6:  9.68% | DMA:352.180 | 💸流出 | 🚀DMA趨勢+多頭強勢
6693.TWO | 廣閎科        | B6:  9.57% | DMA: 11.510 | 💎流入 | 🚀DMA趨勢+多頭強勢
4991.TWO | 環宇-KY      | B6:  9.35% | DMA: 91.040 | 💎流入 | 🚀DMA趨勢+多頭強勢
3529.TWO | 力旺         | B6:  9.25% | DMA:580.000 | 💸流出 | 🚀DMA趨勢+多頭強勢
6584.TWO | 南俊國際       | B6:  9.19% | DMA: 87.650 | 💎流入 | 🚀DMA趨勢+多頭強勢
8027.TWO | 鈦昇         | B6:  9.09% | DMA:  5.176 | 💎流入 | 🚀DMA趨勢+放量攻擊
6877.TWO | 鏵友益        | B6:  8.95% | DMA: 17.642 | 💸流出 | 🚀DMA趨勢+多頭強勢
3031.TW  | 佰鴻         | B6:  8.88% | DMA:  1.948 | 💎流入 | 🚀DMA趨勢+放量攻擊
4741.TWO | 泓瀚         | B6:  8.81% | DMA:  2.118 | 💎流入 | 🚀DMA趨勢+多頭強勢
6435.TWO | 大中         | B6:  8.73% | DMA: 23.640 | 💎流入 | 🚀DMA趨勢+多頭強勢
8046.TW  | 南電         | B6:  8.72% | DMA:121.380 | 💸流出 | 🚀DMA趨勢+多頭強勢
1582.TW  | 信錦         | B6:  8.61% | DMA: 14.658 | 💸流出 | 🚀DMA趨勢+多頭強勢
2486.TW  | 一詮         | B6:  8.50% | DMA: 26.400 | 💎流入 | 🚀DMA趨勢+多頭強勢
4414.TW  | 如興         | B6:  8.43% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
3665.TW  | 貿聯-KY      | B6:  8.16% | DMA:225.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
3017.TW  | 奇鋐         | B6:  8.04% | DMA:330.600 | 💎流入 | 🚀DMA趨勢+多頭強勢
6831.TW  | 邁科         | B6:  8.04% | DMA: 49.960 | 💎流入 | 🚀DMA趨勢+多頭強勢
6530.TWO | 創威         | B6:  8.01% | DMA: 15.944 | 💎流入 | 🚀DMA趨勢+多頭強勢
3576.TW  | 聯合再生       | B6:  7.99% | DMA:  7.494 | 💸流出 | 🚀DMA趨勢+多頭強勢
2367.TW  | 燿華         | B6:  7.92% | DMA: 18.684 | 💸流出 | 🚀DMA趨勢+多頭強勢
5443.TWO | 均豪         | B6:  7.81% | DMA:  7.476 | 💸流出 | 🚀DMA趨勢+多頭強勢
6509.TWO | 聚和         | B6:  7.70% | DMA:  5.905 | 💎流入 | 🚀DMA趨勢+多頭強勢
6213.TW  | 聯茂         | B6:  7.70% | DMA: 17.940 | 💎流入 | 🚀DMA趨勢+多頭強勢
6163.TWO | 華電網        | B6:  7.68% | DMA: -1.010 | 💎流入 | 🚀多頭強勢
