Quantum AI Pro 分析報告 (20260326)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                             Reason
   8996.TW                              高力    5.5   845.00 🚀 極強勢攻擊   41.2%   趨勢強勁 / 【EPS連2成長 | 營收爆發(205.73%)】
  6574.TWO                              霈方    5.5   120.00 🚀 極強勢攻擊   36.4%    趨勢強勁 / 【EPS連2成長 | 營收爆發(56.66%)】
   6805.TW                             富世達    5.5  1905.00 🚀 極強勢攻擊   47.1%    趨勢強勁 / 【EPS連2成長 | 營收爆發(51.13%)】
  6163.TWO                             華電網    5.5    66.30 🚀 極強勢攻擊   57.1%   趨勢強勁 / 【EPS連2成長 | 營收爆發(136.48%)】
   2425.TW                              承啟    5.5    28.50 🚀 極強勢攻擊    0.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(113.51%)】
  6693.TWO                             廣閎科    5.5   104.50 🚀 極強勢攻擊   56.2%    趨勢強勁 / 【EPS連2成長 | 營收爆發(42.95%)】
  4973.TWO                              廣穎    5.5    64.10 🚀 極強勢攻擊   45.5%    趨勢強勁 / 【EPS連2成長 | 營收爆發(42.53%)】
  6584.TWO                            南俊國際    5.5   558.00 🚀 極強勢攻擊   37.5%    趨勢強勁 / 【EPS連2成長 | 營收爆發(47.92%)】
   3530.TW                             晶相光    5.5    59.00 🚀 極強勢攻擊   45.0%    趨勢強勁 / 【EPS連2成長 | 營收爆發(33.12%)】
  6727.TWO                            亞泰金屬    5.5   280.50 🚀 極強勢攻擊   56.2%   趨勢強勁 / 【EPS連2成長 | 營收爆發(482.36%)】
  3546.TWO                              宇峻    5.5    71.10 🚀 極強勢攻擊   45.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(127.43%)】
  4923.TWO                              力士    5.5    35.25 🚀 極強勢攻擊   11.1%    趨勢強勁 / 【EPS連2成長 | 營收爆發(39.63%)】
  8923.TWO                              時報    5.5    19.80 🚀 極強勢攻擊   40.0%     趨勢強勁 / 【EPS連2成長 | 營收爆發(32.9%)】
  3663.TWO                              鑫科    5.5    72.70 🚀 極強勢攻擊   38.5%   趨勢強勁 / 【EPS連2成長 | 營收爆發(133.68%)】
  8059.TWO                              凱碩    5.5    18.00 🚀 極強勢攻擊    0.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(604.49%)】
  6026.TWO                             福邦證    5.5    14.80 🚀 極強勢攻擊   33.3%   趨勢強勁 / 【EPS連2成長 | 營收爆發(191.85%)】
   8021.TW                              尖點    5.0   256.50 🚀 極強勢攻擊   46.2%     趨勢強勁 / 【營收爆發(42.47%) | 董監持股增加】
  7718.TWO                              友鋮    5.0    48.45 🚀 極強勢攻擊   57.1%     趨勢強勁 / 【營收爆發(40.26%) | 董監持股增加】
  5351.TWO                              鈺創    4.5    71.60 🚀 極強勢攻擊   55.6% 【EPS連2成長 | 營收爆發(310.99%) | 董監持股增加】
  8299.TWO                              群聯    4.5  1650.00 🚀 極強勢攻擊   31.6% 【EPS連2成長 | 營收爆發(169.43%) | 董監持股增加】
   2481.TW                              強茂    4.5    99.70 🚀 極強勢攻擊   56.2%          趨勢強勁 / 【EPS連2成長 | 董監持股增加】
   6120.TW                              達運    4.5    12.90 🚀 極強勢攻擊   40.0%          趨勢強勁 / 【EPS連2成長 | 董監持股增加】
   4956.TW                              光鋐    4.5    35.10 🚀 極強勢攻擊   56.2%          趨勢強勁 / 【EPS連2成長 | 董監持股增加】
  6218.TWO                              豪勉    4.0    25.80 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(38.05%)】
  7781.TWO                            昕力資*    4.0    30.00 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(42.08%)】
   2465.TW                              麗臺    4.0    54.20 🚀 極強勢攻擊   41.7%             趨勢強勁 / 【營收爆發(127.43%)】
   6531.TW                             愛普*    4.0   509.00 🚀 極強勢攻擊   53.8%             趨勢強勁 / 【營收爆發(146.68%)】
  6199.TWO                              天品    4.0   107.50 🚀 極強勢攻擊   50.0%             趨勢強勁 / 【營收爆發(587.51%)】
  3555.TWO                             博士旺    4.0   161.50 🚀 極強勢攻擊   14.3%            趨勢強勁 / 【營收爆發(4102.23%)】
  6640.TWO                              均華    4.0  1295.00 🚀 極強勢攻擊   75.0%               趨勢強勁 / 【營收爆發(52.0%)】
   2348.TW                              海悅    4.0    79.10 🚀 極強勢攻擊   45.5%             趨勢強勁 / 【營收爆發(239.77%)】
  3489.TWO                              森寶    4.0    23.05 🚀 極強勢攻擊   42.9%            趨勢強勁 / 【營收爆發(7783.71%)】
   5706.TW                              鳳凰    4.0    51.90 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(74.55%)】
  7751.TWO                              竑騰    4.0  1620.00 🚀 極強勢攻擊   65.0%              趨勢強勁 / 【營收爆發(73.86%)】
   8476.TW                             台境*    4.0    19.80 🚀 極強勢攻擊   54.5%              趨勢強勁 / 【營收爆發(43.43%)】
  5514.TWO                              三豐    4.0    16.00 🚀 極強勢攻擊   45.5%           趨勢強勁 / 【營收爆發(21437.63%)】
   2442.TW                             新美齊    4.0    20.40 🚀 極強勢攻擊   43.8%            趨勢強勁 / 【營收爆發(9886.17%)】
  3466.TWO                              德晉    4.0    34.50 🚀 極強勢攻擊   37.5%             趨勢強勁 / 【營收爆發(140.62%)】
  7728.TWO                            光焱科技    4.0   747.00 🚀 極強勢攻擊   41.7%              趨勢強勁 / 【營收爆發(51.95%)】
   2243.TW                           宏旭-KY    4.0    20.65 🚀 極強勢攻擊   57.9%             趨勢強勁 / 【營收爆發(739.37%)】
   2605.TW                              新興    4.0    42.75 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(87.46%)】
  7734.TWO                            印能科技    4.0  1820.00 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(55.59%)】
  6874.TWO                              倍力    4.0    88.80 🚀 極強勢攻擊   75.0%               趨勢強勁 / 【營收爆發(89.2%)】
   2308.TW                             台達電    4.0  1515.00 🚀 極強勢攻擊   38.5%               趨勢強勁 / 【營收爆發(31.0%)】
  1799.TWO                              易威    4.0    38.80 🚀 極強勢攻擊   22.2%              趨勢強勁 / 【營收爆發(38.58%)】
  3490.TWO                              單井    4.0    27.20 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(58.94%)】
  7547.TWO                              碩網    4.0    78.90 🚀 極強勢攻擊   66.7%              趨勢強勁 / 【營收爆發(49.76%)】
   2855.TW                             統一證    4.0    32.45 🚀 極強勢攻擊   35.3%             趨勢強勁 / 【營收爆發(221.36%)】
   3416.TW                             融程電    4.0   148.00 🚀 極強勢攻擊   56.2%              趨勢強勁 / 【營收爆發(37.85%)】
  3339.TWO                              泰谷    4.0    37.20 🚀 極強勢攻擊   57.9%              趨勢強勁 / 【營收爆發(31.83%)】
  7738.TWO                            東聯互動    4.0   185.00 🚀 極強勢攻擊   53.3%              趨勢強勁 / 【營收爆發(30.63%)】
   3006.TW                             晶豪科    3.5   168.50  📈 多頭續攻   50.0%           【EPS連2成長 | 營收爆發(128.4%)】
  6219.TWO                              富旺    3.5    15.00  📈 多頭續攻   44.4%         【EPS連2成長 | 營收爆發(22485.5%)】
   2337.TW                              旺宏    3.5   128.00  📈 多頭續攻   60.0%           【EPS連2成長 | 營收爆發(59.98%)】
   6579.TW                              研揚    3.5   115.50  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   3209.TW                              全科    3.5    43.85  📈 多頭續攻   55.0%           【EPS連2成長 | 營收爆發(35.04%)】
  5289.TWO                              宜鼎    3.5   916.00  📈 多頭續攻   58.8%          【EPS連2成長 | 營收爆發(403.21%)】
  3083.TWO                              網龍    3.5    27.80  📈 多頭續攻   25.0%            【EPS連2成長 | 營收爆發(64.5%)】
   6691.TW                            洋基工程    3.5   590.00  📈 多頭續攻   31.6%           【EPS連2成長 | 營收爆發(37.09%)】
   2344.TW                             華邦電    3.5    96.00  📈 多頭續攻   35.7%           【EPS連2成長 | 營收爆發(88.45%)】
   1219.TW                              福壽    3.5    13.80  📈 多頭續攻   33.3%                   趨勢強勁 / 【EPS連2成長】
  6234.TWO                              高僑    3.5    28.35  📈 多頭續攻   33.3%                   趨勢強勁 / 【EPS連2成長】
   2472.TW                             立隆電    3.5   126.50  📈 多頭續攻   28.6%                   趨勢強勁 / 【EPS連2成長】
   6442.TW                              光聖    3.5  2080.00  📈 多頭續攻   45.0%           【EPS連2成長 | 營收爆發(44.09%)】
   1709.TW                              和益    3.5    18.05  📈 多頭續攻   30.0%                   趨勢強勁 / 【EPS連2成長】
   2108.TW                              南帝    3.5    26.05  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   3588.TW                              通嘉    3.5    49.35  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
  5457.TWO                              宣德    3.5    35.15  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
  6855.TWO                             數泓科    3.5   109.50  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   2851.TW                             中再保    3.5    30.65  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   2468.TW                              華經    3.5    37.00  📈 多頭續攻   28.6%                   趨勢強勁 / 【EPS連2成長】
  6532.TWO                              瑞耘    3.5    74.80  📈 多頭續攻   57.1%                   趨勢強勁 / 【EPS連2成長】
  4908.TWO                              前鼎    3.5   106.50  📈 多頭續攻   57.1%                   趨勢強勁 / 【EPS連2成長】
  5345.TWO                              馥鴻    3.5    22.70  📈 多頭續攻    0.0%          【EPS連2成長 | 營收爆發(214.64%)】
   1471.TW                              首利    3.5    12.80  📈 多頭續攻   36.4%                   趨勢強勁 / 【EPS連2成長】
   1460.TW                              宏遠    3.5     7.05  📈 多頭續攻   60.0%                   趨勢強勁 / 【EPS連2成長】
   2030.TW                              彰源    3.5    16.25  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   4916.TW                             事欣科    3.5    57.80  📈 多頭續攻   47.1%           【EPS連2成長 | 營收爆發(40.99%)】
   6689.TW                             伊雲谷    3.5    80.90  📈 多頭續攻   33.3%                   趨勢強勁 / 【EPS連2成長】
  4413.TWO                            飛寶企業    3.5    17.50  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   3443.TW                              創意    3.5  2540.00  📈 多頭續攻   45.0%           【EPS連2成長 | 營收爆發(60.15%)】
  5344.TWO                              立衛    3.5    13.85  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   5871.TW                           中租-KY    3.5   109.00  📈 多頭續攻   44.4%                   趨勢強勁 / 【EPS連2成長】
   6285.TW                             啟��    3.5   172.00  📈 多頭續攻   80.0%                   趨勢強勁 / 【EPS連2成長】
  8155.TWO                              博智    3.5   265.00  📈 多頭續攻   40.0%                   趨勢強勁 / 【EPS連2成長】
   3060.TW                              銘異    3.5    32.05  📈 多頭續攻   16.7%                   趨勢強勁 / 【EPS連2成長】
   2208.TW                              台船    3.5    21.75  📈 多頭續攻   25.0%           【EPS連2成長 | 營收爆發(38.94%)】
   4938.TW                              和碩    3.5    80.70  📈 多頭續攻   27.3%                   趨勢強勁 / 【EPS連2成長】
  6265.TWO                             方土昶    3.5    39.35  📈 多頭續攻   37.5%          【EPS連2成長 | 營收爆發(309.86%)】
   3535.TW                             晶彩科    3.5   116.50  📈 多頭續攻   41.2%         【EPS連2成長 | 營收爆發(4841.75%)】
  6245.TWO                              立端    3.5    67.00  📈 多頭續攻   40.0%                   趨勢強勁 / 【EPS連2成長】
   4958.TW                           臻鼎-KY    3.5   218.50  📈 多頭續攻   41.7%                   趨勢強勁 / 【EPS連2成長】
   6239.TW                              力成    3.5   198.50  📈 多頭續攻   40.0%           【EPS連2成長 | 營收爆發(34.63%)】
  6101.TWO                            寬魚國際    3.5    38.70  📈 多頭續攻   50.0%          【EPS連2成長 | 營收爆發(685.99%)】
   8105.TW                              凌巨    3.5    12.95  📈 多頭續攻   10.0%                   趨勢強勁 / 【EPS連2成長】
   2345.TW                              智邦    3.5  1675.00  📈 多頭續攻   47.4%            【EPS連2成長 | 營收爆發(82.7%)】
   2485.TW                              兆赫    3.5    78.70  📈 多頭續攻   72.7%           【EPS連2成長 | 營收爆發(84.86%)】
  3689.TWO                              湧德    3.5   112.50  📈 多頭續攻   28.6%                   趨勢強勁 / 【EPS連2成長】
   2059.TW                              川湖    3.5  3615.00  📈 多頭續攻   55.6%           【EPS連2成長 | 營收爆發(31.16%)】
  8027.TWO                              鈦昇    3.5   133.50  📈 多頭續攻   57.9%           【EPS連2成長 | 營收爆發(62.78%)】
   6139.TW                              亞翔    3.5   589.00  📈 多頭續攻   66.7%            【EPS連2成長 | 營收爆發(81.4%)】
   3135.TW                              凌航    3.5   113.50  📈 多頭續攻   45.0%          【EPS連2成長 | 營收爆發(104.12%)】
   2444.TW                              兆勁    3.5    12.95  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   1711.TW                              永光    3.5    38.55  📈 多頭續攻   41.7%                   趨勢強勁 / 【EPS連2成長】
   2351.TW                              順德    3.5    99.20  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   6770.TW                             力積電    3.5    62.80  📈 多頭續攻   42.9%                   趨勢強勁 / 【EPS連2成長】
  5483.TWO                             中美晶    3.5   118.50  📈 多頭續攻   33.3%                   趨勢強勁 / 【EPS連2成長】
   8028.TW                           昇陽半導體    3.5   196.00  📈 多頭續攻   12.5%                   趨勢強勁 / 【EPS連2成長】
  3430.TWO                             奇鈦科    3.5    72.60  📈 多頭續攻   25.0%                   趨勢強勁 / 【EPS連2成長】
   3028.TW                             增你強    3.5    53.80  📈 多頭續攻   40.0%           【EPS連2成長 | 營收爆發(44.51%)】
