--- 回測報表 (2026-03-26 23:08:56) ---
                     股票       買入日期      買入價    買入收盤價       賣出日期      賣出價    賣出收盤價  持股天數    收益%
            邁科(6831.TW) 2026-02-10   269.00   269.00 2026-03-06   296.50   296.50    24  10.22
            邁科(6831.TW) 2026-03-20   365.00   365.00       尚未賣出   390.00   390.00     6   6.85
    富邦美債20年(00696B.TWO) 2026-01-12    29.50    29.50 2026-01-19    29.31    29.31     7  -0.64
    富邦美債20年(00696B.TWO) 2026-02-11    29.72    29.72 2026-03-09    30.01    30.01    26   0.98
           嘉聯益(6153.TW) 2026-01-12    15.65    15.65 2026-01-28    16.40    16.40    16   4.79
           嘉聯益(6153.TW) 2026-03-13    16.85    16.85 2026-03-24    16.25    16.25    11  -3.56
            富鼎(8261.TW) 2026-01-02    92.30    92.30 2026-01-05    90.80    90.80     3  -1.63
            富鼎(8261.TW) 2026-01-19    94.80    94.80 2026-01-29    95.50    95.50    10   0.74
            富鼎(8261.TW) 2026-02-26    98.40    98.40 2026-03-04    94.60    94.60     6  -3.86
            富鼎(8261.TW) 2026-03-05    97.80    97.80 2026-03-09    96.50    96.50     4  -1.33
            富鼎(8261.TW) 2026-03-11   101.00   101.00 2026-03-23   104.00   104.00    12   2.97
            詮欣(6205.TW) 2026-01-02    61.00    61.00 2026-01-16    57.80    57.80    14  -5.25
            詮欣(6205.TW) 2026-03-16    54.50    54.50 2026-03-26    55.70    55.70    10   2.20
            神隆(1789.TW) 2026-01-06    18.80    18.80 2026-01-23    25.50    25.50    17  35.64
         炎洲流通(3171.TWO) 2026-01-12    48.25    48.25 2026-01-27    47.85    47.85    15  -0.83
         炎洲流通(3171.TWO) 2026-02-11    49.40    49.40 2026-03-09    50.40    50.40    26   2.02
         炎洲流通(3171.TWO) 2026-03-16    59.70    59.70       尚未賣出    62.70    62.70    10   5.03
          美琪瑪(4721.TWO) 2026-01-02    69.30    69.30 2026-01-05    67.40    67.40     3  -2.74
          美琪瑪(4721.TWO) 2026-01-14    70.40    70.40 2026-01-23    69.50    69.50     9  -1.28
          美琪瑪(4721.TWO) 2026-03-13    68.30    68.30       尚未賣出    73.90    73.90    13   8.20
       明輝-DR(911608.TW) 2026-01-27     2.90     2.90 2026-02-06     2.80     2.80    10  -3.45
       明輝-DR(911608.TW) 2026-03-09     3.03     3.03 2026-03-20     2.98     2.98    11  -1.65
        榮惠-KY創(6924.TW) 2026-01-02    75.10    75.10 2026-01-13    75.00    75.00    11  -0.13
        榮惠-KY創(6924.TW) 2026-03-12    68.80    68.80 2026-03-25    73.80    73.80    13   7.27
            健鼎(3044.TW) 2026-01-12   313.50   313.50 2026-01-13   311.00   311.00     1  -0.80
            健鼎(3044.TW) 2026-01-22   346.50   346.50 2026-02-06   379.50   379.50    15   9.52
            今皓(3011.TW) 2026-01-02    14.70    14.70 2026-01-05    14.55    14.55     3  -1.02
            今皓(3011.TW) 2026-03-20    13.15    13.15 2026-03-24    12.50    12.50     4  -4.94
    富邦臺灣加權反1(00676R.TW) 2026-03-26     7.79     7.79       尚未賣出     7.79     7.79     0   0.00
            天鈺(4961.TW) 2026-01-19   154.00   154.00 2026-01-21   149.50   149.50     2  -2.92
            天鈺(4961.TW) 2026-01-22   154.00   154.00 2026-01-29   151.00   151.00     7  -1.95
            春雨(2012.TW) 2026-01-02    16.80    16.80 2026-01-13    16.80    16.80    11   0.00
            春雨(2012.TW) 2026-01-15    17.50    17.50 2026-01-21    17.15    17.15     6  -2.00
            春雨(2012.TW) 2026-02-02    17.25    17.25 2026-02-03    17.05    17.05     1  -1.16
           振樺電(8114.TW) 2026-01-08   178.50   178.50 2026-01-23   194.00   194.00    15   8.68
           振樺電(8114.TW) 2026-03-18   185.50   185.50 2026-03-23   177.50   177.50     5  -4.31
         昇陽半導體(8028.TW) 2026-01-02   186.50   186.50 2026-01-13   186.50   186.50    11   0.00
         昇陽半導體(8028.TW) 2026-02-25   183.00   183.00 2026-03-04   169.00   169.00     7  -7.65
         昇陽半導體(8028.TW) 2026-03-16   186.00   186.00 2026-03-23   182.00   182.00     7  -2.15
         昇陽半導體(8028.TW) 2026-03-25   199.50   199.50       尚未賣出   196.00   196.00     1  -1.75
            元晶(6443.TW) 2026-01-02    27.75    27.75 2026-01-05    25.50    25.50     3  -8.11
            元晶(6443.TW) 2026-01-09    31.65    31.65 2026-01-29    39.00    39.00    20  23.22
            元晶(6443.TW) 2026-02-03    42.20    42.20 2026-02-06    39.30    39.30     3  -6.87
            元晶(6443.TW) 2026-03-02    49.60    49.60 2026-03-19    49.40    49.40    17  -0.40
         捷敏-KY(6525.TW) 2026-01-12    77.20    77.20 2026-01-30    78.40    78.40    18   1.55
         捷敏-KY(6525.TW) 2026-02-24    82.20    82.20 2026-03-04    79.40    79.40     8  -3.41
         捷敏-KY(6525.TW) 2026-03-13    84.70    84.70 2026-03-23    81.10    81.10    10  -4.25
          鏵友益(6877.TWO) 2026-01-08    89.20    89.20 2026-01-13    85.60    85.60     5  -4.04
          鏵友益(6877.TWO) 2026-01-23    87.80    87.80 2026-01-30    87.10    87.10     7  -0.80
          鏵友益(6877.TWO) 2026-02-26    96.00    96.00 2026-03-09    99.00    99.00    11   3.12
          鏵友益(6877.TWO) 2026-03-20   116.00   116.00 2026-03-23   105.00   105.00     3  -9.48
            台玻(1802.TW) 2026-01-15    38.00    38.00 2026-01-29    49.80    49.80    14  31.05
            台玻(1802.TW) 2026-02-25    61.30    61.30 2026-03-09    53.20    53.20    12 -13.21
            台玻(1802.TW) 2026-03-18    64.10    64.10 2026-03-20    57.60    57.60     2 -10.14
            百和(9938.TW) 2026-01-12    53.80    53.80 2026-01-21    52.50    52.50     9  -2.42
        竣邦-KY(4442.TWO) 2026-03-11    60.90    60.90 2026-03-23    60.00    60.00    12  -1.48
    期元大S&P黃金(00635U.TW) 2026-01-12    49.01    49.01 2026-02-02    49.61    49.61    21   1.22
           南亞科(2408.TW) 2026-01-02   207.00   207.00 2026-02-03   277.50   277.50    32  34.06
            國產(2504.TW) 2026-02-26    37.10    37.10 2026-03-09    37.05    37.05    11  -0.13
            國產(2504.TW) 2026-03-19    37.95    37.95 2026-03-26    37.80    37.80     7  -0.40
           華義(3086.TWO) 2026-01-16   223.00   223.00 2026-01-28   225.50   225.50    12   1.12
           華義(3086.TWO) 2026-02-10   238.00   238.00 2026-02-11   227.00   227.00     1  -4.62
           華義(3086.TWO) 2026-03-02   247.00   247.00 2026-03-03   229.00   229.00     1  -7.29
           華義(3086.TWO) 2026-03-05   236.00   236.00 2026-03-09   223.00   223.00     4  -5.51
           華義(3086.TWO) 2026-03-17   268.00   268.00       尚未賣出   294.50   294.50     9   9.89
            研華(2395.TW) 2026-01-06   288.00   288.00 2026-01-08   285.50   285.50     2  -0.87
            研華(2395.TW) 2026-01-09   288.50   288.50 2026-01-13   287.00   287.00     4  -0.52
            研華(2395.TW) 2026-01-14   292.50   292.50 2026-01-15   287.50   287.50     1  -1.71
            研華(2395.TW) 2026-01-28   298.50   298.50 2026-02-03   290.00   290.00     6  -2.85
            研華(2395.TW) 2026-02-23   315.00   315.00 2026-03-04   311.50   311.50     9  -1.11
            研華(2395.TW) 2026-03-05   342.50   342.50 2026-03-16   340.00   340.00    11  -0.73
            鈺德(3050.TW) 2026-01-14    15.30    15.30 2026-01-23    14.40    14.40     9  -5.88
            鈺德(3050.TW) 2026-03-20    14.50    14.50       尚未賣出    13.95    13.95     6  -3.79
  大華優利美A債15(00984B.TWO) 2026-01-22    16.74    16.74 2026-01-28    16.55    16.55     6  -1.12
  大華優利美A債15(00984B.TWO) 2026-02-26    16.77    16.77 2026-03-05    16.74    16.74     7  -0.18
            瑞儀(6176.TW) 2026-02-11   126.50   126.50 2026-02-26   122.00   122.00    15  -3.56
        宏�硌穈T(6811.TWO) 2026-01-13   212.00   212.00 2026-01-15   210.00   210.00     2  -0.94
        宏�硌穈T(6811.TWO) 2026-01-28   222.50   222.50 2026-01-30   205.50   205.50     2  -7.64
           琉園(9949.TWO) 2026-02-26    25.97    25.97 2026-03-04    23.99    23.99     6  -7.61
           琉園(9949.TWO) 2026-03-06    26.33    26.33 2026-03-13    25.18    25.18     7  -4.36
           琉園(9949.TWO) 2026-03-26    27.50    27.50       尚未賣出    27.50    27.50     0   0.00
           高鋒(4510.TWO) 2026-01-14    44.65    44.65 2026-01-27    48.25    48.25    13   8.06
           高鋒(4510.TWO) 2026-01-29    49.70    49.70 2026-01-30    49.20    49.20     1  -1.01
           育富(6194.TWO) 2026-03-26    33.05    33.05       尚未賣出    33.05    33.05     0   0.00
           業強(6124.TWO) 2026-01-02    28.10    28.10 2026-01-12    28.00    28.00    10  -0.36
           業強(6124.TWO) 2026-01-20    30.70    30.70 2026-01-28    28.80    28.80     8  -6.19
           業強(6124.TWO) 2026-02-25    31.00    31.00 2026-03-09    32.95    32.95    12   6.29
    凱基美國非投等債(00945B.TW) 2026-01-06    14.40    14.40 2026-01-15    14.41    14.41     9   0.02
    凱基美國非投等債(00945B.TW) 2026-03-16    14.46    14.46 2026-03-23    14.42    14.42     7  -0.30
    凱基美國非投等債(00945B.TW) 2026-03-25    14.45    14.45 2026-03-26    14.43    14.43     1  -0.14
           旭然(4556.TWO) 2026-01-13    25.85    25.85 2026-01-23    28.20    28.20    10   9.09
           旭然(4556.TWO) 2026-03-13    29.20    29.20 2026-03-23    28.60    28.60    10  -2.05
            宏泰(1612.TW) 2026-01-14    35.00    35.00 2026-01-30    36.25    36.25    16   3.57
          萬年清(6624.TWO) 2026-01-14    66.20    66.20 2026-01-15    61.80    61.80     1  -6.65
          萬年清(6624.TWO) 2026-02-23    67.00    67.00 2026-03-02    62.70    62.70     7  -6.42
           聯亞(3081.TWO) 2026-01-12   673.00   673.00 2026-01-19   644.00   644.00     7  -4.31
           聯亞(3081.TWO) 2026-01-20   708.00   708.00 2026-03-17  1350.00  1350.00    56  90.68
           聯亞(3081.TWO) 2026-03-26  1690.00  1690.00       尚未賣出  1690.00  1690.00     0   0.00
    群益臺灣加權正2(00685L.TW) 2026-01-02   133.70   133.70 2026-02-02   152.60   152.60    31  14.14
    群益臺灣加權正2(00685L.TW) 2026-02-11   172.95   172.95 2026-03-04   162.70   162.70    21  -5.93
           藥華藥(6446.TW) 2026-01-08   518.00   518.00 2026-02-06   723.00   723.00    29  39.58
   貝萊德標普卓越50(009813.TW) 2026-01-12    10.63    10.63 2026-01-15    10.56    10.56     3  -0.66
           點序(6485.TWO) 2026-01-02    86.10    86.10 2026-01-21   108.50   108.50    19  26.02
           點序(6485.TWO) 2026-01-29   113.00   113.00 2026-01-30   109.50   109.50     1  -3.10
           點序(6485.TWO) 2026-03-18    93.90    93.90 2026-03-24    87.00    87.00     6  -7.35
   主動中信非投等債(00981D.TWO) 2026-01-26    10.35    10.35 2026-01-28    10.30    10.30     2  -0.48
           昇益(5455.TWO) 2026-01-14    29.40    29.40 2026-01-15    29.10    29.10     1  -1.02
            佳能(2374.TW) 2026-01-12    79.90    79.90 2026-01-13    78.20    78.20     1  -2.13
            佳能(2374.TW) 2026-01-14    79.80    79.80 2026-01-30    84.81    84.81    16   6.27
          立益物流(1443.TW) 2026-01-30    27.50    27.50 2026-02-02    26.90    26.90     3  -2.18
          立益物流(1443.TW) 2026-02-04    27.40    27.40 2026-02-05    26.85    26.85     1  -2.01
            千興(2025.TW) 2026-01-02    11.30    11.30 2026-01-21    12.70    12.70    19  12.39
            千興(2025.TW) 2026-03-23    12.75    12.75       尚未賣出    11.60    11.60     3  -9.02
            柏承(6141.TW) 2026-01-09    12.10    12.10 2026-01-20    11.60    11.60    11  -4.13
            柏承(6141.TW) 2026-02-26    12.40    12.40 2026-03-24    21.10    21.10    26  70.16
         乙盛-KY(5243.TW) 2026-01-12    82.90    82.90 2026-01-21    81.90    81.90     9  -1.21
         乙盛-KY(5243.TW) 2026-01-27    88.70    88.70 2026-01-30    84.40    84.40     3  -4.85
            聯電(2303.TW) 2026-01-07    54.10    54.10 2026-01-30    62.40    62.40    23  15.34
           典範(3372.TWO) 2026-01-12    23.15    23.15 2026-01-13    21.80    21.80     1  -5.83
           典範(3372.TWO) 2026-01-19    24.75    24.75 2026-01-22    23.00    23.00     3  -7.07
           典範(3372.TWO) 2026-03-02    24.30    24.30 2026-03-04    21.80    21.80     2 -10.29
            立積(4968.TW) 2026-01-26   128.50   128.50 2026-01-29   122.50   122.50     3  -4.67
           弘帆(8433.TWO) 2026-01-02    52.20    52.20 2026-01-05    50.80    50.80     3  -2.68
           弘帆(8433.TWO) 2026-01-13    56.70    56.70 2026-01-21    55.60    55.60     8  -1.94
           弘帆(8433.TWO) 2026-03-16    61.20    61.20       尚未賣出    61.60    61.60    10   0.65
    主動復華未來50(00991A.TW) 2026-03-18    13.36    13.36 2026-03-23    12.60    12.60     5  -5.69
            毅嘉(2402.TW) 2026-02-26    57.00    57.00 2026-03-04    50.10    50.10     6 -12.11
            順德(2351.TW) 2026-01-16    77.40    77.40 2026-02-02    87.20    87.20    17  12.66
            順德(2351.TW) 2026-03-12    87.60    87.60       尚未賣出    99.20    99.20    14  13.24
            新巨(2420.TW) 2026-01-02    51.10    51.10 2026-01-05    50.40    50.40     3  -1.37
            新巨(2420.TW) 2026-01-14    52.10    52.10 2026-01-27    52.60    52.60    13   0.96
            新巨(2420.TW) 2026-03-17    52.50    52.50 2026-03-26    52.00    52.00     9  -0.95
      泰聚亨-DR(911622.TW) 2026-01-29     4.10     4.10 2026-02-10     4.15     4.15    12   1.22
         金利食安(7743.TWO) 2026-02-02    21.20    21.20 2026-02-03    20.30    20.30     1  -4.25
         金利食安(7743.TWO) 2026-02-05    20.55    20.55 2026-02-06    20.40    20.40     1  -0.73
         金利食安(7743.TWO) 2026-03-16    20.95    20.95 2026-03-18    20.40    20.40     2  -2.63
          環天科(3499.TWO) 2026-03-18    19.40    19.40       尚未賣出    18.45    18.45     8  -4.90
           旺矽(6223.TWO) 2026-01-20  2450.00  2450.00 2026-01-30  2515.00  2515.00    10   2.65
           旺矽(6223.TWO) 2026-02-02  2630.00  2630.00 2026-02-06  2670.00  2670.00     4   1.52
           旺矽(6223.TWO) 2026-02-26  2945.00  2945.00 2026-03-04  2660.00  2660.00     6  -9.68
           旺矽(6223.TWO) 2026-03-12  3610.00  3610.00 2026-03-26  3655.00  3655.00    14   1.25
           久元(6261.TWO) 2026-01-06    69.80    69.80 2026-01-21    70.80    70.80    15   1.43
           久元(6261.TWO) 2026-01-28    73.20    73.20 2026-01-30    71.30    71.30     2  -2.60
           久元(6261.TWO) 2026-02-04    74.30    74.30 2026-02-09    72.10    72.10     5  -2.96
           久元(6261.TWO) 2026-02-23    73.50    73.50 2026-03-04    72.20    72.20     9  -1.77
         國際海洋(7583.TWO) 2026-02-11    71.40    71.40 2026-03-02    67.80    67.80    19  -5.04
         國際海洋(7583.TWO) 2026-03-17    73.00    73.00 2026-03-23    70.00    70.00     6  -4.11
            聯策(6658.TW) 2026-01-02    60.90    60.90 2026-01-09    55.60    55.60     7  -8.70
            聯策(6658.TW) 2026-02-26    58.20    58.20 2026-03-09    54.90    54.90    11  -5.67
            聯策(6658.TW) 2026-03-12    64.60    64.60 2026-03-24    65.00    65.00    12   0.62
            川湖(2059.TW) 2026-03-19  3575.00  3575.00       尚未賣出  3615.00  3615.00     7   1.12
           鴻呈(6913.TWO) 2026-01-15   119.50   119.50 2026-01-19   117.50   117.50     4  -1.67
           鴻呈(6913.TWO) 2026-02-23   121.00   121.00 2026-03-02   116.50   116.50     7  -3.72
   凱基新興債10+(00749B.TWO) 2026-02-23    32.42    32.42 2026-03-06    32.37    32.37    11  -0.15
            德律(3030.TW) 2026-02-05   188.00   188.00 2026-02-06   182.50   182.50     1  -2.93
            德律(3030.TW) 2026-02-23   196.50   196.50 2026-03-16   250.00   250.00    21  27.23
            德律(3030.TW) 2026-03-17   254.50   254.50 2026-03-20   255.50   255.50     3   0.39
          倚強科(3219.TWO) 2026-01-02    74.80    74.80 2026-01-09    68.90    68.90     7  -7.89
          倚強科(3219.TWO) 2026-03-23    69.90    69.90 2026-03-26    66.20    66.20     3  -5.29
    大華優利高填息30(00918.TW) 2026-01-05    22.62    22.62 2026-01-14    22.47    22.47     9  -0.68
    大華優利高填息30(00918.TW) 2026-01-27    22.99    22.99 2026-01-30    22.32    22.32     3  -2.92
    大華優利高填息30(00918.TW) 2026-02-23    22.86    22.86 2026-03-04    22.12    22.12     9  -3.24
           威強電(3022.TW) 2026-01-16    68.10    68.10 2026-01-21    66.70    66.70     5  -2.06
           威強電(3022.TW) 2026-03-19    68.50    68.50 2026-03-24    62.70    62.70     5  -8.47
         台南-KY(5906.TW) 2026-01-05    51.80    51.80 2026-01-08    51.50    51.50     3  -0.58
         台南-KY(5906.TW) 2026-01-28    52.50    52.50 2026-01-29    51.40    51.40     1  -2.10
          松瑞藥(4167.TWO) 2026-01-09    19.50    19.50 2026-01-29    20.30    20.30    20   4.10
          松瑞藥(4167.TWO) 2026-03-10    20.55    20.55 2026-03-20    20.60    20.60    10   0.24
