🚀 智能量化選股報告 - 2026-03-26
==========================================================================================

【🚀超級強勢】(數量: 183)
------------------------------------------------------------------------------------------
3533.TW  | 嘉澤         | B6: 12.85% | DMA:349.400 | 💎流入 | 🚀DMA趨勢+多頭強勢
3563.TW  | 牧德         | B6: 12.66% | DMA:157.930 | 💎流入 | 🚀DMA趨勢+放量攻擊
3037.TW  | 欣興         | B6: 12.17% | DMA:136.980 | 💸流出 | 🚀DMA趨勢+多頭強勢
6739.TWO | 竹陞科技       | B6: 11.77% | DMA:268.300 | 💎流入 | 🚀DMA趨勢+放量攻擊
2640.TWO | 大車隊        | B6: 11.61% | DMA: 21.010 | 💎流入 | 🚀DMA趨勢+放量攻擊
4991.TWO | 環宇-KY      | B6: 11.27% | DMA: 98.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
2383.TW  | 台光電        | B6: 10.99% | DMA:648.800 | 💎流入 | 🚀DMA趨勢+多頭強勢
3715.TW  | 定穎投控       | B6: 10.68% | DMA: 24.700 | 💎流入 | 🚀DMA趨勢+多頭強勢
1304.TW  | 台聚         | B6:  9.98% | DMA:  1.923 | 💎流入 | 🚀DMA趨勢+多頭強勢
6163.TWO | 華電網        | B6:  9.75% | DMA:  0.332 | 💎流入 | 🚀DMA趨勢+多頭強勢
4741.TWO | 泓瀚         | B6:  9.71% | DMA:  2.627 | 💎流入 | 🚀DMA趨勢+放量攻擊
8027.TWO | 鈦昇         | B6:  9.58% | DMA:  7.746 | 💎流入 | 🚀DMA趨勢+多頭強勢
6658.TW  | 聯策         | B6:  9.29% | DMA:  9.174 | 💸流出 | 🚀DMA趨勢+多頭強勢
6831.TW  | 邁科         | B6:  9.15% | DMA: 57.380 | 💎流入 | 🚀DMA趨勢+放量攻擊
1308.TW  | 亞聚         | B6:  8.85% | DMA:  1.924 | 💎流入 | 🚀DMA趨勢+多頭強勢
3167.TW  | 大量         | B6:  8.81% | DMA: 78.490 | 💸流出 | 🚀DMA趨勢+多頭強勢
2360.TW  | 致茂         | B6:  8.74% | DMA:350.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
3529.TWO | 力旺         | B6:  8.61% | DMA:600.000 | 💎流入 | 🚀DMA趨勢+多頭強勢
3017.TW  | 奇鋐         | B6:  8.56% | DMA:354.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
6861.TW  | 睿生光電       | B6:  8.28% | DMA: 52.572 | 💸流出 | 🚀DMA趨勢+多頭強勢
6456.TW  | GIS-KY     | B6:  8.21% | DMA: 12.365 | 💎流入 | 🚀DMA趨勢+多頭強勢
2413.TW  | 環科         | B6:  8.06% | DMA:  6.412 | 💎流入 | 🚀DMA趨勢+放量攻擊
3665.TW  | 貿聯-KY      | B6:  7.97% | DMA:238.300 | 💎流入 | 🚀DMA趨勢+多頭強勢
8046.TW  | 南電         | B6:  7.95% | DMA:124.880 | 💸流出 | 🚀DMA趨勢+多頭強勢
2347.TW  | 聯強         | B6:  7.85% | DMA:  8.806 | 💎流入 | 🚀DMA趨勢+多頭強勢
6509.TWO | 聚和         | B6:  7.45% | DMA:  6.266 | 💎流入 | 🚀DMA趨勢+多頭強勢
6877.TWO | 鏵友益        | B6:  7.17% | DMA: 18.254 | 💎流入 | 🚀DMA趨勢+多頭強勢
8039.TW  | 台虹         | B6:  7.06% | DMA: 19.616 | 💸流出 | 🚀DMA趨勢+多頭強勢
4958.TW  | 臻鼎-KY      | B6:  6.95% | DMA: 22.270 | 💎流入 | 🚀DMA趨勢+多頭強勢
2305.TW  | 全友         | B6:  6.88% | DMA:  1.115 | 💎流入 | 🚀DMA趨勢+放量攻擊
2345.TW  | 智邦         | B6:  6.86% | DMA:221.300 | 💸流出 | 🚀DMA趨勢+多頭強勢
6213.TW  | 聯茂         | B6:  6.75% | DMA: 18.590 | 💸流出 | 🚀DMA趨勢+多頭強勢
2406.TW  | 國碩         | B6:  6.74% | DMA:  4.702 | 💸流出 | 🚀DMA趨勢+多頭強勢
