        股號                         名稱      收盤價        狀態                                  原因
   6831.TW                         邁科   407.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
00696B.TWO                    富邦美債20年    29.83      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
   6153.TW                        嘉聯益    16.20      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
   8261.TW                         富鼎    99.30      進入盤整    ADX 指標為 11.35 (低於 20)，市場目前缺乏推升動能
   6205.TW                         詮欣    53.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1789.TW                         神隆    21.70      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
  3171.TWO                       炎洲流通    67.20      進入盤整    ADX 指標為 10.49 (低於 20)，市場目前缺乏推升動能
  4721.TWO                        美琪瑪    72.00      進入盤整     ADX 指標為 7.66 (低於 20)，市場目前缺乏推升動能
 911608.TW                      明輝-DR     2.96      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   6924.TW                     榮惠-KY創    79.70      進入盤整     ADX 指標為 7.86 (低於 20)，市場目前缺乏推升動能
   3044.TW                         健鼎   355.00      均線糾纏      MA5/10/20 乖離率僅 1.02%，移動平均線高度重合
   3011.TW                         今皓    12.45      均線糾纏      MA5/10/20 乖離率僅 0.63%，移動平均線高度重合
  00876.TW                     元大全球5G    61.75      均線糾纏      MA5/10/20 乖離率僅 0.37%，移動平均線高度重合
 00676R.TW                   富邦臺灣加權反1     7.80      均線糾纏      MA5/10/20 乖離率僅 0.40%，移動平均線高度重合
   4961.TW                         天鈺   153.00      均線糾纏      MA5/10/20 乖離率僅 1.14%，移動平均線高度重合
   2012.TW                         春雨    15.70      均線糾纏      MA5/10/20 乖離率僅 0.43%，移動平均線高度重合
   8114.TW                        振樺電   169.50      均線糾纏      MA5/10/20 乖離率僅 1.11%，移動平均線高度重合
   8028.TW                      昇陽半導體   177.50      均線糾纏      MA5/10/20 乖離率僅 0.97%，移動平均線高度重合
   6443.TW                         元晶    41.15      趨勢運行                    股價具備方向性，未達盤整過濾標準
