est_price,eps,advice,pe,om,price,date,gm,status,eps_yoy,prev_rev_yoy,prev_eps_yoy,name,prev_eps,expansion,rev_yoy,symbol,prev_year
61.949999999999996,1.77,✅ 穩健價值,14.237287950871671,8.07%,58.7999992371,2025-12,18.73%,🚀 利潤擴張,8050.0,-8.85,254.55,事欣科,1.14,8049.11,0.89,4916.TW,2025
94.05,0.68,💎 強力關注,4.896331860111643,-12.63%,30.7000007629,2025-12,1.56%,🚀 利潤擴張,6600.0,23.87,1971.43,建漢,1.47,6583.45,16.55,3062.TW,2025
169.5,2.85,💎 強力關注,0.9380531311061946,18.04%,10.6000003815,2025-12,47.97%,🧐 疑業外收益,3612.5,-15.18,1150.0,日勝生,2.78,3625.39,-12.89,2547.TW,2025
61.949999999999996,1.4,💎 強力關注,10.537803779225182,N/A,43.5211296082,2025-12,N/A,🚀 利潤擴張,3600.0,158.06,1737.5,台生材,1.31,3471.78,128.22,6649.TWO,2025
113.55,3.51,⚠️ 追價風險,45.77278731836196,8.52%,346.5,2025-12,22.14%,🚀 利潤擴張,3072.73,26.89,221.54,景碩,2.1,3043.86,28.87,3189.TW,2025
15.15,0.52,✅ 穩健價值,12.673267515544556,N/A,12.8000001907,2025-12,N/A,🚀 利潤擴張,2500.0,36.66,3600.0,工信,0.37,2472.68,27.32,5521.TW,2025
573.7500000000001,22.26,💎 強力關注,0.7895425036052286,-91.14%,30.2000007629,2025-12,-8.90%,🧐 疑業外收益,1562.0,15.97,3177.63,永彰,23.73,1569.15,-7.15,4523.TWO,2025
83.1,6.03,💎 強力關注,3.167869898393502,-28.70%,17.5499992371,2025-12,34.83%,🔄 轉虧為盈,1502.33,4.99,-125.0,大魯閣,-0.36,1497.6999999999998,4.63,1432.TW,2025
47.1,1.28,⚠️ 追價風險,57.013362228503176,7.09%,179.0219573975,2025-12,35.25%,🚀 利潤擴張,1500.0,27.63,196.87,科嶠,0.95,1462.34,37.66,4542.TWO,2025
550.65,35.57,💎 強力關注,3.4459275401797873,-95.04%,126.5,2025-12,24.80%,🧐 疑業外收益,1276.65,-27.3,-71.04,上緯投控,0.53,1307.4,-30.75,3708.TW,2025
24.9,1.02,⚠️ 追價風險,26.897591280662652,-0.59%,44.6500015259,2025-12,9.90%,🚀 利潤擴張,1357.14,73.71,173.33,聯光通,0.82,1292.63,64.51,4903.TWO,2025
45.75000000000001,1.64,⚠️ 追價風險,33.93442622950819,12.18%,103.5,2025-12,29.01%,🚀 利潤擴張,1116.67,46.55,606.25,富喬,0.81,1075.98,40.69,1815.TWO,2025
424.95,12.05,💎 強力關注,9.830568302153194,N/A,278.5,2025-12,N/A,🚀 利潤擴張,1105.15,53.98,1777.36,jpp-KY,9.16,1048.91,56.24,5284.TW,2025
5.55,0.11,⚠️ 追價風險,26.810811017027024,N/A,9.9200000763,2025-12,N/A,🧐 疑業外收益,1000.0,-10.59,-45.45,松普,0.06,1008.11,-8.11,5488.TWO,2025
72.0,1.41,💎 強力關注,4.4687501589375005,-0.28%,21.4500007629,2025-12,9.91%,🚀 利潤擴張,981.25,10.42,1700.0,精英,1.44,966.3,14.95,2331.TW,2025
