Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
2458.TW,義隆,2026-03-23,看跌 FVG,128.64,130.74,122.21,❌ 已失效,實體過中線,0,58.7,-,1
2633.TW,台灣高鐵,2026-03-25,看漲 FVG,26.25,25.97,27.56,❌ 已失效,實體破中線,0,47.17,-,1
3710.TWO,連展投控,2026-03-27,看漲 FVG,6.45,6.04,6.77,⏳ 待回測,💎鑽石結構,1,49.69,-,1
5258.TW,虹堡,2026-03-26,看漲 FVG,47.95,46.62,50.35,❌ 已失效,實體破中線,1,45.81,-,1
8291.TWO,尚茂,2026-03-25,看漲 FVG,15.15,13.93,15.91,✅ 已站穩,🟢 買進,1,51.4,2026-03-27,1
8930.TWO,青鋼,2026-03-24,看跌 FVG,30.04,30.28,28.54,⚠️ 壓力確認,🔴 放空,1,66.67,2026-03-26,1
00662.TW,富邦NASDAQ,2026-03-27,看跌 FVG,95.35,99.09,90.58,⏳ 待回測,⚡結構突破,0,44.27,-,2
00696B.TWO,富邦美債20年,2026-03-23,看跌 FVG,29.58,30.03,28.1,⚠️ 壓力確認,🔴 放空,0,35.19,2026-03-25,2
00719B.TWO,元大美債1-3,2026-03-13,看漲 FVG,31.43,31.22,33.0,❌ 已失效,實體破中線,0,66.97,-,2
00757.TW,統一FANG+,2026-03-27,看跌 FVG,101.75,106.98,96.66,⏳ 待回測,⚡結構突破,0,38.3,-,2
00764B.TWO,群益25年美債,2026-03-23,看跌 FVG,28.24,28.67,26.83,⚠️ 壓力確認,🔴 放空,0,36.74,2026-03-25,2
00770.TW,國泰北美科技,2026-03-27,看跌 FVG,48.56,51.0,46.13,⏳ 待回測,⚡結構突破,1,47.59,-,2
00773B.TWO,中信優先金融債,2026-03-27,看跌 FVG,35.62,36.0,33.84,⏳ 待回測,⚡結構突破,0,38.7,-,2
00780B.TWO,國泰A級金融債,2026-03-27,看跌 FVG,37.5,37.84,35.62,⏳ 待回測,⚡結構突破,0,37.44,-,2
00851.TW,台新全球AI,2026-03-27,看跌 FVG,53.0,56.38,50.35,⏳ 待回測,⚡結構突破,0,43.58,-,2
00857B.TWO,永豐20年美公債,2026-03-23,看跌 FVG,23.52,24.12,22.34,⚠️ 壓力確認,🔴 放空,1,31.78,2026-03-25,2
00864B.TWO,中信美國公債0-1,2026-03-23,看漲 FVG,46.75,46.44,49.09,❌ 已失效,實體破中線,1,66.82,-,2
009813.TW,貝萊德標普卓越50,2026-03-27,看跌 FVG,9.7,9.97,9.21,⏳ 待回測,⚡結構突破,0,40.59,-,2
009815.TWO,大華美國MAG7+,2026-03-27,看跌 FVG,8.93,9.36,8.48,⏳ 待回測,⚡結構突破,1,43.33,-,2
