股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
1303.TW,2026-01-08,67.0,2026-01-09,68.5,2026-01-30,76.7,11.97%,0.11970798464525541,交易結束,1303.TW 南亞
1303.TW,2026-02-24,90.8,2026-02-25,92.2,2026-03-05,84.2,-8.68%,-0.08676789875052358,交易結束,1303.TW 南亞
1326.TW,2026-01-26,38.95,2026-01-27,40.95,2026-02-06,40.65,-0.73%,-0.007325988557045123,交易結束,1326.TW 台化
1326.TW,2026-02-26,51.0,2026-03-02,52.0,2026-03-05,45.2,-13.08%,-0.13076921609807698,交易結束,1326.TW 台化
3062.TW,2026-02-24,26.9,2026-02-25,27.4,2026-02-26,26.15,-4.56%,-0.045620438591394065,交易結束,3062.TW 建漢
00715L.TW,2026-01-28,23.71,2026-01-29,24.14,2026-03-26,52.2,116.24%,1.1623861674739235,交易結束,00715L.TW 期街口S&P布蘭特油正2
00642U.TW,2026-01-28,16.46,2026-01-29,16.63,2026-03-25,23.72,42.63%,0.42633797416613506,交易結束,00642U.TW 期元大S&P石油
1310.TW,2026-01-15,9.2,2026-01-16,9.19,2026-01-22,8.8,-4.24%,-0.04243736751977358,交易結束,1310.TW 台苯
1310.TW,2026-01-26,9.12,2026-01-27,9.23,2026-02-02,8.88,-3.79%,-0.037919766539509146,交易結束,1310.TW 台苯
1313.TW,2026-01-15,10.8,2026-01-16,10.85,2026-01-22,10.5,-3.23%,-0.03225809854318292,交易結束,1313.TW 聯成
1313.TW,2026-01-28,11.45,2026-01-29,11.5,2026-02-03,10.4,-9.57%,-0.09565220708695646,交易結束,1313.TW 聯成
1313.TW,2026-03-06,13.5,2026-03-09,14.6,2026-03-12,12.75,-12.67%,-0.12671235158624913,交易結束,1313.TW 聯成
1304.TW,2026-01-15,11.9,2026-01-16,12.0,2026-01-22,11.55,-3.75%,-0.037499984108333294,交易結束,1304.TW 台聚
1304.TW,2026-01-26,12.45,2026-01-27,12.9,2026-02-03,11.25,-12.79%,-0.12790695095321725,交易結束,1304.TW 台聚
1304.TW,2026-03-06,13.1,2026-03-09,14.4,2026-03-12,13.0,-9.72%,-0.09722219830487981,交易結束,1304.TW 台聚
1304.TW,2026-03-19,14.15,2026-03-20,15.2,持股中,17.55,15.46%,0.15460522745284325,續抱中,1304.TW 台聚
1305.TW,2026-01-07,11.35,2026-01-08,11.75,2026-02-03,11.8,0.43%,0.0042553353787234465,交易結束,1305.TW 華夏
1305.TW,2026-03-06,13.25,2026-03-09,14.55,2026-03-12,13.3,-8.59%,-0.08591065179497173,交易結束,1305.TW 華夏
1308.TW,2026-01-15,14.05,2026-01-16,14.15,2026-01-21,13.4,-5.30%,-0.053003534997939826,交易結束,1308.TW 亞聚
1308.TW,2026-01-26,14.25,2026-01-27,14.4,2026-02-03,13.3,-7.64%,-0.07638885117655186,交易結束,1308.TW 亞聚
1308.TW,2026-03-23,18.15,2026-03-24,17.0,持股中,19.0,11.76%,0.11764705882352941,續抱中,1308.TW 亞聚
1905.TW,2026-01-14,12.4,2026-01-15,12.5,2026-01-23,12.3,-1.60%,-0.01599998474399996,交易結束,1905.TW 華紙
1905.TW,2026-03-26,14.0,2026-03-27,14.65,持股中,16.0,9.22%,0.09215019908909898,續抱中,1905.TW 華紙
6588.TWO,2026-01-29,61.4,2026-01-30,64.0,2026-03-05,91.5,42.97%,0.4296875,交易結束,6588.TWO 東典光電
8027.TWO,2026-03-23,117.0,2026-03-24,118.5,持股中,131.5,10.97%,0.10970464135021098,續抱中,8027.TWO 鈦昇
4971.TWO,2026-01-19,338.5,2026-01-20,340.0,2026-02-09,392.0,15.29%,0.15294117647058825,交易結束,4971.TWO IET-KY
4971.TWO,2026-03-02,537.0,2026-03-03,555.0,2026-03-06,420.0,-24.32%,-0.24324324324324326,交易結束,4971.TWO IET-KY
4971.TWO,2026-03-11,481.5,2026-03-12,464.5,2026-03-13,416.5,-10.33%,-0.10333692142088267,交易結束,4971.TWO IET-KY
4971.TWO,2026-03-27,578.0,2026-03-30,588.0,持股中,588.0,0.00%,0.0,續抱中,4971.TWO IET-KY
5243.TW,2026-03-27,74.9,2026-03-30,73.7,持股中,73.7,0.00%,0.0,續抱中,5243.TW 乙盛-KY
