📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
1303.TW    | 次數: 2    | 勝率:  50.00% | 累計:    3.29%
1326.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -13.81%
3062.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.56%
00715L.TW  | 次數: 1    | 勝率: 100.00% | 累計:  116.24%
00642U.TW  | 次數: 1    | 勝率: 100.00% | 累計:   42.63%
1310.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -8.04%
1313.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -25.46%
1304.TW    | 次數: 4    | 勝率:  25.00% | 累計:  -10.80%
1305.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -8.17%
1308.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -1.17%
1905.TW    | 次數: 2    | 勝率:  50.00% | 累計:    7.62%
6588.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   42.97%
8027.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   10.97%
4971.TWO   | 次數: 4    | 勝率:  25.00% | 累計:  -19.36%
5243.TW    | 次數: 1    | 勝率:   0.00% | 累計:    0.00%
