📊 量化獲利品質診斷報告 - 基準日: 20260331 (生成時間: 2026-04-18 19:38)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        56.10      13.58      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         29.65      4.73       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.50      0.93       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        43.47      10.53      61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         313.00     41.35      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.35      12.23      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         29.30      0.77       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        17.40      3.14       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         162.61     51.79      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       119.00     3.24       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        44.90      27.05      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         95.80      31.41      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     263.50     9.30       424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         9.93       26.84      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         20.85      4.34       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         40.50      2.48       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         57.60      13.06      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       23.15      8.01       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         1575.00    170.82     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         32.75      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         19.55      12.95      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         30.50      122.00     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         10.65      22.19      7.20             688.58%    🧐 疑業外收益
4413.TWO   飛寶企業       17.55      0.00       -9.45            668.56%    🔄 轉虧為盈
4924.TWO   欣厚-KY      10.20      21.25      7.20             656.01%    🚀 利潤擴張
3002.TW    歐格         18.35      16.10      17.10            603.24%    🚀 利潤擴張
2344.TW    華邦電        90.20      392.17     3.45             567.37%    🚀 利潤擴張
3054.TW    立萬利        67.60      26.00      39.00            563.39%    🚀 利潤擴張
6282.TW    康舒         45.60      0.00       -13.95           549.90%    🔄 轉虧為盈
2491.TW    吉祥全        15.10      88.82      2.55             467.93%    🧐 疑業外收益
3297.TWO   杭特         33.30      27.52      18.15            440.95%    🚀 利潤擴張
3555.TWO   博士旺        149.00     0.00       -9.60            418.37%    🔄 轉虧為盈
2243.TW    宏旭-KY      21.80      24.77      13.20            417.35%    🔄 轉虧為盈
3167.TW    大量         368.50     20.93      264.15           379.12%    🚀 利潤擴張
1413.TW    宏洲         9.70       8.82       16.50            374.26%    🧐 疑業外收益
4764.TW    雙鍵         117.00     45.17      38.85            371.81%    🚀 利潤擴張
5490.TWO   同亨         26.85      5.89       68.40            370.34%    🚀 利潤擴張
3219.TWO   倚強科        63.00      15.83      59.70            356.99%    🚀 利潤擴張
2409.TW    友達         14.50      5.71       38.10            327.09%    🚀 利潤擴張
4439.TW    冠星-KY      86.80      4.04       321.90           316.98%    🚀 利潤擴張
2399.TW    映泰         30.05      0.00       -2.70            289.09%    🔄 轉虧為盈
2498.TW    宏達電        39.20      1.64       359.25           281.70%    🧐 疑業外收益
6165.TW    浪凡         0.00       0.00       0.00             275.27%    🚀 利潤擴張
4576.TW    大銀微系統      131.00     29.98      65.55            273.68%    🚀 利潤擴張
2466.TW    冠西電        45.70      0.00       -8.10            255.45%    🧐 疑業外收益
1608.TW    華榮         31.15      2.68       174.45           254.79%    🚀 利潤擴張
1718.TW    中纖         7.47       28.73      3.90             250.24%    🧐 疑業外收益
4949.TW    有成精密       67.00      14.73      68.25            241.22%    🧐 疑業外收益
1438.TW    三地開發       28.00      0.00       -2.40            229.08%    🔄 轉虧為盈
1456.TW    怡華         13.60      9.25       22.05            227.67%    🔄 轉虧為盈
3530.TW    晶相光        55.30      26.46      31.35            224.23%    🚀 利潤擴張
2034.TW    允強         20.05      20.89      14.40            213.63%    🧐 疑業外收益
4167.TWO   松瑞藥        20.95      3.78       83.10            204.79%    🧐 疑業外收益
4744.TWO   皇將         37.00      8.35       66.45            203.79%    🚀 利潤擴張
6902.TW    GOGOLOOK   73.90      35.36      31.35            201.66%    🚀 利潤擴張
2316.TW    楠梓電        97.30      3.11       468.90           200.22%    🚀 利潤擴張
1796.TWO   金穎生技       33.65      24.93      20.25            199.71%    🚀 利潤擴張
6840.TWO   東研信超       59.30      17.39      51.15            197.42%    🚀 利潤擴張
3191.TWO   雲嘉南        13.50      28.12      7.20             197.22%    🧐 疑業外收益
3048.TW    益登         34.45      8.53       60.60            193.66%    🚀 利潤擴張
6202.TW    盛群         46.75      20.50      34.20            191.41%    🚀 利潤擴張
2413.TW    環科         49.15      0.00       -9.60            189.66%    🔄 轉虧為盈
1516.TW    川飛         19.80      990.00     0.30             187.65%    🧐 疑業外收益
6112.TW    邁達特        42.25      11.27      56.25            184.49%    🚀 利潤擴張
6246.TWO   臺龍         16.70      22.57      11.10            179.80%    🔄 轉虧為盈
4746.TW    台耀         0.00       0.00       0.00             177.61%    🚀 利潤擴張
3609.TWO   三一東林       27.20      2.50       163.50           177.55%    🚀 利潤擴張
6573.TW    虹揚-KY      12.65      9.17       20.70            176.83%    🧐 疑業外收益
6719.TW    力智         161.50     11.37      213.00           174.75%    🚀 利潤擴張
6127.TWO   九豪         43.95      21.98      30.00            174.57%    🧐 疑業外收益
4556.TWO   旭然         26.60      16.12      24.75            174.34%    🧐 疑業外收益
5703.TWO   亞都         13.30      14.78      13.50            173.33%    🚀 利潤擴張
6209.TW    今國光        49.00      32.24      22.80            172.02%    🚀 利潤擴張
6841.TWO   長佳智能       61.90      28.01      33.15            171.64%    🚀 利潤擴張
7610.TW    聯友金屬-創     0.00       0.00       0.00             166.18%    🚀 利潤擴張
1587.TW    吉茂         34.40      49.86      10.35            164.99%    🚀 利潤擴張
2486.TW    一詮         132.50     427.42     4.65             164.91%    🚀 利潤擴張
6994.TW    富威電力       0.00       0.00       0.00             164.37%    🚀 利潤擴張
6596.TWO   寬宏藝術       100.00     2.16       693.90           164.31%    🚀 利潤擴張
6265.TWO   方土昶        36.00      0.00       -11.25           160.96%    🔄 轉虧為盈
5439.TWO   高技         268.00     9.24       435.15           160.62%    🚀 利潤擴張
3489.TWO   森寶         22.90      0.00       -4.95            159.73%    🧐 疑業外收益
4526.TW    東台         32.00      4.49       106.80           157.18%    🧐 疑業外收益
6684.TWO   安格         40.75      3.22       189.75           152.56%    🧐 疑業外收益
6838.TW    台新藥        28.00      0.00       -13.50           152.03%    🧐 疑業外收益
4157.TWO   太景*-KY     11.10      0.00       -5.85            147.76%    🔄 轉虧為盈
3252.TWO   海灣         20.15      125.94     2.40             145.65%    🔄 轉虧為盈
3162.TWO   精確         55.60      12.44      67.05            143.78%    🚀 利潤擴張
3673.TW    TPK-KY     43.40      6.08       107.10           142.39%    🧐 疑業外收益
6236.TWO   中湛         21.60      80.00      4.05             140.19%    🧐 疑業外收益
6708.TWO   天擎         39.15      91.05      6.45             138.32%    🚀 利潤擴張
5227.TWO   立凱-KY      23.40      37.14      9.45             137.15%    🧐 疑業外收益
6485.TWO   點序         78.70      62.46      18.90            135.37%    🔄 轉虧為盈
2408.TW    南亞科        198.50     0.00       -28.50           134.79%    🔄 轉虧為盈
3709.TWO   鑫聯大投控      62.90      4.59       205.50           133.87%    🚀 利潤擴張
3466.TWO   德晉         33.00      0.00       -57.45           131.46%    🧐 疑業外收益
4934.TW    太極         16.30      0.00       -35.85           129.82%    🧐 疑業外收益
2607.TW    榮運         50.50      5.81       130.35           127.98%    🧐 疑業外收益
5386.TWO   青雲         262.50     17.16      229.50           126.62%    🚀 利潤擴張
3540.TWO   曜越         0.00       0.00       0.00             126.13%    🚀 利潤擴張
3105.TWO   穩懋         351.50     75.59      69.75            125.68%    🧐 疑業外收益
6276.TWO   安鈦克        32.90      11.31      43.65            122.40%    🚀 利潤擴張
1512.TW    瑞利         7.48       29.92      3.75             119.85%    🚀 利潤擴張
4555.TW    氣立         34.80      870.00     0.60             114.62%    🔄 轉虧為盈
4702.TWO   中美實        10.05      28.71      5.25             113.31%    🧐 疑業外收益
3260.TWO   威剛         335.00     8.49       592.05           112.57%    🚀 利潤擴張
2025.TW    千興         11.30      0.00       -17.70           109.96%    🧐 疑業外收益
4967.TW    十銓         199.00     10.67      279.75           107.85%    🚀 利潤擴張
6477.TW    安集         33.10      174.21     2.85             107.45%    🧐 疑業外收益
2501.TW    國建         22.60      3.59       94.35            106.29%    🚀 利潤擴張
6465.TWO   威潤         43.20      0.00       -14.55           104.65%    🔄 轉虧為盈
3135.TW    凌航         102.00     11.67      131.10           103.76%    🚀 利潤擴張
6150.TWO   撼訊         55.00      10.34      79.80            102.95%    🚀 利潤擴張
2465.TW    麗臺         52.00      40.62      19.20            101.99%    🚀 利潤擴張
1541.TW    錩泰         25.65      5.86       65.70             97.42%    🚀 利潤擴張
2380.TW    虹光         5.85       3.02       29.10             96.70%    🚀 利潤擴張
4971.TWO   IET-KY     572.00     0.00       -7.05             96.48%    🚀 利潤擴張
5516.TWO   雙喜         12.50      0.00       -7.35             96.02%    🚀 利潤擴張
3363.TWO   上詮         550.00     774.65     10.65             95.32%    🚀 利潤擴張
6739.TWO   竹陞科技       1105.00    31.85      520.35            95.30%    🚀 利潤擴張
6125.TWO   廣運         53.40      172.26     4.65              94.49%    🚀 利潤擴張
3687.TWO   歐買尬        66.10      6.22       159.30            94.30%    🚀 利潤擴張
1453.TW    大將         12.15      0.00       -2.10             92.73%    🚀 利潤擴張
4154.TWO   樂威科-KY     14.35      0.00       -84.00            92.59%    🧐 疑業外收益
2390.TW    云辰         10.10      16.29      9.30              91.99%    🧐 疑業外收益
3504.TW    揚明光        50.40      5040.00    0.15              91.78%    🚀 利潤擴張
2360.TW    致茂         1465.00    22.87      961.05            91.00%    🚀 利潤擴張
6931.TW    青松健康       50.60      20.82      36.45             90.25%    🚀 利潤擴張
5608.TW    四維航        16.00      0.00       -9.60             90.00%    🧐 疑業外收益
3576.TW    聯合再生       21.25      0.00       -28.20            88.55%    🧐 疑業外收益
6532.TWO   瑞耘         72.40      5.97       181.95            87.60%    🧐 疑業外收益
4991.TWO   環宇-KY      390.00     0.00       -23.55            81.68%    🔄 轉虧為盈
2740.TWO   天蔥         37.50      0.00       -125.25           81.01%    🧐 疑業外收益
1528.TW    恩德         26.95      0.00       -21.60            80.62%    🧐 疑業外收益
6196.TW    帆宣         273.00     7.13       574.05            80.56%    🧐 疑業外收益
2022.TW    聚亨         8.96       0.00       -0.60             79.21%    🚀 利潤擴張
5498.TWO   凱崴         52.10      0.00       -7.05             78.95%    🚀 利潤擴張
4552.TW    力達-KY      20.75      3.92       79.50             78.51%    🧐 疑業外收益
3563.TW    牧德         760.00     17.38      655.80            77.89%    🚀 利潤擴張
3205.TWO   佰研         62.50      0.00       -44.25            77.02%    🧐 疑業外收益
3523.TWO   迎輝         14.50      0.00       -65.85            76.84%    🧐 疑業外收益
3498.TWO   陽程         68.90      0.00       -32.55            76.57%    🔄 轉虧為盈
3625.TWO   西勝         17.05      0.00       -16.20            75.48%    🧐 疑業外收益
6654.TWO   天正國際       91.40      0.00       -44.70            74.38%    🔄 轉虧為盈
4540.TW    全球傳動       41.15      0.00       -40.50            74.10%    🚀 利潤擴張
2483.TW    百容         20.65      11.10      27.90             73.91%    🧐 疑業外收益
2731.TW    雄獅         155.50     3.54       658.20            72.29%    🚀 利潤擴張
1440.TW    南紡         12.65      0.00       -4.20             71.99%    🧐 疑業外收益
6505.TW    台塑化        55.10      36.01      22.95             70.75%    🧐 疑業外收益
2451.TW    創見         211.00     10.01      316.05            70.49%    🚀 利潤擴張
5398.TWO   慕康生醫       23.60      38.69      9.15              70.29%    🧐 疑業外收益
3623.TWO   富晶通        21.80      0.00       -16.95            70.11%    🚀 利潤擴張
6213.TW    聯茂         148.50     14.62      152.40            70.08%    🚀 利潤擴張
6241.TWO   易通展        11.55      0.00       -13.65            69.54%    🚀 利潤擴張
2924.TWO   宏太-KY      17.00      0.00       -38.85            69.26%    🧐 疑業外收益
6616.TWO   特昇-KY      10.45      0.00       -11.85            67.61%    🧐 疑業外收益
3152.TWO   璟德         132.00     5.04       393.00            67.30%    🧐 疑業外收益
3665.TW    貿聯-KY      1740.00    16.34      1597.50           66.97%    🚀 利潤擴張
6831.TW    邁科         0.00       0.00       0.00              66.71%    🚀 利潤擴張
1802.TW    台玻         51.90      0.00       -16.35            65.33%    🧐 疑業外收益
2027.TW    大成鋼        36.85      5.48       100.80            65.30%    🚀 利潤擴張
2614.TW    東森         20.65      4.55       68.10             65.27%    🧐 疑業外收益
5543.TWO   桓鼎-KY      27.60      0.00       -88.80            65.14%    🧐 疑業外收益
4807.TW    日成-KY      14.35      0.00       -32.70            65.02%    🚀 利潤擴張
1445.TW    大宇         12.90      0.00       -24.75            64.90%    🧐 疑業外收益
4529.TWO   淳紳         3.13       0.00       -28.05            64.78%    🧐 疑業外收益
5228.TWO   鈺鎧         23.05      0.00       -24.75            64.67%    🚀 利潤擴張
4166.TWO   友霖         25.30      12.91      29.40             64.65%    🚀 利潤擴張
6141.TW    柏承         19.80      0.00       -122.25           63.85%    🧐 疑業外收益
3605.TW    宏致         54.50      4.84       169.05            63.75%    🚀 利潤擴張
5432.TWO   新門         137.50     34.29      60.15             63.02%    🚀 利潤擴張
2436.TW    偉詮電        58.70      11.98      73.50             62.74%    🚀 利潤擴張
2033.TW    佳大         15.35      17.64      13.05             62.56%    🚀 利潤擴張
1340.TW    勝悅-KY      6.62       0.00       -67.80            62.52%    🧐 疑業外收益
6510.TWO   精測         3080.00    42.65      1083.15           62.23%    🚀 利潤擴張
5364.TWO   力麗店        11.70      0.00       -36.45            61.36%    🧐 疑業外收益
6270.TWO   倍微         24.15      9.66       37.50             61.29%    🚀 利潤擴張
6168.TW    宏齊         22.85      0.00       -0.00             61.07%    🚀 利潤擴張
6574.TWO   霈方         0.00       0.00       0.00              59.83%    🚀 利潤擴張
2440.TW    太空梭        14.05      0.00       -10.35            58.94%    🧐 疑業外收益
2485.TW    兆赫         79.60      0.00       -62.70            57.57%    🧐 疑業外收益
4304.TWO   勝昱         24.00      0.00       -52.80            57.16%    🧐 疑業外收益
1215.TW    卜蜂         135.00     5.26       384.90            56.93%    🚀 利潤擴張
3308.TW    聯德         20.00      18.18      16.50             56.36%    🌑 雙重衰退
6584.TWO   南俊國際       556.00     51.39      162.30            56.05%    🚀 利潤擴張
6026.TWO   福邦證        14.45      5.67       38.25             55.60%    🧐 疑業外收益
2415.TW    錩新         28.80      6.97       61.95             55.37%    🚀 利潤擴張
4609.TWO   唐鋒         5.19       0.00       -11.25            55.01%    🚀 利潤擴張
4711.TWO   永純         15.40      53.10      4.35              54.50%    🧐 疑業外收益
4968.TW    立積         101.00     23.65      64.05             54.23%    🚀 利潤擴張
1313.TW    聯成         12.60      0.00       -33.60            52.61%    🧐 疑業外收益
2417.TW    圓剛         33.40      0.00       -31.80            51.86%    🚀 利潤擴張
1760.TW    寶齡富錦       62.20      12.52      74.55             51.44%    🚀 利潤擴張
5276.TWO   達輝-KY      15.25      5.19       44.10             50.92%    🚀 利潤擴張
2241.TW    艾姆勒        28.45      0.00       -28.35            50.63%    🚀 利潤擴張
3550.TW    聯穎         17.60      0.00       -40.50            48.51%    🚀 利潤擴張
3115.TWO   富榮綱        9.48       0.00       -21.30            45.28%    🚀 利潤擴張
2254.TW    巨鎧精密-創     70.40      0.00       -9.60             45.26%    🧐 疑業外收益
4541.TWO   晟田         40.55      10.99      55.35             45.05%    🚀 利潤擴張
3057.TW    喬鼎         15.20      0.00       -1.95             44.48%    🚀 利潤擴張
1460.TW    宏遠         7.08       0.00       -9.90             44.38%    🧐 疑業外收益
2630.TW    亞航         47.00      18.22      38.70             44.36%    🚀 利潤擴張
6144.TWO   得利影        16.70      0.00       -15.30            44.08%    🧐 疑業外收益
6139.TW    亞翔         524.00     8.99       874.65            43.99%    🚀 利潤擴張
6116.TW    彩晶         7.96       0.00       -30.60            43.78%    🚀 利潤擴張
6666.TW    羅麗芬-KY     39.85      5.25       113.85            43.55%    🧐 疑業外收益
3518.TW    柏騰         19.95      0.00       -64.95            42.96%    🧐 疑業外收益
5701.TWO   劍湖山        3.45       0.00       -13.20            42.67%    🚀 利潤擴張
6226.TW    光鼎         0.00       0.00       0.00              42.35%    🧐 疑業外收益
1457.TW    宜進         15.10      6.09       37.20             42.00%    🧐 疑業外收益
4560.TW    強信-KY      32.40      4.28       113.55            41.12%    🚀 利潤擴張
3049.TW    精金         11.45      0.00       -30.15            40.06%    🚀 利潤擴張
5519.TW    隆大         32.85      3.09       159.30            39.97%    🧐 疑業外收益
2010.TW    春源         24.75      4.28       86.70             39.88%    🚀 利潤擴張
4590.TW    富田-創       71.90      0.00       0.00              39.66%    🌑 雙重衰退
1904.TW    正隆         19.40      19.02      15.30             39.40%    🧐 疑業外收益
6104.TWO   創惟         85.70      5.24       245.55            39.27%    🚀 利潤擴張
3028.TW    增你強        48.60      6.52       111.75            39.15%    🚀 利潤擴張
2308.TW    台達電        1380.00    26.11      792.90            38.89%    🚀 利潤擴張
5243.TW    乙盛-KY      82.50      7.55       163.95            38.69%    🧐 疑業外收益
7717.TWO   萊德光電-KY    660.00     0.00       0.00              38.53%    🚀 利潤擴張
5278.TWO   尚凡*        24.73      9.26       40.05             38.44%    🚀 利潤擴張
6188.TWO   廣明         86.60      9.49       136.95            37.10%    🚀 利潤擴張
5340.TWO   建榮         96.90      37.13      39.15             36.90%    🚀 利潤擴張
3577.TWO   泓格         70.30      11.38      92.70             36.86%    🚀 利潤擴張
3631.TWO   晟楠         27.75      0.00       -31.20            36.43%    🌑 雙重衰退
3085.TWO   新零售        13.10      0.00       -22.35            36.09%    🚀 利潤擴張
4977.TW    眾達-KY      177.00     19.18      138.45            35.99%    🧐 疑業外收益
1303.TW    南亞         73.90      615.83     1.80              35.59%    🔄 轉虧為盈
5443.TWO   均豪         99.60      15.23      98.10             35.26%    🚀 利潤擴張
6186.TWO   新潤         38.25      1.66       346.50            35.00%    🚀 利潤擴張
6109.TWO   亞元         11.20      0.00       -47.10            34.57%    🚀 利潤擴張
4433.TWO   興采         20.40      0.00       -11.10            34.39%    🔄 轉虧為盈
3017.TW    奇鋐         1990.00    18.38      1624.20           34.25%    🚀 利潤擴張
2613.TW    中櫃         23.15      8.54       40.65             33.41%    🚀 利潤擴張
3232.TWO   昱捷         22.75      29.55      11.55             33.06%    🌑 雙重衰退
4538.TWO   大詠城        19.00      26.03      10.95             32.18%    🚀 利潤擴張
3176.TWO   基亞         31.60      65.83      7.20              31.66%    🚀 利潤擴張
6435.TWO   大中         145.00     6.74       322.80            31.64%    🚀 利潤擴張
2305.TW    全友         15.85      79.25      3.00              31.63%    🚀 利潤擴張
6405.TW    悅城         30.75      0.00       -54.00            31.40%    🌑 雙重衰退
3521.TWO   台鋼建設       13.00      0.00       -7.20             30.78%    🚀 利潤擴張
6426.TW    統新         136.00     0.00       -63.00            30.47%    🚀 利潤擴張
6588.TWO   東典光電       120.50     0.00       -94.20            29.60%    🚀 利潤擴張
5475.TWO   德宏         204.50     0.00       -12.45            29.42%    🚀 利潤擴張
1419.TW    新紡         60.70      6.58       138.45            29.07%    🚀 利潤擴張
4137.TW    麗豐-KY      104.50     6.37       246.15            29.06%    🧐 疑業外收益
6910.TWO   德鴻         28.30      0.00       0.00              28.83%    🚀 利潤擴張
3011.TW    今皓         11.95      0.00       -80.85            28.62%    🌑 雙重衰退
2072.TW    世紀風電       0.00       0.00       0.00              28.59%    🚀 利潤擴張
2072.TWO   未知         178.10     0.00       0.00              28.59%    🚀 利潤擴張
6592.TW    和潤企業       61.90      6.03       154.05            28.56%    🧐 疑業外收益
1409.TW    新纖         15.45      5.97       38.85             27.98%    🧐 疑業外收益
3094.TW    聯傑         22.20      46.25      7.20              27.98%    🚀 利潤擴張
6535.TWO   順藥         143.00     0.00       -88.65            27.93%    🧐 疑業外收益
3264.TWO   欣銓         155.50     11.17      208.80            27.89%    🚀 利潤擴張
