股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
7734.TWO,印能科技,🔥 訊號出現,2150.0,67.81,🟢 黃金標的,50.00%,66.67%,11.28%,-3.99%,2064.12,12,0.6667,0.1128
6838.TW,台新藥,🔥 訊號出現,28.0,63.81,🟢 黃金標的,33.33%,66.67%,6.43%,-1.08%,27.7,3,0.6667,0.0643
6830.TW,汎銓,🔥 訊號出現,467.5,61.24,🟢 黃金標的,37.50%,62.50%,11.73%,-5.04%,443.92,8,0.625,0.1173
4741.TWO,泓瀚,🔥 訊號出現,37.4000015259,86.31,⚪ 一般監控,75.00%,50.00%,1.99%,-4.58%,35.69,8,0.5,0.0199
00719B.TWO,元大美債1-3,🔥 訊號出現,31.6000003815,66.34,⚪ 一般監控,0.00%,50.00%,0.45%,-0.03%,31.59,2,0.5,0.0045
00864B.TWO,中信美國公債0-1,🔥 訊號出現,46.9700012207,69.57,⚪ 一般監控,0.00%,50.00%,0.60%,-0.56%,46.71,2,0.5,0.006
4906.TW,正文,🔥 訊號出現,36.0499992371,68.97,⚪ 一般監控,20.00%,40.00%,1.87%,-11.13%,32.04,5,0.4,0.0187
6024.TW,群益期,🔥 訊號出現,56.0,58.18,⚪ 一般監控,66.67%,33.33%,0.72%,-1.25%,55.3,3,0.3333,0.0072
4442.TWO,竣邦-KY,🔥 訊號出現,62.4000015259,55.64,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,62.4,2,0.0,
6865.TWO,偉康科技,🔥 訊號出現,41.2000007629,84.08,⚪ 一般監控,66.67%,0.00%,nan%,0.00%,41.2,3,0.0,
1909.TW,榮成,🔥 訊號出現,10.75,84.02,⚪ 一般監控,75.00%,0.00%,nan%,-0.91%,10.65,4,0.0,
01004T.TW,土銀富邦R2,🔥 訊號出現,11.1099996567,53.66,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,11.11,1,0.0,
4419.TWO,皇家美食,🔥 訊號出現,55.0,96.3,⚪ 一般監控,75.00%,0.00%,nan%,-1.01%,54.44,4,0.0,
1452.TW,宏益,🔥 訊號出現,11.6000003815,70.0,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,11.6,1,0.0,
3552.TWO,同致,🔥 訊號出現,57.7000007629,73.37,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,57.7,2,0.0,
1906.TW,寶隆,🔥 訊號出現,13.8999996185,79.07,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,13.9,2,0.0,
8935.TWO,邦泰,🔥 訊號出現,20.1000003815,66.18,🔴 空頭陷阱,33.33%,33.33%,-2.15%,-2.22%,19.65,3,0.3333,-0.0215
6257.TW,矽格,🔥 訊號出現,149.5,69.57,🔴 空頭陷阱,33.33%,33.33%,-2.36%,-9.81%,134.83,3,0.3333,-0.0236
6658.TW,聯策,🔥 訊號出現,71.6999969482,69.72,🔴 空頭陷阱,25.00%,25.00%,-1.88%,-3.34%,69.31,4,0.25,-0.0188
9960.TWO,邁達康,🔥 訊號出現,24.5,85.71,🔴 空頭陷阱,25.00%,25.00%,-0.12%,-1.85%,24.05,4,0.25,-0.0012
1324.TW,地球,🔥 訊號出現,11.9499998093,81.25,🔴 空頭陷阱,25.00%,0.00%,-3.03%,-2.65%,11.63,4,0.0,-0.0303
4737.TW,華廣,🔥 訊號出現,67.8000030518,73.76,🔴 空頭陷阱,0.00%,0.00%,-2.11%,-4.21%,64.94,2,0.0,-0.0211
3206.TWO,志豐,🔥 訊號出現,39.9000015259,62.64,🔴 空頭陷阱,40.00%,0.00%,-6.34%,-5.88%,37.56,5,0.0,-0.0634
2438.TW,翔耀,🔥 訊號出現,23.6499996185,65.41,🔴 空頭陷阱,25.00%,0.00%,-4.21%,-9.02%,21.52,4,0.0,-0.0421
3205.TWO,佰研,🔥 訊號出現,62.5,86.58,🔴 空頭陷阱,33.33%,0.00%,-8.14%,-9.39%,56.63,3,0.0,-0.0814
6616.TWO,特昇-KY,🔥 訊號出現,10.4499998093,51.68,🔴 空頭陷阱,0.00%,0.00%,-3.92%,-3.71%,10.06,4,0.0,-0.0392
1905.TW,華紙,🔥 訊號出現,18.5499992371,90.74,🔴 空頭陷阱,60.00%,0.00%,-1.40%,-1.03%,18.36,5,0.0,-0.014
2467.TW,志聖,🔥 訊號出現,405.0,61.42,🔴 空頭陷阱,20.00%,0.00%,-5.79%,-6.76%,377.64,5,0.0,-0.0579
1789.TW,神隆,無,20.7000007629,42.98,🟢 黃金標的,100.00%,100.00%,15.78%,-1.98%,0.0,2,1.0,0.1578
3044.TW,健鼎,無,338.5,42.4,🟢 黃金標的,100.00%,100.00%,4.78%,-0.29%,0.0,2,1.0,0.0478
6446.TW,藥華藥,無,600.0,30.11,🟢 黃金標的,50.00%,100.00%,9.52%,-1.87%,0.0,4,1.0,0.0952
1717.TW,長興,無,57.5999984741,35.78,🟢 黃金標的,80.00%,100.00%,16.85%,-3.23%,0.0,5,1.0,0.1685
6129.TWO,普誠,無,14.3999996185,45.58,🟢 黃金標的,100.00%,100.00%,3.03%,0.61%,0.0,1,1.0,0.0303
3054.TW,立萬利,無,67.5999984741,55.8,🟢 黃金標的,100.00%,100.00%,60.48%,9.93%,0.0,1,1.0,0.6048
4905.TWO,台聯電,無,79.9000015259,64.63,🟢 黃金標的,50.00%,100.00%,16.18%,4.66%,0.0,2,1.0,0.1618
8042.TWO,金山電,無,53.9000015259,49.32,🟢 黃金標的,50.00%,100.00%,4.33%,-5.26%,0.0,2,1.0,0.0433
00947.TW,台新臺灣IC設計,無,21.9699993134,39.78,🟢 黃金標的,66.67%,100.00%,3.09%,-2.42%,0.0,3,1.0,0.0309
2243.TW,宏旭-KY,無,21.7999992371,79.62,🟢 黃金標的,100.00%,100.00%,10.79%,8.16%,0.0,1,1.0,0.1079
3324.TWO,雙鴻,無,879.0,30.49,🟢 黃金標的,33.33%,100.00%,5.64%,-7.26%,0.0,3,1.0,0.0564
3521.TWO,台鋼建設,無,13.0,35.8,🟢 黃金標的,0.00%,100.00%,4.02%,-5.88%,0.0,1,1.0,0.0402
3023.TW,信邦,無,251.0,57.36,🟢 黃金標的,0.00%,100.00%,5.94%,-3.45%,0.0,2,1.0,0.0594
3226.TWO,龍鋒,無,44.4500007629,29.97,🟢 黃金標的,100.00%,100.00%,10.45%,-1.40%,0.0,6,1.0,0.1045
2755.TWO,揚秦,無,140.0,38.18,🟢 黃金標的,50.00%,100.00%,8.38%,-0.26%,0.0,4,1.0,0.0838
6515.TW,穎崴,無,7150.0,64.53,🟢 黃金標的,33.33%,100.00%,4.52%,-6.17%,0.0,3,1.0,0.0452
00941.TW,中信上游半導體,無,21.1499996185,42.82,🟢 黃金標的,100.00%,100.00%,4.69%,0.78%,0.0,1,1.0,0.0469
3149.TW,正達,無,43.5499992371,35.67,🟢 黃金標的,100.00%,100.00%,7.31%,-0.91%,0.0,3,1.0,0.0731
6588.TWO,東典光電,無,120.5,71.72,🟢 黃金標的,66.67%,100.00%,10.28%,-4.82%,0.0,3,1.0,0.1028
6155.TW,鈞寶,無,44.0,47.79,🟢 黃金標的,0.00%,100.00%,3.46%,-9.39%,0.0,1,1.0,0.0346
00965.TW,元大航太防衛科技,無,23.3700008392,16.4,🟢 黃金標的,100.00%,100.00%,5.15%,-0.36%,0.0,1,1.0,0.0515
2073.TWO,雄順,無,27.1000003815,46.43,🟢 黃金標的,0.00%,100.00%,3.77%,0.00%,0.0,1,1.0,0.0377
6548.TWO,長科*,無,46.7000007629,47.53,🟢 黃金標的,0.00%,100.00%,4.76%,-6.53%,0.0,2,1.0,0.0476
7740.TW,熙特爾-創,無,179.0,31.15,🟢 黃金標的,50.00%,100.00%,4.56%,-5.56%,0.0,2,1.0,0.0456
6282.TW,康舒,無,45.5999984741,47.14,🟢 黃金標的,66.67%,100.00%,13.84%,-1.16%,0.0,6,1.0,0.1384
3556.TWO,禾瑞亞,無,42.2999992371,50.38,🟢 黃金標的,0.00%,100.00%,7.27%,-2.26%,0.0,1,1.0,0.0727
6148.TWO,驊宏資,無,34.4500007629,51.66,🟢 黃金標的,0.00%,100.00%,6.05%,-6.85%,0.0,1,1.0,0.0605
6683.TWO,雍智科技,無,1370.0,62.83,🟢 黃金標的,60.00%,100.00%,32.08%,-0.67%,0.0,5,1.0,0.3208
5516.TWO,雙喜,無,12.5,2.17,🟢 黃金標的,100.00%,100.00%,5.25%,1.64%,0.0,1,1.0,0.0525
3526.TWO,凡甲,無,270.0,31.46,🟢 黃金標的,66.67%,100.00%,8.61%,-3.14%,0.0,3,1.0,0.0861
5225.TW,東科-KY,無,78.5,19.24,🟢 黃金標的,100.00%,100.00%,6.97%,0.00%,0.0,1,1.0,0.0697
3131.TWO,弘塑,無,2750.0,84.65,🟢 黃金標的,50.00%,100.00%,10.09%,-2.42%,0.0,6,1.0,0.1009
2426.TW,鼎元,無,31.7000007629,56.25,🟢 黃金標的,100.00%,100.00%,36.47%,-1.05%,0.0,5,1.0,0.3647
5386.TWO,青雲,無,262.5,43.2,🟢 黃金標的,85.71%,100.00%,35.74%,-1.85%,0.0,7,1.0,0.3574
2340.TW,台亞,無,24.2000007629,42.71,🟢 黃金標的,100.00%,100.00%,3.28%,0.00%,0.0,1,1.0,0.0328
5347.TWO,世界,無,116.0,51.85,🟢 黃金標的,50.00%,100.00%,15.73%,-2.33%,0.0,6,1.0,0.1573
6542.TWO,隆中,無,55.7999992371,66.48,🟢 黃金標的,100.00%,100.00%,5.29%,0.56%,0.0,2,1.0,0.0529
4768.TWO,晶呈科技,無,435.5,49.25,🟢 黃金標的,0.00%,100.00%,3.14%,-6.29%,0.0,1,1.0,0.0314
00640L.TW,富邦日本正2,無,82.3000030518,38.58,🟢 黃金標的,100.00%,100.00%,7.52%,5.23%,0.0,1,1.0,0.0752
1471.TW,首利,無,12.0,49.03,🟢 黃金標的,100.00%,100.00%,8.91%,8.33%,0.0,2,1.0,0.0891
00910.TW,第一金太空衛星,無,54.5,45.43,🟢 黃金標的,100.00%,100.00%,7.38%,1.67%,0.0,2,1.0,0.0738
2610.TW,華航,無,17.8999996185,32.81,🟢 黃金標的,83.33%,100.00%,3.43%,-0.79%,0.0,6,1.0,0.0343
2379.TW,瑞昱,無,478.0,52.63,🟢 黃金標的,0.00%,100.00%,3.13%,-2.19%,0.0,1,1.0,0.0313
3702.TW,大聯大,無,88.0,71.35,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,0.0,6,1.0,0.0364
2468.TW,華經,無,33.5499992371,44.33,🟢 黃金標的,0.00%,100.00%,3.94%,-6.11%,0.0,1,1.0,0.0394
6949.TW,沛爾生醫-創,無,561.0,40.21,🟢 黃金標的,100.00%,100.00%,23.86%,0.98%,0.0,5,1.0,0.2386
6547.TWO,高端疫苗,無,57.2999992371,78.25,🟢 黃金標的,100.00%,100.00%,7.34%,-6.61%,0.0,1,1.0,0.0734
6220.TWO,岳豐,無,31.6499996185,16.33,🟢 黃金標的,60.00%,100.00%,5.70%,-1.89%,0.0,10,1.0,0.057
6669.TW,緯穎,無,3300.0,12.92,🟢 黃金標的,0.00%,100.00%,3.94%,-2.71%,0.0,1,1.0,0.0394
6655.TW,科定,無,126.5,30.0,🟢 黃金標的,100.00%,100.00%,3.50%,-0.39%,0.0,1,1.0,0.035
2432.TW,倚天酷��-創,無,26.6000003815,38.46,🟢 黃金標的,50.00%,100.00%,3.02%,-0.99%,0.0,2,1.0,0.0302
1439.TW,雋揚,無,26.6000003815,41.05,🟢 黃金標的,100.00%,100.00%,4.45%,0.43%,0.0,2,1.0,0.0445
2740.TWO,天蔥,無,37.5,31.84,🟢 黃金標的,80.00%,100.00%,19.73%,-3.95%,0.0,5,1.0,0.1973
2363.TW,矽統,無,46.2999992371,28.86,🟢 黃金標的,0.00%,100.00%,4.03%,-4.61%,0.0,2,1.0,0.0403
6510.TWO,精測,無,3080.0,32.09,🟢 黃金標的,50.00%,100.00%,6.27%,-4.35%,0.0,2,1.0,0.0627
3296.TW,勝德,無,21.8500003815,34.62,🟢 黃金標的,0.00%,100.00%,3.67%,-0.41%,0.0,1,1.0,0.0367
3230.TWO,錦明,無,39.5,52.76,🟢 黃金標的,100.00%,100.00%,8.09%,-3.80%,0.0,1,1.0,0.0809
6944.TW,兆聯實業,無,759.0,52.94,🟢 黃金標的,50.00%,100.00%,6.26%,-0.94%,0.0,2,1.0,0.0626
3491.TWO,昇達科,無,1425.0,57.02,🟢 黃金標的,75.00%,100.00%,9.52%,-1.02%,0.0,4,1.0,0.0952
6584.TWO,南俊國際,無,556.0,78.79,🟢 黃金標的,66.67%,100.00%,15.67%,-1.78%,0.0,3,1.0,0.1567
2368.TW,金像電,無,860.0,45.05,🟢 黃金標的,50.00%,100.00%,10.51%,-3.63%,0.0,2,1.0,0.1051
1519.TW,華城,無,787.0,23.64,🟢 黃金標的,50.00%,100.00%,10.76%,-1.14%,0.0,2,1.0,0.1076
3711.TW,日月光投控,無,328.5,43.41,🟢 黃金標的,100.00%,100.00%,18.96%,4.43%,0.0,1,1.0,0.1896
