Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
2317,未知,2026-03-31,看跌 FVG,194.0,184.3,213.4,即時分析,🔴 建議賣出,0,34.34,-,1
3702,未知,2026-03-31,看跌 FVG,90.4,85.88,99.44,即時分析,🔴 建議賣出,0,76.99,-,1
2485,未知,2026-03-31,-,79.5,75.52,87.45,即時分析,🔴 建議賣出,0,78.45,-,1
2367,未知,2026-03-31,-,76.5,72.67,84.15,即時分析,🟢 續抱/買進,0,68.41,-,1
4142,未知,2026-03-31,-,18.5,17.57,20.35,即時分析,🟢 續抱/買進,0,61.22,-,1
0050,未知,2026-03-31,看跌 FVG,73.9,70.2,81.29,即時分析,🔴 建議賣出,0,45.83,-,1
0056,未知,2026-03-31,看跌 FVG,37.85,35.96,41.64,即時分析,🔴 建議賣出,0,49.67,-,1
00635U,未知,2026-03-31,看漲 FVG,47.71,45.32,52.48,即時分析,🎯 看漲 FVG 訊號,0,25.35,-,1
00738U,未知,2026-03-31,看漲 FVG,57.4,54.53,63.14,即時分析,🔴 建議賣出,0,26.65,-,1
00929,未知,2026-03-31,看跌 FVG,19.07,18.12,20.98,即時分析,🔴 建議賣出,0,50.94,-,1
009816,未知,2026-03-31,看跌 FVG,10.46,9.94,11.51,即時分析,🔴 建議賣出,0,48.56,-,1
00990A,未知,2026-03-31,看跌 FVG,11.81,11.22,12.99,即時分析,🔴 建議賣出,0,50.89,-,1
2009,未知,2026-03-31,-,40.15,38.14,44.16,即時分析,🔴 建議賣出,0,36.0,-,1
2337,未知,2026-03-31,-,117.0,111.15,128.7,即時分析,🔴 建議賣出,0,65.58,-,1
2352,未知,2026-03-31,看跌 FVG,23.1,21.95,25.41,即時分析,🔴 建議賣出,0,51.19,-,1
2409,未知,2026-03-31,-,14.3,13.59,15.73,即時分析,🔴 建議賣出,0,38.71,-,1
3481,未知,2026-03-31,-,24.75,23.51,27.23,即時分析,🔴 建議賣出,0,41.5,-,1
6136,未知,2026-03-31,看漲 FVG,24.4,23.18,26.84,即時分析,🎯 看漲 FVG 訊號,0,60.38,-,1
6806,未知,2026-03-31,看跌 FVG,38.4,36.48,42.24,即時分析,🔴 建議賣出,0,42.86,-,1
3105,未知,2026-03-31,-,390.5,370.97,429.55,即時分析,🟢 續抱/買進,0,74.74,-,1
4966,未知,2026-03-31,-,485.0,460.75,533.5,即時分析,🔴 建議賣出,0,32.57,-,1
6188,未知,2026-03-31,看跌 FVG,87.5,83.12,96.25,即時分析,🔴 建議賣出,0,44.35,-,1
7792,未知,2026-03-31,-,315.0,299.25,346.5,即時分析,🟢 續抱/買進,0,42.58,-,1
2327,未知,2026-03-31,-,258.0,245.1,283.8,即時分析,🔴 建議賣出,0,49.76,-,1
