Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
0056.TW,元大高股息,2026-03-31,看跌 FVG,37.66,38.26,35.78,⏳ 待回測,⚡結構突破,1,49.67,-,2
00990A.TW,主動元大AI新經濟,2026-03-31,看跌 FVG,11.61,11.88,11.03,⏳ 待回測,⚡結構突破,0,50.89,-,2
2009.TW,第一銅,2026-03-24,看跌 FVG,41.3,41.71,39.23,⚠️ 壓力確認,🔴 放空,0,42.97,2026-03-26,2
2352.TW,佳世達,2026-03-31,看跌 FVG,23.25,23.47,22.09,⏳ 待回測,⚡結構突破,0,51.19,-,2
2409.TW,友達,2026-03-30,看跌 FVG,14.3,14.82,13.59,⚠️ 壓力確認,🔴 放空,0,38.71,2026-03-31,2
6136.TW,富爾特,2026-03-31,看漲 FVG,24.15,23.93,25.36,⏳ 待回測,⚡結構突破,0,60.38,-,2
6188.TWO,廣明,2026-03-31,看跌 FVG,89.5,90.55,85.02,⏳ 待回測,⚡結構突破,1,44.35,-,2
0050.TW,元大台灣50,2026-03-31,看跌 FVG,73.45,74.47,69.78,⏳ 待回測,監控中,0,45.83,-,3
00635U.TW,期元大S&P黃金,2026-03-31,看漲 FVG,47.95,46.8,50.35,⏳ 待回測,監控中,0,25.35,-,3
00738U.TW,期元大道瓊白銀,2026-03-31,看漲 FVG,57.6,56.71,60.48,⏳ 待回測,監控中,0,26.65,-,3
00929.TW,復華台灣科技優息,2026-03-31,看跌 FVG,19.0,19.21,18.05,⏳ 待回測,監控中,0,50.94,-,3
009816.TW,凱基台灣TOP50,2026-03-31,看跌 FVG,10.41,10.56,9.89,⏳ 待回測,監控中,0,48.56,-,3
2317.TW,鴻海,2026-03-31,看跌 FVG,192.5,197.48,182.88,⏳ 待回測,監控中,0,34.34,-,3
2327.TW,國巨*,2026-03-30,看跌 FVG,258.0,260.29,245.1,⚠️ 壓力確認,🔴 放空,0,49.76,2026-03-31,3
2337.TW,旺宏,2026-03-27,看跌 FVG,125.0,134.67,118.75,⚠️ 壓力確認,🔴 放空,0,63.82,2026-03-30,3
2367.TW,燿華,2026-03-17,看漲 FVG,75.6,73.43,79.38,❌ 已失效,實體破中線,0,68.57,2026-03-18,3
2485.TW,兆赫,2026-03-23,看跌 FVG,78.5,79.09,74.58,❌ 已失效,實體過中線,0,70.7,2026-03-24,3
3105.TWO,穩懋,2026-03-26,看漲 FVG,348.5,332.83,365.93,✅ 已站穩,🟢 買進,0,62.5,2026-03-27,3
3481.TW,群創,2026-03-30,看跌 FVG,24.6,25.12,23.37,⚠️ 壓力確認,🔴 放空,0,41.5,2026-03-31,3
3702.TW,大聯大,2026-03-31,看跌 FVG,90.4,91.05,85.88,⏳ 待回測,監控中,0,76.99,-,3
4142.TW,國光生,2026-03-18,看漲 FVG,18.0,17.41,18.9,✅ 已站穩,🟢 買進,1,52.5,2026-03-19,3
4966.TWO,譜瑞-KY,2026-03-11,看漲 FVG,525.0,497.5,551.25,❌ 已失效,實體破中線,0,54.6,2026-03-12,3
6806.TW,森崴能源,2026-03-31,看跌 FVG,38.3,38.59,36.38,⏳ 待回測,監控中,0,42.86,-,3
7792.TWO,安葆,2026-03-16,看跌 FVG,329.5,336.67,313.02,⏳ 待回測,監控中,0,45.3,-,3
