股號,名稱,結構,最新價,均損益%,隔日勝率%,5日勝率%,建議,原因
2317,鴻海,📉 趨勢轉弱,187.5,-6.68,37.5,0.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
3702,大聯大,📈 月線上揚,88.0,33.73,64.7,82.4,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
2485,兆赫,🚀 多頭強勢,79.6,7.35,61.1,61.1,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2367,燿華,📈 月線上揚,73.5,36.03,57.7,80.8,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
4142,國光生,🚀 多頭強勢,18.35,0.99,42.9,28.6,⏳ 觀望,⏳ 觀望中 (缺: 5日線未勾頭)
0050,元大台灣50,⏳ 均線糾結,72.35,3.2,61.1,61.1,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
0056,元大高股息,⏳ 均線糾結,37.13,0.71,71.4,66.7,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
00635U,期元大S&P黃金,📉 趨勢轉弱,48.24,3.68,66.7,58.3,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
00738U,期元大道瓊白銀,📉 趨勢轉弱,58.95,8.72,61.5,53.8,⚠️ 賣出,📢 趨勢轉向：跌破月線
00929,復華台灣科技優息,⏳ 均線糾結,18.61,5.46,61.1,72.2,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
009816,凱基台灣TOP50,⏳ 均線糾結,10.22,0.0,0.0,0.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
00990A,主動元大AI新經濟,⏳ 均線糾結,11.3,0.34,42.9,57.1,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2009,第一銅,📉 趨勢轉弱,39.7,-6.48,33.3,33.3,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2337,旺宏,📉 趨勢轉弱,115.5,24.12,64.3,71.4,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2352,佳世達,⏳ 均線糾結,22.75,1.18,25.0,25.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2409,友達,📉 趨勢轉弱,14.5,2.51,50.0,42.9,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
3481,群創,📉 趨勢轉弱,23.85,12.9,35.7,57.1,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
6136,富爾特,🚀 多頭強勢,24.25,0.0,0.0,0.0,⏳ 觀望,"⏳ 觀望中 (缺: 5日線未勾頭, 量能不足)"
6806,森崴能源,📉 趨勢轉弱,37.35,25.28,55.6,66.7,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
3105,穩懋,🚀 多頭強勢,351.5,11.43,64.7,58.8,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
4966,譜瑞-KY,📉 趨勢轉弱,476.0,-6.81,0.0,0.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
6188,廣明,⏳ 均線糾結,86.6,0.9,40.0,40.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
7792,安葆,📉 趨勢轉弱,300.0,55.84,65.0,65.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2327,國巨*,⏳ 均線糾結,243.5,1.94,53.8,69.2,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
