股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
3702.TW,大聯大,無,88.0,71.35,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,0,6,1.0,0.0364
7792.TWO,安葆,無,300.0,32.74,🟢 黃金標的,42.86%,85.71%,10.15%,-6.81%,0,7,0.8571,0.1015
3105.TWO,穩懋,無,351.5,60.44,🟢 黃金標的,57.14%,71.43%,4.12%,-6.45%,0,7,0.7143,0.0412
2367.TW,燿華,無,73.5,56.46,🟢 黃金標的,33.33%,66.67%,7.57%,-3.80%,0,6,0.6667,0.0757
2337.TW,旺宏,無,115.5,56.41,🟢 黃金標的,80.00%,60.00%,9.66%,-2.16%,0,5,0.6,0.0966
4142.TW,國光生,無,18.3500003815,62.5,🔵 穩健標的,0.00%,100.00%,0.82%,-1.36%,0,1,1.0,0.0082
0056.TW,元大高股息,無,37.1300010681,33.48,🔵 穩健標的,80.00%,60.00%,0.48%,-0.26%,0,5,0.6,0.0048
00929.TW,復華台灣科技優息,無,18.6100006104,34.61,🔵 穩健標的,60.00%,60.00%,0.99%,-1.75%,0,5,0.6,0.0099
3481.TW,群創,無,23.8500003815,28.99,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,0,4,0.75,0.0189
2409.TW,友達,無,14.5,30.28,⚪ 一般監控,60.00%,40.00%,1.45%,-5.01%,0,5,0.4,0.0145
2327.TW,國巨*,無,243.5,40.71,⚪ 一般監控,33.33%,33.33%,2.63%,-2.70%,0,3,0.3333,0.0263
00990A.TW,主動元大AI新經濟,無,11.3000001907,37.82,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
2009.TW,第一銅,無,39.7000007629,25.14,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
6136.TW,富爾特,無,24.25,60.38,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
6806.TW,森崴能源,無,37.3499984741,31.3,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
4966.TWO,譜瑞-KY,無,476.0,23.61,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
0050.TW,元大台灣50,無,72.3499984741,29.33,🔴 空頭陷阱,66.67%,66.67%,-0.97%,-1.98%,0,3,0.6667,-0.0097
00635U.TW,期元大S&P黃金,無,48.2400016785,26.76,🔴 空頭陷阱,25.00%,25.00%,-4.68%,-8.88%,0,4,0.25,-0.0468
2485.TW,兆赫,無,79.5999984741,76.13,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,0,6,0.1667,-0.0496
2317.TW,鴻海,無,187.5,16.13,🔴 空頭陷阱,0.00%,0.00%,-5.40%,-6.16%,0,2,0.0,-0.054
00738U.TW,期元大道瓊白銀,無,58.9500007629,30.5,🔴 空頭陷阱,100.00%,0.00%,-26.09%,-0.56%,0,2,0.0,-0.2609
2352.TW,佳世達,無,22.75,36.0,🔴 空頭陷阱,0.00%,0.00%,-10.64%,-9.57%,0,1,0.0,-0.1064
6188.TWO,廣明,無,86.5999984741,36.41,🔴 空頭陷阱,50.00%,0.00%,-5.11%,-4.47%,0,2,0.0,-0.0511
