📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2317.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -14.60%
3702.TW    | 次數: 1    | 勝率: 100.00% | 累計:   33.73%
2485.TW    | 次數: 2    | 勝率: 100.00% | 累計:   53.83%
2367.TW    | 次數: 3    | 勝率:  33.33% | 累計:   48.84%
4142.TW    | 次數: 1    | 勝率: 100.00% | 累計:    0.54%
0050.TW    | 次數: 2    | 勝率:  50.00% | 累計:    2.96%
0056.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -1.82%
00635U.TW  | 次數: 1    | 勝率:   0.00% | 累計:   -0.49%
00738U.TW  | 次數: 1    | 勝率:   0.00% | 累計:  -23.83%
00929.TW   | 次數: 1    | 勝率: 100.00% | 累計:    2.61%
2337.TW    | 次數: 1    | 勝率: 100.00% | 累計:   86.36%
2352.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -11.99%
2409.TW    | 次數: 2    | 勝率:  50.00% | 累計:   13.71%
3481.TW    | 次數: 2    | 勝率:  50.00% | 累計:   22.82%
3105.TWO   | 次數: 3    | 勝率:  33.33% | 累計:   19.95%
6188.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.29%
7792.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   55.84%
2327.TW    | 次數: 1    | 勝率: 100.00% | 累計:    6.72%
