Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
1303,未知,2026-03-31,看漲 FVG,76.0,72.2,83.6,即時分析,🔴 建議賣出,0,53.54,-,1
1326,未知,2026-03-31,-,48.65,46.22,53.52,即時分析,🟢 續抱/買進,0,61.28,-,1
3062,未知,2026-03-31,看漲 FVG,30.7,29.16,33.77,即時分析,🎯 看漲 FVG 訊號,0,79.1,-,1
00715L,未知,2026-03-31,看漲 FVG,62.6,59.47,68.86,即時分析,🎯 看漲 FVG 訊號,0,62.36,-,1
00642U,未知,2026-03-31,看漲 FVG,27.5,26.12,30.25,即時分析,🎯 看漲 FVG 訊號,0,62.71,-,1
1310,未知,2026-03-31,-,11.95,11.35,13.14,即時分析,🟢 續抱/買進,0,58.42,-,1
1313,未知,2026-03-31,-,13.45,12.78,14.79,即時分析,🟢 續抱/買進,0,64.29,-,1
1304,未知,2026-03-31,看漲 FVG,17.8,16.91,19.58,即時分析,🎯 看漲 FVG 訊號,0,74.16,-,1
1305,未知,2026-03-31,-,18.4,17.48,20.24,即時分析,🟢 續抱/買進,0,73.03,-,1
1308,未知,2026-03-31,-,19.4,18.43,21.34,即時分析,🟢 續抱/買進,0,70.82,-,1
1905,未知,2026-03-31,看漲 FVG,18.55,17.62,20.41,即時分析,🎯 看漲 FVG 訊號,0,88.64,-,1
6588,未知,2026-03-31,看漲 FVG,129.5,123.02,142.45,即時分析,🎯 看漲 FVG 訊號,0,80.96,-,1
8027,未知,2026-03-31,-,144.0,136.8,158.4,即時分析,🟢 續抱/買進,0,85.13,-,1
4971,未知,2026-03-31,-,635.0,603.25,698.5,即時分析,🟢 續抱/買進,0,72.6,-,1
5314,未知,2026-03-31,看漲 FVG,81.5,77.42,89.65,即時分析,🎯 看漲 FVG 訊號,0,59.65,-,1
5243,未知,2026-03-31,看漲 FVG,82.3,78.18,90.53,即時分析,🎯 看漲 FVG 訊號,0,68.67,-,1
