                    股號           名稱       現價  指標(DMA)  累計損益(%)  交易次數    目前狀態 短 中 長                                               專業建議
                  6831           邁科   404.00    54.84       0%     0   ⚪ 觀望中 ▲ ▲ ▲                    ⚪ 觀望為宜：不符合進場模型，保持耐心等待指標翻正與紅K出現。
                00696B      富邦美債20年    29.83    -0.14    2.52%    64  🚫 建議賣出 ▲ ▼ ▲     🚨 價格防衛：收盤價 30.02 跌破移動支撐位 30.09。 優先鎖利落袋，等待下次訊號。
                  6153          嘉聯益    16.20     0.04  -28.95%    82  🚫 建議賣出 ▼ ▲ ▲      🚨 價格防衛：收盤價 17.05 跌破移動支撐位 17.1。 優先鎖利落袋，等待下次訊號。
                  8261           富鼎    99.30    -3.84    58.0%    72  🚫 建議賣出 ▼ ▼ ▲     🚨 價格防衛：收盤價 107.5 跌破移動支撐位 111.5。 優先鎖利落袋，等待下次訊號。
                  6205           詮欣    53.60    -1.14   42.18%    64  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 58.9 跌破移動支撐位 59.2。 優先鎖利落袋，等待下次訊號。
                  1789           神隆    21.70    -0.12   -22.3%    64  🚫 建議賣出 ▲ ▼ ▼       🚨 價格防衛：收盤價 17.3 跌破移動支撐位 17.7。 優先鎖利落袋，等待下次訊號。
                  3171         炎洲流通    67.20     6.56   -8.24%    58  🚫 建議賣出 ▲ ▲ ▲       🚨 價格防衛：收盤價 47.6 跌破移動支撐位 47.9。 優先鎖利落袋，等待下次訊號。
                  4721          美琪瑪    72.00     2.86    2.19%    60  🚫 建議賣出 ▼ ▲ ▲       🚨 價格防衛：收盤價 72.4 跌破移動支撐位 73.7。 優先鎖利落袋，等待下次訊號。
                911608        明輝-DR     2.96    -0.02  322.07%    46  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 2.96 跌破移動支撐位 2.98。 優先鎖利落袋，等待下次訊號。
                  3044           健鼎   355.00    -8.72   37.26%    86  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 374.5 跌破移動支撐位 386.0。 優先鎖利落袋，等待下次訊號。
                  3011           今皓    12.45    -0.13    7.74%    62  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 14.55 跌破移動支撐位 14.65。 優先鎖利落袋，等待下次訊號。
                 00876       元大全球5G    61.75    -0.50   26.79%    47  🚩 建議買入 ▼ ▼ ▲                🔥 突破確認：成功站穩壓力位，指標呈 🌀 趨勢分歧震盪，具備攻擊動能。
