股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
2419.TW,仲琦,🔥 訊號出現,35.1500015259,65.47,🟡 妖股/高波動,50.00%,37.50%,6.01%,-4.20%,33.67,8,0.375,0.0601
2484.TW,希華,🔥 訊號出現,31.25,63.47,🟡 妖股/高波動,50.00%,33.33%,3.42%,-3.33%,30.21,6,0.3333,0.0342
4906.TW,正文,🔥 訊號出現,39.6500015259,73.71,⚪ 一般監控,33.33%,33.33%,1.87%,-10.27%,35.58,6,0.3333,0.0187
5243.TW,乙盛-KY,🔥 訊號出現,88.9000015259,77.05,⚪ 一般監控,66.67%,0.00%,nan%,-2.27%,86.88,3,0.0,
3221.TWO,台嘉碩,🔥 訊號出現,38.7999992371,66.95,🔴 空頭陷阱,33.33%,22.22%,-5.06%,-8.04%,35.68,9,0.2222,-0.0506
3711.TW,日月光投控,無,361.0,58.61,🟢 黃金標的,100.00%,100.00%,18.96%,4.43%,0.0,1,1.0,0.1896
8046.TW,南電,無,574.0,62.17,🟢 黃金標的,70.00%,60.00%,9.35%,-3.80%,0.0,10,0.6,0.0935
2337.TW,旺宏,無,127.0,60.45,🟢 黃金標的,80.00%,60.00%,9.66%,-2.16%,0.0,5,0.6,0.0966
3714.TW,富采,無,49.2999992371,62.75,🟢 黃金標的,20.00%,60.00%,5.66%,-4.47%,0.0,5,0.6,0.0566
1582.TW,信錦,無,108.0,64.31,🟢 黃金標的,80.00%,60.00%,8.03%,-3.66%,0.0,5,0.6,0.0803
2409.TW,友達,無,15.9499998093,39.68,⚪ 一般監控,60.00%,40.00%,1.45%,-5.01%,0.0,5,0.4,0.0145
6147.TWO,頎邦,無,76.4000015259,64.86,⚪ 一般監控,33.33%,33.33%,0.78%,-5.59%,0.0,6,0.3333,0.0078
00631L.TW,元大台灣50正2,無,21.0,6.61,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00663L.TW,國泰臺灣加權正2,無,60.1500015259,47.49,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6919.TW,康霈*,無,94.9000015259,26.9,🔴 空頭陷阱,0.00%,0.00%,-0.88%,-8.24%,0.0,1,0.0,-0.0088
6213.TW,聯茂,無,163.0,65.64,🔴 空頭陷阱,0.00%,0.00%,-13.29%,-9.68%,0.0,2,0.0,-0.1329
3062.TW,建漢,無,32.5999984741,80.67,🔴 空頭陷阱,0.00%,0.00%,-9.29%,-5.76%,0.0,2,0.0,-0.0929
6274.TWO,台燿,無,623.0,72.64,🔴 空頭陷阱,100.00%,0.00%,-0.20%,0.99%,0.0,1,0.0,-0.002
